Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
"Land Policy
Succession and
Surveying","103014010 Land Policy
and Planning",-,-,-,-,-,-,372,0
,103044010 Land Survey,-,-,-,-,-,-,372,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Development
Expenditure",373,0
"Estate Manage-
ment","701034010 Public Trusts
and Estates Management",-,-,-,-,-,-,373,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","31,059,460",-,"1,393,272",-,4.5,-,373,0
Sub Total,,"36,059,460","61,000,000","1,393,272",-,3.9,-,373,0
County Public Service Board,,,,,,,,373,0
"National
Values and
Governance
Program","706014010 General
Administration Planning
and Support Services","57,815,881",-,"11,775,087",-,-,-,373,0
Sub Total,,"57,815,881",-,"11,775,087",-,20.4,-,373,0
"Youth, Culture, Gender, Social Services & Special Programs",,,,,,,,373,0
"Social De-
velopment
Program",102054010 Cooperatives,-,-,-,-,-,-,373,0
,"901014010 Social Welfare
and Vocational Rehabil-
itation","2,450,000","5,000,000","346,750",-,14.2,-,373,0
,"902024010 Persons Liv-
ing with Disabilities",-,"5,000,000",-,-,-,-,373,0
,"711024010 Gender &
Social-Economic Empow-
erment",-,"5,000,000",-,-,-,-,373,0
"General
Administration
and Support","706014010 General
Administration Planning
and Support Services","53,514,429",-,"18,428,487",-,34.4,-,373,0
"Youth De-
velopment
Program","711014010 Youth Devel-
opment Services","660,000","135,000,000",-,"60,000,000",-,44.4,373,0
,"903034010 Development
and Management of
Sports Facilities","23,623,500","5,000,000","10,000,000",-,42.3,-,373,0
"Cultural
Development
Program","904014010 Development
and Promotion of Culture","3,119,238","5,000,000","435,980",-,14.0,-,373,0
Sub Total,,"83,367,168","160,000,000","29,211,217","60,000,000",35.0,37.5,373,0
"Environment, Natural Resources, Water and Irrigation",,,,,,,,373,0
"Waste Manage-
ment Program","101094010 Solid Waste
Management","6,074,872","49,000,000",-,-,-,-,373,0
,"102064010 Environ-
mental Management &
Protection","14,553,072","78,700,000","20,000",-,0.1,-,373,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","47,355,186",-,"231,000",-,0.5,-,373,0
"Environmental
Governance","1001054010 Environ-
mental Leadership and
Governance","25,700,000",-,-,-,-,-,373,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expenditure","Development
Expenditure",374,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services",-,-,-,-,-,-,374,0
"Water
Development
Program","1004014010 Water Sup-
ply Infrastructure",-,"35,000,000",-,-,-,-,374,0
"Irrigation
Development","1003024010 Irrigation
Development","46,054,370",-,"667,200",-,1.4,-,374,0
Sub Total,,"139,737,500","162,700,000","918,200",-,0.7,-,374,0
Public Service Administration,,,,,,,,374,0
"Human
Resource
Development
Program","101064010 Human Re-
source Management and
Development",-,-,-,-,-,-,374,0
"Administration
and Support","706001410 General
Administration Planning
and Support Services","1,027,520,241",-,"62,091,459",-,-,-,374,0
ICT Program,Automation,-,"80,000,000",-,-,-,-,374,0
Sub Total,,"1,027,520,241","80,000,000","62,091,459",-,6.0,-,374,0
Murang’a Municipality,,,,,,,,374,0
"Municipal
Development
Program","10109410 Solid Waste
Management",-,-,-,-,-,-,374,0
,"101104010 Infrastructure
Development",-,-,-,-,-,-,374,0
,"102074010 Urban Devel-
opment and Support","3,950,000","10,000,000",-,-,-,-,374,0
,"109024010 Other Munic-
ipalities",-,"10,000,000",-,-,-,-,374,0
,"703014010 Revenue
Automation",-,-,-,-,-,-,374,0
,"706014010 General
Administration Planning
and Support Services","65,420,000",-,-,-,-,-,374,0
Sub Total,,"69,370,000","20,000,000",-,-,-,-,374,0
County Assembly,,,,,,,,374,0
"Legislation and
representation","Legislation and represen-
tation","292,897,813",-,"58,727,104",-,-,-,374,0
Oversight,Oversight,"336,750,000",-,"33,163,545",-,-,-,374,0
"Administration
planning and
support","Administration planning
and support","226,061,220","45,000,000","27,887,195",-,-,-,374,0
Sub Total,,"855,709,033","45,000,000","119,777,844",-,14.0,-,374,0
Grand Total,,"7,176,918,269","3,582,052,155","1,423,460,302","239,873,430",19.8,6.7,374,0
