Programme,Sub Programme,2023/24 Approved Estimates,col_3,"Actual Expenditure as of
30th September 2023",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec Exp,Dev Exp,Rec Exp,Dev Exp,"Rec
Exp","Dev
Exp",301,1
"Land, Physical Planning & Mining",,,,,,,,301,1
"Programme 1: General
administration & plan-
ning","SP1. General adminis-
tration & planning","63,436,600",-,"7,048,581",-,11.1,,301,1
"Programme 2: Land
Survey & Mapping","SP2. Land Survey &
Mapping","1,475,000","28,000,000","375,000",-,25.4,-,301,1
"Programme 3: Urban
planning",SP3. 1 Urban planning,"2,625,000","25,000,000","100,000",-,3.8,-,301,1
"Programme 4: Mining
mapping & develop-
ment","SP4.1 Mining mapping
& development","2,150,000","99,857","50,000",-,2.3,-,301,1
"Programme 5: Environ-
ment management and
protection","SP 5. 1 Environment
management and
protection","11,800,000","77,200,000","765,000","1,318,140",6.5,1.7,301,1
,Sub Total,"81,486,600","130,299,857","8,338,581","1,318,140",10.2,1.0,301,1
,,Rec Exp,Dev Exp,Rec Exp,Dev Exp,"Rec
Exp","Dev
Exp",302,0
Wote Municipality,,,,,,,,302,0
"Programme 1: Wote
Municipality","SP 1. 1 Wote Munic-
ipality","34,277,870","15,000,000","8,452,231",-,24.7,-,302,0
,Sub Total,"34,277,870","15,000,000","8,452,231",-,24.7,-,302,0
Emali-Sultan Municipality,,,,,,,,302,0
"Programme 1: Ema-
li-Sultan Municipality","SP 1. 1 Emali-Sultan
Municipality","16,585,314","43,000,000","1,484,258",,8.9,-,302,0
,Sub Total,"16,585,314","43,000,000","1,484,258",-,8.9,-,302,0
Sand Authority,,,,,,,,302,0
"Programme 1: General
administration & plan-
ning","SP 1.1: General
Administration &
Planning","63,642,065","15,000,000","10,594,492",-,16.6,-,302,0
,Sub Total,"63,642,065","15,000,000","10,594,492",-,16.6,-,302,0
Health Services,,,,,,,,302,0
"Programme 1: General
administration & plan-
ning","SP1. 1 General admin-
istration & planning","2,796,331,228","356,223,404","475,086,425",-,17.0,-,302,0
"Programme 2: Curative
health care services","SP2. 1: Curative health
care services","307,750,000","35,000,000","900,000",-,0.3,-,302,0
"Programme 3; Preven-
tive and promotive
health care services","SP3.1 Preventive and
promotive health care
services","58,250,000","38,149,500","12,412,816",-,21.3,-,302,0
,Sub Total,"3,162,331,228","429,372,904","488,399,241",-,15.4,-,302,0
"Infrastructure, Transport, Public works, Housing & Energy",,,,,,,,302,0
"Programme 1: General
administration & plan-
ning","SP1. 1 General admin-
istration & planning","138,728,848",-,"10,638,350",-,7.7,,302,0
"Programme 2: Road
Transport",SP2.1: Road transport,"5,473,500","390,100,000","259,000",-,4.7,-,302,0
"Programme 3: Infra-
structure development","SP3.3: Infrastructure
development","3,163,000","105,750,000","2,647,852",-,83.7,-,302,0
"Programme 4: Energy
Infrastructure & devel-
opment","SP4.1: Energy Infra-
structure & develop-
ment","15,163,467",-,-,-,-,-,302,0
