Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of
30th September 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
Sub total,,"520,223,404","149,214,388","45,722,699","50,799,537",8.8,-,443,0
"Education, Children, Gender Affairs, Culture & Social Services",,,,,,,,443,0
Primary education,ECDE,"24,630,000","35,899,376","1,573,992",-,6.4,-,443,0
"Youth training and
development","Revitalisation of youth
polytechnics","50,150,000","38,026,578.2","1,819,550",-,3.6,-,443,0
Culture,"development and pro-
motion of culture","6,000,000","7,000,000","850,000",-,14.2,-,443,0
"Children, Gender
and Social Services",Social Services,"79,940,000",-,"50,000",-,0.1,-,443,0
,"children and Gender
Affairs","12,750,000",-,"2,489,700",-,19.5,-,443,0
"General administra-
tion, planning and
support Services","Alcohol Drinks Control
and Civic Education","7,000,000",-,"210,000",-,3,-,443,0
Sub Total,,"180,470,000","80,925,954.2","6,993,242",-,3.9,-,443,0
"Tourism, Industrialisation, Cooperative Development & Trade-",,,,,,,,443,0
"Trade development
and promotion","Financial and Trade
Services","11,080,000","21,400,000","2,287,699",-,20.6,-,443,0
,"Nyandarua County
Trade Development and
Investment Authority
(NCTDIA)","10,000,000",-,"249,180",-,2.5,-,443,0
"Industrial de-
velopment and
investment","Industrial and Enter-
prise Development","6,400,000","511,000,000","1,335,200",-,20.9,-,443,0
,Weights & Measures,"5,700,000",-,"1,760,580",-,30.9,-,443,0
"Cooperative
development and
management","Cooperative Audit
Extension Services","2,400,000",-,"722,000",-,30.1,-,443,0
,"Co-operative Develop-
ment","11,000,000",-,"1,093,680",-,9.9,-,443,0
"Tourism de-
velopment and
promotion","tourism infrastructure
development","13,500,000","30,016,831.2","3,819,000",-,28.3,-,443,0
Sub Total,,"60,080,000","562,416,831.2","11,267,339",-,18.8,-,443,0
"Youth, Sports & Arts-",,,,,,,,443,0
Sports,Sports Development,"50,800,000","3,000,000","4,089,500",-,8.1,-,443,0
Youth Affairs,Youth Affairs,"22,003,027",-,"50,500",-,0.2,-,443,0
Arts & Theatre,Arts & Theatre,"7,000,000",-,-,-,-,-,443,0
Sub Total,,"79,803,027","3,000,000","4,140,000",-,5.2,-,443,0
"Water, Environment, Climate Change & Natural Resources",,,,,,,,443,0
,,Rec,Dev,Rec,Dev,Rec,Dev,444,0
"Water Resource
Development.","water resource conser-
vation and protection,
infrastructure and flood
control","14,400,000","182,800,000","3,807,875",-,26.4,-,444,0
Environment,"environmental support
and management","4,800,000","1,900,000","160,000",-,3.3,-,444,0
,climate change resilience,"15,000,000","168,000,000","180,000",-,1.2,-,444,0
,natural resource,"5,000,000","47,749,053.5","565,000",-,11.3,-,444,0
"Irrigation and
Drainage infrastruc-
ture","promotion of irrigation
and drainage develop-
ment and management","600,000","2,000,000","30,000",-,5,-,444,0
Sub Total,,"39,800,000","402,449,053.5","4,742,875",-,11.9,-,444,0
"Transport, Energy & Public Works",,,,,,,,444,0
Road transport,"Transport (Including
fuel level, General Ad-
ministration & Support
Services)","36,900,000","484,239,900","2,994,000","15,000,021",8.1,-,444,0
,Public Works,"10,560,000","235,907,102.4","1,334,691","999,640",12.6,-,444,0
"Alternative energy
technologies","alternative energy tech-
nologies","24,940,000","31,400,000","244,400",-,1,-,444,0
"General administra-
tion, planning and
support services","Emergency Response &
Preparedness","19,900,000",-,"360,450",-,1.8,-,444,0
Housing,Housing,"8,000,000",-,"260,000",-,3.3,-,444,0
Sub Total,,"100,300,000","751,547,002.4","5,193,541","15,999,661",5.2,-,444,0
"Lands, Physical Planning & Urban Development",,,,,,,,444,0
"Land policy and
planning",Physical Planning,"15,000,000",-,"275,000",-,1.8,-,444,0
,Survey and Mapping,"15,500,000",-,"1,948,540",-,12.6,-,444,0
,"Land Administration
and Management","29,000,000","29,200,000","2,991,060",-,10.3,-,444,0
Urban development,Urban development,"1,500,000","57,500,000","230,000",-,15.3,-,444,0
Sub Total,,"61,000,000","86,700,000","5,444,600",-,8.9,-,444,0
MUNICIPALITIES-,,,,,,,,444,0
Municipalities,Ol’ Kalou municipality,"12,000,000","14,500,000","252,000",-,2.1,-,444,0
,Engineer Municipality,"4,000,000","5,000,000",-,-,-,-,444,0
,"Mairo-Inya Munici-
pality","4,000,000","5,000,000",-,-,-,,444,0
Sub Total,,"20,000,000","24,500,000","252,000",-,1.3,-,444,0
"Agriculture, Livestock & Fisheries-",,,,,,,,444,0
"Crop development
and management","Land and crop devel-
opment","51,479,617","469,424,036","970,000",-,1.9,-,444,0
,"Seed Potato Production
Unit (SPPU Lab)","4,000,000",-,"330,000",-,8.3,-,444,0
"Livestock resources
management and
development","livestock production and
management","36,305,000","141,210,000","290,800",-,0.8,-,444,0
,Veterinary Services,"19,650,000","2,000,000","438,700",-,2.2,-,444,0
"Fisheries Develop-
ment and manage-
ment","fisheries policy, strategy
and capacity building","3,500,000","1,000,000","100,000",-,2.9,-,444,0
"General administra-
tion, planning and
support services","Institution Support
(ATCs)","22,000,000",-,"220,000",-,1,-,444,0
,"Agriculture Mechaniza-
tion Services","6,000,000",-,"170,000",-,2.8,-,444,0
,"General Administration
and Extension Services","9,315,383",-,"971,138",-,10.4,-,444,0
,"Subsidised Artificial
Insemination","17,750,000",-,-,-,-,-,444,0
Sub Total,,"170,000,000","613,634,036","3,490,638",-,2.1,-,444,0
County Assembly,,,,,,,,444,0
County Assembly,"legislative, oversight and
representation","870,438,804","115,500,000","159,338,844",-,18.3,-,444,0
Sub Total,,"870,438,804","115,500,000","159,338,844",-,18.3,-,444,0
