Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2023
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,157,1
Office of the Governor and Deputy Governor,,,,,,,,157,1
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","161,558,629",-,"40,323,390",,- 25.0,-,157,1
"Coordination Devo-
lution Service",County Executive,"23,880,000",-,"2,810,018",,- 11.8,-,157,1
,"Intergovernmental
Relation","18,788,000",-,"585,108",,- 3.1,-,157,1
,County Advisory,"10,210,000",-,"1,506,400",,- 14.8,-,157,1
,Special Programs,"11,776,000",-,"2,566,700",,- 21.8,-,157,1
,,Rec,Dev,Rec,Dev,Rec,Dev,158,0
,Sub Total,"226,212,629",-,"47,791,616",-,21.1,-,158,0
County Public Service Board,,,,,,,,158,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","116,966,917",-,"21,953,967",-,18.8,-,158,0
,Sub-Total,"116,966,917",-,"21,953,967",-,18.8,-,158,0
Department of Medical Service and Public Health,,,,,,,,158,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","2,008,820,505","10,000,000","438,414,675",-,21.8,-,158,0
"Curative and Rehabil-
itative",Hospital Service,"7,264,200","315,702,516","929,400",-,12.8,-,158,0
,"Health Products
and Technologies","270,872,533",-,"46,948,482",-,17.3,-,158,0
,"Emergency Re-
sponses","6,529,000",-,"440,300",-,6.7,-,158,0
"Public Health and
Sanitation","Reproductive
Maternal","32,617,507",-,"1,176,000",-,3.6,-,158,0
,"Communicable and
Non-Communica-
ble disease","4,990,642",-,"159,600",-,3.2,-,158,0
,"Primary Health
Care","22,386,689","107,220,082","837,500",-,3.7,-,158,0
,"Disease Surveillance
and Response","3,869,815",-,-,-,-,-,158,0
,"Environmental
Health","14,251,840","4,500,000","2,157,126",-,15.1,-,158,0
,Sub Total,"2,371,602,731","437,422,598","491,063,083",-,20.7,-,158,0
"Department of Water, Irrigation, Environment and Natural Resource",,,,,,,,158,0
"General Administra-
tion, Planning and
Support Service","General Adminis-
tration, Planning
and Support Service","106,014,390",-,"25,211,444",-,23.8,-,158,0
Water Service,Water Service,"34,820,000","150,700,000","5,534,900",-,15.9,-,158,0
,"Storm Water Man-
agement","7,236,148",-,"213,500",-,3.0,-,158,0
,Sanitation Service,"4,820,000",-,"453,600",-,9.4,-,158,0
"Environment and
Natural Resources",Environmental,"30,685,867",-,"1,609,600",-,5.2,-,158,0
,Natural Resources,"2,121,984",-,"70,000",-,3.3,-,158,0
,Climate Change,"5,600,000","169,558,300","112,000",-,2.0,-,158,0
,Sub Total,"191,298,389","320,258,300","33,205,044",-,17.4,-,158,0
