Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,"Actual Expenditure as
of 30th September 2023
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",Rec,Dev,321,0
Department County Assembly,,,,,,,,321,0
"1: General Admin-
istration Support
Services","SP 1.1 salaries and al-
lowances for employees
and MCAs","237,161,199",-,"38,817,171",-,16.4,-,321,0
,"SP 1.2 Employer Con-
tribution to Pension","9,550,000",-,"1,639,583",-,17.2,-,321,0
,"SP 1.2 Hospitality,
Catering services, dona-
tions and gifts, boards,
committees, confer-
ences and seminars","48,074,469",-,"4,279,600",-,8.9,-,321,0
,"SP 1.3 Domestic
payables from previous
financial years","10,167,081","256,083,989",-,-,-,-,321,0
"Programme 2:
Legislature and
Oversight","SP 2.1 Domestic and
foreign accommodation,
air travel and daily sub-
sistence allowance","110,857,475",-,"23,571,313",-,21.3,-,321,0
,"SP 2.2 ICT, Hansard
and Communication
Equipment","7,500,000",-,"361,000",-,4.8,-,321,0
,"SP 2.3 Mortgage & Car
Loans and Tax","57,407,675",-,-,-,-,-,321,0
,"SP 2.4 Staff Training
and Development and
Tuitions","37,907,263",-,-,-,-,-,321,0
,"SP 2.5 Public Partici-
pation",,-,,-,-,-,321,0
"Programme 3:
County Assembly
Infrastructure
Improvement","SP 3.11 Equipping of
library",,-,,-,-,-,321,0
,"SP 3.12 Maintenance of
motor vehicle","7,750,000",-,"1,769,280",-,22.8,-,321,0
,"SP 3.13 Purchase of
furniture and general
equipment","5,366,793",-,-,-,-,-,321,0
,"SP 3.14 Construction
of County Assembly
Headquarters and mod-
ern chambers, purchase
of land for speaker’s
residence, construction
and equipping of ward
offices",-,"252,500,000",-,-,-,-,321,0
,"SP 3.15 Improvement
of ICT services",,-,,-,-,-,321,0
,"SP 3.16 Maintenance of
plants, machinery and
other assets","9,016,760",-,-,-,-,-,321,0
,"SP 3.17 Electricity,
water and sewer-
age and other utility
charges","11,928,878",-,-,-,-,-,321,0
,"SP 3.18 Printing,
advertisement and in-
formation supplies and
services","33,821,371",-,"2,941,200",-,8.7,-,321,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",Rec,Dev,322,0
,"SP 3.19 Rental of
approved assets and hire
of motor vehicles","2,200,000",-,-,-,-,-,322,0
,"SP 3.20 Insurance cost
for group personal,
building, motor vehicle
and medical cover","31,980,382",-,-,-,-,-,322,0
,"SP 3.21 Purchase of
computers, printers and
general office supplies
and accessories and san-
itary cleaning materials","35,520,000",-,"6,389,014",-,18.0,-,322,0
,"SP 3.22 Fuel, oil, lubri-
cants and tyres","9,000,000",-,-,-,-,-,322,0
,"SP 3.23 Bank ser-
vice commission and
charges, legal fees,
management fees and,
contracted professional
charges and other oper-
ating expenses","22,230,000",-,-,-,-,-,322,0
,SP 3.24 Ward office,"46,860,000",-,"4,733,328",-,10.1,-,322,0
,"SP 3.25 Uniform, Spe-
cialised materials and
supplies","8,000,000",-,"2,455,967",-,30.7,-,322,0
,"-SP 3.26 Membership
fees and dues and sub-
scription for interna-
tional organisation","5,500,000",-,-,-,-,-,322,0
,"SP 3.28 Refurbishment
of buildings","4,000,000",-,-,-,-,-,322,0
,"SP 3.29 Gratuity/pen-
sion","24,417,735",-,-,-,-,-,322,0
,"SP 3.30 Purchase of
motor vehicle","15,000,000",-,,-,-,-,322,0
,Sub Total,"791,217,081","508,583,989","86,957,456",-,11.0,-,322,0
County Executive services,,,,,,,,322,0
"County Executive
services","County Executive
services","477,791,216",-,"102,478,211",-,21.4,-,322,0
"Executive Infra-
structure Develop-
ment","Executive Infrastructure
Development",,"536,712,933",-,"211,287,511",-,39.4,322,0
,Sub Total,"477,791,216","536,712,933","102,478,211","211,287,511",21.4,39.4,322,0
Finance & Economic Planning,,,,,,,,322,0
"General adminis-
tration planning
and Support
Services",Financial Services,"466,999,998","235,391,874","79,144,653","105,626,617",16.9,44.9,322,0
,Sub Total,"467,000,000","235,391,874","79,144,653","105,626,617",16.9,44.9,322,0
"Agriculture, Livestock & Fisheries",,,,,,,,322,0
"General Adminis-
tration, Planning
and Support
Services","General Administration,
Planning and Support
Services","102,921,590",-,"28,545,392",-,27.7,-,322,0
"Livestock Produc-
tion and Manage-
ment","Livestock Production
and Management","116,732,928",-,-,-,-,-,322,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",Rec,Dev,323,0
"Crop Develop-
ment and Manage-
ment","Lands and Crop Devel-
opment",-,"761,591,264",-,-,-,-,323,0
"Fisheries De-
velopment and
Management","Fisheries Policy, Strategy
and Capacity Building","30,938,970",-,-,-,-,-,323,0
,Sub Total,"250,593,488","761,591,264","28,545,392",-,11.4,-,323,0
"Energy, Lands & Urban Development",,,,,,,,323,0
"Urban Develop-
ment Services","Solid Waste Manage-
ment",-,"153,894,560",-,"17,519,039",-,11.4,323,0
"General adminis-
tration planning
and Support
Services","Administration and
Support services","134,975,354",-,"17,694,242",-,13.1,-,323,0
,Sub Total,"134,975,354","153,894,560","17,694,242","17,519,039",13.1,11.4,323,0
County Health Services,,,,,,,,323,0
"General Adminis-
tration, Planning
and Support
Services","Administration and
support services","1,474,981,500",-,"260,705,816",-,17.7,-,323,0
"General Adminis-
tration, Planning
and Support
Services","Health Infrastructure
development",-,"587,394,408",,-,-,-,323,0
,Sub Total,"1,474,981,500","587,394,408","260,705,816",-,17.7,-,323,0
"Administration, Coordination & ICT",,,,,,,,323,0
"General adminis-
tration planning
and Support
Services",Administration services,"335,200,000",-,"58,441,929",-,17.4,-,323,0
"Coordination
of functions of
devolved Units","Executive Infrastructure
Development",-,"105,000,000",-,-,-,-,323,0
,Sub Total,"335,200,000","105,000,000","58,441,929",-,17.4,-,323,0
County Public Service Board,,,,,,,,323,0
"General adminis-
tration planning
and Support
Services",Administration services,"96,868,002",-,"10,983,476",-,11.3,-,323,0
"Human Resource
Management and
Development","Board Management
Service",-,"23,500,000",-,-,-,-,323,0
,Sub Total,"96,868,000","23,500,000","10,983,476",-,11.3,-,323,0
Office of the County Attorney,,,,,,,,323,0
"General adminis-
tration, planning
and support
services","General Administration
Services","14,500,000",-,-,-,-,-,323,0
,Sub Total,"14,500,000",-,-,-,-,-,323,0
Office of the County Secretary,,,,,,,,323,0
"General adminis-
tration, planning
and support
services","General Administration
Services","11,000,000",-,-,-,-,-,323,0
,Sub Total,"11,000,000",-,-,-,-,-,323,0
"Education, Skill Development, Youth & Sports",,,,,,,,323,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",Rec,Dev,324,0
"General Adminis-
tration, Planning
and Support
Services",Administration Services,"478,863,481",-,"58,928,506",,12.3,-,324,0
"Early Childhood
Development and
Education","Early Childhood Devel-
opment and Education",-,"278,958,000",,-,-,-,324,0
,Sub Total,"478,863,481","278,958,000","58,928,506",-,12.3,-,324,0
"Tourism, Culture & Social Services",,,,,,,,324,0
Culture Services,"Cultural infrastructure
development",-,"49,700,000",-,-,-,-,324,0
"General adminis-
tration, planning
and support
services","General Administration
Services","103,358,270",-,"9,071,458",-,8.8,-,324,0
,Sub Total,"103,358,270","49,700,000","9,071,458",-,8.8,-,324,0
Roads & Public Works,,,,,,,,324,0
"General adminis-
tration planning
and Support
Services","General administration
planning and Support
Services","65,760,878",-,"7,339,372",-,11.2,-,324,0
"General adminis-
tration planning
and Support
Services","Operations and Main-
tenance","38,603,608",-,-,-,-,-,324,0
"Road Transport
Infrastructure
Development","Roads Infrastructure
Development",-,"221,142,000",-,-,-,-,324,0
Sub Total,,"104,364,486","221,142,000","7,339,372",-,7.0,-,324,0
"Trade, Industry & Enterprise Development",,,,,,,,324,0
"General adminis-
tration planning
and Support
Services",Financial Services,"86,700,000",-,"11,190,968",-,12.9,-,324,0
"Trade and Indus-
trial Development","Develop infrastructure
and facilities",-,"138,000,000",-,-,-,-,324,0
Sub Total,,"86,700,000","138,000,000","11,190,968",-,12.9,-,324,0
"Water, Environment & Natural Resources",,,,,,,,324,0
"Water Resources
Management","Water Supply Infra-
structure Development",-,"410,000,000",-,-,-,-,324,0
"General adminis-
tration planning
and Support
Services","General administration
planning and Support
Services","108,512,000",-,"20,138,247",-,18.6,-,324,0
"Natural Resources
Conservation and
Management","Environmental policy
development",-,"125,001,968",-,-,-,-,324,0
"Natural Resources
Conservation and
Management","Forests Conservation
and Management","38,388,560",-,"176,910",-,0.5,-,324,0
Sub Total,,"146,900,560","535,001,968","20,315,157",-,13.8,-,324,0
Grand Total,,"4,974,313,443","4,134,870,994","751,796,636","334,433,167",15.2,8.1,324,0
