"User Depart-
ment",Programme,Sub-Programme,"Approved FY 2023/24 Estimates
(Kshs.)",col_4,"Actual Expenditure as of
30th September 2023
(Kshs.)",col_6,"Absorption Rate
(%)",col_8,page_number,table_index
,,"Environmental
Management",-,"2,650,000",-,-,-,-,91,0
,,"Environmental
Management",-,"39,017,938",-,-,-,-,91,0
,,"Climate Change
Management",-,"4,350,000",-,-,-,-,91,0
,,"Climate change
management",-,"1,000,000",-,-,-,-,91,0
"Education
and Technical
Training","General admin-
istration and
support services","Pre-Primary
Education","275,878,471",-,"70,972,219",-,26,-,92,0
,,"Pre-primary
Infrastructure
Development","500,000",-,-,-,-,-,92,0
,,"Pre-primary
Quality Control
and Support",,"215,422,213",,"497,110",-,-,92,0
,,"Vocational
Education and
Training",-,"4,084,244",-,-,-,-,92,0
,,"VTC Infrastruc-
ture Develop-
ment",-,"32,290,197",-,-,-,-,92,0
,,"VTC Quality
Control and
Support",-,"95,583,894",-,-,-,-,92,0
"Health and
Sanitation","General admin-
istration and
support services","General admin-
istration and
support services","1,677,654,881",-,"392,529,403",-,23,-,92,0
,,"Community and
Environmental
Health",-,"28,156,921",-,-,-,-,92,0
,,Health Services,-,"483,767,475",-,"24,070,813",-,5,92,0
"Lands, Physi-
cal Planning,
Housing and
Urban Devel-
opment","General admin-
istration and
support services","General admin-
istration and
support services","51,900,726",-,"10,514,027",-,20.3,-,92,0
,,"Land Use Man-
agement",-,"10,996,837",-,-,-,-,92,0
,,"County Public
Land Manage-
ment",-,"800,000",-,-,-,-,92,0
,,Physical Planning,-,"39,195,343",-,-,-,-,92,0
,,"Urban Develop-
ment",-,"14,002,459",-,-,-,-,92,0
,,"Urban Infrastruc-
ture",-,"79,740,171",-,-,-,-,92,0
"Roads, Public
Works and
Transport","General admin-
istration and
support services","General admin-
istration and
support services","96,489,154",-,"21,265,039",-,22,-,92,0
,,Rural road Works,"1,810,000",-,"86,000",-,4.8,-,92,0
,,"Road Improve-
ment","1,670,000",-,-,-,-,-,92,0
,,Public works,-,"566,846,121",-,"199,800",-,-,92,0
,,Energy,-,"3,300,000",-,-,-,-,92,0
,,"Transport Ser-
vices",-,"7,700,000",-,-,-,-,92,0
"Cooperatives,
Trade, Indus-
trialization,
Tourism and
Wildlife","General admin-
istration and
support services","Cooperatives
development","61,865,191",-,"13,641,867",-,22.1,-,92,0
,,"Rimoi National
Reserve","3,300,000",-,-,-,-,-,92,0
,,"General admin-
istration and
support services",-,"9,696,112",-,-,-,-,92,0
,,"Tourism Devel-
opment",-,"554,680",-,-,-,-,92,0
,,"Trade and enter-
prise develop-
ment",-,"372,122,136",-,-,-,-,92,0
"Sports, Youth
Affairs, ICT
and Social
Services","General admin-
istration and
support services","General admin-
istration and
support services","53,307,152",-,"7,983,126",-,15.0,-,93,0
,,"Sports Develop-
ment",-,"31,881,105",-,-,-,-,93,0
,,"Sports Talent
Development",-,"27,733,814",-,-,-,-,93,0
,,"Social Empower-
ment",-,"33,841,766",-,-,-,-,93,0
,,Social Protection,-,"950,000",-,-,-,-,93,0
,,"Social Empower-
ment",-,"31,807,961",-,-,-,-,93,0
,,"Culture Preser-
vation",-,"1,200,000",-,-,-,-,93,0
"Public Service
Management
and County
Administra-
tion","General admin-
istration and
support services","General admin-
istration and
support services","1,900,000",-,"376,000",-,19.8,-,93,0
,,ICT services,"500,000",-,"224,000",-,44.8,-,93,0
,,"County Admin-
istration and
Devolution","267,276,827",-,"24,405,824",-,9.1,-,93,0
,,"Enforcement and
Compliance","600,000",-,-,-,-,-,93,0
,,"Citizen Partici-
pation and Civic
Education","500,000",-,"53,000",-,10.6,-,93,0
,,"Human Resource
Management","650,000",-,"98,400",-,15.1,-,93,0
,,"Payroll Manage-
ment","750,000",-,"140,400",-,18.7,-,93,0
,,"County Commu-
nication Corpo-
rate Affairs","500,000",-,"33,600",-,6.7,-,93,0
,,"Citizen Partici-
pation and Civic
Education",-,"800,000",-,-,-,-,93,0
,,"County Admin-
istration and
Devolution",-,"48,215,361",-,-,-,-,93,0
,,ICT services,-,"350,000",-,-,-,-,93,0
,,"Human Resource
Management",-,"700,000",-,-,-,-,93,0
"County Public
Service Board","General admin-
istration and
support services","General admin-
istration and
support services","52,046,441","2,500,000","11,531,252",,22.2,-,93,0
Grand Total,,,"3,829,819,119","3,327,820,149","864,158,361","33,545,642",22.6,1.0,93,0
