Programme,"Recurrent Esti-
mates 2023/24","Development Es-
timates 2023/25","Total Budget
estimates","Recurrent
Expenditure as of
30th September,
2023","Development
Expenditure
as 30th Sep-
tember 2024",Total Expenditure,"s
Variance","% Ab-
orption
of the
Budget",page_number,table_index,Variance,"% Ab-
sorption
of the
Budget"
"Agriculture, Livestock and Cooperative",,,,,,,,,60,1,,
"Programme 1: Gen-
eral Administration,
Planning and Support
Services","384,206,992",-,"384,206,99","2 80,155,507",-,"80,155,507","304,051,485",20.9,60,1,,
"SP 1.1 Administrative
and Support Services","27,378,650",-,"27,378,65","0 1,109,814",,"1,109,814","26,268,836",4.1,60,1,,
"SP 1.2 Human Resource
Management and Devel-
opment.","333,213,299",-,"333,213,29","9 79,045,693",,"79,045,693","254,167,607",23.7,60,1,,
"SP 1.3: Policy, Legal and
Regulatory Framework","7,600,000",-,"7,600,00",0 -,-,-,"7,600,000",-,60,1,,
"SP 1.4: Planning and
Financial Management","4,615,043",-,"4,615,04",3 -,-,-,"4,615,043",-,60,1,,
"SP 1.5 Sector Coordi-
nation","4,000,000",-,"4,000,00",0 -,-,-,"4,000,000",-,60,1,,
"SP 1.6: Leadership and
Governance","2,000,000",-,"2,000,00",0 -,-,-,"2,000,000",-,60,1,,
"SP 1.7 Sub-County
Administrative Costs","5,400,000",-,"5,400,000",-,-,-,,,61,0,"5,400,000",-
"Programme 2: Land and
Crop Development and
Management","1,080,000","324,700,000","325,780,000",-,-,-,,,61,0,"325,780,000",-
"SP 2.1: Agricultural
Extension and Training
Services",-,"5,000,000","5,000,000",-,-,-,,,61,0,"5,000,000",-
"SP 2.2: Crop Production
and Productivity",-,"309,700,000","309,700,000",-,-,-,,,61,0,"309,700,000",-
"SP 2.7 Irrigation Exten-
sion and Training","1,080,000",,"1,080,000",-,-,-,,,61,0,"1,080,000",-
"SP 2.8 Irrigation Infra-
structure Development
and Agricultural Water
Storage",,"10,000,000","10,000,000",-,-,-,,,61,0,"10,000,000",-
"Programme 3: Livestock
development and man-
agement","4,345,500","20,254,500","24,600,000",-,-,-,,,61,0,"24,600,000",-
"SP 3.4 Disease and
Vector Control",-,"7,000,000","7,000,000",-,-,-,,,61,0,"7,000,000",-
"SP 3.5 Food Safety and
Quality Control","4,345,500","2,654,500","7,000,000",-,-,-,,,61,0,"7,000,000",-
"SP 3.7 Veterinary Exten-
sion Services",,"3,600,000","3,600,000",-,-,-,,,61,0,"3,600,000",-
"SP 3.8 Breeding and AI
Subsidy Programme",,"7,000,000","7,000,000",-,-,-,,,61,0,"7,000,000",-
"Programme 4: Fisheries
Development and
Management",-,"7,000,000","7,000,000",-,-,-,,,61,0,"7,000,000",-
"SP 4.1 Fisheries exten-
sion service and training",,"3,000,000","3,000,000",-,-,-,,,61,0,"3,000,000",-
"SP 4.2 Fisheries product
value-chain development",,"4,000,000","4,000,000",-,-,-,,,61,0,"4,000,000",-
"Programme 5: Coop-
eratives Development
and Management","8,000,000","17,500,000","25,500,000",-,-,-,,,61,0,"25,500,000",-
"SP 5.1 Cooperatives
Extension Service and
Training (Cooperative
Governance (Training))","6,700,000",,"6,700,000",-,-,-,,,61,0,"6,700,000",-
"SP 5.2 Cooperatives
Audit Services","1,300,000",,"1,300,000",-,-,-,,,61,0,"1,300,000",-
"SP 5.3 Production,
Agro-processing, value
addition & Marketing
(Input and Infra-
structural Support to
Cooperatives)",-,"17,500,000","17,500,000",-,-,-,,,61,0,"17,500,000",-
"Programme 6: Insti-
tutional Development
and Management","5,000,000","23,860,000","28,860,000",-,-,-,,,61,0,"28,860,000",-
"SP 6.1 Mabanga ATC
Administration Manage-
ment Services",,,-,-,-,-,,,61,0,-,-
"SP 6.2 Agricultural
Enterprise Development
(ATC)",-,"3,560,000","3,560,000",-,-,-,,,61,0,"3,560,000",-
"SP 6.3 Infrastructural
development (ATC)",,"10,000,000","10,000,000",-,-,-,,,61,0,"10,000,000",-
"SP 6.5 Tractor hire
services","5,000,000",,"5,000,000",-,-,-,,,61,0,"5,000,000",-
"SP 6.8 Operational
development (CFF)",-,"10,300,000","10,300,000",-,-,-,,,61,0,"10,300,000",-
"Total Grants & Ward
Based",-,"306,601,842","306,601,842",-,-,-,,,61,0,"306,601,842",-
NARIGP,,"280,000,000","280,000,000",-,-,-,,,61,0,"280,000,000",-
ASDSP II,,"5,344,642","5,344,642",-,-,-,,,61,0,"5,344,642",-
Ward Based Projects,,"21,257,200","21,257,200",-,-,-,,,62,0,"21,257,200",-
Sub Total,"402,632,492","699,916,342","1,102,548,834","80,155,507",-,"80,155,507",,,62,0,"1,022,393,327",7.3
Health and Sanitation,,,,,,,,,62,0,,
"Programme 1: General
Administration Planning
and Support Services","2,832,488,695","431,786,440","3,264,275,135","613,445,648",-,"613,445,648",,,62,0,"2,650,829,487",18.8
