Programme,"Approved Estimates
(Kshs.)",col_2,"Actual Expenditure as of 30th
September 2023
(Kshs.)",col_4,Absorption Rate (%),col_6,page_number,table_index
,Rec,Dev,Rec,Dev,Rec,Dev,253,0
Finance and Economic Planning,,,,,,,253,0
"Budget formulation, co-or-
dination and management
(0703023060)","25,432,942",-,"18,471,745",-,72.63,-,253,0
"General Administration
(0704043060)","247,020,063","25,000,000","8,982,015",-,3.64,-,253,0
"Revenue Collection Man-
agement (0710013060)","9,687,369",-,"5,961,700",-,61.54,-,253,0
"Public Finance and
Accounting Services
(0711013060)","4,145,921",-,"2,425,020",-,58.49,-,253,0
"Procurement Services
(0711023060)","3,540,000",-,"909,300",-,25.69,-,253,0
"Risk Assurance Services
(0711033060)","4,982,500",-,"1,261,530",-,25.32,-,253,0
"Personal Services
(0704013060)","122,421,340",-,"74,578,572",-,60.92,-,253,0
Total,"417,230,133","25,000,000","112,589,882",-,26.99,-,253,0
"Agriculture, Livestock and Fisheries",,,,,,,253,0
"General administration
and support services
{0102053060}","78,192,415",-,"34,520,421",-,44.15,-,253,0
"Crop production & food
security {0107013060}","1,215,000","154,891,194",-,-,-,-,253,0
"Dairy and meat production
{0108013060}","1,160,000","23,459,714",-,-,-,-,253,0
"Fish production manage-
ment {0109013060}","1,410,000","19,500,000",-,-,-,-,253,0
"Livestock disease control
{0108033060}","1,215,000","39,081,775",-,-,-,-,253,0
"Farm land utilization,
mechanization & crop
storage {0107033060}","8,806,710","15,490,286","1,173,810",-,13.33,-,253,0
"Agricultural extension,
research & training.
{0107023060}","700,000","2,500,000",-,-,-,-,253,0
Total,"92,699,125","254,922,969","35,694,231",-,38.51,-,253,0
Environment and Natural Resources,,,,,,,253,0
,Rec,Dev,Rec,Dev,Rec,Dev,254,0
"General administration
and support services
(0102053060)","11,010,900","10,000,000","1,981,161",-,17.99,-,254,0
"Personnel Services
(0102063060)","17,966,536",-,"9,864,641",-,54.91,-,254,0
"Physical development
plans (0104013060)",-,"5,000,000",-,-,-,-,254,0
"Establishment of squat-
ter settlement schemes
(0105013060)","3,300,000","36,500,000","444,600","7,186,200",13.47,19.69,254,0
"County Environmen-
tal Awareness Initiative
(0106023060)","1,450,000","39,000,000",-,-,-,-,254,0
"Rehabilitation of degrad-
ed natural landscapes
(0106033060)","300,000",-,-,-,-,-,254,0
TOTAL,"34,027,436","90,500,000","12,290,402","7,186,200",36.12,7.94,254,0
Curative and Rehabilitative Health Services,,,,,,,254,0
"402023060 Operational
Rural Health Facilities",-,"40,199,975",-,-,-,-,254,0
"402043060 Medical
Health Drugs","152,859,883",-,"130,341,400",-,85.27,-,254,0
"403013060 General Ad-
ministration","53,479,694","55,319,149","11,847,324",-,22.15,-,254,0
"403053060 Personnel
Services","926,124,470",-,"484,568,444",-,52.32,-,254,0
"405013060 Msambweni
Hospital","34,903,000",-,"8,196,883",-,23.48,-,254,0
"406013060 Kinango
Hospital","17,980,850",-,"3,419,015",-,19.01,-,254,0
407013060 Kwale Hospital,"18,007,500",-,"579,016",-,3.22,-,254,0
"409013060 Samburu
Hospital","11,060,750",-,"(928,690)",-,(8.40),-,254,0
"410013060 Lunga Lunga
Hospital","10,351,000",-,"3,102,064",-,29.97,-,254,0
Total,"1,224,767,147","95,519,124","641,125,457",-,52.35,-,254,0
County Assembly,,,,,,,254,0
"Audit Services
(0704013060)","308,612,771",-,"67,770,108",-,21.96,-,254,0
"General Administration
and Support Services
(0704043060)","192,095,807","99,000,000","460,000",-,0.24,,254,0
"Oversight and legislation of
county affairs","167,003,831","104,310,567","200,000",-,0.12,-,254,0
"General Administration
and Support Services",-,-,-,-,-,-,254,0
Total,"667,712,409","203,310,567","68,430,108",-,10.25,-,254,0
"Trade, Investment and Cooperatives",,,,,,,254,0
,Rec,Dev,Rec,Dev,Rec,Dev,255,0
Administration services,"8,133,388","1,500,000","664,400",-,8.17,-,255,0
"Trade Development and
Investment","4,049,750",-,"179,805",-,4.44,-,255,0
"Construction of new
markets","1,946,000","29,750,000","99,500",-,5.11,-,255,0
Weights & Measures,"1,375,038","1,500,000",-,-,-,-,255,0
"Availing Affordable credit
to entrepreneurs for wealth
creation",-,-,-,-,-,-,255,0
Personnel Services,"19,258,268",-,"9,547,222",-,49.57,-,255,0
Cooperative Development,"2,731,000",-,"56,550",-,2.07,-,255,0
"Industry & Enterprise
Development","944,304","186,500,000",-,-,-,-,255,0
Total,"38,437,748","219,250,000","10,547,477",-,27.44,-,255,0
Social Services & Talent Management,,,,,,,255,0
"Community Development
(0903003067)","4,250,000","500,000","1,981,610",-,46.63,-,255,0
"Community Development
(0903003067)","5,472,870",-,"2,633,000",-,48.11,-,255,0
"Community Development
(0903003067)","2,500,000",-,-,-,-,-,255,0
"Culture and Heritage
(0904003067)","600,000","27,064,600","60,000",-,10.00,-,255,0
"Sports and Youth Develop-
ment (0905003067)","800,000","75,876,763","150,000",-,18.75,-,255,0
"Administration
(0906003067)","17,209,979",-,"9,127,315",-,53.04,-,255,0
"Administration
(0906003067)","4,800,000",-,"1,146,956",-,23.89,-,255,0
TOTAL,"35,632,848","103,441,363","15,098,881",-,42.37,-,255,0
Executive Services,,,,,,,255,0
"County Coordination
Services702013060","2,567,000",-,"217,566",-,8.48,-,255,0
Audit Services704013060,"38,195,437",-,"18,181,290",-,47.60,-,255,0
"General Administra-
tion704043060","22,128,495",-,"6,798,304",-,30.72,-,255,0
"Media and Communica-
tion Services 707033060","3,366,261",-,-,-,-,-,255,0
TOTAL,"66,257,192",-,"25,197,159",-,38.03,-,255,0
Education,"303,629,611",-,"143,245,495",-,47.18,-,255,0
"0502013060-Administra-
tion Planning and Support
Services","11,767,366",-,"3,004,054",-,25.53,-,255,0
"0501013060-Adminis-
tration Planning support
service ECDE","34,168,249",-,"4,212,537",-,12.33,-,255,0
,Rec,Dev,Rec,Dev,Rec,Dev,256,0
"0503013060-Adminis-
tration Planning support
service VTC","8,125,000",-,"1,947,453",-,23.97,-,256,0
"0504013060-Scholarship
and Bursary","250,000,000",-,"200,000,000",-,80.00,-,256,0
"0501043060-Infrastructure
development Ecde",-,"118,897,600",-,-,-,-,256,0
"0503023060-Infrastructure
development VTC",-,"63,957,500",-,-,-,-,256,0
