Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2023 (Kshs)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,117,0
"Department of Agriculture, Livestock &
Pastoral",,"122,403,744","572,820,333","40,000,000",-,32.7,-,117,0
Programme 1: CP1: Agriculture,,"68,044,597","205,000,000","14,000,000",-,20.6,-,117,0
,"CSP 1.1 Agriculture Adminis-
tration & Support Services","56,632,159","155,000,000","14,000,000",-,24.7,-,117,0
,"CSP 1.2 Crop production and
value chains","11,412,438",-,-,-,-,-,117,0
,"CSP 1.3 Agricultural Mecha-
nization Services",-,"50,000,000",-,-,-,-,117,0
Programme 2: Livestock Pastoral Economy,,"53,559,147","367,820,333","26,000,000",-,48.5,-,117,0
,"CSP 2.1 Livestock Adminis-
tration and Support Service","46,159,147","169,365,353","26,000,000",-,56.3,-,117,0
,CSP 2.2 Livestock Production,"3,050,000","128,454,980",-,-,-,-,117,0
,"CSP 2.3 Livestock Value
Chains Development","1,000,000","40,000,000",-,-,-,-,117,0
,CSP 2.4 Veterinary Service,"3,350,000","30,000,000",-,-,-,-,117,0
Programme 3: CP3: Fish Production,,"200,000",,,,-,-,117,0
,CSP 3.1 Fisheries services,"200,000",-,-,-,-,-,117,0
Programme 4: CP 4: Cooperatives,,"600,000",-,-,-,-,-,117,0
,"CSP 4.1 Cooperatives Devel-
opment","600,000",-,-,-,-,-,117,0
"Department of Culture, Social, Gender and
Children",,"46,210,946","120,000,000","10,000,000",-,21.6,-,117,0
"Programme 1: CP1. Gender, Social Services,
Culture, Youth and Sports",,"46,210,946","120,000,000","10,000,000",-,21.6,-,117,0
,"CSP 1.1 Administration and
Support Services","35,422,346",,"10,000,000",-,28.2,-,117,0
,"CSP 1.2 Social Protection,","3,025,000","8,000,000",-,-,-,-,117,0
,"CSP 1.3 Gender and Women
Empowerment","1,500,000","4,000,000",-,-,-,-,117,0
,"CSP 1.4 Promotion and
preservation of culture and
Heritage","1,500,000","5,000,000",-,-,-,-,117,0
,CSP 1.5 Youth development,"1,500,000","3,000,000",-,-,-,-,117,0
,"CSP 1.6 Sports & Talent
Development","3,263,600","100,000,000",-,-,-,-,117,0
,Sub Total,"46,210,946","120,000,000","10,000,000",-,21.6,-,117,0
Department of Transport and Infrastructure,,"46,073,600","100,000,000","16,500,000",-,35.8,-,117,0
"Programme 1: CP1: Administration and
support services",,"31,406,400",-,-,-,52.5,-,117,0
,"CSP 1.1 Administration and
Services","31,406,400",-,-,-,52.5,-,117,0
Programme 2: CP2: Road and transport,,"4,417,200","100,000,000",-,-,-,-,117,0
,,Rec,Dev,Rec,Dev,Rec,Dev,118,0
,CSP 2.2 Transport,"2,000,000",,,,-,-,118,0
,CSP2.1 Roads,"2,417,200","100,000,000",-,-,-,-,118,0
Programme 3: CP3: Public works &housing,,"10,250,000",-,-,-,-,-,118,0
,CSP3.1 Public works,"10,250,000",-,-,-,52.5,-,118,0
,Sub-Total,"46,073,600","100,000,000","16,500,000",-,-,-,118,0
"Department of Education, Youth, Sports and
Polytechnic",,"505,208,505","55,000,000","119,000,000",-,23.6,-,118,0
"Programme 1: CP1: General Administration
and support services",,"454,889,663",-,"116,000,000",-,25.5,-,118,0
,"CSP1.1 Administration and
Support Services","454,889,663",,"116,000,000",,25.5,-,118,0
Programme 2: CP2. Education Development,,"27,236,109","50,000,000",-,-,-,-,118,0
,ECD and Schools,"24,234,909","45,000,000",-,-,-,-,118,0
,Vocational Training Centre,"3,001,200","5,000,000",-,-,-,-,118,0
"Programme 3: CP3. ICT, Information and
Libraries",,"23,082,733","5,000,000","3,000,000",,13.0,-,118,0
,Information and ICT,"23,082,733","5,000,000","3,000,000",-,13.0,-,118,0
,Sub-Total,"505,208,505","55,000,000","119,000,000",-,23.6,-,118,0
"Department of Lands, Physical Planning
and Urban Development",,"457,044,896","255,000,000","36,750,000",-,8.0,-,118,0
Programme 1: CP 1: Administration,,"295,155,273","50,000,000",-,-,7.8,-,118,0
,"CSP 1.1 Urban Administra-
tion & Support Services","295,155,273","50,000,000",-,-,7.8,-,118,0
"Programme 2: CP 2: Lands & physical
planning",,"20,374,997","15,000,000","500,000",-,2.5,-,118,0
,CSP 2.1 Lands Services,"8,000,000","10,000,000","500,000",-,6.3,-,118,0
,CSP 2.2 Physical Planning,"12,374,997","5,000,000",-,-,-,-,118,0
Programme 3: CP 3: Urban Development,,"141,514,626","190,000,000","13,250,000",-,9.4,-,118,0
,CSP 3.0 Municipalities,"132,500,000","90,000,000","11,250,000",-,8.5,-,118,0
,"CSP 3.1 Urban Development
and Infrastructure","8,114,626","10,000,000","2,000,000",,24.6,-,118,0
,"CSP 3.2 Urban Sanitation
Services","900,000","90,000,000",-,-,-,-,118,0
,Sub-Total,"457,044,896","255,000,000","36,750,000",-,8.0,-,118,0
"Department of Finance and Economic
Planning",,"1,227,165,479","801,176,980","234,124,200","332,500,000",19.1,41.5,118,0
"Programme 1: CP 1: Administration and
Support Headquarters",,"1,023,865,359","771,176,980","176,385,620","332,500,000",17.2,43.1,118,0
,"CSP1.1 Administration and
Support Services","480,925,359","771,176,980","91,684,620","332,500,000",19.1,43,118,0
,"CSP1.2 Special Program
Services","542,940,000",-,"84,701,000",-,15.6,-,118,0
"Programme 2: P2: Public Finance Manage-
ment",,"165,214,120","30,000,000","46,437,580",-,28.1,-,118,0
,CSP 2.1 Accounting,"3,713,739",-,"396,320",-,10.7,-,118,0
,CSP 2.2 Budgetary,"8,280,000",-,"605,360",-,7.3,-,118,0
,CSP 2.3 Audit Services,"5,362,600",-,"670,300",-,12.5,-,118,0
,CSP 2.4 Revenue,"142,227,781","30,000,000","44,218,000",-,31.1,-,118,0
,,Rec,Dev,Rec,Dev,Rec,Dev,119,0
,"CSP 2.6 Supply Chain Man-
agement","5,630,000",-,"547,600",-,9.7,-,119,0
Programme 3: P3: Economic planning,,"38,086,000",-,"11,301,000",-,29.7,-,119,0
,CSP 3.1 Planning and M&E,"31,086,000",-,"11,301,000",-,36.4,-,119,0
,"CSP3.2 Statistics and Re-
search","7,000,000",-,-,-,-,-,119,0
,Sub-Total,"1,227,165,479","801,176,980","234,124,200","332,500,000",19.1,41.5,119,0
Department of Health and Sanitation,,"2,459,770,659","434,723,404","331,997,581",-,13,-,119,0
"Programme 1: CP1: Governance, quality
assurance and support services",,"2,259,770,659","175,870,420","166,107,800",-,-,-,119,0
,"CSP 1.1 Administration and
Support Services","2,259,770,659","165,870,420","166,107,800",-,-,-,119,0
,"CSP 1.2 Health Information
Systems",-,"5,000,000",-,-,-,-,119,0
,"CSPS 1.3 policy Research and
planning",-,"5,000,000",-,-,-,-,119,0
Programme 2: CP2: Curative Services,,"200,000,000","236,158,889","165,889,781",-,-,-,119,0
,"CSP 2.1: Health products and
technologies","200,000,000","177,223,404","165,889,781",-,-,-,119,0
,"CSP 2.2: Rehabilitative
services",-,"11,500,000",-,-,-,-,119,0
,"CSP 2.3 Referral and Emer-
gency Services",-,"47,435,485",-,-,-,-,119,0
Programme 3: CP3: Preventive Services,,-,"22,694,095",-,-,-,-,119,0
,"CSP 3.1: Maternal, new born,
child health and nutrition
services",-,"11,075,645",,,-,-,119,0
,"CSP 3.2: Preventive and Prim-
itive Health Services",-,"11,618,450",,,-,-,119,0
,Sub-Total,"2,459,770,659","434,723,404","331,997,581",,13.5,-,119,0
"Department of Trade, Investments Develop-
ment and Tourism",,"70,000,255","245,000,000","27,300,000","40,000,000",39.0,16.3,119,0
"Programme 1: CP1: Administration and
Support Services",,"64,047,996",-,"27,300,000",-,42.6,-,119,0
,"CSP1.1 Administration and
Support Services","64,047,996",-,"27,300,000",-,42.6,-,119,0
"Programme 2: CP2 Trade and Enterprise
Development",,"3,150,000","45,000,000",-,"40,000,000",-,88.9,119,0
,"CSP 2.1 micro and small
enterprises development","2,400,000","45,000,000",-,"40,000,000",-,89,119,0
,"CSP 2.2 Trade infrastructure
and services","750,000",-,-,-,-,-,119,0
"Programme 3: CP3. Industrialisation and
Investment Programme",,"1,400,000","200,000,000",-,-,-,-,119,0
,"CSP 3.1 Industrialisation and
Investment Programme","1,400,000","200,000,000",-,-,-,-,119,0
Programme 4: CP 4: Tourism,,"1,402,259",-,-,-,-,-,119,0
,"CSP 4.1 Tourism Develop-
ment","1,402,259",-,-,-,-,-,119,0
,,Rec,Dev,Rec,Dev,Rec,Dev,120,0
,Sub-Total,"70,000,255","245,000,000","27,300,000","40,000,000",39.0,16.3,120,0
"Department of Water, Environment and
Natural Resources",,"210,804,386","990,278,252","45,013,375",,21.4,-,120,0
"Programme 1: CP1: Administration and
Support Services",,"190,899,386","60,000,000","45,013,375",-,-,-,120,0
,"CSP1.1 Administration and
Support Services","150,056,361","60,000,000","37,995,655",-,-,-,120,0
,"CSP 4.1 Environment and
Natural Resources Manage-
ment","40,843,025",,"7,017,720",-,-,-,120,0
"Programme
2: CP2: Wa-
ter Services",,-,"780,278,252",-,-,-,-,120,0
,"CSP 2.1 Water Infrastructure
Development",-,"780,278,252",-,-,-,-,120,0
"Programme
3: CP3:
Irrigation
Services",,"5,000,000","40,000,000",-,-,-,-,120,0
,"CSP 3.1 Irrigation Develop-
ment","5,000,000","40,000,000",,,-,-,120,0
"Programme 4: CP4: Environment Manage-
ment and Natural Resources",,"14,905,000","110,000,000",-,-,-,-,120,0
