"County
Department","Name of the
Programme",Sub-Programme,"Approved
Budget
(Kshs.)","Actual
Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Agriculture,
Livestock and
Fisheries","Agricultural
Management","Administration
and planning
services","512,146,975","50,473,013","461,673,962",9.9,453,0
,"Livestock Production
Management","Provision of
Extension Services
to Livestock
farmers","104,248,420","25,200","104,223,220",-,453,0
,Crop Management,"Administrative
Support Services","17,235,863","196,838","17,039,025",1.1,453,0
,Fisheries development,"Administrative
Support Services","31,698,146","99,600","31,598,546",0.3,453,0
,Veterinary services,"Administrative
Support Services","28,420,464","414,910","28,005,554",1.5,453,0
,Wambugu ATC,"Farm
Development","15,700,000","2,750,000","12,950,000",17.5,453,0
,AMS Naromoru,"Development
of Agricultural
Land for Crop
Production","3,400,000","700,000","2,700,000",20.6,453,0
,,,"712,849,868","54,659,561","658,190,307",7.7,453,0
"Lands,
Physical
Planning,
Housing and
Urbanization","Physical planning
services","Administration
and personnel
services","230,743,604","16,484,614","214,258,990",7.1,453,0
,"Land Policy and
Planning","Land Policy
Formulation","5,017,943","245,700","4,772,243",4.9,453,0
,"Housing Development
and Human
Settlement","Government
Building","1,545,000","102,600","1,442,400",6.6,453,0
,,,"237,306,547","16,832,914","220,473,633",7.1,453,0
"Transport,
Public Works
Infrastructure
and Energy","General administration
and policy
Development and
implementation","Administration,
planning and
support services","75,155,407","12,161,368","62,994,039",16.2,453,0
,"Roads development,
maintenance and
management","County access
and feeder road
improvement","207,902,832","5,000,000","202,902,832",2.4,453,0
,"Energy Sector
Development","Street lighting
programme","227,519,200","36,980,715","190,538,485",16.3,453,0
,,,"510,577,439","54,142,083","456,435,356",10.6,453,0
"Trade,
Culture,
Tourism and
Co-Operative
Development","Trade and Cooperative
Development",Trade Promotion,"303,179,560","7,959,690","295,219,870",2.6,453,0
,Tourism Development,"Promotion of
Tourism","20,915,000","624,100","20,290,900",3.0,453,0
,Co-operatives,"Co-operative
Development","41,769,585","541,008","41,228,577",1.3,453,0
,,,"365,864,145","9,124,798","356,739,347",2.5,453,0
"Health
Services","Administration,
Planning and General
Support Services","Administration,
Planning and
General Support
Services","2,789,072,188","518,526,068","2,270,546,120",18.6,454,0
,Rural Health,"Administration,
Planning and
General Support
Services","19,428,200","805,832","18,622,368",4.1,454,0
,,,"2,808,500,388","519,331,900","2,289,168,488",18.5,454,0
"Education and
Sports","General administration
and policy
Development and
implementation","Administrative
Support Services","345,673,813","44,255,157","301,418,656",12.8,454,0
,ECDE Management,"ECDE
Management","68,382,495","460,500","67,921,995",0.7,454,0
,"Youth Training and
Development","Youth
Polytechnics","26,063,714","229,800","25,833,914",0.9,454,0
,,,"440,120,022","44,945,457","395,174,565",10.2,454,0
"Office of the
Governor
and Deputy
Governor","Management and Co-
ordination of county
affairs","Administration,
planning and
support services","190,025,317","30,643,069","159,382,248",16.1,454,0
,,,"190,025,317","30,643,069","159,382,248",16.1,454,0
"Office of
the County
Secretary","Coordination of
County Functions
and Public Service
Management","Coordination of
County Functions
and Public Service
Management","141,975,948","30,554,951","111,420,997",21.5,454,0
,,"Community
sensitisation,
education
and public
participation","2,468,220","452,780","2,015,440",18.3,454,0
,,,"144,444,168","31,007,731","113,436,437",21.5,454,0
"Finance,
Economic
Planning and
ICT",Executive services,"Administration
and personnel
services","748,854,811","46,545,212","702,309,599",6.2,454,0
,"Economic Planning
and Policy
Formulation","Economic
Planning
and Policy
Formulation","12,711,036","1,372,630","11,338,406",10.8,454,0
,"Public Finance
Management","Financial
Accounting","10,328,846","2,830,076","7,498,770",27.4,454,0
,,"Procurement
Compliance and
Reporting","9,036,323","1,217,212","7,819,111",13.5,454,0
,,Internal Audit,"6,312,300","1,913,287","4,399,013",30.3,454,0
,Revenue Mobilisation,"Revenue
Mobilisation","48,068,678","14,984,303","33,084,375",31.2,454,0
,"Economic Planning
and Policy
Formulation","Monitoring and
Evaluation","7,174,060","2,999,500","4,174,560",41.8,454,0
,ICT Development,ICT Development,"4,967,575","377,500","4,590,075",7.6,454,0
,,,"847,453,629","72,239,720","775,213,909",8.5,455,0
"County
Assembly","General
administration, Policy
Development and
implementation","Administration
and planning
services","826,126,610","226,537,495","599,589,115",27.4,455,0
,,,"826,126,610","226,537,495","599,589,115",27.4,455,0
"County Public
Service and
Solid Waste
Management","Human resources
Management","Administration
Planning and
Support Services","297,995,103","41,005,790","256,989,313",13.8,455,0
,"Sanitation
management","Administrative
Support Services","56,948,828","5,378,210","51,570,618",9.4,455,0
,,,"354,943,931","46,384,000","308,559,931",13.1,455,0
"County Public
Service Board","General
Administration and
Planning services","Administration
and Personnel
Services","48,381,177","7,574,553","40,806,624",15.7,455,0
,,,"48,381,177","7,574,553","40,806,624",15.7,455,0
"Gender, Youth
and Social
Services","General
Administration and
Planning services","Administration
and personnel
services","139,980,636","13,955,012","126,025,624",10.0,455,0
,Culture Development,"Administration
and personnel
services","17,072,000","3,372,055","13,699,945",19.8,455,0
,Social development,"Administration
and planning
services","2,125,000","300,442","1,824,558",14.1,455,0
,"County Sports
Development","Search and
nurture talents","32,687,588","1,458,229","31,229,359",4.5,455,0
,Disaster Management,"Administration
and planning
services","1,870,000","448,790","1,421,210",24.0,455,0
,,,"193,735,224","19,534,528","174,200,696",10.1,455,0
"Water and
Irrigation
Services",Water Management,"Administrative
Support Services","147,594,685","14,984,455","132,610,230",10.2,455,0
,"Environment and
Climate Change","Administrative
Support Services","180,049,910","600,900","179,449,010",0.3,455,0
,,,"327,644,595","15,585,355","312,059,240",4.8,455,0
"Office of
the County
Attorney","General
Administration and
Planning services","Administration
and personnel
services","40,305,620","2,762,850","37,542,770",6.9,455,0
,,,"40,305,620","2,762,850","37,542,770",6.9,455,0
Grand Total,,,"8,048,278,680","1,151,306,014","6,896,972,666",14.3,455,0
