Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 30th
September 2023",col_5,"Absorption
Rate
( %)",col_7,page_number,table_index
,,Rec Exp,Dev Exp,Rec Exp,Dev Exp,"Rec
Exp","Dev
Exp",359,0
THE EXECUTIVE,,,,,,,,359,0
Programme 1,"Governor's and Deputy
Governor’s Affairs","78,000,000","11,000,000",-,-,-,-,359,0
,"Protocol, Hospitality and
Communication","26,000,000","14,000,000",-,-,-,-,359,0
,"County Secretary & Cabi-
net Affairs","26,000,000",-,-,-,-,-,359,0
,"Governor's Advisory
Council, Special Programs,
Intergovernmental and
External Relations","24,500,000",-,-,-,-,-,359,0
,"Governor's Delivery
Unit, Policy, Planning &
Research","19,500,000",-,-,-,-,-,359,0
,Sub Total,"174,000,000","25,000,000",-,-,-,-,359,0
COUNTY ASSEMBLY,,,,,,,,359,0
Programme 2,"General Administration
and Planning","674,720,738",-,"176,016,000",-,26.09,-,359,0
,"Legislation, Oversight and
Representation","239,379,262","50,000,000",-,-,-,-,359,0
,Sub-Total,"914,100,000","50,000,000","176,016,000",-,19.26,-,359,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,359,0
Programme 3,Administration Unit,"131,400,000","20,000,000","23,378,555",-,17.79,-,359,0
,Sub-Total,"131,400,000","20,000,000","23,378,555",-,17.79,-,359,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,359,0
Programme 4,Administration Unit,"1,068,186,927","703,000,000","244,487,653","49,676,283",22.89,7.07,359,0
,"Financial Management
Services-Accounting Unit","23,601,372","11,000,000","9,041,875",-,38.31,-,359,0
,"Planning and Monitoring
Unit","29,711,701","2,000,000","7,404,000",-,24.92,-,359,0
,Sub-Total,"1,121,500,000","716,000,000","260,933,528","49,676,283",23.27,6.94,359,0
ENVIRONMENT & SOLID WASTE MANAGEMENT,,,,,,,,359,0
Programme 5,"Administration, Planning
and Support Services","462,632,991","43,333,334","148,261,338",-,32.05,-,359,0
,"Environment Compliance
and Enforcement","79,855,670","46,333,333","16,000,000",-,20.04,-,359,0
,Solid Waste Management,"80,511,339","74,333,333","14,000,000","806,069",17.39,1.08,359,0
,Sub-Total,"623,000,000","164,000,000","178,261,338","806,069",28.61,0.49,359,0
Education & Digital Transformation,,,,,,,,359,0
Programme 6,"General Administration,
Planning and Support
Services","309,766,000","23,000,000","93,807,146",-,30.28,-,359,0
,"Early Childhood Educa-
tion","18,500,000","101,000,000",-,"3,797,776",-,3.76,359,0
,,Rec Exp,Dev Exp,Rec Exp,Dev Exp,"Rec
Exp","Dev
Exp",360,0
,"Vocational Training &
Education","17,500,000","5,000,000",-,-,-,-,360,0
,Child Care,"2,500,000",-,-,-,-,-,360,0
,Elimu Fund,"583,000,000",-,-,"48,375,000",-,-,360,0
,Digital Transformation,"52,734,000","37,000,000",-,-,-,-,360,0
,Sub-Total,"984,000,000","166,000,000","93,807,146","52,172,776",9.53,31.43,360,0
HEALTH SERVICES,,,,,,,,360,0
Programme 7,Administration Unit,"1,719,690,329","212,285,497","532,868,900","6,000,000",31.0,2.83,360,0
,"Preventive and Promotive
Health services","69,402,768","5,790,000",-,-,-,-,360,0
,"Curative/Clinical Health
Services","118,729,822","1,364,729,648",-,-,-,-,360,0
,Special Programs,"36,150,937","1,221,000",-,-,-,-,360,0
,Sub-Total,"1,943,973,855","1,584,026,145","532,868,900","6,000,000",27.41,0.38,360,0
"WATER, NATURAL RESOURCES & CLIMATE CHANGE RESILIENCE",,,,,,,,360,0
Programme 8,Administration unit,"70,906,170","1,000,000,000","11,089,166",-,15.64,-,360,0
,"Natural Resources Man-
agement","8,543,830","22,500,000",-,-,-,-,360,0
,"Sanitation Services and
Management","3,050,000","10,000,000",-,-,-,-,360,0
,"Water Supply and Man-
agement","7,100,000","15,000,000",-,-,-,-,360,0
,Renewable Energy,"6,500,000","2,000,000",-,-,-,-,360,0
,Climate Resilience,"17,900,000","33,500,000",-,-,-,-,360,0
,Sub-Total,"114,000,000","1,083,000,000","11,089,166",-,9.73,-,360,0
"PUBLIC SERVICE ADMINISTRATION, YOUTH, GENDER, SOCIAL SERVICES & SPORTS",,,,,,,,360,0
Programme 9,"Administration planning
and support services","940,872,839","11,000,000","309,859,256",-,32.93,0.00,360,0
,"Human Resource Manage-
ment & Development","219,434,994",0,"25,000,000",-,11.39,0.00,360,0
,"County Administration &
Decentralised Services","19,853,424","105,000,000",-,-,-,-,360,0
,"Enforcement, Compliance
& Disaster Management","21,588,743","19,000,000",-,-,-,-,360,0
,"Youth Affairs & Sports
Development","121,000,000","70,000,000",-,-,-,-,360,0
,"Gender, PWD Integration
& Social Services","34,250,000","20,000,000",-,-,-,-,360,0
,Sub-Total,"1,357,000,000","225,000,000","334,859,256",-,24.68,-,360,0
"TOURISM, CULTURE & TRADE",,,,,,,,360,0
"Programme
10","General Administration
Planning and support
services","314,945,978",-,"100,984,524",-,32.06,-,360,0
,"Trade Development and
Markets/ Consumer Pro-
tection","14,900,000","125,000,000","1,096,800",-,7.36,-,360,0
,E-Licensing & Services,"9,801,997","2,500,000",-,-,-,-,360,0
,"Tourism Marketing and
Product Development","33,559,215","89,392,810",-,-,-,-,360,0
,Cultural Affairs,"7,600,000",-,-,-,-,-,360,0
,,Rec Exp,Dev Exp,Rec Exp,Dev Exp,"Rec
Exp","Dev
Exp",361,0
,Co-operative Development,"9,300,000","5,000,000",-,-,-,-,361,0
,Sub-Total,"390,107,190","221,892,810","102,081,324",-,26.17,-,361,0
"LANDS, PLANNING, HOUSING AND URBAN RENEWAL",,,,,,,,361,0
"Programme
11","Administration planning
and support services","172,157,269","55,576,556","44,119,883",-,25.63,-,361,0
,"Housing Development &
Management","11,350,000","281,000,000",-,"385,460",-,0.14,361,0
,Urban Renewal,"64,050,000","190,000,000",-,-,-,-,361,0
,"Land Administration and
Valuation","15,566,175","2,000,000",-,-,-,-,361,0
,Physical Planning,"3,300,000","31,000,000",-,-,-,-,361,0
,Sub-Total,"266,423,444","559,576,556","44,119,883","385,460",16.56,-,361,0
"TRANSPORT, INFRASTRUCTURE & PUBLIC WORKS",,,,,,,,361,0
"Programme
12","General Administration
and Support Services","718,675,000",-,"166,872,596",-,23.22,-,361,0
,"Roads Infrastructure De-
velopment","18,400,000","245,000,000","152,900","1,326,142",0.83,0.54,361,0
,"Transportation Manage-
ment","8,200,000","12,000,000",-,-,-,-,361,0
,County Public Works,"27,650,000","23,000,000","55,800",-,-,-,361,0
,"Mechanical and Electrical
Services","75,600,000","6,000,000",-,-,-,-,361,0
,"Safety, Risk and Disaster
Management Services","67,475,000","75,000,000",-,-,-,-,361,0
,Sub-Total,"916,000,000","361,000,000","167,081,296","1,326,142",18.24,0.37,361,0
"BLUE ECONOMY, AGRICULTURE & LIVESTOCK",,,,,,,,361,0
"Programme
13","Administration
Unit-Headquarters","144,000,000","10,000,000","45,386,719",-,31.52,-,361,0
,Crops Development,"18,368,785","35,000,000",-,-,-,-,361,0
,Livestock Production,"14,010,000","30,653,701",-,-,-,-,361,0
,Fisheries Development,"16,800,000","154,346,299",-,-,-,-,361,0
,Veterinary Services,"15,821,215","20,000,000",-,-,-,-,361,0
,Sub-Total,"209,000,000","250,000,000","45,386,719",-,21.72,-,361,0
THE COUNTY ATTORNEY,,,,,,,,361,0
"Programme
14","General Administration &
Legal Services","130,000,000",-,"10,124,454",-,7.79,-,361,0
,Sub-Total,"130,000,000",-,"10,124,454",-,7.79,-,361,0
GRAND TOTAL,,"9,274,504,489","5,425,495,511","1,980,007,565","110,366,730",21.35,2.03,361,0
