Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of
30th September 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,267,0
COUNTY ADMINISTRATION,,,,,,,,267,0
"General Administration
and Planning","Headquarter
Administration
Services","17,900,000",-,"4,684,235",-,26.2,-,267,0
,"County Administra-
tion - Laikipia East","1,800,000",-,"141,600",-,7.9,-,267,0
,"County Adminis-
tration - Laikipia
North","400,000",-,"95,600",-,23.9,-,267,0
,"County Administra-
tion - Laikipia West","450,000",-,"46,000",-,10.2,-,267,0
,"Compensation to
Employees","3,226,955,793",-,"569,898,032",-,17.7,-,267,0
"Information Communica-
tion and technical","ICT Infrastructure
and Connectivity","2,400,000","1,600,000","826,600",-,34.4,-,267,0
"County Executive Com-
mittee Support","Executive Support
Service","29,500,000",-,"7,743,512",-,26.2,-,267,0
,Legal Services,"4,900,000",-,"1,001,000",-,20.4,-,267,0
,"Intergovernmental
& Donor Liaison","1,050,000",-,"59,000",-,5.6,-,267,0
County Administration,Public Participation,"2,400,000",-,"734,500",-,30.6,-,267,0
,"County Services
Delivery and Result
Report","1,000,000",-,"500,000",-,50.0,-,267,0
,"Decentralised
Services",,"13,000,000",,-,-,-,267,0
"Security and Policing
Support Services","Urban Facilities
Management
Services","6,000,000",-,"88,159",-,1.5,-,267,0
"Human Capital Manage-
ment and Devolution","County Public
Service Board","14,500,000","1,500,000","3,108,276",-,21.4,-,267,0
"Human Capital Manage-
ment and Devolution","Information and
Records Manage-
ment","2,000,000",-,"484,500",-,24.2,-,267,0
County Administration,Fleet,"800,000",-,"32,400",-,4.1,-,267,0
"Public Safety, Enforce and
Disaster Management","Disaster Reduction
Management","2,000,000","1,000,000","254,310",-,12.7,-,267,0
,Fire Services,"1,400,000","2,000,000","557,750",-,39.8,-,267,0
,"Enforcement and
Disaster Manage-
ment","1,100,000",-,"249,000",-,22.6,-,267,0
,"Alcohol Control
Committee","400,000",-,"30,000",-,7.5,-,267,0
Sub Total,,"3,316,955,793","19,100,000","590,534,473",-,17.8,-,267,0
FINANCE,,,,,,,,267,0
"Departmental administra-
tive services/Centralised
services","County Treasury
administrative
services","20,000,000",-,-,-,-,-,267,0
,"Financial Automa-
tion Services","500,000",-,"77,000",-,15.4,-,267,0
,"Laikipia County
Emergency Fund",-,"55,054,500",-,"6,479,325",-,11.8,267,0
,"Revenue manage-
ment services",-,"43,900,000",-,"12,337,860",-,28.1,267,0
,,Rec,Dev,Rec,Dev,Rec,Dev,268,0
"County executive com-
mittee support service","Generation ad-
ministration and
support services","98,515,334","409,700,000","42,873,705","54,352,618",43.5,13.3,268,0
Legislation and Oversight,"County Treasury
Accounting and
Reporting Services","3,900,000",-,"564,200",-,14.5,-,268,0
,"Budget Manage-
ment","8,000,000",-,"936,744",-,11.7,-,268,0
,"Internal Audit
Services","5,000,000",-,"833,832",-,16.7,-,268,0
,"Supply Chain Man-
agement Services","3,600,000",-,"687,700",-,19.1,-,268,0
"Public Safety, Enforce and
Disaster management","Revenue collection
services","36,000,000",-,"11,518,700",-,32.0,-,268,0
"Public Finance Manage-
ment Services","Integrated Planning
Services","2,200,000",-,"336,750",-,15.3,-,268,0
,"Participatory
Budgeting support
services","4,550,000",-,"1,463,900",-,32.2,-,268,0
,"726034510 Re-
search Statistics and
Documentation
services","2,250,000",-,"83,800",-,3.7,-,268,0
,"726064510 Strate-
gic Partnership and
Collaboration","8,000,000","2,990,000","3,000,000",-,37.5,0.0,268,0
Sub Total,,"192,515,334","511,644,500","62,376,331","73,169,803",32.4,14.3,268,0
HEALTH AND SANITATION,,,,,,,,268,0
