Programme,Sub-Programme,Approved Estimates,col_3,"Actual expenditure as of 30th
September 2023",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,40,0
County Assembly,,,,,,,,40,0
,General administration,-,-,-,-,-,-,40,0
,"General Administration / Sup-
port Services","828,962,651",-,"108,933,989",-,13,,40,0
,"Landscaping and beautification
of Speakers residential buildings",-,"19,000,000.00",-,-,-,-,40,0
,"Drilling and equipping of 2No.
Water boreholes at the County
Assembly and Speaker’s residence",-,"10,000,000.00",-,-,-,-,40,0
,"Proposed Installation of Electric,
Razor wires and CCTV at the
speaker’s residence",-,"10,100,000.00",-,-,-,-,40,0
,"Supply, Installation, and Com-
missioning of Hansard System
and Equipment for the Assembly
Chambers.",-,"74,300,000.00",-,-,-,-,40,0
,"Purchase and Installation of inte-
rior designs of County Assembly
chambers",-,"4,526,227.00",-,-,-,-,40,0
,"Feasibility studies on Project
preparation and design for
CCTV, Boreholes and Land-
scaping",-,"9,000,000.00",-,-,-,-,40,0
"Office of the
Governor and
Deputy Gov-
ernor",General Administration,-,-,-,-,-,-,40,0
,P3 GOVERNORS OFFICE,"39,829,600",-,"7,492,986",-,-,-,40,0
,Office of County Secretary,"182,100,000.00",-,"1,093,620.00",-,-,-,40,0
,P4 Acquisition of Assets,"6,500,000",-,-,-,-,-,40,0
,Office of the Deputy Governor,"19,109,339",-,"31,500",-,19,-,40,0
"Public Services,
Administration,
Devolution, &
ICT.","General Administration, salaries
and Operations","3,128,345,281",-,"511,115,570",-,1,-,40,0
,"Tiaty West sub-county (Admin-
istration)","3,679,080",-,-,-,-,-,40,0
,"Tiaty East sub-county (Admin-
istration)","2,971,000",-,-,-,,-,40,0
,Baringo North sub-county,"3,886,222",-,"300,000",-,-,-,40,0
,Baringo Central sub-county,"4,018,027",-,"23,244",-,-,-,40,0
,Baringo South sub-county,"3,784,000",-,-,-,-,-,40,0
,Mogotio sub-county,"3,762,377",-,-,-,8,-,40,0
,Eldama Ravine sub-county,"3,652,412",-,-,-,1,-,40,0
,"Infrastructure Development -
Ward offices",-,"33,548,807.00",-,-,-,-,40,0
,Acquisition of Kabarnet Hotel,-,"20,000,000.00",-,-,-,-,40,0
,"Acquisition of land for Deputy
Governor’s Residence",-,"5,000,000.00",-,-,-,-,40,0
,Support to Baringo ICT Center,-,"1,000,000.00",-,-,-,-,40,0
,Support to ELIAS ICT Centre,-,"3,000,000.00",-,-,-,-,40,0
,Ajira Centre Connectivity,-,"30,743.00",-,-,-,-,40,0
,,Rec,Dev,Rec,Dev,Rec,Dev,41,0
"Public Services,
Administration,
Devolution, &
ICT.","Installation of LAN at Mogotio
and Marigat sub-county hospital",-,"3,000,000.00",-,-,-,-,41,0
,"Installation of CIMES Opera-
tionalization",-,"1,000,000.00",-,-,-,-,41,0
,"Redesign of County website to
include online recruitment, tour-
ism, Town and hospital portals",-,"4,500,000.00",-,-,-,-,41,0
"Finance & Eco-
nomic Planning",Finance Administration,"91,425,000",-,"8,632,648",-,-,-,41,0
,Economic Planning,"50,624,618",-,"6,835,848",-,-,-,41,0
,Infrastructural Development,-,-,-,-,-,-,41,0
,"Infrastructural Development-
Boda-boda shades",-,"4,000,000.00",-,-,9,-,41,0
,KDS Programme,-,"179,001,764.00",-,"21,947,207.20",14,-,41,0
,"Revenue Services Development
Services",-,"5,020,355.00",-,-,-,-,41,0
,Treasury Accounts,-,-,-,-,-,-,41,0
,"Purchase of Utility Project
Vehicles",-,-,-,-,-,-,41,0
"Revenue Depart-
ment","KDSP Programme project (Level
II grant)",-,-,-,-,-,-,41,0
,Eldama Ravine sub-county,-,-,-,-,-,-,41,0
"Monitoring and
Evaluation","Economic Planning, Budget,
Monitoring and Evaluation
Services",-,-,-,-,-,-,41,0
