Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"CP 47: Water supply
services","CSP 47.1: Urban water
supply and sewerage",-,"18,000,000",-,-,-,-,81,0
,"CSP 47.2: Rural water
supply",-,"114,600,000",-,-,-,-,81,0
"CP 48: Environmental
management and protec-
tion","CSP 48.1 Environmental
management",-,"16,700,000",-,-,-,-,81,0
"CP 49: Smallholder irriga-
tion and drainage","CSP 49.1: Irrigation infra-
structure development",-,"5,000,000",-,-,-,-,81,0
"CP 50: Forest development
and management","CSP 50.1: Rehabilitation
and Restoration of degrad-
ed landscape",-,"15,400,000",-,-,-,-,82,0
"CP 51: Climate Change
Fund","CSP 51.1: Financing Lo-
cally-Led Climate Action
Program (FLLOCA)",-,"125,000,000",-,"9,405,408",-,7.52,82,0
,"CSP 51.2: Establish-
ment of Climate Change
Information Service Hub
Phase 1",-,"5,000,000",-,-,-,-,82,0
,Sub-Total,"155,286,456","299,700,000","6,516,858","9,405,408",4.20,3.1,82,0
Department of Health and Sanitation,,,,,,,,82,0
"CP 53: General Adminis-
tration and support services","CSP 53.1: Administrative
support service","1,794,641,011",-,"330,738,979",-,18.4,-,82,0
"CP 54: Curative Health
Services","CSP 54.1: Infrastructure
development",-,"136,100,000",-,-,-,-,82,0
,"CSP 54.2: Hospital
equipment",-,"32,000,000",-,-,-,-,82,0
"CP 55: Preventive and Pro-
motive Health Services","CSP 55.1: Infrastructure
development",-,"65,850,000",-,-,-,-,82,0
,"CSP 55.2: Lower-level
hospital equipment",-,"17,600,000",-,-,-,-,82,0
,"CSP 55.3: Preventive
Services",-,"5,000,000",-,-,-,-,82,0
,"CSP 55.4: Health promo-
tion unit",-,"90,017,375",-,"9,346,126",-,10.4,82,0
,Sub-Total,"1,794,641,011","346,567,375","330,738,979","9,346,126",18.4,2.7,82,0
County Public Service Board,,,,,,,,82,0
"CP 57: General Adminis-
tration and support services","CSP 57.1: Administrative
support service","114,713,417",-,"350,000",-,0.3,-,82,0
,Sub-Total,"114,713,417",-,"350,000",-,0.3,-,82,0
County Attorney,,,,,,,,82,0
"CP63: General Adminis-
tration and support services","CSP63.1: Administrative
support service","66,273,000",-,"919,417",-,1.4,-,82,0
,Sub-Total,"66,273,000",-,"919,417",-,1.4,-,82,0
Governorship,,,,,,,,82,0
"CP 58: General Adminis-
tration and support services","CSP 58.1: Administrative
support service",-,-,-,-,14.1,-,82,0
"CP 59: Disaster Risk
Management","CSP 59.1: Disaster pre-
paredness",-,"75,000,000",-,-,-,-,82,0
"CP 60: Information Dis-
semination and Knowledge
Management","CSP 60.1: Communica-
tion Services",-,"2,000,000",-,-,-,-,82,0
,Sub-Total,"309,375,010","77,000,000","35,263,096",-,14.1,-,82,0
County Assembly,,,,,,,,82,0
"CP 58: General Adminis-
tration and support services","CSP 58.1: Administrative
support service","1,007,157,352",-,"264,577,442",-,26.3,-,82,0
"Infrastructure Develop-
ment","Infrastructure develop-
ment",-,"60,000,000",-,-,-,-,82,0
,Sub-Total,"1,007,157,352","60,000,000","264,577,442",-,26.3,-,82,0
Grand Total,,"5,971,154,137","2,571,450,140","1,083,357,946","107,981,258",18.1,4.2,82,0
