Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2023",col_5,Absorption Rate (%),col_7,page_number,table_index,"Approved Estimates FY
2023/24"
Sub Total,,,"167,000,000","14,138,600",-,34.9,-,521,0,"40,550,000"
Water Services and Irrigation,,,,,,,,521,0,
"P: Water Supply
Services","SP: Domestic Water
Services",,"58,500,000","6,000,000","1,478,973",13.9,2.5,521,0,"43,193,750"
,"SP: Water Storage
Services",,-,-,-,-,-,521,0,"1,933,000"
,"SP: Irrigation and
Drainage Services",,"29,500,000",-,-,-,-,521,0,"6,867,000"
Sub Total,,,"88,000,000","6,000,000","1,478,973",11.5,1.7,521,0,"51,993,750"
County Public Service Board,,,,,,,,521,0,
"P: General
Administration,
Planning and
Support Services","SP: General Admin-
istration and Support
Services",,-,"190,800",-,0.7,-,521,0,"25,813,400"
,"SP: Human Resource
Management Services",,-,"349,400",-,2.4,-,521,0,"14,520,000"
Sub Total,,,-,-,-,-,-,521,0,"40,333,400"
Public Health and Sanitation,,,,,,,,521,0,
,,,Dev,Rec,Dev,Rec,Dev,522,0,Rec
"P: Preventive
and Promotive
Health Services","SP: Health Promo-
tion and Disease
Control",,-,"32,228,317",-,12.6,-,522,0,"255,595,400"
,"SP: Environmental
Health services",,"124,723,404",,-,-,-,522,0,"31,256,750"
Sub Total,,,"124,723,404","32,228,317",-,11.2,-,522,0,"286,852,150"
Youth and Sports,,,,,,,,522,0,
"P: Sports De-
velopment and
Promotion","SP: County Football
League and Clubs
Development",,,-,,-,-,522,0,"1,200,000"
,"SP: Athletics Cham-
pionships and Other
Games",,"10,000,000",-,-,-,-,522,0,"5,560,414"
,"SP: Talent Search and
Promotion",,"20,000,000","3,691,600",-,12.0,-,522,0,"30,858,386"
Sub Total,,,"30,000,000","3,691,600",-,9.8,-,522,0,"37,618,800"
Culture and Tourism,,,,,,,,522,0,
"P: Culture,
Arts and Social
Services","SP: Culture and Arts
Promotion",,"6,000,000","3,000,000",-,11.1,-,522,0,"26,975,200"
"P: Tourism De-
velopment and
Promotion","SP: Tourism Promo-
tion and Infrastruc-
ture Development",,-,-,-,-,-,522,0,"1,380,900"
,"SP: Miss Tourism
Tharaka Nithi",,-,-,-,-,-,522,0,"2,157,150"
Sub Total,,,"6,000,000","3,000,000",-,9.8,-,522,0,"30,513,250"
Revenue and Resource Mobilisation,,,,,,,,522,0,
"P: Financial
Management
Services","SP: Resource Mobil-
isation and Manage-
ment",,-,-,-,-,-,522,0,"15,759,500"
"P: Resource
Mobilisation","SP: Revenue Admin-
istration",,"10,000,000","16,247,050",-,16.4,-,522,0,"99,279,500"
Sub Total,,,"10,000,000","16,247,050",-,14.1,-,522,0,"115,039,000"
"Lands, Physical Planning and Housing",,,,,,,,522,0,
"P: General
Administration,
Planning and
Support Services","SP: General Admin-
istration and Support
Services",,"103,160,000",-,-,-,-,522,0,-
"P: Land Policy
and Planning","SP: Physical Planning
Services",,"20,000,000","7,000,000",-,13.7,-,522,0,"51,096,000"
,"SP: Land administra-
tion & management",,-,-,-,-,-,522,0,"6,150,700"
,,,Dev,Rec,Dev,Rec,Dev,523,0,Rec
Sub Total,,,"123,160,000","7,000,000",-,12.2,-,523,0,"57,246,700"
Fisheries and Ecosystem Development,,,,,,,,523,0,
"P: Livestock
and Fisheries
Resource Man-
agement and
Development","SP: Fisheries
Development and
Promotion",,"19,810,384",-,-,-,-,523,0,"17,005,304"
Sub Total,,,"19,810,384",-,-,-,-,523,0,"17,005,304"
"Gender, Children and Social Services",,,,,,,,523,0,
"P: Gender and
Youth Empow-
erment","SP: Gender, Youth
and Women Empow-
erment",,,-,,3.8,-,523,0,-
Sub Total,,,-,"1,000,000",-,3.8,-,523,0,"26,150,000"
"Trade, Investment Promotion, Energy and Industry",,,,,,,,523,0,
"P: Energy
Resource
Development &
Management","SP: Energy Resource
Development &
Management",,"13,000,000",-,-,-,-,523,0,"3,000,400"
"P: General
Administration,
Planning and
Support Services","SP: General Admin-
istration and Support
Services",,"5,000,000","7,000,000",-,14.4,-,523,0,"48,601,480"
"P: Industrial De-
velopment and
Investment","SP: Industrial Devel-
opment",,"500,000,000",-,-,-,-,523,0,"3,750,000"
,"SP: Consumer Pro-
tection & Fair Trade
Practices",,"5,000,000",-,-,-,-,523,0,"5,480,000"
Sub Total,,,"523,000,000","7,000,000",-,11.5,-,523,0,"60,831,880"
County Assembly,,,,,,,,523,0,
"General
Administra-
tion, Planning
and Support
Services",Office of the Clerk,,"60,000,000","50,604,752",-,17.8,-,523,0,"283,794,105"
"County Legisla-
tion Services","County Assembly
Services",,-,"37,049,762",-,18.7,-,523,0,"198,521,075"
,"Coordination Ser-
vices (Office of the
Speaker)",,-,"2,974,400",-,47.2,-,523,0,"6,300,000"
,"Procedure and
Oversight Services
(Committees)",,-,"28,357,342",-,50.7,-,523,0,"55,901,416"
Sub Total,,,"60,000,000","118,986,256",-,21.9,-,523,0,"544,516,596"
Grand Total,,,"2,521,033,319","725,719,034","151,546,470",19.1,6.0,523,0,"3,801,154,503"
