Programme,Sub- Programme,"Approved Estimates A
a
(Kshs.) 2","ctual Expenditure
s of 30th September
023 (Kshs.)","Variance
(Kshs.)","Absorption
Rate
(%)",page_number,table_index,"Approved Estimates
(Kshs.)","Actual Expenditure
as of 30th September
2023 (Kshs.)"
County Assembly,"Legislation, Oversight
and Operations","1,133,000,000","123,499,332","1,009,500,668",10.9,311,1,,
,Sub total,"1,133,000,000","123,499,332","1,009,500,668",10.9,311,1,,
"Agriculture and
livestock","Food Security and Sus-
tainable Agriculture","407,417,321",-,"407,417,321",-,311,1,,
,"Irrigation Development
and Management","46,000,000",-,"46,000,000",-,311,1,,
,"Livestock Production and
Management","150,867,443","22,000,000","128,867,443",14.6,311,1,,
,"General administration
planning and Support
Services","252,680,782","37,327,995","215,352,787",14.8,311,1,,
,Sub total,"856,965,546","59,327,995","797,637,551",6.9,311,1,,
"Education and
Human Capital
Development","General Administration,
Planning and Support
Services",,,"838,159,817",22.1,312,0,"1,075,486,958","237,327,141"
,"Early Childhood Edu-
cation",,,"190,561,582",4.0,312,0,"198,561,582","8,000,000"
,Sub total,,,"1,028,721,399",19.3,312,0,"1,274,048,540","245,327,141"
"Office of the Gov-
ernor and Deputy
Governor","General Administration,
Planning and Support
Services",,,"267,334,331",30.2,312,0,"382,979,685","115,645,354"
,"Management of County
Affairs",,,"42,500,000",-,312,0,"42,500,000",-
,"Public Sector Advisory
Services",,,"14,500,000",-,312,0,"14,500,000",-
,County Legal Services,,,"7,200,000",-,312,0,"7,200,000",-
,Sub total,,,"331,534,331",25.9,312,0,"447,179,685","115,645,354"
"Office of the
County Secretary
& Head of Public
Service","General Administration,
Planning and Support
Services",,,"74,002,802",10.3,312,0,"82,502,802","8,500,000"
,Sub total,,,"74,002,802",10.3,312,0,"82,502,802","8,500,000"
"Office of the Coun-
ty Attorney","General Administration,
Planning and Support
Services",,,"173,190,939",2.3,312,0,"177,190,939","4,000,000"
,Sub total,,,"173,190,939",2.3,312,0,"177,190,939","4,000,000"
"Public Service Man-
agement, Devolved
Units and Commu-
nity Cohesion","General administration
planning and Support
Services",,,"1,284,751,222",17.4,312,0,"1,555,253,486","270,502,264"
,"Devolved Governance,
Civic Education and
Conflict Management",,,"39,126,453",-,312,0,"39,126,453",-
,Sub total,,,"1,323,877,675",17.0,312,0,"1,594,379,939","270,502,264"
"Lands and Urban
Development","General administration
planning and Support
Services",,,"179,845,768",11.1,312,0,"202,345,578","22,499,810"
,"Survey, Physical Infra-
structure and urban
Development",,,"479,321,814",14.6,312,0,"561,321,814","82,000,000"
,Sub total,,,"659,167,582",13.7,312,0,"763,667,392","104,499,810"
Social Development,"General Administration,
Planning and Support
Services",,,"79,959,840",19.1,312,0,"98,844,972","18,885,132"
,"Disaster Mitigation and
Management",,,"585,498,642",-,312,0,"585,498,642",
,"Youth Development
programs",,,"20,000,000",-,312,0,"20,000,000",
,Sub total,,,"685,458,482",2.7,312,0,"704,343,614","18,885,132"
Health Services,"Preventive, Promotive
and Reproductive Health
Services",,,"100,000,000",-,313,0,"100,000,000",-
,"General Administration,
Planning and Support
Services",,,"1,617,889,031",18.6,313,0,"1,988,706,291","370,817,260"
,Health Infrastructure,,,"319,958,612",5.6,313,0,"339,082,121","19,123,509"
,Sub total,,,"2,037,847,643",16.1,313,0,"2,427,788,412","389,940,769"
"COUNTY PUB-
LIC SERVICE
BOARD","General administration
planning and Support
Services",,,"58,884,362",19.6,313,0,"73,218,148","14,333,786"
,"Development Infrastruc-
ture",,,"10,731,342",-,313,0,"10,731,342",-
,Sub total,,,"69,615,704",17.1,313,0,"83,949,490","14,333,786"
"Finance and Eco-
nomic Planning","General administration
planning and Support
Services",,,"239,691,969",17.5,313,0,"290,703,038","51,011,069"
,"Public Finance Manage-
ment",,,"87,254,454",13.0,313,0,"100,304,454","13,050,000"
,"Economic and Financial
Policy Formulation",,,"16,604,811",20.2,313,0,"20,804,811","4,200,000"
,Sub total,,,"343,551,234",16.6,313,0,"411,812,303","68,261,069"
"Ministry of Roads,
Transport and
Public Works","Roads and Transport In-
frastructure Development",,,"493,074,594",-,313,0,"493,074,594",
,"Public Works Develop-
ment and Management",,,"22,156,126",-,313,0,"22,156,126",-
,"General administration
planning and Support
Services",,,"280,183,708",15.6,313,0,"331,825,375","51,641,667"
,Sub total,,,"795,414,429",6.1,313,0,"847,056,095","51,641,667"
"Trade and Coopera-
tive Development","General administration
planning and Support
Services",,,"57,096,892",17.1,313,0,"68,889,692","11,792,800"
,"Trade development, mar-
keting and promotion",,,"257,314,774",-,313,0,"257,314,774",-
,Sub total,,,"314,411,666",3.6,313,0,"326,204,466","11,792,800"
"Water, Energy,
Environment and
Climate Change","Water and Sewerage Man-
agement Services",,,"1,464,693,272",3.4,313,0,"1,516,693,272","52,000,000"
,"General administration
planning and Support
Services",,,"325,762,311",11.3,313,0,"367,434,384","41,672,073"
,Sub total,,,"1,790,455,583",5.0,313,0,"1,884,127,656","93,672,073"
Grand Total,,,,"11,434,387,688",12.1,313,0,"13,014,216,879","1,579,829,191"
