Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual
Expenditure
as of 30th Sep-
tember 2023
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,540,0
Office of the Governor,,,,,,540,0
"General Administration,
Planning and Support
Service","General Administration and Support
services","222,321,545",-,"222,321,545",-,540,0
"Donor /Investor Engage-
ment","Public-Private Partnership Initiatives
(PPPs)","1,011,042",-,"1,011,042",-,540,0
,"Political and Intergovernmental Adviso-
ry Services","2,054,117",-,"2,054,117",-,540,0
,Legal Advisory Services,"1,411,043",-,"1,411,043",-,540,0
,"Security and cross-border Advisory
Services","1,971,248",-,"1,971,248",-,540,0
,Oil And Gas Advisory Service,"1,411,042",-,"1,411,042",-,540,0
,"Gender and Partnership Advisory
Services","1,411,042",-,"1,411,042",-,540,0
,Special Interest groups,"1,011,042",-,"1,011,042",-,540,0
,Climate Change advisory services,"1,011,042",-,"1,011,042",-,540,0
,Education and youth Advisory services,"1,011,042",-,"1,011,042",-,540,0
,"Culture, Arts and Heritage advisory
services","1,411,042",-,"1,411,042",-,540,0
Security and Peace Building,"County Peace Building and Conflict
Management","12,015,895","630,087","11,385,808",5.2,540,0
,"Internal Peace Building and Conflict
Management","22,183,191",-,"22,183,191",-,540,0
,Resettlement Infrastructural Programme,"92,669,450",-,"92,669,450",-,540,0
,"Cross Border Peace Dividends Pro-
gramme","45,290,681","9,500,000","35,790,681",21.0,540,0
"Public Participation and
Access to Information","Construction of Citizen Resource
Centre","4,038,679",-,"4,038,679",-,540,0
,Web site Development,"6,780,245",-,"6,780,245",-,540,0
,"Social Budgeting and Generation of SIR
Reports","2,018,886",-,"2,018,886",-,540,0
,Intergovernmental Relation,"15,606,600",-,"15,606,600",-,540,0
,"Strategy Development, Review, Sup-
port and Operationalization","1,577,044",-,"1,577,044",-,540,0
"Service Delivery- ISO
Certification",Service Charter,"4,021,349",-,"4,021,349",-,540,0
,Development of County Filing Systems,"4,339,073",-,"4,339,073",-,540,0
,Procedure Manual and Training,"11,979,699",-,"11,979,699",-,540,0
Governors Press Service,Governors Press Support,"7,988,296",-,"7,988,296",-,540,0
,Sub total,"466,544,335","10,130,087","456,414,248",2.2,540,0
Office of the Deputy Governor,,,,,,540,0
"General Planning and
Support",General Planning and Support services,"23,222,687",-,"23,222,687",-,540,0
Government Programming,Government Programming,"8,300,000",-,"8,300,000",-,540,0
,Community Engagement,"10,100,568",-,"10,100,568",-,540,0
,Government Stakeholder Engagement,"1,800,000",-,"1,800,000",-,540,0
,Government Transformation,"1,600,090",-,"1,600,090",-,540,0
,Sub total,"45,023,345",-,"45,023,345",-,540,0
,,A,B,C=A-B,D=B/A*100,541,0
Finance and Economic Planning,,,,,,541,0
"General Administration,
Planning and Support
Service",General Administration Services,"334,824,615",-,"334,824,615",-,541,0
,"General Administration - Economic
planning","34,733,408",-,"34,733,408",-,541,0
"Government Communica-
tion and Media Relations","Acquiring and development of commu-
nication systems/equipment","2,500,000",-,"2,500,000",-,541,0
,Policies,"15,200,000",-,"15,200,000",-,541,0
,"Development and Implementation of
ICT Policy and Regulations","2,490,000",-,"2,490,000",-,541,0
Revenue Collection Systems,Awareness and Campaigns on Revenue.,"7,850,836","800,000","7,050,836",10.2,541,0
,"Revenue Forecast and Revenue Budget
Preparation","6,080,564","775,000","5,305,564",12.7,541,0
,Revenue Governance,"3,975,600",-,"3,975,600",-,541,0
,Revenue Infrastructure,"43,000,000",-,"43,000,000",-,541,0
,Revenue Automation,"11,100,000","514,100","10,585,900",4.6,541,0
"Accountability and Trans-
parency",Internal Audit,"4,100,000","3,497,800","602,200",85.3,541,0
,Consultancy Services,"2,015,600","861,000","1,154,600",42.7,541,0
,"Financial Reporting/Research and
Development","3,800,000","2,619,200","1,180,800",68.9,541,0
,Emergency Fund,"147,388,667","49,739,660","97,649,007",33.7,541,0
,"Tax Management and Statutory De-
duction","2,000,000","875,000","1,125,000",43.8,541,0
"Social and Policy Formu-
lation",Assurance and Insurance of Government,"3,150,000","907,000","2,243,000",28.8,541,0
,Liability and Debt Management,"2,700,000","750,000","1,950,000",27.8,541,0
,Turkana Sacco Seed Capital,"3,800,000","737,000","3,063,000",19.4,541,0
"Planning and Policy formu-
lation","Economic Policy Formulation and
Dissemination","4,000,000",-,"4,000,000",-,541,0
,CIDP review and Dissemination,"1,546,736",-,"1,546,736",-,541,0
,"County Budget and Economic Forums
and Budget Preparation","59,138,777",-,"59,138,777",-,541,0
,"Public Participation and Access to
Information","3,500,000",-,"3,500,000",-,541,0
,Waste Management,"10,500,000",-,"10,500,000",-,541,0
Monitoring and Evaluation,Asset Management,"6,900,000","748,000","6,152,000",10.8,541,0
,"Field visits, data collection and Report-
ing","2,500,000","1,184,500","1,315,500",47.4,541,0
,Training and Knowledge management,"3,900,000","842,400","3,057,600",21.6,541,0
,"Devolved Monitoring and Evaluation
Committees","2,500,000","1,000,000","1,500,000",40.0,541,0
County Statistical Unit,"Soft wares, databases and tools","6,175,000",-,"6,175,000",-,541,0
,Capacity Development,"3,026,422",-,"3,026,422",-,541,0
,Project Mgt Information System,"1,000,000",-,"1,000,000",-,541,0
Budgetary Supply,"Budget Formulation, Coordination and
Management","40,992,000",-,"40,992,000",-,541,0
,Public Participation in Budgeting,"18,092,000",-,"18,092,000",-,541,0
,County Budget and Economic Forum,"8,300,000",-,"8,300,000",-,541,0
,Accountability in Resource Allocation,"7,600,000",-,"7,600,000",-,541,0
,,A,B,C=A-B,D=B/A*100,542,0
Resource Mobilisation,Resource Mobilisation,"5,017,378",-,"5,017,378",-,542,0
,Sub total,"815,397,603","65,850,660","749,546,943",8.1,542,0
"Water Services, Environment and Mineral Resources",,,,,,542,0
Turkana Water Programme,"General Administration, Planning and
support services","283,117,440",-,"283,117,440",-,542,0
"Joint planning with stake-
holders",Technical planning and design,"99,177,290",-,"99,177,290",-,542,0
"Irrigation and Schemes
Development Programme","Feasibility studies for irrigation systems
development","3,300,000",-,"3,300,000",-,542,0
"General Administration and
Support",General Administration and Support,"88,220,000",-,"88,220,000",-,542,0
,Sub total,"473,814,730",-,"473,814,730",-,542,0
Health & Sanitation Services,,,,,,542,0
"General Administration,
Planning and support
services","General Administration, Planning and
support services","545,408,697",-,"545,408,697",-,542,0
,Health Facilities,"83,013,324",-,"83,013,324",-,542,0
Support to Health Programs,"HIV and AIDS including communi-
ty-based HIV interventions","500,000",-,"500,000",-,542,0
,TB and Leprosy,"500,000",-,"500,000",-,542,0
,Malaria,"300,000",-,"300,000",-,542,0
,NTDs (neglected tropical diseases),"600,000",-,"600,000",-,542,0
,Nutrition,"600,000",-,"600,000",-,542,0
,Reproductive health,"1,000,000",-,"1,000,000",-,542,0
,Disease surveillance,"400,000",-,"400,000",-,542,0
,EPI/outreaches,"500,000",-,"500,000",-,542,0
,Health promotion,"75,530,390",-,"75,530,390",-,542,0
,Environmental health services,"600,000",-,"600,000",-,542,0
,"Emergency preparedness and disaster
response","600,000",-,"600,000",-,542,0
,mainstreaming,"350,000",-,"350,000",-,542,0
,Community Health Services,"81,000,000",-,"81,000,000",-,542,0
Laboratory Services,Laboratory Services,"700,000",-,"700,000",-,542,0
,Blood Transfusion Services,"1,400,000",-,"1,400,000",-,542,0
,Rehabilitative Services,"500,000",-,"500,000",-,542,0
,Referrals and Emergency Services,"24,000,000",-,"24,000,000",-,542,0
,Radiology Services,"500,000",-,"500,000",-,542,0
,Dental Services,"500,000",-,"500,000",-,542,0
,Clinical Services,"472,500",-,"472,500",-,542,0
,Nursing Services,"400,000",-,"400,000",-,542,0
,Rural Health Facility Support,"45,634,941",-,"45,634,941",-,542,0
,Sub county Health Facilities Support,"30,000,000",-,"30,000,000",-,542,0
,Turkana Level 6 Hospital,"119,700,000",-,"119,700,000",-,542,0
,Medical Supplies,"243,000,000",-,"243,000,000",-,542,0
,UHC Turkana,"9,000,000",-,"9,000,000",-,542,0
,,A,B,C=A-B,D=B/A*100,543,0
"Health Information and
Management",Health Information and Management,"628,000",-,"628,000",-,543,0
,Quality Assurance,"448,000",-,"448,000",-,543,0
,Electronic Medical Records,"4,400,000",-,"4,400,000",-,543,0
,Monitoring and Evaluation of Health,"950,000",-,"950,000",-,543,0
,Research & Development,"200,000",-,"200,000",-,543,0
,Policy & Planning Services,-,-,-,-,543,0
,Rehabilitation and Treatment,"1,700,000",-,"1,700,000",-,543,0
,Public Education & Awareness,"800,000",-,"800,000",-,543,0
,Liquor Licensing,"11,215,000",-,"11,215,000",-,543,0
,Training and Capacity Building,"600,000",-,"600,000",-,543,0
,Sub total,"1,287,650,852",-,"1,287,650,852",-,543,0
"Trade, Gender and Youth Affairs",,,,,,543,0
Youth Affairs Development,Youth Coordination and Representation,"5,700,000",-,"5,700,000",-,543,0
,Youth Employment Scheme,"3,895,000",-,"3,895,000",-,543,0
,Youth Rare skills,"4,105,000",-,"4,105,000",-,543,0
,Youth and Women Fund,"50,000,000",-,"50,000,000",-,543,0
"Modern Physical Markets
Infrastructure","Construction and Development of
Modern Physical Market","8,172,570",-,"8,172,570",-,543,0
,"Co-operative Marketing, Value Addi-
tion, Surveys and Research","5,300,000",-,"5,300,000",-,543,0
,"Co-operative Education, Training,
Exchange and Ushirika Day Celeb","6,550,000",-,"6,550,000",-,543,0
,"Strengthening of Key Dormant Co-op-
erative Societies","2,050,000",-,"2,050,000",-,543,0
,"Formulation of Co-operative Policy and
Legal Framework","2,800,000",-,"2,800,000",-,543,0
,Co-operative Development Fund,"11,000,000",-,"11,000,000",-,543,0
"Co-operative Societies De-
velopment and Performance
Improvement","Business Development and Training
Services","3,050,000",-,"3,050,000",-,543,0
,Consumer rights education,"1,250,000",-,"1,250,000",-,543,0
,"Industrial Development and Invest-
ments","4,700,000",-,"4,700,000",-,543,0
,Biashara Fund,"50,000,000",-,"151,592,500",-,543,0
General Administration,General Administration,"447,362,462","5,125,500","442,236,962",1.1,543,0
,Sub total,"605,935,032","5,125,500","702,402,032",0.8,543,0
"Education, Sports and Social Protection",,,,,,543,0
"Social Protection Programs/
Affirmative Action","Construction of PWDs multi-purpose
resource centre","23,079,237",-,"23,079,237",-,543,0
,"Marginalised and Minority groups
support","31,520,000",-,"31,520,000",-,543,0
