Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,"Actual Expenditure as
of 30th September 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
"Economic Plan-
ning and Coordi-
nation ion","Monitoring and
Evaluation","16,450,240",-,"25,000",-,0.2,-,145,0
"Economic Plan-
ning and Coordi-
nation ion","Budget Formula-
tion & Coordi-
nation","25,424,803","6,000,000","4,798,000",-,18.9,-,145,0
"Economic Plan-
ning and Coordi-
nation ion","Monitoring &
Evaluation","12,071,730",-,"6,035,800",-,50.0,-,145,0
"Cohesion and
Peace Building","Administrative
and Civic Educa-
tion Services","6,220,081",-,"20,000",-,0.3,-,145,0
"Cohesion and
Peace Building","Peace and Cohe-
sion","9,167,503",-,"1,750,100",-,19.1,-,145,0
"Cohesion and
Peace Building","Violent Extrem-
ism Prevention","7,305,266",-,"3,564,600",-,48.8,-,145,0
"Revenue Enhance-
ment","General Adminis-
tration Planning
& Support
Services","20,252,000",-,"17,500",-,0.1,-,145,0
"Revenue Enhance-
ment","Source Revenue
Enhancement","8,918,000",-,"3,056,400",-,34.3,-,145,0
"Revenue Enhance-
ment","Source Revenue
Enhancement",,"1,000,000",,-,-,-,145,0
"ICT and E-Gov-
ernment services","ICT Innovation
and Enterprises","6,365,000.00",-,"7,500",-,0.1,-,145,0
"ICT and E-Gov-
ernment services","County Gov-
ernment Public
Image Improve-
ment","4,435,000.00",-,"1,220,800",-,27.5,-,145,0
"ICT and E-Gov-
ernment services","E-Government
Services",-,"3,000,000.00",-,-,-,-,145,0
,Sub-Total,"373,428,082","160,000,000","73,069,229","50,000,500",19.6,31.3,145,0
"Education, Youth, Sports, and Gender, Culture and Social Services",,,,,,,,145,0
"Land Survey and
land use planning","County land
planning and spa-
tial development","10,592,020",-,"73,500",-,0.7,-,145,0
"Land Survey and
land use planning","Land Use Plan-
ning","6,071,040","54,080,782","1,035,000","3,000,000",17.0,5.5,145,0
"Land Survey and
land use planning","Land Survey &
Mapping","4,040,000",,"100,000",-,2.5,-,145,0
"Roads & Infra-
structure","Road Improve-
ment","10,196,000","100,500,056.00","99,000",-,1.0,-,145,0
"Roads & Infra-
structure","Routine Roads
Maintenance","3,580,000",-,"1,371,000",-,38.3,-,145,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",146,0
"Planning and
Survey of Urban
Areas (Modogashe
and Ol ndonyiro)","Administration
and Planning
Services","200,000",-,"23,384",-,11.7,-,146,0
"Planning and
Survey of Urban
Areas (Modogashe
and Ol ndonyiro)","Housing Devel-
opment","2,800,000",-,"710,000",-,25.4,-,146,0
"Planning and
Survey of Urban
Areas (Modogashe
and Ol ndonyiro)","Urban Develop-
ment",-,"6,000,000",-,-,-,-,146,0
"Public Works &
Infrastructure","General Adminis-
tration Planning
& Support
Services","11,172,868",-,"297,900",-,2.7,-,146,0
"Public Works &
Infrastructure","Routine Roads
Maintenance",-,-,-,-,-,-,146,0
,Sub-Total,"48,651,928","160,580,838","3,709,784","3,000,000",7.6,1.9,146,0
"Agriculture, Livestock, Veterinary and Fisheries",,,,,,,,146,0
"Sustainable Crop
Development &
Agricultural Land
Use","General Adminis-
tration Planning
& Support
Services","48,052,420",-,"45,000",-,0.1,-,146,0
"Sustainable Crop
Development &
Agricultural Land
Use","Irrigation
Schemes","1,181,366","2,550,000.00","185,100",-,15.7,-,146,0
"Sustainable Crop
Development &
Agricultural Land
Use","Crop Develop-
ment & Manage-
ment","3,555,591","4,000,000.00","766,800",-,21.6,-,146,0
"Sustainable Crop
Development &
Agricultural Land
Use","Agribusiness &
Market Develop-
ment","1,070,000",-,"515,000",-,48.1,-,146,0
"Livestock Produc-
tion","General Adminis-
tration Planning
& Support
Services","92,782,452",-,"177,900",-,0.2,-,146,0
"Livestock Produc-
tion","Rangeland
Rehabilitation &
Management","3,811,083",-,"300,000",-,7.9,-,146,0
"Livestock Produc-
tion","Marketing &
Value Addition",-,"200,000,000",-,-,∞,-,146,0
"Livestock Produc-
tion","Breeds Improve-
ment & Livestock
Risk Mgt",-,"7,500,000",-,-,∞,-,146,0
"Livestock Produc-
tion","Livelihood Diver-
sification",-,"1,044,000",-,-,∞,-,146,0
Value Addition,"Livestock
Diseases & Pests
Control","9,000,000",-,-,-,0.0,-,146,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",147,0
Value Addition,"Diagnostics
& Laboratory
Services","1,850,000",-,-,-,0.0,-,147,0
Value Addition,"Veterinary Public
Health Services","4,100,000",-,"2,002,750",-,48.8,-,147,0
"Fisheries Develop-
ment","General Ad-
ministration &
Support Services","4,444,240",-,"115,648",-,2.6,-,147,0
"Fisheries Develop-
ment","Aquaculture
Technology
Development
& Innovation
Transfer","700,000","4,170,000","96,000",-,13.7,-,147,0
"Fisheries Develop-
ment","Fish Safety
Assurance Value
Addition &
Marketing","2,400,000",-,"735,000",-,30.6,-,147,0
,Sub-Total,"172,947,152","219,264,000","4,939,198",-,2.9,-,147,0
"Education, Youth, Sports, and Gender, Culture and Social Services",,,,,,,,147,0
"Provision of
education and
training services","General Ad-
ministration &
Support Services","154,037,827",-,"15,500",-,-,-,147,0
"Provision of
education and
training services",ECDE Retention,"7,000,000",-,"3,000,000",-,42.9,-,147,0
"Provision of
education and
training services","Education Sup-
port Services","3,181,022","75,000,000","481,100",-,15.1,-,147,0
"Provision of
education and
training services","Quality ECDE
Services","745,035","6,000,000","350,000",-,47.0,-,147,0
"Provision of
education and
training services",ECDE Access,-,"24,700,000",-,-,-,-,147,0
"Youth, Sports and
Gender","Sports Perfor-
mance & Man-
agement","2,255,600",-,"1,127,200",-,50.0,-,147,0
"Youth, Sports and
Gender","General Adminis-
tration Plan-
ning & Support","7,732,080",-,"5,000",-,0.1,-,147,0
"Youth, Sports and
Gender","Youth Develop-
ment","8,736,311","10,000,000","250,000",-,2.9,-,147,0
"Youth, Sports and
Gender","Sports Facilities
Development",-,"18,000,000",-,-,-,-,147,0
"Culture and social
services","Administration &
Support Services","16,970,780",-,"7,129","2,000,000",-,-,147,0
"Culture and social
services","Arts & Culture
Development","900,000","12,500,000","449,500",-,49.9,-,147,0
"Gender Main-
streaming","Gender-Based
Violence &
Harmful Practices","1,780,000",-,"890,000",-,50.0,-,147,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",148,0
"Gender Main-
streaming","Women Empow-
erment","220,000","10,000,000","110,000",-,50.0,-,148,0
Child Protection,Child Protection,,"2,000,000",,-,-,-,148,0
"Disability Em-
powerment","PWDs So-
cial-Economic
Empowerment","3,726,484","5,000,000","1,100,000",-,29.5,-,148,0
"Cultural and Arts
Empowerment","TVET Access &
Retention","318,157","19,375,185","99,950",-,31.4,-,148,0
"Cultural and Arts
Empowerment","VTC Quality
Development","3,681,843",-,"250,000",-,6.8,-,148,0
"Cultural and Arts
Empowerment","Secondary and
Tertiary Educa-
tion Support",-,"1,465,185",-,-,-,-,148,0
,Sub-Total,"211,285,139","184,040,370","8,135,379","2,000,000",3.9,1.1,148,0
"Tourism, Culture and Trade, including PSM",,,,,,,,148,0
"Tourism Promo-
tion","Tourism
Promotion and
Marketing","91,081,330",-,"2,282,000",-,2.5,-,148,0
"Tourism Promo-
tion","Tourism Devel-
opment","700,000",,"1,049,600",-,149.9,-,148,0
"Tourism Promo-
tion","Wildlife Protec-
tion",-,"15,000,000",-,-,-,-,148,0
"Trade devel-
opment and
promotion","Entrepreneurship
and business
management
training","3,507,867",-,"1,216,000",-,34.7,-,148,0
"Trade devel-
opment and
promotion","General Ad-
ministration &
Support Services","13,056,520",-,"70,796",-,0.5,-,148,0
"Trade devel-
opment and
promotion","Development of
new market stalls",-,"250,000,000",-,-,∞,-,148,0
"Public Service
Management and
Administration","General Adminis-
tration Planning
& Support
Services","132,631,110",-,"3,275,021",-,2.5,-,148,0
"Public Service
Management and
Administration","Public Service
Productivity &
Reforms","240,154,240",-,"52,575,320",-,21.9,-,148,0
"Public Service
Management and
Administration","Performance
Management
Framework","6,437,000","6,000,000","3,114,420",-,48.4,-,148,0
"Devolved Units &
Inspectorate","Devolved Units
& Inspectorate","30,020,000","5,000,000","5,537,574",-,18.4,-,148,0
"Civic Education
& Public Partici-
pation","General Adminis-
tration Planning
& Support
Services","5,118,000",-,"5,000",-,0.1,-,148,0
"Civic Education
& Public Partici-
pation",Civic Education,"1,460,000",-,"100,000",-,6.8,-,148,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",149,0
"Civic Education
& Public Partici-
pation","Public Participa-
tion","1,750,000",-,"732,900",-,41.9,-,149,0
"Civic Education
& Public Partici-
pation",Customer Service,"1,725,000",-,"150,000",-,8.7,-,149,0
"MSMs & Coop-
eratives","Co-operative
Development &
Management","2,400,000",-,"393,600",-,16.4,-,149,0
,Sub-Total,"530,041,067","276,000,000","70,502,232",-,13.3,-,149,0
"Water, Energy, Environment and Natural Resources Management",,,,,,,,149,0
"Water Supply and
Storage Services","Procurement of
survey equipment
and accessories","30,261,320",-,"485,690",-,1.6,-,149,0
"Water Supply and
Storage Services","Rural Water
Supply & Storage
Services","13,099,573","103,316,619","2,135,00",-,16.3,-,149,0
"Water Supply and
Storage Services","Rural Water Ser-
vices Governance","750,000",-,-,-,-,-,149,0
"Water Supply and
Storage Services","Adaptive Capac-
ity to Natural
Disaster","3,000,000",-,-,-,-,-,149,0
"Climate Change
Mitigation &
Adaptation","General Ad-
ministration &
Support Services","19,675,040",-,"27,000",-,0.1,-,149,0
"Climate Change
Mitigation &
Adaptation","Enabling Legal &
Implementation
Frameworks","1,006,732",-,"502,200",-,49.9,-,149,0
"Climate Change
Mitigation &
Adaptation","Inclusive Climate
Resilience","800,000",-,"295,400",-,36.9,-,149,0
"Climate Change
Mitigation &
Adaptation","Climate Smart
Practices","3,400,000","166,870,282","200,000","11,000,000",5.9,6.6,149,0
"Conservation of
Environment &
Natural Resources","Administration
and Support
Services","230,000",-,-,-,-,-,149,0
"Conservation of
Environment &
Natural Resources","Sustainable Nat-
ural Resources
Exploitation","2,020,000","2,000,000","736,200",-,36.4,-,149,0
"Conservation of
Environment &
Natural Resources","Environmental
Conservation","1,050,000",-,"150,000",-,14.3,-,149,0
Energy services,"General Ad-
ministration &
Support Services","230,000",-,"5,000",-,2.2,-,149,0
Energy services,"Green Energy
Promotion","3,970,000",-,"322,900",-,8.1,-,149,0
Energy services,"Renewable Ener-
gy Technologies",-,"4,000,000.00",-,-,-,-,149,0
,Sub-Total,"79,492,665","280,186,901","4,859,390","11,000,000",6.1,3.9,149,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",150,0
Health Services,,,,,,,,150,0
"Health Preventive
and Promotive
Services","Administration
Support Services",-,-,-,-,-,-,150,0
"Health Preventive
and Promotive
Services","Human Resource
Management","956,901,288",-,"439,150,595",-,45.9,-,150,0
"Health Preventive
and Promotive
Services","Monitoring &
Evaluation","4,071,674",-,"1,558,688",-,38.3,-,150,0
"Health Preventive
and Promotive
Services","Quality Assur-
ance & Standards","4,402,000",-,"1,160,100",-,26.4,-,150,0
"Health Preventive
and Promotive
Services","Curative and
Rehabilitative
Health Services","40,449,092","55,476,986","9,821,608",-,24.3,-,150,0
"Health Preventive
and Promotive
Services","Pharmaceutical &
Pharmaceutical
Commodities","144,672,260",-,"37,155,655",-,25.7,-,150,0
"Health Curative
Services","Human Resource
Management","119,228,341",-,"30,117,736",-,25.3,-,150,0
"Health Curative
Services","Primary Health
Care","51,227,471","71,800,283","137,600",-,0.3,-,150,0
"Health Curative
Services",Nutrition,"2,502,646",-,"497,620",-,19.9,-,150,0
"Health Curative
Services","Community
Health Services","31,000,000",-,"10,218,600",-,33.0,-,150,0
"Health Curative
Services","Communicable
Diseases Control","5,437,640",-,"2,704,900",-,49.7,-,150,0
"Health Curative
Services","Public Health
Emergency Coor-
dination","8,796,400","13,231,500","2,015,136","4,698,375",22.9,35.5,150,0
"Health Curative
Services",Sub-Total,"1,368,688,812","140,508,769","534,538,238","4,698,375",39.1,3.3,150,0
Municipal Administration,,,,,,,,150,0
"General Admin-
istration and
Planning","General Admin-
istration and
Planning","27,070,749","20,536,430.00","2,935,375",-,10.8,-,150,0
"Infrastructur-
al Development","Infrastructur-
al Development","7,500,000","90,000,000.00",-,"23,021,151",0.0,25.6,150,0
"Municipality
Amenities","Municipality
Amenities","5,522,400","7,500,000.00","2,425,000",-,43.9,-,150,0
"Municipal Disas-
ter Management","Municipal Disas-
ter Management","2,300,000",-,"445,500",-,19.4,-,150,0
"Municipal Trans-
port Services &
Management","Municipal Trans-
port Services &
Management","5,418,161",-,"1,000,000",-,18.5,-,150,0
Sub-Total,Sub-Total,"47,811,310","118,036,430","6,805,875","23,021,151",14.2,19.5,150,0
Grand Total,,"3,754,872,578","1,578,617,308","826,014,060","93,720,026",14.2,5.9,150,0
