Programme,Sub- Programme,"Approved Estimates
(Kshs)","Actual Expendi-
ture as of 30th
September 2023
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
"Cultural and
Creative Sector
Development
Services","Creative Economy Devel-
opment Services","4,084,049",-,"4,084,049",-,130,0
,"Cultural Development and
Promotion Services","9,684,288",-,"9,684,288",-,130,0
,Sub total,"13,768,337",-,"13,768,337",-,130,0
"Social Devel-
opment and
Empowerment
Services","Gender and Women Em-
powerment","7,404,418",-,"7,404,418",-,130,0
,Youth Empowerment,"5,432,000",-,"5,432,000",-,130,0
,"Disability Mainstreaming
Services","8,573,000",-,"8,573,000",-,130,0
,Sub total,"21,409,418",-,"21,409,418",-,130,0
"Management and
Development of
Sports and Sports
Facilities","Sports Infrastructure Devel-
opment Services","66,580,218",-,"66,580,218",-,131,0
,"Sports Management and
Talent Development","21,816,250",-,"21,816,250",-,131,0
,Sub total,"88,396,468",-,"88,396,468",0.0,131,0
,Grand total,"229,299,742","20,782,925","208,516,817",9.1,131,0
"Department of Roads, Transport and Public Works and Infrastructure",,,,,,131,0
"General Adminis-
tration, Planning
and Support
Services","Human Resource and Sup-
port Services","161,114,540","26,000,000","135,114,540",16.1,131,0
,"Roads and Transport Ser-
vices Operations","2,263,323","357,160","1,906,163",15.8,131,0
,Sub total,"163,377,863","26,357,160","137,020,703",16.1,131,0
"Public works
and maintenance
services","Infrastructure Development
Services","10,000,000",-,"10,000,000",-,131,0
,"Purchase of Plant and Ma-
chinery maintenance","72,031,538",-,"72,031,538",-,131,0
,Sub total,"82,031,538",-,"82,031,538",-,131,0
"Road Develop-
ment and Main-
tenance Services","Opening Grading and
Gravelling","400,000,000",-,"400,000,000",-,131,0
,Road Maintenance,"472,000,000",-,"472,000,000",-,131,0
,Water Transport,"1,000,000",-,"1,000,000",-,131,0
,Sub total,"873,000,000",-,"873,000,000",-,131,0
"Transport Ser-
vices",construction of Bus Park,0,-,0,-,131,0
,Sub total,0,-,0,-,131,0
,Grand total,"1,118,409,401","26,357,160","1,092,052,241",2.4,131,0
"Department of Blue Economy, Fisheries Mining and Digital Economy",,,,,,131,0
"Blue Economy
and Fisheries
Resources and
Development
Services","Capture Fisheries and
Development","30,200,000",-,"30,200,000",-,131,0
,Aquaculture Development,"20,050,000",-,"20,050,000",-,131,0
,Artisanal Mining Services,"4,000,000",-,"4,000,000",-,131,0
,"Blue Economy Develop-
ment Services","10,000,000",-,"10,000,000",-,131,0
,Sub total,"64,250,000",-,"64,250,000",-,131,0
"ICT And Digital
Economy Devel-
opment Services","ICT Infrastructure Devel-
opment","37,000,000",-,"37,000,000",-,131,0
,"Digital Literacy and Skill
Development Services","7,700,000",-,"7,700,000",-,131,0
,Sub total,"44,700,000",-,"44,700,000",-,131,0
"General Adminis-
tration, Planning
and Support
Services",Policy Development,"4,335,000",-,"4,335,000",-,131,0
,"Personnel Remuneration
and Welfare Services","76,286,892","20,000,000","56,286,892",26.2,131,0
,"Administrative Support
Services","10,665,000",-,"10,665,000",-,131,0
,Sub total,"91,286,892","20,000,000","71,286,892",21.9,131,0
,Grand total,"200,236,892","20,000,000","180,236,892",10.0,131,0
"Department of Education, Human Capital Development and Vocational Training",,,,,,132,0
"General Admin-
istration and
Quality Assur-
ance Service","General administration
Services","769,389,789","132,000,000","637,389,789",17.2,132,0
,Quality Assurance Services,"18,903,800","818,900","18,084,900",4.3,132,0
,Sub total,"788,293,589","132,818,900","655,474,689",16.8,132,0
"EYE and Voca-
tional Training
Services",EYE Services,"243,000,000",-,"243,000,000",-,132,0
,Sub total,"243,000,000",-,"243,000,000",-,132,0
ICT Services,Vocational Training Services,"20,590,000",-,"20,590,000",-,132,0
,Education Services,"430,000,000",-,"430,000,000",-,132,0
,Sub total,"450,590,000",-,"450,590,000",-,132,0
,Grand total,"1,481,883,589","132,818,900","1,349,064,689",9.0,132,0
Department of Public Health and Medical Services,,,,,,132,0
"Policy planning
and adminis-
trative support
service","Policy, Planning and Moni-
toring Services","11,513,500",-,"11,513,500",-,132,0
,"Administrative Support
Services","2,043,480,991","450,769,733","1,592,711,258",22.1,132,0
,Sub total,"2,054,994,491","450,769,733","1,604,224,758",1.9,132,0
"Preventive and
promotive health
services",Community health services,"88,680,000","17,266,300","71,413,700",19.5,132,0
,Disease control services,"52,081,702",-,"52,081,702",-,132,0
,"Facility infrastructure
improvement services","226,215,063",-,"226,215,063",-,132,0
,Sub total,"366,976,765","17,266,300","349,710,465",4.7,132,0
"Curative and re-
habilitative health
services","Routine medical health
services","308,141,757",-,"308,141,757",-,132,0
,"Medical emergency re-
sponse services","123,000,000",-,"123,000,000",-,132,0
,"Facility infrastructure
improvement services","279,605,247",-,"279,605,247",-,132,0
,Sub total,"710,747,004",-,"710,747,004",-,132,0
"Research and
development
service","Research and surveillance
services","2,000,000",-,"2,000,000",-,132,0
,"Capacity development
services","2,000,000",-,"2,000,000",-,132,0
,Sub total,"4,000,000",-,"4,000,000",-,132,0
,Grand total,"3,136,718,260","468,036,033","2,668,682,227",14.9,132,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,132,0
"General Adminis-
tration Services","General administrative
support services","42,308,719","9,000,000","33,308,719",21.3,132,0
,"Operation and Mainte-
nance Services","7,735,343","919,200","6,816,143",11.9,132,0
,"General Office Infrastruc-
ture","3,041,000",-,"3,041,000",-,132,0
,Sub total,"53,085,062","9,919,200","43,165,862",18.7,132,0
"Lands and Physi-
cal planning",County spatial planning,"13,558,615",,"13,558,615",-,133,0
,"Land Valuation and Regis-
tration Support Services","10,300,000",-,"10,300,000",-,133,0
,"County Land Acquisition
and Management Services","18,000,000",-,"18,000,000",-,133,0
,Sub total,"41,858,615",-,"41,858,615",-,133,0
"Housing and
Urban Develop-
ment","Housing improvement
services","5,000,000",-,"5,000,000",-,133,0
,"Settlements Upgrading
Services","215,000,000",-,"215,000,000",-,133,0
,Sub total,"220,000,000",-,"220,000,000",-,133,0
,Grand total,"314,943,677","9,919,200","305,024,477",3.1,133,0
"Department of Trade, Tourism, Industrialization, and Enterprise Development",,,,,,133,0
"Planning and
Administrative
services","Administrative and Support
Services","148,767,292","35,000,000","113,767,292",23.5,133,0
,"Policy Development and
Implementation Services","6,750,000","124,500","6,625,500",1.8,133,0
,"Administrative Support
Services","10,930,000",-,-,-,133,0
,Sub total,"166,447,292","35,124,500","131,322,792",21.1,133,0
"Trade, Coop-
erative and
Entrepreneurship
Development
Service","Enterprise Development
Services","25,340,500",-,"25,340,500",-,133,0
,"Cooperative Development
and Promotion Services","47,382,200",-,"47,382,200",-,133,0
,"Trade Infrastructure Devel-
opment Services","102,600,000",-,"102,600,000",-,133,0
,Sub total,"175,322,700",-,"175,322,700",-,133,0
"Tourism and In-
dustrial Develop-
ment Services","Value Chain Development
Services","21,017,800",-,"21,017,800",-,133,0
,Tourism Development,"19,975,070",-,"19,975,070",-,133,0
,"Tourism Infrastructure
Development","10,000,000",-,"10,000,000",-,133,0
,"Industrial Park Develop-
ment","150,000,000",-,"150,000,000",-,133,0
,"Investments Promotion and
Facilitation","12,500,000",-,"12,500,000",-,133,0
,Sub total,"213,492,870",-,"213,492,870",-,133,0
,Grand total,"555,262,862","35,124,500","520,138,362",6.3,133,0
"Department of Water Sanitation, Irrigation, Environment, Energy and Climate Change",,,,,,133,0
"General Adminis-
trative services","Administrative Support
Services","268,482,343","30,900,000","237,582,343",11.5,133,0
,"Policy and Planning
Services","6,000,000","2,550,400","3,449,600",42.5,133,0
,Sub total,"274,482,343","33,450,400","241,031,943",12.2,133,0
"Water Supply
and Management
Services","Urban Water Supply
Services","14,000,000",-,"14,000,000",-,133,0
,Rural Water Supply Services,"140,000,000",-,"140,000,000",-,133,0
,Sub total,"154,000,000",-,"154,000,000",-,133,0
Energy Services,Electrical Power Services,"40,000,000",-,"40,000,000",-,134,0
,Solar Power Services,"797,001",-,"797,001",-,134,0
,"Low-Cost Energy Techno-
logical Promotional Services",-,-,-,-,134,0
,Sub total,"40,797,001",-,"40,797,001",-,134,0
"Environmental
Protection and
Management
Services","Pollution and Waste Man-
agement services","6,523,340",-,"6,523,340",-,134,0
,"Forestry Development
Services","14,500,000",-,"14,500,000",-,134,0
,"Climate Change Miti-
gation, Adaptation and
Resilience Building","254,662,003",-,"254,662,003",-,134,0
,Sub total,"275,685,343",-,"275,685,343",-,134,0
,Grand Total,"744,964,687","33,450,400","711,514,287",4.5,134,0
"Governance and Administration, Communication and Devolution",,,,,,134,0
"Public Service
Administration
support services","Human resource manage-
ment and development
services","268,506,000","20,765,206","247,740,794",7.7,134,0
,"Planning and Monitoring
Services","32,450,399","8,495,646","23,954,753",-,134,0
,Legal Services,-,-,-,-,134,0
,Sub total,"300,956,399","29,260,852","271,695,547",9.7,134,0
"Governance and
coordination
services","Executive management and
liaison services",-,-,-,-,134,0
,"Field coordination and
administration services",-,-,-,-,134,0
,Sub total,-,-,-,-,134,0
"Strategy and
service delivery
improvement
services","Operationalisation of Office
of the GDSDMEU","16,863,000",-,"16,863,000",-,134,0
,"Communication and Infor-
mation Services","23,602,565",,"23,602,565",-,134,0
,"Compliance and manage-
ment services",-,-,-,-,134,0
"Communi-
cation and
Public En-
gagement",Sub total,"40,465,565",-,"40,465,565",-,134,0
,"Compliance and manage-
ment services","24,710,000",-,"24,710,000",-,134,0
,Special Projects Services,"7,007,350",-,"7,007,350",-,134,0
,"Disaster Prevention and
Management Services","31,894,383",-,"31,894,383",-,134,0
,Sub total,"63,611,733",-,"63,611,733",-,134,0
"Field Administra-
tion and Devo-
lution Support
Services","Field Administration and
Coordination Services",-,-,-,-,134,0
,"Devolution Support
Services",-,-,-,-,134,0
,"Disaster and Human
Services",-,-,-,-,134,0
,Sub total,-,-,-,-,134,0
,Grand total,"405,033,697","29,260,852","375,772,845",7.2,134,0
Executive Office of the Governor,,,,,,135,0
"Public Service
Administration
support services
Governance and
coordination
services","Human resource manage-
ment and development
services","303,769,866","83,500,000","220,269,866",27.5,135,0
,"Planning and Monitoring
Services","6,310,000",-,"6,310,000",-,135,0
,Legal Services,"20,000,000",-,"20,000,000",-,135,0
,Sub total,"330,079,866","83,500,000","246,579,866",25.3,135,0
,"Executive management and
liaison services","202,233,970","25,920,305","176,313,665",12.8,135,0
,"Field coordination and
administration services","11,585,135",-,"11,585,135",-,135,0
,Sub total,"213,819,105","25,920,305","187,898,800",12.1,135,0
"Strategy and
service delivery
improvement
services","Strategy and advisory
services","9,734,000",-,"9,734,000",-,135,0
,"Efficiency monitoring
services","10,266,000",-,"10,266,000",-,135,0
,"Compliance and manage-
ment services",-,-,-,-,135,0
,Sub total,"20,000,000",-,"20,000,000",-,135,0
,Grand total,"563,898,971","109,420,305","454,478,666",19.4,135,0
Kendu Bay Municipal Board,,,,,,135,0
"Policy, Planning,
General Admin-
istration and
Support Services","Policy and Planning
Services","3,175,250",-,"3,175,250",-,135,0
,"Administration and Sup-
port Services","6,884,750",-,"6,884,750",-,135,0
,Sub total,"10,060,000",-,"10,060,000",-,135,0
"Public Works and
Infrastructure
Improvements
Services","Transport Infrastructure
Improvements","5,000,000",-,"5,000,000",-,135,0
,"Environmental Manage-
ment Services","5,000,000",-,"5,000,000",-,135,0
,Sub total,"10,000,000",-,"10,000,000.0",-,135,0
,Grand total,"20,060,000",-,"20,060,000",-,135,0
Mbita Municipal Board,,,,,,135,0
"Policy, Planning,
General Admin-
istration and
Support Services","Policy and Planning
Services","3,175,250",-,"3,175,250",-,135,0
,"Administration and Sup-
port Services","6,884,750",-,"6,884,750",-,135,0
,Sub total,"10,060,000",-,"10,060,000",-,135,0
"Public Works and
Infrastructure
Improvements
Services","Transport Infrastructure
Improvements","5,000,000",-,"5,000,000",-,135,0
,"Environmental Manage-
ment Services","5,000,000",-,"5,000,000",-,135,0
,Sub total,"10,000,000",-,"10,000,000",-,135,0
,Grand total,"20,060,000",-,"20,060,000",-,135,0
