Programme,Sub- Programme,"Approved Estimates
(Kshs)","Actual Expendi-
ture as of 30th
September 2023
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
Department of Finance and Economic Planning,,,,,,128,0
"General admin-
istration and
support services","Staff Remuneration and
Welfare Support Services","498,293,113","91,608,110","406,685,003",18.4,128,0
,"General Logistics, Coordi-
nation and Asset Manage-
ment Services","56,529,916","29,489,662","27,040,254",52.2,128,0
,Sub total,"554,823,029","121,097,772","433,725,257",21.8,128,0
"Planning, budget-
ing and develop-
ment coordina-
tion services","Economic planning and
development services","26,781,800",-,"26,781,800",-,128,0
,Resource allocation services,"14,033,400",-,"14,033,400",-,128,0
,"Public Participation Facili-
tation services","9,499,000","2,000,000","7,499,000",21.1,128,0
,Sub total,"50,314,200","2,000,000","48,314,200",4.0,128,0
"Resource mobili-
sation services","External Resources Mobili-
zation Services","8,640,000",-,"8,640,000",-,128,0
,"Internal Revenue Genera-
tion Services","43,272,200","2,630,500","40,641,700",6.1,128,0
,Sub total,"51,912,200","2,630,500","49,281,700",5.1,128,0
"Financial man-
agement services","Accounting and Financial
Reporting Services","23,869,228",-,"23,869,228",-,128,0
,Supply Chain Management,"31,725,767",-,"31,725,767",-,128,0
,"Audit and Advisory
Services","12,000,000",-,"12,000,000",-,128,0
,"Emergency Management
Services","20,000,000",-,"20,000,000",-,128,0
,Sub total,"87,594,995",0,"87,594,995",-,128,0
,Grand total,"744,644,424","125,728,272","618,916,152",16.9,128,0
County Public Service Board,,,,,,128,0
"Policy, Planning
and Administra-
tion Services","Policy and Planning
Services","3,470,000","636,600","2,833,400",18.3,128,0
,"Administrative Support
Services","81,513,555","9,363,400","72,150,155",11.5,128,0
,"Facility Improvement &
Capacity Strengthening
Services","4,000,000",-,"4,000,000",-,128,0
,Sub total,"88,983,555","10,000,000","78,983,555",11.2,128,0
"Personnel Sourc-
ing and Manage-
ment Services","Recruitment, Selection and
Deployment Services","2,080,000",-,"2,080,000",-,129,0
,"Human Resource Advisory
Services","1,760,000",-,"1,760,000",-,129,0
,"Establishment and abolish-
ment of Offices","200,000",-,"200,000",-,129,0
,"National Performance Man-
agement Systems","320,000",-,"320,000",-,129,0
,"Capacity Development
Services","2,690,000",-,"2,690,000",-,129,0
,Sub total,"7,050,000",-,"7,050,000",-,129,0
,Grand total,"96,033,555","10,000,000","86,033,555",10.4,129,0
County Assembly Service Board,,,,,,129,0
"Legislative Ser-
vices","Members welfare Support
services","229,743,208","42,011,972","187,731,236",18.3,129,0
,"Legislative development
and approval services","226,159,342","13,000,000","213,159,342",5.7,129,0
,Sub total,"455,902,550","55,011,972","400,890,578",12.1,129,0
"Oversight and
Control Services",Capacity building services,"7,000,000",-,"7,000,000",-,129,0
,Report writing services,"22,000,000","9,565,600","12,434,400",43.5,129,0
,"Public participation and
education services","11,000,000","4,816,000","6,184,000",43.8,129,0
,Sub total,"40,000,000","14,381,600","25,618,400",36.0,129,0
"Ward Representa-
tion Services","Staff welfare support
services","59,712,348","7,130,924","52,581,424",11.9,129,0
,"Ward operations and
maintenance","17,284,320","2,949,264","14,335,056",17.1,129,0
,Sub total,"76,996,668","10,080,188","66,916,480",13.1,129,0
"Policy, Planning
and Administra-
tive","Administrative support
services","286,775,469","49,122,479","237,652,990",17.1,129,0
Support Services,"Financial Management
Services","193,794,000","51,403,761","142,390,239",26.5,129,0
,"Assembly Infrastructure
Development Services","122,283,800",-,"122,283,800",-,129,0
,Sub total,"567,853,269","100,526,240","502,327,029",16.7,129,0
,Grand total,"1,175,752,487","180,000,000","995,752,487",15.3,129,0
Homa Bay Municipal Board,,,,,,129,0
"Policy, Planning,
General Admin-
istration and
Support Services","Financial Management
Services","5,863,721","277,380","5,586,341",-,129,0
,"Administration and Sup-
port Services","22,945,272","8,836,600","14,108,672",38.5,129,0
,Sub total,"28,808,993","9,113,980","19,695,013",31.6,129,0
"Urban develop-
ment services","Land Use Planning and
Management",-,-,-,-,129,0
,"Neighbourhood Planning
and Development Services","8,250,000",-,"8,250,000",-,129,0
,"Environmental Manage-
ment Services","11,000,000",-,"11,000,000",-,129,0
,Sub total,"19,250,000",-,"19,250,000.0",-,129,0
,Grand total,"8,058,993","9,113,980","8,945,013",19.0,129,0
"Office of The Deputy Governor and Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,130,0
"Policy Planning,
General Admin-
istration and
Support Services","Policy and Planning
Services","4,105,600",2500000,"1,605,600",-,130,0
,"General Administration
and Support Services","214,027,568","35,000,000","179,027,568",16.4,130,0
,Sub total,"218,133,168","37,500,000","180,633,168",17.2,130,0
"Crop, Land and
Agribusiness
Development
Services",Crop Development Services,"10,500,000",0,"10,500,000",-,130,0
,"Sub Sector Infrastructure
Development Services","13,257,234",0,"13,257,234",-,130,0
,Farm Input Access Services,"43,000,000",0,"43,000,000",-,130,0
,"National Agriculture Rural
Inclusive Growth","120,477,186",-,"120,477,186",-,130,0
,"Agriculture Sector Develop-
ment Support Programme","10,659,580",-,"10,659,580",-,130,0
,"National Value Chain
Project","255,000,000",-,"255,000,000",-,130,0
,Sub total,"452,894,000",-,"452,894,000",-,130,0
"Livestock
Development
Programme","Livestock Improvement and
Development","5,140,000",-,"5,140,000",-,130,0
,"Livestock Infrastructure
Development Services","5,000,000",-,"5,000,000",-,130,0
,"Livestock Health and Dis-
ease Management","10,432,625",-,"10,432,625",-,130,0
,Sub total,"20,572,625",-,"20,572,625",-,130,0
,Grand total,"691,599,793","37,500,000","654,099,793",5.4,130,0
"Department of Gender Equality and Inclusivity Youth, Sports, Talent Development, Cultural Heritage and Social Services",,,,,,130,0
"Policy, Planning
and General
Administration
services","General Administration
and Support Services","83,952,751","20,182,925","63,769,826",24.0,130,0
,"Policy and Planning
Services","21,772,768","600,000","21,172,768",2.8,130,0
,Sub total,"105,725,519","20,782,925","84,942,594",19.7,130,0
