Programme,Sub-Program,"Approved Budget
(Kshs.)","Actual Expenditure
(Kshs.)",Absorption (%),page_number,table_index
,"Default Value (Non-
Departmental)",-,-,-,488,0
3260,,-,-,-,488,0
103003260,"Infrastructure Development
programme",-,-,-,488,0
101003260,"Administration Planning and
Support Services",-,-,-,488,0
701003260,"General Administration support
services",-,-,-,488,0
,County Assembly Headquarters,"874,236,568.00","193,175,996.00",22,488,0
702003260,"County Assembly Infrastructure
improvement","92,000,000.00",-,-,488,0
701003260,"General Administration support
services","782,236,568.00","193,175,996.00",25,488,0
,Headquarters,"3,006,733,238.00","638,573,575.00",21,488,0
703003260,"Decentralised Infrastructure
Development Programme",-,-,-,488,0
701003260,"General Administration support
services","3,006,733,238.00","638,573,575.00",21,488,0
3260,,-,-,-,488,0
705003260,"Leadership Development
Programme",-,-,-,488,0
704003260,"General Administration and
Management of County Affairs",-,-,-,488,0
,"Taveta Sub County
Administration","1,317,900.00","50,000.00",4,488,0
705003260,"Leadership Development
Programme",-,-,-,488,0
701003260,"General Administration support
services","1,317,900.00","50,000.00",4,488,0
,"Wundanyi Sub County
Administration","1,050,000.00","50,000.00",5,488,0
703003260,"Decentralised Infrastructure
Development Programme",-,-,-,488,0
701003260,"General Administration support
services","1,050,000.00","50,000.00",5,488,0
,"Mwatate Sub County
Administration","1,243,000.00","170,000.00",14,488,0
701003260,"General Administration support
services","1,243,000.00","170,000.00",14,488,0
703003260,"Decentralised Infrastructure
Development Programme",-,-,-,488,0
,Voi Sub County Administration,"1,500,000.00","194,000.00",13,488,0
701003260,"General Administration support
services","1,500,000.00","194,000.00",13,488,0
,Taveta Town Administration,-,-,-,488,0
705003260,"Leadership Development
Programme",-,-,-,489,0
701003260,"General Administration support
services",-,-,-,489,0
703003260,"Decentralised Infrastructure
Development Programme",-,-,-,489,0
,Voi Town Administration,-,-,-,489,0
701003260,"General Administration support
services",-,-,-,489,0
705003260,"Leadership Development
Programme",-,-,-,489,0
703003260,"Decentralised Infrastructure
Development Programme",-,-,-,489,0
,County Policing Authority,-,-,-,489,0
701003260,"General Administration support
services",-,-,-,489,0
,Human Resource Management,"4,432,000.00","1,610,000.00",36,489,0
701003260,"General Administration support
services","4,432,000.00","1,610,000.00",36,489,0
,,"3,838,000.00","818,700.00",21,489,0
701003260,"General Administration support
services","3,838,000.00","818,700.00",21,489,0
,,"1,660,000.00","250,000.00",15,489,0
701003260,"General Administration support
services","1,660,000.00","250,000.00",15,489,0
,Headquarters,"120,470,000.00","27,023,330.20",22,489,0
704003260,"General Administration and
Management of County Affairs","110,470,000.00","27,023,330.20",24,489,0
703003260,"Decentralised Infrastructure
Development Programme",-,-,-,489,0
705003260,"Leadership Development
Programme","10,000,000.00",-,-,489,0
701003260,"General Administration support
services",-,-,-,489,0
,Office of the Deputy Governor,"21,800,000.00","3,734,110.00",17%,489,0
101003260,"Administration Planning and
Support Services",-,-,-,489,0
704003260,"General Administration and
Management of County Affairs","21,800,000.00","3,734,110.00",17%,489,0
705003260,"Leadership Development
Programme",-,-,-,489,0
,Special Programmes Unit,"11,000,000.00","75,000.00",1%,489,0
703003260,"Decentralised Infrastructure
Development Programme",-,-,-,489,0
704003260,"General Administration and
Management of County Affairs","11,000,000.00","75,000.00",1%,490,0
705003260,"Leadership Development
Programme",-,-,-,490,0
,Service Delivery Unit,"950,000.00","75,000.00",8%,490,0
704003260,"General Administration and
Management of County Affairs","950,000.00","75,000.00",8%,490,0
,Industrialisation,-,-,-,490,0
705003260,"Leadership Development
Programme",-,-,-,490,0
704003260,"General Administration and
Management of County Affairs",-,-,-,490,0
703003260,"Decentralised Infrastructure
Development Programme",-,-,-,490,0
,ICT,"7,900,000.00",-,-,490,0
703003260,"Decentralised Infrastructure
Development Programme",-,-,-,490,0
705003260,"Leadership Development
Programme","2,000,000.00",-,-,490,0
704003260,"General Administration and
Management of County Affairs","5,900,000.00",-,-,490,0
,,"2,170,000.00",-,-,490,0
704003260,"General Administration and
Management of County Affairs","2,170,000.00",-,-,490,0
,,"1,870,000.00","81,600.00",4,490,0
704003260,"General Administration and
Management of County Affairs","1,870,000.00","81,600.00",4,490,0
,,"31,320,000.00","113,250.00",-,490,0
704003260,"General Administration and
Management of County Affairs","31,320,000.00","113,250.00",-,490,0
,Headquarters,"59,845,000.00","12,507,350.00",21,490,0
706003260,"General Administration, Planning,
Internal Audit & Support Services","29,845,000.00","12,507,350.00",42,490,0
701003260,"General Administration support
services",-,-,-,490,0
707003260,Treasury Development Programme,"30,000,000.00",-,-,490,0
,County Emergency Fund,"20,000,000.00","5,000,000.00",25,490,0
701003260,"General Administration support
services",-,-,-,490,0
707003260,Treasury Development Programme,-,-,-,490,0
706003260,"General Administration, Planning,
Internal Audit & Support Services","20,000,000.00","5,000,000.00",25,491,0
,"Equalisation of Wards
Infrastructure",-,-,-,491,0
707003260,Treasury Development Programme,-,-,-,491,0
,Planning,"33,850,000.00","10,111,300.00",30,491,0
706003260,"General Administration, Planning,
Internal Audit & Support Services","33,850,000.00","10,111,300.00",30,491,0
707003260,Treasury Development Programme,-,-,-,491,0
,Gratuity Fund,-,-,-,491,0
706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,-,491,0
,County Executive Administration,"35,187,056.00","17,000,000.00",48,491,0
706003260,"General Administration, Planning,
Internal Audit & Support Services","35,187,056.00","17,000,000.00",48,491,0
701003260,"General Administration support
services",-,-,-,491,0
,Internal Audit Services,"6,520,000.00","1,928,589.00",30,491,0
706003260,"General Administration, Planning,
Internal Audit & Support Services","6,520,000.00","1,928,589.00",30,491,0
,Revenue Management,"13,600,000.00","2,162,195.00",16,491,0
706003260,"General Administration, Planning,
Internal Audit & Support Services","13,600,000.00","2,162,195.00",16,491,0
701003260,"General Administration support
services",-,-,-,491,0
,Procurement,"3,307,500.00","1,508,000.00",46,491,0
706003260,"General Administration, Planning,
Internal Audit & Support Services","3,307,500.00","1,508,000.00",46,491,0
,Accounting Services,"11,720,000.00","3,403,800.00",29,491,0
706003260,"General Administration, Planning,
Internal Audit & Support Services","11,720,000.00","3,403,800.00",29,491,0
701003260,"General Administration support
services",-,-,-,491,0
,"Kenya Devolution Support
Programme",-,-,-,491,0
701003260,"General Administration support
services",-,-,-,491,0
706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,-,492,0
,,"150,000,000.00","59,460,194.80",40,492,0
-,-,-,-,-,492,0
-,-,"150,000,000.00","59,460,194.80",40,492,0
-,-,"485,968,021.00","657,890.00",-,492,0
-,-,-,-,-,492,0
-,-,"383,368,021.00",-,-,492,0
-,-,"98,200,000.00",-,-,492,0
-,-,"4,400,000.00","657,890.00",15,492,0
-,-,"10,060,000.00","275,010.00",3,492,0
-,-,"6,300,000.00",-,-,492,0
-,-,"3,760,000.00","275,010.00",7,492,0
-,-,-,-,-,492,0
-,-,-,-,-,492,0
-,-,"1,190,000.00","287,072.00",24,492,0
-,-,-,-,-,492,0
-,-,-,-,-,492,0
-,-,"1,190,000.00","287,072.00",24,492,0
-,-,"17,825,272.00","438,668.00",2,492,0
-,-,-,-,-,492,0
-,-,"2,825,272.00","438,668.00",16,492,0
-,-,"15,000,000.00",-,-,492,0
-,-,-,-,-,492,0
-,-,-,-,-,492,0
-,-,-,-,-,492,0
-,-,-,-,-,492,0
-,-,-,-,-,492,0
-,-,-,-,-,492,0
-,-,"91,200,000.00",-,-,492,0
-,-,-,-,-,492,0
-,-,-,-,-,492,0
-,-,"91,200,000.00",-,-,492,0
-,-,"3,991,302.00",-,-,493,0
105003260,"Livestock and Fisheries
Development","3,991,302.00",-,-,493,0
104003260,"Agricultural Development
Programme",-,-,-,493,0
,Headquarters,-,-,-,493,0
101003260,"Administration Planning and
Support Services",-,-,-,493,0
105003260,"Livestock and Fisheries
Development",-,-,-,493,0
,Veterinary,-,-,-,493,0
101003260,"Administration Planning and
Support Services",-,-,-,493,0
105003260,"Livestock and Fisheries
Development",-,-,-,493,0
,Fisheries,-,-,-,493,0
101003260,"Administration Planning and
Support Services",-,-,-,493,0
105003260,"Livestock and Fisheries
Development",-,-,-,493,0
,Headquarters,"111,573,780.00","556,704.00",-,493,0
1002003260,"General Administration, Support
and Support Services","4,673,780.00","556,704.00",12,493,0
1001003260,"Water and Irrigation Development
Programme","106,900,000.00",-,-,493,0
,Water Services,-,-,-,493,0
1001003260,"Water and Irrigation Development
Programme",-,-,-,493,0
1002003260,"General Administration, Support
and Support Services",-,-,-,493,0
,Bulk Water Project,"5,000,000.00",-,-,493,0
1001003260,"Water and Irrigation Development
Programme","5,000,000.00",-,-,493,0
,Ambulance services,"970,000,000.00","823,600.00",-,493,0
1001003260,"Water and Irrigation Development
Programme","970,000,000.00","823,600.00",-,493,0
,Public Health and Sanitation,"5,000,000.00",-,-,493,0
1001003260,"Water and Irrigation Development
Programme","5,000,000.00",-,-,493,0
,Promotion of primary healthcare,"34,877,600.00","15,158,120.00",43,493,0
1002003260,"General Administration, Support
and Support Services",-,-,-,493,0
1003003260,"Natural Resources Support
Programme","3,077,600.00","84,120.00",3,493,0
1001003260,"Water and Irrigation Development
Programme","31,800,000.00","15,074,000.00",47,493,0
,Headquarters,"68,290,000.00","202,876.00",-,493,0
501003260,"General Administration, Planning
and Support services","7,340,000.00","202,876.00",3,494,0
1001003260,"Water and Irrigation Development
Programme",-,-,-,494,0
502003260,"Early Childhood Education and
Youth Training Development
Programme","60,950,000.00",-,-,494,0
,Polytechnics,"9,950,000.00","175,000.00",2,494,0
502003260,"Early Childhood Education and
Youth Training Development
Programme","8,500,000.00",-,-,494,0
501003260,"General Administration, Planning
and Support services","1,450,000.00","175,000.00",12,494,0
,Early Childhood Development,"1,300,000.00","41,200.00",3,494,0
301003260,"General Administration and
Support Services Programme",-,-,-,494,0
502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,-,494,0
501003260,"General Administration, Planning
and Support services","1,300,000.00","41,200.00",3,494,0
,Library services,"1,000,000.00","54,600.00",5,494,0
