Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,505,1
Office of the Governor,,,,,,,,505,1
"Executive
Services","County leadership &
coordination of CDAs","41,500,000",-,-,-,-,-,505,1
,"County Government
Advisory Service","51,000,000",-,-,-,-,-,505,1
,"Coordination of peace
and cohesion","17,373,562",-,-,-,-,-,505,1
,Sub Total,"109,873,562",-,-,-,-,-,505,1
"General
Administra-
tion, Planning
and support
services","General Administra-
tion, Planning and
support services","326,768,101",-,"38,988,967",-,12,-,505,1
,Sub Total,"326,768,101",-,"38,988,967",-,,-,505,1
,Grand Total,"436,641,663",-,"38,988,967",-,9,-,505,1
,,Rec,Dev,Rec,Dev,Rec,Dev,506,0
Finance and Economic planning,,,,,,,,506,0
"Public Finance
Management",PFM Enhancement,"5,789,349",-,"4,679,600",-,81,-,506,0
,"Economic planning
and Budgeting","33,625,694",-,"18,833,910",-,56,-,506,0
,"Monitoring and Eval-
uation","17,980,523",-,"16,966,301",-,94,-,506,0
,"Supply chain manage-
ment services","20,700,000",-,"19,466,007",-,94,-,506,0
,"Own Source revenue
collection","21,620,000",-,"8,200,050",-,38,-,506,0
,Accounting & Finance,"25,200,000",-,"18,321,501",-,73,-,506,0
,Internal Audit,"12,782,110",-,"9,406,900",-,74,-,506,0
,"General Administra-
tion","325,022,527",-,-,-,-,-,506,0
,Development,-,"645,954,219",-,"88,156,139",-,13.6,506,0
,Sub Total,"462,720,203",-,"95,874,269",-,21,-,506,0
,Grand Total,"462,720,203","645,954,219","95,874,269","88,156,139",21,14,506,0
County Public Service Board,,,,,,,,506,0
"General
Administra-
tion, Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","66,007,004",-,"5,145,919",-,8,-,506,0
"Ethics, Gov-
ernance and
compliance","Ethics, Governance
and compliance","1,806,960",-,-,-,-,-,506,0
"Skills and
competency
development","Skills and competency
development","1,578,824",-,-,-,-,-,506,0
"Human
Resource
management
and develop-
ment","Human Resource
management and
development","3,962,316",-,-,-,-,-,506,0
,Grand Total,"73,355,104",-,"5,145,919",-,7,,506,0
"Trade, weights
and measures","Trade, weights and
measures","66,699,849","132,000,000",-,-,-,-,506,0
"Tourism
promotion",Tourism promotion,"8,899,849",-,-,-,-,-,506,0
"Cooperative
Development","Cooperative Develop-
ment","8,000,000",-,-,-,-,-,506,0
,Grand Total,"83,599,698","132,000,000",-,-,-,-,506,0
Agriculture and Rural Development,,,,,,,,506,0
"Agricultural
Development",Crop Husbandry,"6,969,666",-,-,-,-,-,506,0
,Plant Disease Control,"1,600,000",-,-,-,-,-,506,0
,"Agricultural Mechani-
zation Services(AMS)","24,614,500",,"2,908,800",,12,,506,0
,UCSAP,"20,000,000",-,-,-,-,-,506,0
,ASDSP,"5,000,000",-,-,-,-,-,506,0
,FAO,"1,245,700",-,-,-,-,-,506,0
,Development,-,"600,000,000",-,-,-,-,506,0
,Sub-Total,"59,429,866","600,000,000","2,908,800",-,5,,506,0
,,,,,,,483,506,0
,,Rec,Dev,Rec,Dev,Rec,Dev,507,0
"Fisheries De-
velopment","General Administra-
tion, Planning and
Support Services","1,887,000",-,,-,-,-,507,0
,"Empowerment of
women and youth on
fish safety and quality
assurance","1,520,000",-,-,-,-,-,507,0
,"Construction of ice
plant and cold storage","16,202,370",-,-,-,-,-,507,0
,Development,-,"134,727,370",-,,-,-,507,0
,Sub-Total,"19,609,370","134,727,370",-,-,-,-,507,0
"Veterinary
Services","General Administra-
tion, Planning and
Support Services","2,612,372",-,-,-,-,-,507,0
,Extension services,"38,072,388",-,-,-,-,-,507,0
,"Breed improvement
and artificial insemi-
nation","2,468,872",-,-,-,-,-,507,0
,"Veterinary Public
Health/Abattoirs","1,118,500",-,-,-,-,-,507,0
,"Leather Development
Services","26,182,846",-,-,-,-,-,507,0
,"Control Tsetse fly and
Laboratory Services","2,685,000",-,-,-,-,-,507,0
,"Conduct disease sur-
veillance and carry out
timely vaccination","15,382,000","43,875,087",-,-,-,-,507,0
,Sub-Total,"88,521,978","43,875,087",-,-,-,-,507,0
Livestock,"General Administra-
tion, Planning and
Support Services","7,766,440",-,-,-,-,-,507,0
,"Livestock Extension
Services","1,805,000","12,000,000",-,-,-,-,507,0
,Animal Husbandry,"1,292,500","145,100,000",-,-,-,-,507,0
,Sub-Total,"10,863,940","157,100,000",-,-,-,-,507,0
,Grand Total,"178,425,154","935,702,457","2,908,800",-,2,-,507,0
"Gender, Social Service and Youth Development",,,,,,,,507,0
"Child Protec-
tion.","Baseline Survey for
OVC","3,700,000",-,-,-,-,-,507,0
,"Community Aware-
ness creation on Child
Rights and Child
Protection","2,000,000",-,-,-,-,-,507,0
,"Enhanced Child Partic-
ipation","700,000",-,-,-,-,-,507,0
"Social Devel-
opment and
Protection.",Women empowerment,"1,050,000",-,-,-,-,-,507,0
,Gender and Leadership,"11,450,000",-,-,-,-,-,507,0
,Youth Empowerment,-,"50,000,000",-,-,-,-,507,0
"Sports
Training and
Competitions",county Sports leagues,"7,193,447",-,-,-,-,-,507,0
,"Sports equipment and
support","2,000,000",-,-,-,-,-,507,0
,Sub-Total,"28,093,447","50,000,000",-,-,-,-,507,0
,,Rec,Dev,Rec,Dev,Rec,Dev,508,0
"Culture and
art develop-
ment","Culture Promotion and
Development","11,750,000",-,-,-,-,-,508,0
,"Empowerment/Capac-
ity building of cultural
practitioners","5,500,000",-,,-,-,-,508,0
,Sub-Total,"17,250,000",-,-,-,-,-,508,0
"General ad-
ministration,
support and
planning","General administra-
tion, support and
planning","7,340,000",-,,-,-,-,508,0
,Sub-Total,"7,340,000",-,-,-,-,-,508,0
,Grand Total,"52,683,447","50,000,000",-,-,-,-,508,0
"Education, Vocational training and ECDE-",,,,,,,,508,0
"Early Child
care services","ECDE quality educa-
tion standards service","500,000",-,-,-,-,-,508,0
,"ECDE Access and
Retention Services","20,300,000","27,000,000",-,-,-,-,508,0
,Sub Total,"20,800,000","27,000,000",-,-,-,-,508,0
"Vocational
Training
Services","VTC quality standards
training services","3,010,342",-,,-,-,-,508,0
,"Free VTC education
and training","56,156,327",-,-,-,-,-,508,0
,Sub Total,"59,166,669",-,-,-,-,-,508,0
"General
Administra-
tion, Planning
and support
services","General Administra-
tion, Planning and
support services","160,800,000",-,"77,281,897",-,48,-,508,0
,Sub-Total,"160,800,000",-,"77,281,897",-,48,-,508,0
"VTC access
and retention
of training",Development,,"171,535,447",-,-,-,-,508,0
,Sub Total,-,"171,535,447",-,-,-,-,508,0
,Grand Total,"240,766,669","198,535,447","77,281,897",-,32,-,508,0
Health and Sanitation,,,,,,,,508,0
"Curative and
Rehabilitative",Medical Supplies,"160,650,000",-,"39,498,793",-,25,-,508,0
,Medical Services,"33,200,000","242,200,000","2,611,906",-,8,-,508,0
,Ambulance services,"10,700,000",-,-,-,-,-,508,0
"Preventive and
Promotive","Preventive and Pro-
motive","22,850,041",-,-,-,-,-,508,0
,"Licensing and control
of undertaking","9,045,859",-,-,-,-,-,508,0
,Sub Total,"236,445,900","242,200,000","42,110,699",-,18,-,508,0
,,Rec,Dev,Rec,Dev,Rec,Dev,509,0
"General
Administra-
tion, Planning
and support
services","General Administra-
tion, Planning and
support services","961,115,377",-,"93,805,692",-,10,-,509,0
,Development,-,,-,-,,-,509,0
,Sub Total,"961,115,377",-,"93,805,692",-,10,-,509,0
,Grand Total,"1,197,561,277","242,200,000","135,916,390",-,28,-,509,0
Special Programme,,,,,,,,509,0
"Drought
management
(Preparedness,
Response,
Mitigation
and Recovery",Drought contingency,"2,000,000",-,-,-,-,-,509,0
,"Disaster Risk Manage-
ment Fund","139,202,243",-,-,-,-,-,509,0
"Social pro-
tection and
response to
other disasters","Food distribution and
rations","3,032,392",-,-,-,-,-,509,0
,Sub-Total,"144,234,635",-,-,-,-,-,509,0
"General
Administra-
tion, Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","6,000,000",-,-,-,-,-,509,0
,Sub-Total,"6,000,000",-,-,-,-,-,509,0
,Grand Total,"150,234,635",-,-,-,-,-,509,0
Roads and public works,,,,,,,,509,0
"County Roads
Development",Routine maintenance,"3,628,330","124,000,000",-,-,-,-,509,0
,Opening of new roads,"1,877,733",-,-,-,-,-,509,0
,"Grading, Maraming
and tarmacking","1,645,000",-,-,-,-,-,509,0
,"Monitoring and Eval-
uation","1,849,133",-,-,-,-,-,509,0
,Sub-Total,"9,000,196","124,000,000",-,-,0,-,509,0
"Public works
and services","Public works and
services","24,536,780","501,782,356","151,200",-,1,-,509,0
,Sub Total,"24,536,780","501,782,356","151,200",-,1,-,509,0
"General Ad-
ministration
and Support
Services","General Adminis-
tration and Support
Services","34,451,763",-,-,-,-,-,509,0
,Sub-Total,"34,451,763",-,-,-,-,-,509,0
,Grand Total,"67,988,739","625,782,356","151,200",-,1,-,509,0
"Water, Environment and Natural Resources",,,,,,,,509,0
"Environment
Management","Environmental Pro-
tection","35,552,415",-,-,-,-,-,509,0
,"Environmental Pro-
tection","9,863,077","50,000,000",-,-,-,-,509,0
,"Control of Air Pollu-
tion","2,795,484",-,-,-,-,-,509,0
,"Solid Waste Manage-
ment","11,098,615",-,-,-,-,-,509,0
,,Rec,Dev,Rec,Dev,Rec,Dev,510,0
,Sub-Total,"59,309,591","50,000,000",-,-,-,-,510,0
"General
administra-
tion, planning
support","General administra-
tion, planning support","34,780,511",-,-,-,-,-,510,0
,Sub-Total,"34,780,511",-,-,-,-,-,510,0
Water Services,"Water Management
services","12,208,476",-,-,-,-,-,510,0
,"Water Sanitation &
Hygiene","3,767,316","249,500,000",-,-,-,-,510,0
,"Storm Water Manage-
ment","3,010,744",,-,-,-,-,510,0
"Energy Devel-
opment",Energy,"1,970,640",,-,-,-,-,510,0
,Sub-Total,"20,957,176","249,500,000",-,-,-,-,510,0
,Grand Total,"115,047,278","299,500,000",-,-,-,-,510,0
Public service and administration,,,,,,,,510,0
"General Ad-
ministration,
support and
planning","General Adminis-
tration, support and
planning","1,178,788,666",-,"174,304,485",-,15,-,510,0
"Human
Resource &
Development","Performance manage-
ment system","4,200,000",-,-,-,-,-,510,0
,"Human resource devel-
opment","138,629,351",-,-,-,-,-,510,0
"County Ad-
ministration",Administration,"62,100,000","50,000,000",-,-,-,-,510,0
,Enforcement,"12,500,000",-,-,-,-,-,510,0
"Citizen Partic-
ipation",Citizen Participation,"6,100,000",-,-,-,-,-,510,0
,Sub Total,"1,402,318,017","50,000,000","174,304,485",-,12,-,510,0
Grand Total,,"1,402,318,017","50,000,000","174,304,485",-,12,-,510,0
Lands and physical planning,,,,,,,,510,0
"General
Administra-
tion, Planning
and support
services","General Administra-
tion, Planning and
support services","4,503,188",-,"390,425",-,9,-,510,0
"Land Policy
and Planning",Physical Planning,"22,438,245","64,000,000",-,-,-,-,510,0
,"Survey, Mapping and
GIS","6,077,817","30,000,000",-,-,-,-,510,0
,Land Administration,"6,574,500",-,-,-,-,-,510,0
,Grand Total,"39,593,750","94,000,000","390,425",-,1,-,510,0
