Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
The County Assembly,,,,,,371,0
County Assembly,"0707014210 SP1 Legislative and
Oversight","52,497,492","51,967,816","529,676",99.0,371,0
,"0707024210 SP2 County Assembly
Administration","312,308,595","271,236,104","41,072,491",86.8,371,0
,0707034210 SP3 Representation,"275,690,947","274,342,905","1,348,042",99.5,371,0
,Subtotal,"640,497,034","597,546,825","42,950,209",93.3,371,0
The County Executive,,,,,,371,0
,"0701014210 SP1 General Adminis-
tration and Support Services (Gov-
ernor, Deputy Governor)","224,815,002","194,281,648","30,533,354",86.4,371,0
,"0704014210 SP2 Administration
of Human Resources in County
Public Service","56,546,626","46,087,633","10,458,993",81.5,371,0
,"0701034210 SP3 Sub County Ad-
ministration","175,052,094","161,276,935","13,775,159",92.1,371,0
,"0701044210 SP4 Coordination,
Supervision and Human Resource
services (C S)","37,544,586","37,149,729","394,857",98.9,371,0
,Subtotal,"493,958,308","438,795,945","55,162,363",88.8,371,0
"Finance, Economic Planning & ICT",,,,,,371,0
"0705004210 P1
General Adminis-
tration Planning
and Support Ser-
vices","0705014210 SP1 Administration
Services","502,580,669","467,946,648","34,634,021",93.1,371,0
,0705024210 SP2 ICT Services,"45,550,316","27,618,580","17,931,736",60.6,371,0
,Subtotal,"548,130,985","495,565,228","52,565,757",90.4,371,0
"0706004210 P2
Public Finance
Management","0706054210 SP5 Accounting Ser-
vices","30,628,120","28,387,804","2,240,316",92.7,371,0
,"0706024210 SP2 Resource Mobi-
lization","67,662,231","54,590,148","13,072,083",80.7,371,0
,0706034210 SP3 Infernal Audit,"17,386,714","11,512,115","5,874,599",66.2,371,0
,"0706044210 SP4 Supply Chain
Management","19,554,266","18,554,404","999,862",94.9,371,0
,"0706014210 SP1 Budget Formu-
lation Coordination and Manage-
ment","11,031,050","8,922,705","2,108,345",80.9,371,0
,0706064210 SP6 Fiscal Planning,"77,551,670","60,772,854","16,778,816",78.4,371,0
,Subtotal,"223,814,051","182,740,030","41,074,021",81.6,371,0
"0713004210 P3
General Adminis-
tration Planning
and Support Ser-
vices","0713014210 SP1 General Admin-
istration Planning and Support
Services","6,823,998","5,872,910","951,088",86.1,371,0
,Subtotal,"6,823,998","5,872,910","951,088",86.1,371,0
"0712004210 P4
Special Programs",0712014210 SP 1 Special Programs,"15,863,776","14,005,140","1,858,636",88.3,371,0
,Subtotal,"15,863,776","14,005,140","1,858,636",88.3,371,0
"Agriculture, Livestock Development, Veterinary Services & Fisheries",,,,,,371,0
"0101004210 P1
General Adminis-
tration Planning
and Support Ser-
vices","0101014210 SP1 Administration,
Planning and Support Services","402,859,122","292,996,575","109,862,547",72.7,371,0
,Subtotal,"402,859,122","292,996,575","109,862,547",72.7,371,0
"0103004210 P2
Livestock Re-
source Manage-
ment and Devel-
opment","0103014210 SP1 Livestock Policy
Development and Capacity Build-
ing","10,505,622","9,428,648","1,076,974",89.7,372,0
,"0103024210 SP2 Livestock Produc-
tion and Management","43,773,504","38,919,485","4,854,019",88.9,372,0
,"0103034210 SP3 Livestock Diseas-
es Management and Control","58,089,902","45,193,224","12,896,678",77.8,372,0
,"0103044210 SP4 Livestock Market-
ing and Rangeland Management","135,439,535","66,716,375","68,723,160",49.3,372,0
,Subtotal,"247,808,563","160,257,732","87,550,831",64.7,372,0
"0104004210 P4
Fisheries Devel-
opment and Man-
agement","0104014210 SP1 Management and
Development of Fisheries","6,468,596","6,225,776","242,820",96.2,372,0
,Subtotal,"6,468,596","6,225,776","242,820",96.2,372,0
"0105004210 P3
Crop Develop-
ment and Man-
agement","0105014210 SP1 Lands and Crops
Development","111,458,401","45,393,730","66,064,671",40.7,372,0
,"0105024210 SP2 Food Security
Initiatives","17,156,436","13,877,881","3,278,555",80.9,372,0
,Subtotal,"128,614,837","59,271,611","69,343,226",46.1,372,0
"Water, Environment, Natural Resources & Energy",,,,,,372,0
"1001004210 P1
General Adminis-
tration Planning
and Support Ser-
vices","1001014210 SP1 General Admin-
istration Planning and Support
Services","213,137,603","97,933,173","115,204,430",45.9,372,0
,Subtotal,"213,137,603","97,933,173","115,204,430",45.9,372,0
"1002004210 P2
Environmental
Management and
Protection","1002014210 SP1 County Environ-
ment Management","17,818,420","3,820,410","13,998,010",21.4,372,0
,"1002024210 SP2 Forests Conserva-
tion and Management","4,455,494","4,061,386","394,108",91.2,372,0
,Subtotal,"22,273,914","7,881,796","14,392,118",35.4,372,0
"1003004210 P3
Natural Resources
Services","1003024210 SP2 Soil Conservation
Management","3,596,174","3,234,735","361,439",89.9,372,0
,1003034210 SP3 Mining Services,"1,756,600","1,412,859","343,741",80.4,372,0
,"1003044210 SP4 Water Catchment
and Protection Services","63,403,486","40,541,305","22,862,181",63.9,372,0
,Subtotal,"68,756,260","45,188,899","23,567,361",65.7,372,0
"1004004210 P4
Water and sani-
tation infrastruc-
ture","1004014210 SP1 Storm Water
Management","5,145,059","4,480,277","664,782",87.1,372,0
,"1004024210 SP2 Water and Sanita-
tion Services","347,005,121","237,099,002","109,906,120",68.3,372,0
,Subtotal,"352,150,180","241,579,279","110,570,902",68.6,372,0
Education and Vocational Training,,,,,,372,0
"0501004210 P1
General Adminis-
tration Planning
and Support Ser-
vices","0501014210 SP1 General Admin-
istration Planning and Support
Services","210,499,735","176,512,909","33,986,826",83.9,372,0
,Subtotal,"210,499,735","176,512,909","33,986,826",83.9,372,0
"0502004210 P3
Youth Training
and Development","SP 0504014210 Revitalisation of
Youth Polytechnics","31,521,336","19,004,190","12,517,146",60.3,372,0
,Subtotal,"31,521,336","19,004,190","12,517,146",60.3,372,0
"0502004210 P2
Early childhood
development and
Education","0502014210 SP1 Early Childhood
Development and Education","333,285,588","267,416,391","65,869,197",80.2,372,0
,Subtotal,"333,285,588","267,416,391","65,869,197",80.2,372,0
"Medical Services, Public Health & Sanitation",,,,,,373,0
"0401004210 P1
Preventive and
Promotive Health
Services","0401044210 SP2 Environmental &
Health promotion","71,290,325","63,695,088","7,595,237",89.3,373,0
,0402014210 SP1 Nutrition,"13,898,410","12,726,534","1,171,876",91.6,373,0
,"0401054210 SP3 Communicable
Disease Control","86,203,050","85,291,532","911,518",98.9,373,0
,"0401064210 SP4 Non-communica-
ble Disease Prevention & Control","37,877,350","37,041,584","835,766",97.8,373,0
,"0401074210 SP5 Reproductive,
Maternal, Neonatal, child and Ad-
olescent Health","50,307,630","49,980,615","327,015",99.3,373,0
,Subtotal,"259,576,765","248,735,353","10,841,412",95.8,373,0
"0402004210 P2
Curative Health","0402044210 SP1 County Hospital
and Referral Services","593,569,378","463,357,536","130,211,842",78.1,373,0
,"0402054210 SP2 Free Primary
Health Services","109,362,174","108,065,851","1,296,323",98.8,373,0
,Subtotal,"702,931,552","571,423,387","131,508,165",81.3,373,0
"0403004210 P3
General Adminis-
tration Planning
and Support Ser-
vices","0403014210 SP1 Health Infrastruc-
ture Development","377,541,178","166,266,377","211,274,801",44.0,373,0
,"0403034210 SP2 Human Resource
Management and Development","73,655,826","58,419,037","15,236,789",79.3,373,0
,"0403044210 SP3 Monitoring and
Evaluation, Research and Devel-
opment","4,934,656","4,182,758","751,898",84.8,373,0
,"0403054210 SP4 Health Policy,
Planning & Financing","22,135,121","16,987,820","5,147,301",76.7,373,0
,"0403064210 SP5 Health Standards
and Quality Assurance Services","85,940,245","85,814,939","125,306",99.9,373,0
,Subtotal,"564,207,026","331,670,931","232,536,095",58.8,373,0
"Lands, Housing, Physical Planning & Urban Development",,,,,,373,0
"0101004210 P1
General Adminis-
tration Planning
and Support Ser-
vices","0101014210 SP1 Administration,
Planning and Support Services","56,991,711","34,892,820","22,098,891",61.2,373,0
,Subtotal,"56,991,711","34,892,820","22,098,891",61.2,373,0
"0102004210 P2
Land policy Plan-
ning and Housing","0102014210 SP1 Land Use Plan-
ning","36,007,344","35,915,377","91,967",99.7,373,0
,"0102034210 SP2 Land Survey and
Mapping","8,431,690","8,363,689","68,001",99.2,373,0
,"0102044210 SP3 Housing Manage-
ment Services","843,760","799,680","44,080",94.8,373,0
,Subtotal,"45,282,794","45,078,746","204,048",99.5,373,0
"0106004210 P3
Urban Centres
Administration","0106014210 SP1 Urban Centre
Management","88,312,745","36,490,873","51,821,872",41.3,373,0
,Subtotal,"88,312,745","36,490,873","51,821,872",41.3,373,0
"Roads, Transport & Public Works",,,,,,373,0
,"0201014210 SP1 General Admin-
istration Planning and Support
Services","185,326,273","172,750,804","12,575,469",93.2,373,0
,"0201034210 SP2 Firefighting Ser-
vices","397,990",-,"397,990",0.0,373,0
,"0201044210 SP3 Design, Imple-
mentation and Supervision of Pub-
lic Buildings","13,751,858","12,226,160","1,525,698",88.9,373,0
"0202004210 P2
Roads and public
Infrastructure
Development","0202014210 SP1 Construction,
Rehabilitation and Maintenance of
Roads and Bridges","362,869,024","221,102,745","141,766,279",60.9,374,0
,"0202024210 SP2 Design, supervi-
sion and rehabilitation of County
Buildings","6,931,654","6,843,778","87,876",98.7,374,0
,"0202034210 SP3 Street Lights
Management","9,408,766","9,377,489","31,277",99.7,374,0
,"0202044210 SP4 Public Road
Transport and Parking","7,261,449","7,260,734",715,100.0,374,0
,Subtotal,"386,470,893","244,584,746","141,886,147",63.3,374,0
"Tourism, Trade, Enterprise Development & Cooperatives",,,,,,374,0
"0301004210 P1
General Adminis-
tration Planning
and Support Ser-
vices","0301014210 SP1 General Admin-
istration Planning and Support
Services","39,124,722","27,979,831","11,144,891",71.5,374,0
,Subtotal,"39,124,722","27,979,831","11,144,891",71.5,374,0
"0302004210 P2
Cooperatives
Development and
Management","0302014210 SP1 Governance and
Accountability","24,441,611","19,372,232","5,069,379",79.3,374,0
,Subtotal,"24,441,611","19,372,232","5,069,379",79.3,374,0
"0304004210 P4
Tourism Devel-
opment and Pro-
motion","0304014210 SP1 Tourism Promo-
tion and Marketing","238,576,812","211,372,165","27,204,647",88.6,374,0
,Subtotal,"238,576,812","211,372,165","27,204,647",88.6,374,0
"0305004210 P5
Trade Develop-
ment and Promo-
tion","0305014210 SP1 Domestic Trade
Development","32,862,396","30,413,168","2,449,228",92.5,374,0
,Subtotal,"32,862,396","30,413,168","2,449,228",92.5,374,0
"0306004210 P6 P1
General Adminis-
tration Planning
and Support Ser-
vices","0306014210 SP6 SP1 General Ad-
ministration Planning and Support
Services","30,957,910","23,495,360","7,462,550",75.9,374,0
,Subtotal,"30,957,910","23,495,360","7,462,550",75.9,374,0
