Programme,Sub- Programme,"Approved Budget
(Kshs)",col_3,"Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index,col_5
,"Industrial mapping & promo-
tion initiative","8,000,000",,-,"8,000,000",-,221,0,
"Trade and Invest-
ment",Trade promotion Services,"2,500,000",,"2,080,643","419,357",83.2,221,0,
,"Market Infrastructure Devel-
opment","5,840,271",,-,"5,840,271",-,221,0,
"Tourism Develop-
ment & Promotion","Tourism Promotion & Mar-
keting","5,300,000",,"1,158,485","4,141,515",21.9,221,0,
,"Tourism Infrastructural De-
velopment","5,792,278",,"1,067,900","4,724,378",18.4,221,0,
Sub-total,,"147,055,721",,"65,058,551","81,997,170",44.2,221,0,
County Administration Services,,,,,,,221,0,
"Human Capital
Management &
Development",Compensation to employees,"2,910,231,276",,"2,668,260,320",,91.7,221,0,"241,970,956"
,County Public Service Board,"19,781,629",,"19,781,629",,100.0,221,0,0
"County Administra-
tion Services","Headquarter Administration
Services","7,296,931",,"7,296,931",,100.0,221,0,0
,"ICT Infrastructure & Connec-
tivity","8,000,000",,"8,000,000",,100.0,221,0,0
,"County Administration
Services","110,000,000",,"110,000,000",,100.0,221,0,0
,"County services delivery and
result reporting","26,500,000",,"26,500,000",,100.0,221,0,0
,Car & Mortgage,"15,000,000",,"15,000,000",,100.0,221,0,0
,Decentralized Services,"58,831,024",,"58,831,024",,100.0,221,0,0
,Executive Support Service,"66,000,000",,"66,000,000",,100.0,221,0,0
,Grants & Transfers,"86,121,027",,"86,121,027",,100.0,221,0,0
,Urban Facilities Management,"25,000,000",,"19,900,500",,79.6,221,0,"5,099,500"
,Legal Services,"9,000,000",,"9,000,000",,100.0,221,0,0
"Security & Policing
Services","Disaster Reduction Manage-
ment","5,000,000",,"5,000,000",,100.0,221,0,0
,"Enforcement And Disaster
Management","5,000,000",,"5,000,000",,100.0,221,0,0
,Alcohol Control Committee,"4,500,000",,"4,500,000",,100.0,221,0,0
,"Intergovernmental & Donor
Relations","22,000,000",,"22,000,000",,100.0,221,0,0
,Fire Services,"6,000,000",,"6,000,000",,100.0,221,0,0
"Public Participation
& Civic Education",Public participation,"19,052,453",,"16,852,387",,88.5,221,0,"2,200,066"
Sub-total,,"3,403,314,340",,"3,154,043,818",,92.7,221,0,"249,270,522"
"Water, Environment & Natural Resources",,,,,,,221,0,
Water Development,"Rural Water Supply & Sani-
tation","102,682,880",,"20,224,564","82,458,316",19.7,221,0,
"General Adminis-
tration & Support
Services","Administration & Planning
Services","13,000,000",,"6,684,604","6,315,396",51.4,222,0,
,Personnel Services,"2,500,000",,"2,002,000","498,000",80.1,222,0,
,"Strategic Project Monitoring
& Intervention","2,453,871",,"2,521,902","(68,031)",102.8,222,0,
"Environment & Nat-
ural Resources",Solid Waste Management,"7,610,959",,"5,711,201","1,899,758",75.0,222,0,
,"Human Wildlife Conflict
Prevention","3,873,416",,"924,200","2,949,216",23.9,222,0,
,Integrated land rehabilitation,"888,343",,"6,036,086","(5,147,743)",679.5,222,0,
,"Climate Change Adaptation &
mitigation","1,560,200",,"543,600","1,016,600",34.8,222,0,
,"Natural Resoures Manage-
ment","6,828,890",,880190,"5,948,700",12.9,222,0,
Sub-total,,"141,398,559",,"45,528,347","95,870,212",32.2,222,0,
"Agriculture, Livestock & Veterinary",,,,,,,222,0,
"General Adminis-
trative & Planning
Services","Headquarter Administration
Services","38,005,096",,"6,944,185","31,060,911",18.27,222,0,
,"Agriculture Sector Extension
Management","47,546,600",,"37,344,878","10,201,722",78.5,222,0,
Crop Development,"Irrigation Development and
management","705,287",,"5,741.00","699,546",0.81,222,0,
,"Land and Crop Productivity
Enhancement and Manage-
ment","10,357,561",,"1,156,890.00","9,200,671",11.17,222,0,
