Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"Agriculture, Crop Produc-
tion and Irrigation",,,,,,156,0
,"General administration and sup-
port services","471,931,917","455,207,924","16,723,993",96.5,156,0
,"Livestock resource management
and development","74,400,000","34,962,570","39,437,430",47.0,156,0
"0101004060 Crop, Livestock
and Fisheries development
and Management",Fisheries Development,"17,000,000",0,"17,000,000",0.0,156,0
,"Crop production and manage-
ment","436,244,352","391,903,427","44,340,925",89.8,156,0
,,"999,576,269","882,073,921","117,502,348",88.2,156,0
,Sub Total,"999,576,269","882,073,921","117,502,348",88.2,156,0
"Lands, Physical Planning
and Housing",,,,,,156,0
,"Planning & Housing Administra-
tion","177,170,343","122,247,623","54,922,720",69.0,156,0
,Housing Development,"54,000,000","23,716,386","30,283,614",43.9,156,0
"0102004060 Land Manage-
ment and Physical Planning;
& Housing Development","Land Management and Physical
Planning","10,000,000",0,"10,000,000",0.0,156,0
,,"241,170,343","145,964,009","95,206,334",60.5,156,0
"0105004060 Municipal Ad-
ministration & Urban De-
velopment","Municipal Administration and
Urban Development","1,904,145,915","1,040,180,294","863,965,621",54.6,156,0
,,"1,904,145,915","1,040,180,294","863,965,621",54.6,156,0
,Sub Total,"2,145,316,258","1,186,144,303","959,171,955",55.3,156,0
"Roads, Transport and Pub-
lic Works",,,,,,156,0
"0201004060 Maintenance of
Roads, Bridges, Land Trans-
port, Construction & Main-
tenance","Construction of road and civil
works","1,589,374,561","669,989,096","919,385,465",42.2,156,0
,,"1,589,374,561","669,989,096","919,385,465",42.2,156,0
"0202004060 Administra-
tion, planning & support","General Administration and Sup-
port services","453,275,910","387,124,830","66,151,080",85.4,156,0
,,"453,275,910","387,124,830","66,151,080",85.4,156,0
,Sub Total,"2,042,650,471","1,057,113,926","985,536,545",51.8,156,0
"Trade, Tourism, Industry
and Co-operative",,,,,,156,0
,"General administration and sup-
port services","83,740,095","77,785,030","5,955,065",92.9,156,0
,"Trade, Industrial Development
and Investments","277,800,000","57,161,590","220,638,410",20.6,156,0
,"Tourism Development and Pro-
motion",-,0,0,,157,0
"0301004060 Industrial, In-
vestments, Tourism, Trade
and Cooperative Develop-
ment","Cooperative Development and
promotion","38,344,930","10,119,077","28,225,853",26.4,157,0
,Enterprise Development,"1,200,000",0,"1,200,000",0.0,157,0
,,"401,085,025","145,065,697","256,019,328",36.2,157,0
,Sub Total,"401,085,025","145,065,697","256,019,328",36.2,157,0
Health Services,,,,,,157,0
,County Hospital Infrastructure,"774,191,973","577,123,536","197,068,437",74.5,157,0
"0401004060 Curative and
preventive health care ser-
vices",Health curative services,"866,053,479","635,627,549","230,425,930",73.4,157,0
,,"1,640,245,452","1,212,751,085","427,494,367",73.9,157,0
"0402004060 Administra-
tion, Planning and Support
Services","General Administration and Sup-
port Services","4,161,081,945","3,971,305,588","189,776,357",95.4,157,0
,,"4,161,081,945","3,971,305,588","189,776,357",95.4,157,0
"0403004060 Preventive
Health Services",Community Health Services,"141,474,731","63,591,592","77,883,139",44.9,157,0
,,"141,474,731","63,591,592","77,883,139",44.9,157,0
"0405004060 County Phar-
maceutical Services","Pharmaceutical and Non-Phar-
maceutical supplies","125,000,000","90,876,197","34,123,803",72.7,157,0
,,"125,000,000","90,876,197","34,123,803",72.7,157,0
,Sub Total,"6,067,802,128","5,338,524,462","729,277,666",88.0,157,0
"Education, Youth, Sports,
Culture and Social Services",,,,,,157,0
"0501004060 Pre-primary
edu, Promotion of Culture;
ICT and social Services","Pre-primary education and youth
polytechnics services","140,584,894","75,042,141","65,542,753",53.4,157,0
,Early Childhood Development,"240,884,664","212,860,252","28,024,412",88.4,157,0
,Vocational Training centres,"23,000,000","12,469,460","10,530,540",54.2,157,0
,,"404,469,558","300,371,853","104,097,705",74.3,157,0
"0502004060 General Ad-
ministration and Support
Services","General Administration and Sup-
port Services","662,811,538","635,864,513","26,947,025",95.9,157,0
,,"662,811,538","635,864,513","26,947,025",95.9,157,0
"0504004060 Culture Gender
and Social Service Develop-
ment","Culture, Gender & Social Services","24,000,000","2,853,700","21,146,300",11.9,157,0
,,"24,000,000","2,853,700","21,146,300",11.9,157,0
,Sub Total,"1,091,281,096","939,090,066","152,191,030",86.1,157,0
County Assembly,,,,,,157,0
"General Administration and
support services","General Administration and sup-
port services","468,346,255","319,182,462","149,163,793",68.2,157,0
,,"468,346,255","319,182,462","149,163,793",68.2,157,0
Representation services,Representation services,"168,357,111","151,365,543","16,991,569",89.9,157,0
,,"168,357,111","151,365,543","16,991,569",89.9,157,0
"0701004060 Legislation and
Oversight of county Gov-
ernment",Legislation and Oversight services,"663,175,178","624,230,560","38,944,618",94.1,157,0
,,"663,175,178","624,230,560","38,944,618",94.1,157,0
,Sub Total,"1,299,878,544","1,094,778,564","205,099,980",84.2,157,0
County Executive,,,,,,158,0
,"General Administration and sup-
port services","374,021,290","279,406,085","94,615,205",74.7,158,0
"0702004060 Leadership and
Co-ord of County Adminis-
tration and Departments",Representation Services,"55,979,370","54,579,460","1,399,910",97.5,158,0
,,"430,000,660","333,985,545","96,015,115",77.7,158,0
,Sub Total,"430,000,660","333,985,545","96,015,115",77.7,158,0
"County Public Service
Board",,,,,,158,0
,"General Administration and sup-
port services",0,0,0,,158,0
"0703004060 Leadership and
Admin of HR management
and development in County
Public Service","Human Resource development
and management services","68,662,096","50,487,020","18,175,076",73.5,158,0
,,"68,662,096","50,487,020","18,175,076",73.5,158,0
,Sub Total,"68,662,096","50,487,020","18,175,076",73.5,158,0
"Finance and Economic
Planning",,,,,,158,0
