Department,"Programme / Sub
Programme","FY 2020/21
Revised Budget
– Kshs.","Variance –
Kshs.","FY 2020/21
Budget Revised
Budget 2 –
Kshs.","Actual
Expenditure
FY 2020/21
-Kshs.","Variance –
Kshs._1","Implemen-
tation Status
- %",page_number,table_index
"Agriculture,
Livestock &
Fisheries",Programme 1: General administration & planning,,,,,,,244,0
,"SP1. 1 General
administration &
planning","613,328,912","46,192,036","659,520,948","491,501,517","168,019,431",74.5,244,0
,"Programme 2: Land, Crop development & productivity",,,,,,,244,0
,"SP2. 1 Land, Crop
development &
productivity","35,462,343","10,000,000","45,462,343","32,697,975","2,764,368",71.9,244,0
,P3; Agribusiness and information management,,,,,,,244,0
,"SP3. 1 Agribusiness
and information
management","168,298,835","6,463,176","174,762,011","166,861,259","1,437,576",95.5,244,0
,"Programme 4: Livestock Production, Management and Development",,,,,,,244,0
,"SP4. 1 Livestock
Production,
Management and
Development","86,946,324","(110,555)","86,835,769","28,585,383","58,360,941",32.9,244,0
,Total Budget,"904,036,414","62,544,657","966,581,071","719,646,134","184,390,280",74.5,244,0
"Transport &
Infrastructure",Programme 1: General administration & planning,,,,,,,244,0
,"SP1. 1 General
administration &
planning","182,082,672","2,853,467","184,936,139","159,034,335","23,048,338",86.0,244,0
,"Programme 2:
Road transport",,-,,,-,,244,0
,"SP2. 1 Road trans-
port","926,897,647","(7,942,524)","918,955,123","757,054,534","169,843,113",82.0,244,0
,"P3; Infrastructure
development",,-,,,-,,244,0
,"SP3. 1 Infrastruc-
ture development","34,735,276","1,539,448","36,274,724","13,889,742","20,845,535",38.3,244,0
,Programme 2: Energy Infrastructure & development,,,,,,,244,0
,"SP4. 1 Energy
Infrastructure &
development","69,741,288","(900,000)","68,841,288","51,444,581","18,296,706",74.7,244,0
,Total Budget,"1,213,456,884","(4,449,610)","1,209,007,274","981,423,192","232,033,692",81.2,244,0
"Trade, Industry
& Cooperatives",Programme 1: General administration & planning,,,,,,,244,0
,"SP1. 1 General
administration &
planning","42,200,723","33,603","42,234,325","36,623,494","5,577,229",86.7,244,0
,Programme 2: Trade development & promotion,,,,,,,244,0
,"SP2.4; Trade mar-
keting & promo-
tion","84,065,437","(237,789)","83,827,648","55,743,207","28,322,230",66.5,244,0
,P3; Industrial development and promotion,,,,,,,244,0
,"SP3. 1 Industrial
development and
promotion","50,000",-,"50,000",-,"50,000",0.0,244,0
,Programme 4: Tourism development & promotion,,,,,,,244,0
,"SP4. 1 Tourism
development &
promotion","6,551,511","(641,171)","5,910,340","3,861,042","2,690,469",65.3,245,0
,Programme 5: Cooperative development and management,,,,,,,245,0
,"SP4. 1 Cooperative
development and
management","21,494,745","(2,180,600)","19,314,145","16,065,862","5,428,883",83.2,245,0
,Total Budget,"154,362,416","(3,025,957)","151,336,459","112,293,604","42,068,812",74.2,245,0
"Land, Physical
Planning &
Mining",Programme 1: General administration & planning,,,,,,,245,0
,"SP1. 1 General
administration &
planning","41,449,554","(849,061)","40,600,493","31,577,021","9,872,534",77.8,245,0
,Programme 2: Land Survey & Mapping,,,,,,,245,0
,"SP2. 1: Land Sur-
vey & Mapping","62,692,977","(3,850,000)","58,842,977","32,352,865","30,340,112",55.0,245,0
,"P3; Urban plan-
ning",,-,,,-,,245,0
,"SP3. 1 Urban
planning","179,487,454","38,652,017","218,139,471","69,391,226","110,096,229",31.8,245,0
,Programme 2: Mining mapping & development,,,,,,,245,0
,"SP4. 1 Mining
mapping & devel-
opment","1,522,500","(720,080)","802,420","629,000","893,500",78.4,245,0
,Programme 4: Environment management and protection,,,,,,,245,0
,"SP4. 1 Environ-
ment management
and protection","102,781,916","8,083,076","110,864,992","77,117,353","25,664,562",69.6,245,0
,Total Budget,"387,934,401","41,315,952","429,250,354","211,067,465","176,866,936",49.2,245,0
"Water, Irriga-
tion & Environ-
ment",Programme 1: General administration & planning,,,,,,,245,0
,"SP1. 1 General
administration &
planning","135,010,304","531,913","135,542,217","129,293,114","5,717,190",95.4,245,0
,Programme 2: Water infrastructure Development,,,,,,,245,0
,"SP 2.1 Water har-
vesting and storage","404,531,015","(7,696,806)","396,834,208","250,536,500","153,994,515",63.0,245,0
,"SP 2.2. Piped water
supply infrastruc-
ture","439,316,897","(7,710,493)","431,606,404","265,134,296","174,182,601",61.0,245,0
