Department,"Programme / Sub
Programme","FY 2020/21
Revised Budget
– Kshs.","Variance –
Kshs.","FY 2020/21
Budget Revised
Budget 2 –
Kshs.","Actual
Expenditure
FY 2020/21
-Kshs.","Variance –
Kshs._1","Implemen-
tation Status
- %",page_number,table_index
,"SP2.3 Ground wa-
ter development","135,534,970","780,410","136,315,380","122,177,231","13,357,739",90.0,245,0
,Programme 4: Environment management and protection,,,,,,,245,0
,"SP4. 1 Environ-
ment management
and protection",-,"616,400","616,400","157,241","(157,241)",25.5,245,0
,Total Budget,"1,114,393,185","(13,478,576)","1,100,914,609","767,298,382","347,094,803",69.7,245,0
"Sand Author-
ity",Programme 1: General administration & planning,,,,,,,245,0
,"SP1. 1 General
administration &
planning","131,262,726","(59,196,239)","72,066,488","60,771,018","70,491,708",84.3,245,0
,Total Budget,"131,262,726","(59,196,239)","72,066,488","60,771,018","70,491,708",84.3,245,0
"Education &
ICT",Programme 1: General administration & planning,,,,,,,246,0
,"SP1. 1 General
administration &
planning","275,200,551","1,046,913","276,247,464","259,644,472","15,556,080",94.0,246,0
,Programme 2: Early childhood education,,,,,,,246,0
,"SP1. 1 Early child-
hood education","119,408,409","(1,649,181)","117,759,228","91,312,232","28,096,177",77.5,246,0
,Programme 3: Technical training & non-formal education,,,,,,,246,0
,"SP1. 1 Technical
training & non-for-
mal education","127,550,186","(6,870,000)","120,680,186","113,901,569","13,648,617",94.4,246,0
,"Programme 4:
Support to edu-
cation",,-,,,-,,246,0
,"SP1. 1 Support to
education","70,374,644","(1,070,000)","69,304,644","4,966,166","65,408,478",7.2,246,0
,"Programme 5; ICT
Infrastructure &
Systems Develop-
ment",,-,,,-,,246,0
,"SP3. 1 ICT
Infrastructure &
Systems Develop-
ment","55,897,517","(687,598)","55,209,919","32,944,806","22,952,712",59.7,246,0
,"Programme 7:
Sports Develop-
ment",,-,,,-,,246,0
,"SP7. 1 Sports De-
velopment","78,122,930","(959,723)","77,163,207","41,976,034","36,146,896",54.4,246,0
,Total Budget,"726,554,237","(10,189,589)","716,364,648","544,745,278","181,808,959",76.0,246,0
Health,Programme 1: General administration & planning,,,,,,,246,0
,"SP1. 1 General
administration &
planning","3,386,647,973","21,526,047","3,408,174,020","3,082,336,795","304,311,178",90.4,246,0
,Programme 2: Curative health care services,,,,,,,246,0
,"SP2. 1: Curative
health care services","255,393,727","37,776,086","293,169,813","37,200","255,356,527",0.0,246,0
,Programme 3; Preventive and promotive health care services,,,,,,,246,0
,"SP3. 1 Preventive
and promotive
health care services","138,388,507","(59,301,662)","79,086,845","23,272,568","115,115,939",29.4,246,0
,"Total Expenditure
of Vote","3,780,430,207",471,"3,780,430,678","3,105,646,563","674,783,645",82.2,246,0
"Youth, Gender
& Social Ser-
vices",Programme 1: General administration & planning,,,,,,,246,0
,"SP1. 1 General
administration &
planning","102,154,282","(1,254,373)","100,899,909","73,267,878","28,886,404",72.6,246,0
,Programme 2: Gender & Social Development,,,,,,,246,0
,"SP2. 1 Gender &
Social Develop-
ment","63,640,575","8,133,000","71,773,575","51,377,832","12,262,743",71.6,246,0
,Total Budget,"165,794,857","6,878,627","172,673,484","124,645,709","41,149,147",72.2,246,0
"County Attor-
ney",Programme 1: Legal & advisory services,,,,,,,247,0
,"SP1. 1 Legal &
advisory services","46,631,942","(2,030,262)","44,601,681","40,459,417","6,172,525",90.7,247,0
,Total Budget,"46,631,942","(2,030,262)","44,601,681","40,459,417","6,172,525",90.7,247,0
"County Secre-
tary",Programme 1: Leadership and coordination of departments.,,,,,,,247,0
,"SP1. 1 Leadership
and coordination
of departments.","454,100,746","4,093,796","458,194,542","430,554,883","23,545,864",94.0,247,0
,Total Budget,"454,100,746","4,093,796","458,194,542","430,554,883","23,545,864",94.0,247,0
Govern ship,Programme 1: General administration & planning,,,,,,,247,0
,"SP1. 1 General
administration &
planning","206,970,183","(1,884,003)","205,086,180","193,346,601","13,623,582",94.3,247,0
,Total Budget,"206,970,183","(1,884,003)","205,086,180","193,346,601","13,623,582",94.3,247,0
"Devolution &
Public Service",Programme 1: General administration & planning,,,,,,,247,0
,"SP1. 1 General
administration &
planning","234,751,808","(1,310,107)","233,441,701","231,215,548","3,536,259",99.0,247,0
,Programme 2: Public Participation & Civic Education,,,,,,,247,0
,"SP2. 1: Public Par-
ticipation & Civic
Education","39,590,000","17,602,649","57,192,649","34,488,267","5,101,733",60.3,247,0
,Programme 3; Information and communication,,,,,,,247,0
,"SP3. 1 Information
and communica-
tion","12,570,000","(5,705,000)","6,865,000","2,300,000","10,270,000",33.5,247,0
,Programme 4:Enforcement and compliance,,,,,,,247,0
,"SP4. 1 Enforcement
and compliance","41,950,000","6,967,103","48,917,103","11,468,095","30,481,905",23.4,247,0
,Programme 5; Youth Development support & Empowerment,,,,,,,247,0
,"SP6. 1 Youth De-
velopment","44,166,555","(153,770)","44,012,785","31,046,132","13,120,423",70.5,247,0
,Total Budget,"373,028,362","17,400,875","390,429,238","310,518,042","62,510,321",79.5,247,0
"County Public
Service Board",Programme 1: General Administration and Planning,,,,,,,247,0
,"SP1.1: General
Administration
and Planning","69,424,545","(186,444)","69,238,101","45,046,950","24,377,595",65.1,247,0
,Total Budget,"69,424,545","(186,444)","69,238,101","45,046,950","24,377,595",65.1,247,0
"Finance & So-
cio-Economic
Planning",Programme 1: General administration & planning,,,,,,,247,0
,"SP1. 1 General
administration &
planning","954,130,967","1,184,135","955,315,102","589,492,874","364,638,092",61.7,247,0
,Programme 2: Public financial management,,,,,,,247,0
,"SP2.1 Accounting
services","11,075,000","3,786,528","14,861,528","13,132,967","(2,057,967)",88.4,247,0
,"SP2.2; Budget
formulation,
coordination and
management","29,139,550","7,160,000","36,299,550","35,142,610","(6,003,061)",96.8,247,0
,"SP2.3; Internal
audit services","13,739,203","(1,011,750)","12,727,453","12,409,305","1,329,898",97.5,247,0
,"SP2.4; Resource
mobilization","58,905,000","(2,368,000)","56,537,000","54,821,617","4,083,383",97.0,247,0
