col_0,Programmes,Sub Programmes,"Approved Budget
2021/2022
(Kshs)","Actual payment
Kshs)",Variance ( Kshs),% Absorbtion,page_number,table_index
"COUNTY
EXECUTIVE","County Exec-
utive","Compensation to
employees","1,532,360,646","1,324,404,285","207,956,361.00",86%,49,1
,"County Exec-
utive","Use of Good and
Services","221,503,608","106,317,369.85","115,186,238.2",48%,49,1
,,Sub-Total,"1,753,864,254","1,733,314,678","20,549,576.3",99%,49,1
PUBLIC SERVICE BOARD,,,,,,,49,1
,"Public service
Board","Use of Good and
Services","31,959,563","12,758,393.00","19,201,170.0",40%,49,1
,,Sub-Total,"31,959,563","12,758,393","19,201,170.0",40%,49,1
"ADMIN-
STRATION",Administration,"Use of Good and
Services","44,272,149","34,341,010.40","9,931,138.6",78%,49,1
,Development,,"23,600,000",-,"23,600,000.0",0%,49,1
,,Sub Total,"67,872,149","34,341,010","33,531,139",,49,1
ICT,ICT Services,"Use of Good and
Services","22,348,350","10,438,598.00","11,909,752.0",47%,49,1
,Development,"ICT Infrastructure and
connectivity","17,000,000","7,570,832.00","9,429,168.0",45%,49,1
,,Sub Total,"39,348,350","18,009,430","21,338,920",45.7%,49,1
FINANCE,"Operation and
Maintenance","Use of Good and
Services","155,466,794.00","105,854,683.00","49,612,111.0",68%,49,1
,Development,"Pending bills and Auto-
mation of revenue","79,381,136.00","64,466,541.15","14,914,594.9",81%,49,1
,,Sub Total,"234,847,930.00","170,321,224.15","64,526,705.85",,49,1
"2. ECONOM-
IC PLAN-
NING","Economic plan-
ning Services","22 - Use of Goods and
Services total","143,214,864","32,292,652.40","110,922,211.6",23%,50,0
,Development,KDSP (Level 2 Grant),"167,353,974.00",-,"167,353,974.0",,50,0
,,Sub Total,"310,568,838","32,292,652","278,276,186",,50,0
"LANDS
HOUSING
AND URBAN
PLANNING","Operation and
maintenance","Use of Goods and
Services total","8,591,440","8,172,200.00","419,240.0",95%,50,0
,,"Lands, Survey & map-
ping-Purchase of land
for public utilities (1
million per ward for 25
Wards)","21,510,000","21,233,000.00","277,000.0",99%,50,0
,,Urban Management,"15,090,000","12,363,118.00","2,726,882.0",82%,50,0
,,Housing Development,"6,929,750","2,943,140.00","3,986,610.0",42%,50,0
,,Municipality,"31,914,374","3,508,970.00","28,405,404.0",11%,50,0
,,"KUSP INFRRA-
STRUCTURE","224,928,009","24,860,022.00","200,067,987.0",11%,50,0
,,Sub Total,"308,963,573","73,080,450","235,883,123",23.6%,50,0
"YOUTH
SPORTS
GENDER
AND CUL-
TURE","Operation and
maintenance","Use of Goods and
Services total","6,899,020","6,459,360.00","439,660.0",94%,50,0
,Programme 1,"Policy Development
and Administrative
Services","12,310,720","8,839,860.00","3,470,860.0",72%,50,0
,Programme 2,"Gender, Children
Services and Social
Protection","33,346,728","25,398,895","7,947,833.0",76%,50,0
,Programme3,"Culture and library
services","9,850,125","849,386.00","9,000,739.0",9%,50,0
,Programme 4,"Youth and Sports
Development","24,601,780.00","8,308,673","16,293,107.0",34%,50,0
,,Sub Total,"87,008,373","49,856,174","37,152,199",57%,50,0
"MEDICAL
SERVICES
AND PUB-
LIC HEALTH","Salaries and
Wages","Compensation to
Employees","973,347,000","849,167,120.00","124,179,880.0",87%,50,0
,"Operation and
maintenance","Use of Goods and
Services","26,811,147","19,649,000.00","7,162,147.0",73%,50,0
,,staff medical Insurance,"25,000,000",-,"25,000,000.0",,50,0
,Programmes 2,Curative Services,"174,046,228","76,232,730.00","97,813,498.0",44%,50,0
,Programme 3,"Preventive and Promo-
tive Services","53,554,094.00","29,158,989.00","24,395,105.0",54%,50,0
,Programme 4,Reproductive Services,"84,886,805.00","37,168,080.00","47,718,725.0",44%,50,0
,,"Cash Transfers to
Health Facilities.","188,023,000.00","180,900,452.00","7,122,548.0",96%,50,0
,,COVID- 19 Response,"115,000,000.00","101,413,712.00","13,586,288.0",88%,50,0
,Programme 5,Health Infrastructure,"249,541,277.00","26,840,211","222,701,066.0",11%,50,0
,,Sub Total,"1,890,209,551.00","1,320,530,294","569,679,257",70%,50,0
AGRICULTURE COOPERATIVES AND MARKETING,,,,,,,50,0
,"Operation and
maintenance","Use of Goods and
Services","24,522,526","18,297,540.00","6,224,986.0",75%,51,0
,Programme 2,"Crop development and
management","356,281,823","94,902,078.00","261,379,745.0",27%,51,0
,Programme 3,"P3. Agribusiness Devel-
opment and Marketing","47,999,265","24,479,579.00","23,519,686.0",51%,51,0
,Programme 4,"P4. Livestock, Fisheries
& Veterinary Services","58,881,457","35,187,306.00","23,694,151.0",60%,51,0
,,Sub Total,"487,685,071","172,866,503","314,818,568",35.4,51,0
"WATER SAN-
ITATION
AND ENVI-
ROMENT","Operation and
maintenance","Use of Goods and
Services sub total","16,806,300","13,666,306.00","3,139,994.0",81.3,51,0
,,"Support to Bomet Wa-
ter Company (Grants)","85,000,000","80,000,000.00","5,000,000.0",94%,51,0
,,"Office furniture and
Fittings","3,635,384","1,806,995.00","1,828,389.0",50%,51,0
,Programme 1,"Policy planning and
Administration","613,400","480,000.00","133,400.0",78%,51,0
,Programme 2,"Development of water
supply for Domestic","318,654,624","220,614,045","98,040,579.0",69%,51,0
,Programme 3,Irrigation Development,"4,733,413","1,995,000","2,738,413.0",42%,51,0
,Programme 4,"Environmental and
Natural Resource
protection","11,343,259","1,074,000","10,269,259.0",9%,51,0
,Programme 5,"Water waste manage-
ment","317,888",0,"317,888.0",0%,51,0
,,,"441,104,268","319,636,346","121,467,922",,51,0
EDUCATION AND VOCATIONAL TRAININGS,,,,,,,51,0
,"Operations and
Maintenance","Use of Goods and
Services",,"9,765,754.00","789,196.0",93%,51,0
,Development,"Policy Planning and
Administration",,"90,806,823.00","40,449,052.0",69%,51,0
,,ECD Development,,"55,679,617.00","69,370,383.0",45%,51,0
,,TVC and Training,,-,"12,420,536.0",0%,51,0
,,,,"156,252,194.00","123,029,167.00",56%,51,0
ROADS PUBLIC WORKS AND TRANSPORT,,,,,,,51,0
,,"Use of goods and
services","65,315,960","50,515,960.00","14,800,000.0",77%,51,0
,Programme 1,"Policy Planning and
Administration","1,798,776.00",-,"1,798,776.0",0%,51,0
,Programme 2,"Roads construction and
maintenance",,"620,199,622.00","20,572,869.0",97%,51,0
,Programme 3,"Development and
Maintenance of other
Public works","97,950,300.00","88,958,574.00","8,991,726.0",91%,51,0
,Programme 4,"County Transport
Infrastructure","4,897,500.00",-,"4,897,500.0",0%,51,0
,,Sub Total,"810,735,027.00","759,674,156.00","51,060,871.00",,51,0
