Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,"Absorption
(%)",page_number,table_index
"Agriculture, Livestock &, Coop",,,,,,99,1
Agriculture,"General Administra-
tion and Support Ser-
vice","529,522,644","372,815,000","156,707,644",70.4,99,1
,"Extension Support
Service and Exhibition","800,000","400,000","400,000",50.0,99,1
,"Agricultural Farm in-
puts & machinery",-,-,-,,99,1
Livestock,"Livestock Adminis-
tration and Support
Service","100,745,730","99,567,557","1,178,173",98.8,99,1
,Livestock Production,"1,550,000","200,000","1,350,000",12.9,99,1
,Veterinary Service,"31,350,000","1,750,000","29,600,000",5.6,99,1
Fisheries Production,Fisheries Service,"200,000","200,000",-,100.0,99,1
Cooperative,"Cooperative Develop-
ment","600,000","250,000","350,000",41.7,99,1
,Total,"664,768,374","475,182,557","189,585,817",71.5,99,1
"Environment, Energy, Nat-
ural Resource and Wildlife
Management",,,,-,,99,1
"Administration & support
service","Administration &
support service","59,243,025","58,783,000","460,025",99.2,99,1
"Environment management &
Natural","Environment manage-
ment & Natural","1,100,000","900,000","200,000",81.8,99,1
"Natural Resource manage-
ment","Natural Resource
management","1,600,000","900,000","700,000",56.3,99,1
Energy Development,Energy Development,"1,205,000","800,000","405,000",66.4,99,1
,Total,"63,148,025","61,383,000","1,765,025",97.2,99,1
Roads and Transport,,,,-,,99,1
Roads and Transport,"Administration &
support service","37,906,400","36,651,000","1,255,400",96.7,99,1
,Road & Transport,"511,281,885","295,050,000","216,231,885",57.7,99,1
,Total,"549,188,285","331,701,000","217,487,285",60.4,100,0
"Trade, Tourism and Enter-
prise",,,,-,,100,0
"Administration & support
service","Administration &
support service","75,447,996","75,091,000","356,996",99.5,100,0
"Trade and Investment Devel-
opment","Trade and Investment
Development","3,400,000","1,800,000","1,600,000",52.9,100,0
Weight and Measure,Weight and Measure,"152,259",-,"152,259",0.0,100,0
Tourism Development,Tourism Development,-,,-,0.0,100,0
,Total,"79,000,255","76,891,000","2,109,255",97.3,100,0
Health and Sanitation,,,,-,,100,0
"General Administration and
support service","General Administra-
tion and support ser-
vice","2,106,684,526","2,115,327,977","(8,643,451)",100.4,100,0
Curative Service,"Medical Products,
Appliance and Equip-
ments","144,739,884","144,000,000","739,884",99.5,100,0
,"Development of
Health Facilities",-,-,-,0.0,100,0
,Referral Service,"232,021,277","28,943,000","203,078,277",12.5,100,0
Preventive Services,"Health Promotion
Compaign","153,425,000","153,425,000",-,100.0,100,0
,Public Health Service,-,,-,0.0,100,0
,Nutrition,-,,-,0.0,100,0
,Total,"2,636,870,687","2,441,695,977","195,174,710",92.6,100,0
Education and Labour,,,,-,,100,0
Eduction,"General Administra-
tion and Support Ser-
vice","472,251,141","438,126,590","34,124,551",92.8,100,0
,ECD,"71,453,793","63,559,894","7,893,899",89.0,100,0
,Vocational Training,"25,501,094","14,864,400","10,636,694",58.3,100,0
Labour,Human resources,"146,630,000","145,030,000","1,600,000",98.9,100,0
,ICT & Libraries,"30,282,733","29,882,000","400,733",98.7,100,0
,Total,"746,118,761","691,462,884","54,655,877",92.7,100,0
County Assembly,,,,-,,100,0
"General Administration and
support service","General Administra-
tion and support ser-
vice","1,010,402,040","763,698,099","246,703,941",75.6,100,0
,Total,"1,010,402,040","763,698,099","246,703,941",75.6,100,0
Office of the Governor,,,,-,,100,0
Governor Operations,Governor Operations,"93,230,000","92,640,000","590,000",99.4,100,0
Deputy Governor Operations,"Deputy Governor Op-
erations","44,600,000","44,599,000","1,000",100.0,100,0
Street lighting,Street lighting,"39,306,215","39,305,000","1,215",100.0,100,0
"Operations and Sub County
Administration","Operations and Sub
County Administra-
tion","79,210,000","79,210,000",-,100.0,100,0
"Intergovernmental & Institu-
tional relation","Intergovernmental &
Institutional relation","17,192,430","17,172,000","20,430",99.9,100,0
County Attorney,County Attorney,"19,260,000","19,260,000",-,100.0,100,0
,Total,"292,798,645","292,186,000","612,645",99.8,100,0
"Finance, Revenue, Economic
Planning and County Affairs",,,,-,,100,0
"Administration & Support
Service","Administration &
Support Service","1,901,580,628","1,956,063,589","(54,482,961)",102.9,101,0
,Special Programm,"184,238,706","171,868,704","12,370,002",93.3,101,0
Public Finance Management,Accounting Service,"2,613,739","2,550,000","63,739",97.6,101,0
,Budget Formulation,"4,180,000","4,180,000",-,100.0,101,0
,Audit Services,"1,462,600","1,400,000","62,600",95.7,101,0
,Economic Planning,"34,086,000","33,608,000","478,000",98.6,101,0
,Revenue Management,"248,172,781","208,096,000","40,076,781",83.9,101,0
,"Supply Chain Man-
agement","3,125,000","2,750,000","375,000",88.0,101,0
Donor Coordination,Donor Coordination,"16,780,548","15,700,000","1,080,548",93.6,101,0
,Total,"2,396,240,002","2,396,216,293","23,709",100.0,101,0
"Gender, Social Service and
Sport",,,,-,,101,0
"Culture, Women & Youth","General Administra-
tion & Support Service","69,911,832","47,688,000","22,223,832",68.2,101,0
,"Social Protection, Cul-
tural Promotion and
Preservation","1,025,000",-,"1,025,000",0.0,101,0
,Youth and Sport,"1,763,600","1,510,000","253,600",85.6,101,0
,Total,"72,700,432","49,198,000","23,502,432",67.7,101,0
Water and Irrigation,,,,-,,101,0
Water Services,"General Administra-
tion & Support Service","239,556,361","174,738,000","64,818,361",72.9,101,0
,"Water Infrastructure
Development","785,000,000","161,000,000","624,000,000",20.5,101,0
Irrigation Service,"Irrigation Develop-
ment","45,000,000","5,000,000","40,000,000",11.1,101,0
,Total,"1,069,556,361","340,738,000","728,818,361",31.9,101,0
"Lands, Housing and Urban
Planning",,,,-,,101,0
"Administration & Support
Service","Urban Adinistration
and Support Service","239,350,000","239,247,000","103,000",100.0,101,0
Land and Housing,Lands,"7,300,000","7,300,000",-,100.0,101,0
,"Housing & public
Works","18,824,997","18,750,000","74,997",99.6,101,0
Urban Development,"Urban Planning and
Disaster Management","414,626","400,000","14,626",96.5,101,0
,"Urban sanitation and
Development","700,000","700,000",-,100.0,101,0
,Total,"266,589,623","266,397,000","192,623",99.9,101,0
County Public Service Board,,,,-,,101,0
"General Administration and
support Service","General Administra-
tion and support Ser-
vice","33,072,000","32,977,000","95,000",99.7,101,0
,Total,"33,072,000","32,977,000","95,000",99.7,101,0
Garissa Municipality,,,,-,,101,0
"General Administration and
support Service","General Adminis-
tration and support
Service","311,306,000","246,472,550","64,833,450",79.2,101,0
Total,,"311,306,000","246,472,550","64,833,450",79.2%,101,0
Grand Total,,"10,191,759,490","8,466,199,360","1,725,560,130",83.1,101,0
