Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance (Kshs.),Absorption Rate (%),page_number,table_index
Curative Health Services,"Forensic and Diag-
nostics","3,000,000","600,000","2,400,000",20.0%,298,0
Curative Health Services,"Free Primary Health-
care","486,706,290","401,017,568","85,688,722",82.4%,298,0
"General Administration
Planning and support Services","General Adminis-
tration Planning and
support Services","3,279,090,424","3,217,473,998","61,616,426",98.1%,298,0
"General Administration
Planning and support Ser-
vices","General Adminis-
tration Planning and
support Services - In-
frastructure Support
Program","1,500,000","500,000","1,000,000",33.3%,298,0
,Sub Total,"3,770,296,714","3,619,591,566","150,705,148",96.0%,298,0
4019 LANDS HOUSING AND PHYSICAL PLANNING,,,,,,298,0
"Land survey, housing and
administration","Land Policy and
Planning","11,000,000",-,"11,000,000",0.0%,298,0
"Land survey,housing and ad-
ministration",Land Survey,"12,000,000",-,"12,000,000",0.0%,298,0
"Infrastructure Development
and Expansion","Infrastructure Devel-
opment and Expan-
sion","51,920,000","25,498,484","26,421,516",49.1%,298,0
"General Administration,
Planning and Support Ser-
vices","County Administra-
tive Services","189,172,371","139,739,962","49,432,409",73.9%,298,0
"Public Trusts and Estates
Management","Administration and
Planning","49,392,371","29,049,489","20,342,882",58.8%,298,0
,Sub Total,"313,484,742","194,287,935","119,196,807",62.0%,298,0
4024 PUBLIC SERVICE AND ADMINISTRATION,,,,,,298,0
"General Administration
Planning and support Ser-
vices","General Adminis-
tration Planning and
support Services","622,915,401","574,961,144","47,954,257",92.3%,298,0
,Sub Total,"622,915,401","574,961,144","47,954,257",92.3%,298,0
4017 EDUCATION AND TECHNICAL TRAINING,,,,,,298,0
"Gender & Youth Empower-
ment","Youth Development
Services","3,100,000",-,"3,100,000",0.0%,298,0
"Youth Training and Devel-
opment","Revitalization of
Youth Polytechnics","123,147,008","120,013,360","3,133,648",97.5%,298,0
Education,"Early Childhood De-
velopment Education","62,158,100","11,523,131","50,634,969",18.5%,298,0
Education,"Motivation of Pri-
mary and Secondary
School","94,000,000","24,778,501","69,221,499",26.4%,298,0
"General Administration
Planning and support Ser-
vices","General Adminis-
tration Planning and
support Services","287,806,195","283,667,695","4,138,500",98.6%,298,0
"Stalled and new Government
buildings","Stalled and new Gov-
ernment buildings","10,000,000","4,182,500","5,817,500",41.8%,299,0
,Sub Total,"580,211,303","444,165,187","136,046,116",76.6%,299,0
4022 YOUTH CULTURE GENDER SPORTS AND SOCIAL SERVICES,,,,,,299,0
"Social Assistance to vulnerable
groups","Social Assistance to
vulnerable groups","66,253,038","65,320,588","932,450",98.6%,299,0
"Persons Living With Disabil-
ities","Persons Living With
Disabilities","22,000,000","19,818,253","2,181,747",90.1%,299,0
"Development and Manage-
ment of Sports Facilities","Development and
Management of
Sports Facilities","9,902,096","8,124,914","1,777,182",82.1%,299,0
"Development And Promo-
tion of Culture","Development And
Promotion of Culture","3,251,520","3,103,136","148,384",95.4%,299,0
"Gender & Youth Empower-
ment","Youth Development
Services","1,100,000","900,000","200,000",81.8%,299,0
"General Administration
Planning and support Ser-
vices","General Adminis-
tration Planning and
support Services","6,900,000","6,149,500","750,500",89.1%,299,0
,Sub Total,"109,406,654","103,416,391","5,990,263",94.5%,299,0
4023 ENVIRONMENT AND CLIMATE CHANGE,,,,,,299,0
"Environmental Leadership
and Governance","Environmental Lead-
ership and Gover-
nance","18,600,000","2,317,121","16,282,879",12.5%,299,0
Hazardous Waste,Hazardous Waste,"21,400,000","1,446,429","19,953,571",6.8%,299,0
"General Administration
Planning and support Ser-
vices","General Adminis-
tration Planning and
support Services","38,069,186","29,517,638","8,551,548",77.5%,299,0
,Sub Total,"78,069,186","33,281,188","44,787,998",42.6%,299,0
4020 PUBLIC SERVICE BOARD,,,,,,299,0
