Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,Absorption (%),page_number,table_index
"DEPARTMENT OF AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,70,1
"CP 1: General Admin-
istration and support
services","Administrative support
service","252,070,354","240,685,181.00","11,385,173",95%,70,1
"CP 2: Crop Production
and management","CSP 3.1 Input support ser-
vices",-,-,-,,70,1
,"CSP 3.2: Crop develop-
ment","17,506,464","14,475,445","3,031,019",83%,70,1
,CSP 3.3: Crop protection,-,-,-,0%,70,1
"CP 3: Land Use and
Management","CSP 2.1: Agricultural
mechanization","3,856,323",-,"3,856,323",0%,70,1
"CP 4: Agricultural
Training and Extension
services","CSP 4.1: Agriculture ex-
tension services","4,560,000","1,499,940","3,060,060",33%,71,0
,"CSP 4.2: Agricultural
Training services","40,946,192","20,513,753","20,432,439",50%,71,0
"CP 5: Agribusiness and
agricultural value chain
Development",CSP 5.1: Value addition,-,-,-,0%,71,0
"CP 6: Agricultural finan-
cial support services","CSP 6.1: Agricultural cred-
it support services",-,-,-,0%,71,0
"CP 7: Kenya Climate
Smart Agriculture Pro-
gramme","CSP 7.1: Kenya Climate
SMART","453,464,082","250,866,077","202,598,005",55%,71,0
"CP 8: Fisheries and
Aquaculture Resources
Development","CSP 8.1: Aquaculture de-
velopment","6,000,000","4,997,580","1,002,420",83%,71,0
,"CSP 8.2: Fisheries training
infrastructure develop-
ment",-,-,-,,71,0
,"CSP 8.3: Fish value addi-
tion and marketing","4,000,000","4,000,000",-,100%,71,0
,"CSP 8.4: Lake-based aqua-
culture parks",-,-,-,,71,0
"CP 9: Veterinary Health
Services","CSP 10.1: Veterinary Dis-
ease control","3,555,460","2,449,865","1,105,595",69%,71,0
,CSP 10.2:AI services,-,-,-,,71,0
,"CSP 10.3 Meat inspection
services",-,-,-,,71,0
,"CSP 10.4 Veterinary Ex-
tension",-,-,-,,71,0
"CP 10: Livestock produc-
tion& Development","CSP 9.1: Livestock pro-
duction improvement","12,010,692","4,998,897","7,011,795",42%,71,0
,"CSP 9.2: Livestock Exten-
sion","2,000,000",-,"2,000,000",0%,71,0
"CP 11: Other Develop-
ment Projects","CSP 11.1: Other Develop-
ment projects","305,965,650","219,382,187","86,583,463",72%,71,0
Total for Vote,,"1,105,935,217","763,868,925","342,066,292",69%,71,0
"DEPARTMENT OF TRADE, COOPERATIVE AND INDUSTRIALIZATION",,,,,,71,0
"CP 12: General Admin-
istration and Support
services","CSP 12.1: Administrative
support service","81,262,962.06","71,320,947","9,942,015.06",88%,71,0
"CP 13: Trade Develop-
ments and Investment","CSP 13.1: Busia county
trade development fund",-,-,-,0%,71,0
,"CSP 13.2: Market modern-
ization and development","88,820,000.00","18,647,138.00","70,172,862.00",21%,71,0
"CP 14: Fair Trade Prac-
tices","CSP 14.1: Weights and
measures.",-,-,-,0%,71,0
"CP 15: Cooperative
development","CSP 15.1 Busia county co-
operative enterprise devel-
opment fund","2,000,000.00","1,583,687.10","416,312.90",79%,71,0
,"CSP 15.2: Revitalisation of
cotton ginneries",-,-,-,0%,71,0
,CSP 15.3: value addition,"5,000,000.00",-,"5,000,000.00",0%,71,0
"CP 16: Other Develop-
ment Projects","CSP 16.1. Other Develop-
ment projects","124,334,030.00","24,756,382.00","99,577,648.00",20%,71,0
Total for Vote,,"301,416,992.06","116,308,154.10","185,108,837.96",39%,71,0
"DEPARTMENT OF FINANCE, ECONOMIC PLANNING AND SERVICE DELIVERY",,,,,,72,0
"CP 22: General Admin-
istration and Support
services","CSP 22.1: Administrative
support service","904,041,487.64","881,001,993","23,039,494.64",97%,72,0
"CP 23: Financial man-
agement, Control and
Development services","CSP 23.1: Revenue genera-
tion services","8,000,000.00","6,670,572.00","1,329,428.00",83%,72,0
"CP 24: Information and
Communication Services","CSP 24.1: ICT support ser-
vices","5,000,000.00","5,000,000.00",-,100%,72,0
"CP 25: Other Develop-
ment Projects","CSP 25.1: Other Develop-
ment projects",-,-,-,0%,72,0
Total for Vote,,"917,041,488","892,672,565","24,368,923",97%,72,0
