Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"County Coordination
Services",County Coordination Services,"116,001,145","113,817,836","2,183,309",98.1,148,1
"Public sector advisory
services",Economic and Social Advisory Service,,,,,148,1
,,"116,001,145","113,817,836","2,183,309",98.1,148,1
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,148,1
"Administration, Plan-
ning and Support Ser-
vices.",Administration Services.,"374,103,219","311,725,465","62,377,754",83.3,148,1
"Administration, Plan-
ning and Support Ser-
vices.","Monitoring Budget Implementation and
Reporting","11,981,851","11,971,854","9,997",99.9,148,1
"Public Finance Man-
agement","Budget Formulation co-odination and
management","69,453,477","67,696,302","1,757,175",97.5,148,1
Audit Services,County Audit,"2,766,483","2,766,483",-,100,148,1
,,,,,,148,1
,,"458,305,030","394,160,103","64,144,927",86,148,1
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,148,1
"Policy, Strategy and
Management of Agri-
culture","Development of Agricultural Policy, Le-
gal & Regulatory framework.","42,047,952","18,570,710","23,477,242",44.2,148,1
"Crop Development
and Management",Agriculture Extension Services,"448,874,605","395,413,050","53,461,555",88.1,148,1
"Livestock Resource
Management and De-
velopment","Livestock Disease Management and
Control.","6,260,397","6,161,510","98,887",98.4,148,1
"Livestock Resource
Management and De-
velopment","Livestock Production and Extension
Services","65,095,995","54,487,185","10,608,810",83.7,148,1
"Fisheries develop-
ment","Management and Development of Cap-
ture Fisheries","7,595,177","2,718,287","4,876,890",35.8,148,1
,,,,,,148,1
,,"569,874,126","477,350,742","92,523,384",83.8,148,1
"DEPARTMENT: WATER, ENERGY, NATURAL RESOURCES AND ENVIRONMENT",,,,,,148,1
"Environment policy
development and co-
ordination","Planning Coordination Policy and Ad-
ministrative Services","116,315,734","107,651,301","8,664,434",92.6,149,0
Water supply services,Rural Water Supply,"420,226,643","331,244,318","88,982,325",78.8,149,0
,,,,,,149,0
,,"536,542,377","438,895,619","97,646,758",81.8,149,0
"DEPARTMENT:EDUCATION, YOUTH AFFAIRS, CULTURE AND SOCIAL SERVICES",,,,,,149,0
"General Administra-
tion & planning ser-
vices.","Policy Development and Administra-
tion","187,700,528","187,631,900","68,628",100,149,0
Basic Education,"Early Childhood Development Educa-
tion","226,756,201","199,680,633","27,075,568",88.1,149,0
"Gender and Social
Development","Social Welfare Services/Social Infra-
structure Development","10,413,351","5,783,356","4,629,995",55.5,149,0
"Youth development
and empowerment
services",Youth development (YP) Training,"70,906,590","35,063,034","35,843,556",49.5,149,0
"Management and de-
velopment of sports
and sport facilities",Development of Sports Activities,"4,000,000",-,,,149,0
,,"499,776,670","428,158,923","67,617,747",85.7,149,0
"DEPARTMENT:
HEALTH SERVICES",,,,,,149,0
Curative Health,Administration and Planning,"1,271,168,552","1,241,054,998","30,113,554",97.6,149,0
Curative Health,Hospital(curative)Services,,,,,149,0
"Preventive and Pro-
motive Health","Preventive Medicine and Promotive
Health","1,261,642,196","1,156,379,156","105,263,040",91.7,149,0
,,,,,,149,0
,,"2,532,810,748","2,397,434,154","135,376,594",94.7,149,0
"DEPARTMENT: LANDS, HOUSING AND PHYSICAL PLANNING",,,,,,149,0
"Administration and
support services",General Administration and Planning,"43,478,784","43,001,709","477,075",98.9,149,0
"Housing Develop-
ment and Human Re-
source",Housing Development,"41,858,299","26,468,984","15,389,315",632,149,0
"Land policy and plan-
ning","Development Planning and Land Re-
forms","160,379,148","112,378,958","48,000,190",70.1,149,0
"Land policy and plan-
ning",Land Use Planning,"9,902,443","6,425,150","3,477,293",64.9,149,0
,,,,,,149,0
,,"255,618,674","188,274,801","67,343,873",73.7,149,0
"DEPARTMENT: PUBLIC WORKS, ROADS AND TRANSPORT",,,,,,149,0
"Transport Manage-
ment and safety","General Administration Planning and
Support Services","63,443,521","55,548,696","7,894,825",87.6,149,0
"Infrastructure, Roads
and Transport",Rehabilitation of Road,"1,233,483,967","1,055,783,680","177,700,287",85.6,149,0
"Infrastructure, Roads
and Transport","Maintenance of Roads and Bridges/Pe-
riodic Maintenance","107,033,242","75,863,181","31,170,061",70.9,149,0
,,,,,,149,0
,,"1,403,960,730","1,187,195,557","216,765,173",84.6,149,0
"DEPARTMENT: TRADE, INDUSTRIALISATION, TOURISM, WILDLIFE AND COOPERATIVE MANAGEMENT",,,,,,149,0
"Trade development
and investment","Fair trade Practices and Consumer Pro-
tection (weight & measures)","57,784,347","55,923,529","1,860,818",96.8,149,0
"Trade development
and investment",Administrative and Support Services.,"9,477,878","6,019,957","3,457,921",63.5,149,0
