Sub Program,Name of the Programme,"Approved Esti-
mates FY 2020/21","Expendi-
ture 1/7/20-
30/06/21(Kshs)",Variance (Kshs.),"Implementation
Status (% )",page_number,table_index
,"Develop and maintain other public
works","37,704,319","18,707,799","18,996,520",49.6,427,0
203134110,Machinery,"3,500,000","934,300","2,565,700",26.7,427,0
203144110,Machinery,"19,528,919","5,758,499","13,770,420",29.5,427,0
203154110,Feasibility & Consultancy,"9,800,000","10,200,000","-400,000",104.1,427,0
,,(Kshs.),,,,428,0
203184110,Professional Capacity Building,"2,400,000","1,080,000","1,320,000",45,428,0
,General Administration,"325,069,350","126,632,519","198,436,831",39,428,0
205014110,General Administration,"298,884,161","121,095,589","177,788,572",40.5,428,0
205024110,General Administration- Public works,"26,185,189","5,536,930","20,648,259",21.2,428,0
,,"3,100,000","2,150,970","949,030",69.4,428,0
206014110,Mechanical Services,"3,100,000","2,150,970","949,030",69.4,428,0
,,"4,195,516","1,818,780","2,376,736",43.4,428,0
207014110,Structural Services,"4,195,516","1,818,780","2,376,736",43.4,428,0
,,"1,200,000",0,"1,200,000",-,428,0
208014110,Electrical Services,"1,200,000",0,"1,200,000",-,428,0
,,"628,784","625,840","2,944",99.5,428,0
209014110,Building Inspectorate,"628,784","625,840","2,944",99.5,428,0
,,"1,340,000","1,301,760","38,240",97.2,428,0
210014110,Architectural Services,"1,340,000","1,301,760","38,240",97.2,428,0
,"Cooperative Societies Development &
Performance Improvement","150,114,404","74,401,239","75,713,165",49.6,428,0
302014110,Cooperatives Development Fund,"5,724,335","397,805","5,326,530",7,428,0
302024110,Value Addition Initiatives,"6,242,000","2,654,304","3,587,696",42.5,428,0
302034110,"Business Development and Training
Services","797,800","90,000","707,800",11.3,428,0
302044110,Liquor control Programme,"1,206,180","432,600","773,580",35.9,428,0
302054110,"Cooperative societies development and
revival programmes","7,318,830","1,018,000","6,300,830",13.9,428,0
302064110,Legal Metrology Services,"1,724,860","90,000","1,634,860",5.2,428,0
302074110,Verification of traders equipment,"1,534,000","633,400","900,600",41.3,428,0
302084110,Consumer rights education,"565,725","135,000","430,725",23.9,428,0
302104110,"Standards and Anti-Counterfeit Ser-
vices","3,315,000","45,000","3,270,000",1.4,428,0
302114110,Market Infrastructure Development,"14,000,000","11,946,010","2,053,990",85.3,428,0
302124110,"Industrial Development and Invest-
ments","647,204",0,"647,204",-,428,0
302134110,Biashara Fund,"52,325,320","52,325,320",0,100,428,0
302144110,Completion of Biashara Centre,"49,000,000",0,"49,000,000",-,428,0
302154110,North Rift Economic & FCDC Blocs,"1,933,150","1,533,800","399,350",79.3,428,0
302164110,Standardization and Metrology,"3,000,000","2,975,000","25,000",99.2,428,0
302174110,Mgt of Kakuma Biashara Centre,"780,000","125,000","655,000",16,428,0
