Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Sub-programme 5,Kathiani Level 4,"14,874,943","14,874,944",(1),100.0%,236,0
Sub-programme 6,Mwala Level 4,"9,762,884","9,762,884",(0),100.0%,236,0
Sub-programme 7,"Public Health and Communi-
ty Outreach","62,922,539","39,877,930","23,044,609",63.4%,236,0
Sub-programme 8,Emergency Services,"12,896,998","11,954,244","942,754",92.7%,236,0
TOTAL,,"3,298,715,960","3,135,916,178","162,799,782",95.1%,236,0
"ROADS, TRANSPORT AND PUBLIC WORKS",,,,,,236,0
Sub-programme 1,"Head quarter Administrative
services","138,734,101","121,469,956","17,264,146",87.6%,236,0
Sub-programme 2,"Road Development and Man-
agement","609,157,472","442,190,597","166,966,875",72.6%,236,0
Sub-programme 3,"County Government Build-
ings","172,462,640","176,462,416","(3,999,776)",102.3%,236,0
Sub-programme 4,County Fleet Management,"119,941,489","78,943,590","40,997,899",65.8%,236,0
TOTAL,,"1,040,295,702","819,066,559","221,229,144",78.7%,236,0
"EDUCATION,YOUTH AND SOCIAL WELFARE",,,,,,236,0
Sub-programme 1,"Head quarter Administrative
services","210,168,941","185,028,850","25,140,091",88.0%,236,0
Sub-programme 2,Basic Education,"6,285,011","3,990,466","2,294,545",63.5%,236,0
Sub-programme 3,Youth Development Services,"80,771,253","77,165,116","3,606,137",95.5%,236,0
Sub-programme 4,Gender and Social Services,"11,164,000","5,225,255","5,938,745",46.8%,236,0
TOTAL,,"308,389,205","271,409,687","36,979,518",88.0%,236,0
"ENERGY,LANDS,HOUSING AND URBAN DEVELOPMENT",,,,,,236,0
Sub-programme 1,Lands,"35,224,987","31,215,752","4,009,235",88.6%,236,0
Sub-programme 2,Energy and Natural Resources,"161,740,073","142,565,254","19,174,819",88.1%,236,0
Sub-programme 3,"Housing and Urban Develop-
ment","1,792,102,950","499,894,511","1,292,208,439",27.9%,236,0
TOTAL,,"1,989,068,010","673,675,517","1,315,392,493",33.9%,236,0
"TOURISM,CULTURE,YOUTH AND SPORTS",,,,,,236,0
Sub-programme 1,"General administrative and
Support Services","45,837,729","40,627,636","5,210,093",88.6%,236,0
Sub-programme 2,Heritage & Culture,"17,603,788","6,164,492","11,439,296",35.0%,236,0
Sub-programme 3,Liquor Management,"130,695",-,"130,695",0.0%,236,0
Sub-programme 4,"Tourism Development and
Marketing","19,883,067","19,456,832","426,235",97.9%,236,0
Sub-programme 5,Machawood,"2,688,732","1,743,378","945,354",64.8%,236,0
Sub-programme 6,County Image Directorate,"7,897,859","300,000","7,597,859",3.8%,236,0
Sub-programme 7,Youth and Sports,"89,756,551","57,950,396","31,806,155",64.6%,236,0
TOTAL,,"183,798,421","126,242,734","57,555,687",68.7%,236,0
COUNTY PUBLIC SERVICE BOARD,,,,,,236,0
Sub-programme 1,"Human Resource and Admin-
istration","27,103,856","18,951,026","8,152,830",69.9%,236,0
TOTAL,,"27,103,856","18,951,026","8,152,830",69.9%,236,0
