Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payment
(Ksh)","s
Variance
t","Absorp-
ion (%)",page_number,table_index
County Assembly,Office of The Speaker,"13,490,000","6,557,18","2 6,932,818",48.6,179,1
,"Representation,Legislative and Oversight
Services","192,401,067","185,785,65","7 6,615,410",96.6,179,1
,County Assembly Service Board,"815,359,901","769,909,84","9 45,450,052",94.4,179,1
,Sub Total,"1,021,250,968","962,252,68","8 58,998,280",94.2,179,1
