Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"County Attor-
ney","Administration Planning And Sup-
port Services","94,264,529","90,460,829","1,858,924",96.0,164,0
,Sub total,"94,264,529","90,460,829","1,858,924",96.0,164,0
Agriculture,"Administration, Planning and Sup-
port services","531,988,277","482,808,877","49,179,400",90.8,164,0
,Production Management,"22,755,568","28,558,361","(5,802,793)",125.5,164,0
,"Agribusiness and Information Man-
agement","54,932,865","44,227,405","10,705,460",80.5,164,0
,"Irrigation and Drainage Infrastruc-
ture","67,133,417","64,675,545","2,457,872",96.3,164,0
,Sub total,"676,810,127","620,270,188","56,539,939",91.6,164,0
"Devolution,
Public service
and Disaster
management","General Administration Planning
and Support services","549,179,111","511,521,861","37,951,347",93.1,164,0
,Human Resource Management,"16,589,954","6,844,458","15,339,283",41.3,164,0
,Devolution & Public Participation,"55,210,041","1,226,285","645,872",2.2,164,0
,Emergencies & Disaster,"139,850,000","151,622,068","35,327,932",108.4,164,0
,Sub total,"760,829,106","671,214,672","89,264,434",88.2,164,0
Education,"General administration, planning
and support services","641,124,269","589,040,751","52,083,518",91.9,164,0
,"Early Childhood development
education","356,896,148","239,061,634","117,834,514",67.0,164,0
,Education support services,"354,500,000","350,520,400","3,979,600",98.9,164,0
,Vocation Education and training,"148,813,662","119,834,630","28,979,032",80.5,164,0
,Sub total,"1,501,334,079","1,298,457,415","202,876,664",86.5,164,0
"Environment,
Forestry, Nat-
ural Resources
& Wildlife","Environment management and
protection","188,469,954","42,582,566","31,066,115",22.6,164,0
,Sub total,"188,469,954","42,582,566","31,066,115",22.6,164,0
"Economic
Planning",County Fiscal Planning,"66,910,250","20,650,490","5,899,510",30.9,164,0
,"Statistical Information services /
Monitoring","54,514,532","4,281,675","27,465,129",7.9,164,0
,Sub total,"121,424,782","24,932,165","33,364,639",20.5,164,0
Finance,"Administration, Planning and Sup-
port Services","586,038,543","449,092,592","41,421,707",76.6,164,0
,"Kenya devolution support pro-
gramme","22,500,000","71,551,287","(41,551,287)",318.0,164,0
,"Budget Formulation, Coordination
and Management","18,031,000","2,963,236","19,029,249",16.4,164,0
,Audit Services,"4,065,000","827,837","5,302,163",20.4,164,0
,Accounting Services,"5,812,500","3,795,433","2,329,567",65.3,164,0
,Supply Chain Management Services,"4,650,000","3,236,886","8,263,114",69.6,164,0
,"Resource Mobilization/Debt Man-
agement","31,533,455","14,466,384","27,204,135",45.9,164,0
,Development,"11,835,260","16,229,272","15,304,183",137.1,164,0
,Sub total,"684,465,758","562,162,927","77,302,831",82.1,164,0
Gender,"General Administration, Planning
and Support Services","72,568,629","64,389,590",,88.7,165,0
,Conservation of Culture,"13,259,300","3,876,895",,29.2,165,0
,Sports Development,"48,176,900","25,022,888",,51.9,165,0
,Gender Mainstreaming,"35,297,000","19,745,430",,55.9,165,0
,Betting control and licensing,"18,017,000","13,994,875",,77.7,165,0
,Social & Youth Devpt,"87,194,684","46,986,598",,53.9,165,0
,Sub total,"274,513,513","174,016,276",-,63.4,165,0
Health,Curative and rehabilitative,"559,781,345","367,995,918","300,000",65.7,165,0
,"General Administration, Planning &
Support Services","2,944,142,640","2,489,174,474","3,000,000",84.5,165,0
,Development,"785,174,152","622,351,827","2,000,000",79.3,165,0
,Sub total,"4,289,098,137","3,479,522,219","5,300,000",81.1,165,0
"Lands &
Energy","General Administration Planning
and Support services","168,321,956","107,986,498",,64.2,165,0
,Land policy and planning,"167,801,699","115,202,442",,68.7,165,0
,Alternative Energy Technologies,"187,104,504","165,316,428",,88.4,165,0
,Sub total,"523,228,159","388,505,368",-,74.3,165,0
Livestock,"Administration, Planning and Sup-
port services","13,471,929","10,077,682","3,394,247",74.8,165,0
,"Livestock Production and Manage-
ment","19,164,639","11,032,370","8,132,269",57.6,165,0
,"Livestock Value Addition and
Marketing","59,889,231","54,011,889","5,877,342",90.2,165,0
,"Food Safety and Animal Products
Development","29,121,497","27,174,346","1,947,151",93.3,165,0
,"Livestock Disease Management and
Control","26,943,035","24,758,718","2,184,317",91.9,165,0
,Sub total,"148,590,331","127,055,005","21,535,326",85.5,165,0
Fisheries,"Fisheries Policy and Capacity Devel-
opment","49,163,146","33,565,904","15,597,242",68.3,165,0
,"Assurance of Fish Safety, Value
Addition and Marketing","45,487,508","38,809,671","6,677,837",85.3,165,0
,Sub total,"94,650,654","72,375,575","22,275,079",76.5,165,0
"Office of the
Governor",Intergovernmental relations,"11,175,368","10,397,816","777,552",93.0,165,0
,"Administration, planning and sup-
port services","338,490,453","333,288,308","5,056,145",98.5,165,0
,Sub total,"349,665,821","343,686,124","5,833,697",98.3,165,0
"County As-
sembly",General administration,"817,588,616","816,443,237",,99.9,165,0
,Development,"118,500,000","92,619,206",,78.2,165,0
,Sub total,"936,088,616","909,062,443",-,97.1,165,0
Public Works,"General administration, planning
and support services","390,810,265","390,810,265",,100.0,165,0
,Road Transport,"1,205,455,408","994,099,685",,82.5,165,0
,Sub total,"1,596,265,673","1,384,909,950",-,86.8,165,0
"Trade & Tour-
ism","General Administration, Planning
and Support services","137,628,379","75,153,248","24,230,491",54.6,165,0
,"Trade & Tourism Development and
Promotion","225,795,737","242,265,876","91,244,538",107.3,165,0
,"Co-operative Development and
Promotion","14,350,000","4,837,673","9,512,327",33.7,165,0
,Sub total,"377,774,116","322,256,797","124,987,356",85.3,165,0
