Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"General administration,
planning and support ser-
vices",Service Delivery Unit,"23,200,000","23,200,000.00",-,100.0,351,1
,"Governor's Office & Invest-
ment Promotion","86,585,058","78,878,052.00","7,707,006",91.1,351,1
,"Liaison and Intergovernmental
Relations","13,750,000","5,250,000.00","8,500,000",38.2,351,1
,"Civic Education and Public
Participation","8,600,000","8,599,998.00",2,100.0,351,1
Sub Total,,"132,135,058","115,928,050","16,207,008",87.7%,351,1
County Secretary,"County Secretary-Administra-
tion","18,205,450","18,205,449.50",1,100.0,352,0
,"Communication and Public
Relations","8,805,460","8,805,440.00",20,100.0,352,0
,Cabinet Affairs,"1,100,000","1,100,000.00",-,100.0,352,0
"Human Resource Man-
agement","Payroll (Including Compensa-
tion to employees)","1,896,550,000","1,896,549,999.76",0,100.0,352,0
,"Human Resource Manage-
ment (Including employee
gratuity, pension and medical
insurance)","97,530,000","97,530,000.00",-,100.0,352,0
Sub Total,,"2,022,190,910","2,022,190,889",21,100.0%,352,0
County Attorney Services,legal and public affairs,"49,682,655","47,702,965.00","1,979,690",96.0,352,0
Sub Total,,"49,682,655","47,702,965","1,979,690",96.0%,352,0
Public administration,Public Administration,"4,820,000","4,510,896.00","309,104",93.6,352,0
,"sub-county and ward adminis-
tration","26,450,000","23,709,040.00","2,740,960",89.6,352,0
,Enforcement and Compliance,"6,000,000","5,958,194.00","41,806",99.3,352,0
"ICT and E-government
Services","ICT and E-government Ser-
vices","19,895,616","17,300,730.00","2,594,886",87.0,352,0
Sub Total,,"57,165,616","51,478,860","5,686,756",90.1%,352,0
"County Public Service
Board",County Public Service Board,"24,450,000","24,450,000.00",-,100.0,352,0
Sub Total,,"24,450,000","24,450,000",-,100.0%,352,0
"Public Finance Manage-
ment",County Funds,"241,000,000","212,500,000.00","28,500,000",88.2,352,0
,County Pending Bills,"3,541,004","3,117,688.00","423,316",88.0,352,0
,treasury services,"79,113,673","81,129,947.10","(2,016,275)",102.5,352,0
,Financial reporting,"6,097,425","6,089,071.00","8,354",99.9,352,0
,"Revenue Collection and Ad-
ministration (Including auto-
mation)","25,642,085","25,936,694.00","(294,609)",101.1,352,0
,"Revenue Enhancement and
Monitoring","18,678,073","18,678,064.00",9,100.0,352,0
,Supply Chain Management,"6,786,457","7,326,170.00","(539,713)",108.0,352,0
,"Internal Audit and Risk Man-
agement","12,920,000","12,806,688.00","113,312",99.1,352,0
"Economic planning and
development",County Budgeting,"16,226,340","16,221,142.00","5,198",100.0,352,0
,"County Statistics and Data
Bank","7,400,000","7,392,860.00","7,140",99.9,352,0
,Monitoring and Evaluation,"14,151,649","14,149,029.00","2,620",100.0,352,0
,"Economic Modelling and Re-
search","3,700,000","3,698,290.00","1,710",100.0,352,0
,"Economic Development Plan-
ning (Including CEKEB)","97,162,621","54,085,245.00","43,077,376",55.7,352,0
Sub Total,,"532,419,326","463,130,888","69,288,438",87.0%,352,0
"Preventive and Promotive
Services","Preventive and Promotive Ser-
vices","6,504,274","6,301,194.30","203,080",96.9,352,0
Curative Services,"Curative Services (includ-
ing universal health care and
grants)","781,370,324","601,702,022.60","179,668,301",77.0,352,0
"General administration,
planning and support ser-
vices",Solid Waste and Cemeteries,"4,469,915","4,319,585.00","150,330",96.6,352,0
,Infrastructure and Equipment,"294,266,507","280,989,933.00","13,276,574",95.5,352,0
Sub total,,"1,086,611,020","893,312,735","193,298,285",82.2%,352,0
Primary education,ECDE,"73,640,000","53,102,085.00","20,537,915",72.1,352,0
"Youth training and devel-
opment","Revitalization of youth poly-
technics","68,123,765","56,974,498.00","11,149,267",83.6,352,0
"Gender Affairs and Social
Services & youth empow-
erment","Gender Affairs and Social Ser-
vices","61,760,000","53,760,000.00","8,000,000",87.0,353,0
"General administration,
planning and support ser-
vices","Alcohol Drinks Control and
Civic Education","4,550,000","4,550,000.00",-,100.0,353,0
Culture,"development and promotion
of culture","97,796,110","62,361,254.00","35,434,856",63.8,353,0
Sub Total,,"305,869,874","230,747,837","75,122,037",75.4,353,0
"Trade development and
promotion",Financial and Trade Services,"65,749,157","43,009,376.00","22,739,781",65.4,353,0
"Industrial development
and investment","Industrial and Enterprise De-
velopment","109,447,790","34,730,510.00","74,717,280",31.7,353,0
,Weights & Measures,"2,572,500","2,666,487.00","(93,987)",103.7,353,0
"Cooperative development
and management",Cooperative advisory services,"29,535,800","29,483,862.00","51,938",99.8,353,0
,"cooperative audit extension
services","4,221,200","4,170,785.00","50,415",98.8,353,0
Sub Total,,"211,526,447","114,061,020","97,465,427",53.9,353,0
Sports,Sports Development,"62,903,800","56,165,119.20","6,738,681",89.3,353,0
Youth Affairs,Youth Affairs,"32,955,000","32,954,748.00",252,100.0,353,0
Arts & Theatre,Arts & Theatre,"36,944,459","17,916,709.00","19,027,750",48.5,353,0
Sub Total,,"132,803,259","107,036,576","25,766,683",80.6,353,0
"Water Resource Develop-
ment.","water resource conservation
and protection, infrastructure
and flood control","249,048,800","128,041,883.00","121,006,917",51.4,353,0
Environment,"environmental support and
management","35,065,000","34,064,973.00","1,000,027",97.1,353,0
,climate change resilience,"3,500,000","3,500,000.00",-,100.0,353,0
"Tourism development and
promotion","tourism infrastructure devel-
opment","200,042,274","94,532,351.00","105,509,923",47.3,353,0
"Irrigation and Drainage
infrastructure","promotion of irrigation and
drainage development and
management","11,955,000","2,955,000.00","9,000,000",24.7,353,0
Sub Total,,"499,611,074","263,094,207","236,516,867",52.7,353,0
Road transport,"Transport (Including fuel lev-
el, General Administration &
Support Services)","819,200,617","726,204,965.55","92,995,651",88.6,353,0
,Public Works,"491,957,464","309,139,791.00","182,817,673",62.8,353,0
"Alternative energy tech-
nologies",alternative energy technologies,"50,540,633","44,903,297.00","5,637,336",88.8,353,0
"General administration,
planning and support ser-
vices","Emergency Response & Pre-
paredness","3,350,000","3,349,986.00",14,100.0,353,0
Sub Total,,"1,365,048,714","1,083,598,040","281,450,674",79.4,353,0
Land policy and planning,Physical Planning,"26,294,798","22,471,226.00","3,823,572",85.5,353,0
,Survey and Mapping,"5,670,564","4,502,366.00","1,168,198",79.4,353,0
,"Land Administration and
Management","45,014,258","11,524,258.00","33,490,000",25.6,353,0
"Housing & Urban Devel-
opment","Housing & Urban Develop-
ment (Kenya Urban Support
Programme)","126,029,537","91,217,420.90","34,812,116",72.4,353,0
Sub Total,,"203,009,157","129,715,271","73,293,886",63.9,353,0
"Crop development and
management",land and crop development,"363,543,931","301,687,160.65","61,856,771",83.0,353,0
"Livestock resources man-
agement and development","livestock production and man-
agement","15,851,204","12,851,204.00","3,000,000",81.1,354,0
,Veterinary Services,"14,467,621","14,467,621.00",-,100.0,354,0
"Fisheries Development
and management","fisheries policy, strategy and
capacity building","2,921,871","2,570,871.00","351,000",88.0,354,0
"General Administration,
Planning and support ser-
vices",Institution Support (ATCs),"11,045,000","10,435,000.00","610,000",94.5,354,0
,"Agriculture Mechanization
Services","42,392,548","39,158,052.35","3,234,495",92.4,354,0
,"General administration and
Extension Services","11,024,563","11,928,763.00","(904,200)",108.2,354,0
,"Subsidized Artificial Insemi-
nation","6,801,681","6,801,681.00",-,100.0,354,0
Sub Total,,"468,048,419","399,900,353","68,148,066",85.4,354,0
County Assembly,"legislative, oversight and repre-
sentation","725,000,000","715,985,564.74","9,014,435",98.8,354,0
Sub Total,,"725,000,000","715,985,565","9,014,435",98.8,354,0
Grand Total,,"7,815,571,527","6,662,333,256","1,153,238,272",85.2,354,0
