Program,Sub Program,Description,"Approved Bud-
get (Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
203003510,,Road Upgrading,-,-,-,,119,0
,203013510,"Upgrading of Isiolo Town roads to
bitumen standards",-,-,-,,119,0
204003510,,Public Works.,"178,447,038","146,440,604","32,006,434",82.1,119,0
,204013510,Road Improvement,"15,579,000","7,289,135","8,289,865",46.8,119,0
,204023510,Estate Floodlighting facilities.,"162,868,038","139,151,469","23,716,569",85.4,119,0
,204033510,"Bridge Infrastructure and Engineer-
ing Designs",-,-,-,,119,0
,204043510,Roads Maintenance Emergency,-,-,-,,119,0
205003510,,"Administrative and Support Ser-
vices",-,-,-,,119,0
,205013510,Personnel Management,-,-,-,,119,0
,205023510,"General Administration and Sup-
port Services",-,-,-,,119,0
206003510,,KUSP,"171,079,258","36,215,148","134,864,110",21.2,119,0
,206013510,"Control of invasive species
(Mathenge)",-,-,-,,119,0
,206023510,Urban Development,"171,079,258","36,215,148","134,864,110",21.2,119,0
,206033510,Grave yards protection,-,-,-,,119,0
,206043510,Garbage collection Support(truck),-,-,-,,119,0
,206053510,County Climate change,-,-,-,,119,0
,206063510,Rehabilitation of Sewerage Ponds,-,-,-,,120,0
,206073510,"Installation of Hybrid Solar Pump-
ing System in Boreholes",-,-,-,,120,0
207003510,,Municipal Administration,"166,612,702","128,568,542","38,044,160",77.2,120,0
,207013510,"General Administration and Plan-
ning","76,597,192","67,432,434","9,164,758",88.0,120,0
,207023510,Infrastructural Development,"90,015,510","61,136,108","28,879,402",67.9,120,0
301003510,,Trade development and promotion,"32,764,553","17,805,350","14,959,203",54.3,120,0
,301013510,"Entrepreneurship and business
management training","32,764,553","17,805,350","14,959,203",54.3,120,0
,301023510,"Micro and Small Business Support
Services",-,-,-,,120,0
,301033510,Infrastructure support,-,-,-,,120,0
,301043510,Development of new market stalls,-,-,-,,120,0
302003510,,Fair Trade Practices,-,-,-,,120,0
,302013510,"Verification of weighing and mea-
suring instruments",-,-,-,,120,0
303003510,,Co-Operative Development,-,-,-,,120,0
,303013510,"Co-operative training and supervi-
sion",-,-,-,,120,0
304003510,,Tourism Promotion,"185,620,387","167,805,897","17,814,490",90.4,120,0
,304013510,Tourism Promotion and Marketing,-,-,-,,120,0
,304023510,Tourism Development,"173,220,387","161,240,897","11,979,490",93.1,120,0
,304033510,"Protection of endangered wildlife
animals.","12,400,000","6,565,000","5,835,000",52.9,120,0
,304043510,"Conservancy development and sup-
port",-,-,-,,120,0
305003510,,"General Administration Planning
and Support Services",-,-,-,,120,0
,305013510,"The Administration Planning Sup-
port Services",-,-,-,,120,0
,305023510,Personnel service,-,-,-,,120,0
,305033510,Market Chain Development,-,-,-,,120,0
401003510,,"Health Preventive and Promotive
Services","186,044,483","128,722,069","57,322,414",69.2,120,0
,401013510,Community Health Strategy,-,-,-,-,120,0
,401023510,"Preventive and Promotive Health
Services","163,637,025","116,577,008","47,060,017",71.2,120,0
,401033510,"Disease Surveillance and Epidemic
Preparedness","22,407,458","12,145,061","10,262,397",54.2,120,0
,401043510,"Health communication, Promotive
Services & health promotion",-,-,-,,120,0
,401053510,,-,-,-,,120,0
,401063510,Purchase of KEPI Fridges,-,-,-,,120,0
402003510,,Health Curative Services,"957,195,865","930,760,033","26,435,832",97.2,120,0
,402013510,"Provision Of Essential Health prod-
ucts In all The Level",-,-,-,,120,0
,402023510,"Elimination of Communicable and
Non-Communicable Diseases",-,-,-,,120,0
,402033510,Administration Support Services,"957,195,865","927,600,033","29,595,832",96.9,120,0
,402043510,"SP4 Administration Support Ser-
vices( Medical Services)",-,-,-,,120,0
,402083510,Beyond Zero Campaigns,-,-,-,,120,0
,402093510,Preventive and Promotive Services,-,"3,160,000","(3,160,000)",,121,0
403003510,,Administration and Planning,"196,624,308","131,191,206","65,433,102",66.7,121,0
,403013510,"Curative and Rehabilitative Health
Services","196,624,308","131,191,206","65,433,102",66.7,121,0
,403023510,Health Information System,-,-,-,,121,0
,403033510,Leadership/Governance,-,-,-,,121,0
,403043510,Human Resources for health,-,-,-,,121,0
,403053510,Curative Infrastructure Support,-,-,-,,121,0
404003510,,"Health systems for universal care
project",-,-,-,,121,0
,404013510,"World Bank Loan for Transforming
Health System for Universal Car",-,-,-,,121,0
501003510,,"Administration, Planning and
Support Services.","205,333,068","151,184,414","54,148,654",73.6,121,0
,501013510,Administration,"170,333,068","151,184,414","19,148,654",88.8,121,0
,501023510,Personnel services,-,-,-,,121,0
,501033510,Contracted Services,"35,000,000",-,"35,000,000",-,121,0
502003510,,"Provision of education and train-
ing services","30,063,384","2,900,391","27,162,993",9.7,121,0
,502013510,ECDE Classroom Infrastructure,"26,063,384","2,900,391","23,162,993",11.1,121,0
,502023510,Vocational Training,-,-,-,,121,0
,502033510,Youth Polytechnics,-,-,-,,121,0
,502043510,"Promotion of Quality Youth em-
powerment","4,000,000",-,"4,000,000",-,121,0
,502063510,Child Rescue Centre In Isiolo,-,-,-,,121,0
503003510,,Cultural and Arts Empowerment,"7,560,850","4,868,447","2,692,403",64.4,121,0
,503013510,"Promotion of culture, arts and tal-
ents",-,-,-,,121,0
,503023510,"Education and Vocational Training
Support",-,-,-,,121,0
,503033510,"Sports, Youth and Gender",-,-,-,,121,0
,503053510,,"7,560,850","4,868,447","2,692,403",64.4,121,0
,503103510,Construction of Youth Polytechnic,-,-,-,,121,0
504003510,,"Management and development of
Sports and sports facilities","126,310,031","100,579,020","25,731,011",79.6,121,0
,504013510,Sports Academy Centre,"62,000,000","45,440,330","16,559,670",73.3,121,0
,504023510,Youth and Women Empowerment,"64,310,031","55,138,690","9,171,341",85.7,121,0
505003510,,Culture and Social Services,"29,637,264","18,238,302","11,398,962",61.5,121,0
,505013510,Culture Development,"29,637,264","18,238,302","11,398,962",61.5,121,0
701003510,,Management of County Affairs,-,-,-,,121,0
,701023510,"Administration and Coordination of
County Affairs",-,-,-,,121,0
,701033510,County Executive Services,-,-,-,,121,0
702003510,,"Operationalisation of the Secre-
tariat",-,-,-,,121,0
,702033510,"Capacity building - induction pro-
grams",-,-,-,,121,0
705003510,,Promotion of Use of ICT,-,-,-,,121,0
,705013510,Internet Connectivity,-,-,-,,121,0
,705023510,E-data Storage,-,-,-,,121,0
,705033510,ICT Training,-,-,-,,122,0
708003510,,Prudent use of Financial Resources,"25,899,808","21,452,000","4,447,808",82.8,122,0
,708013510,Governors Delivery Unit,"25,899,808","21,452,000","4,447,808",82.8,122,0
709003510,,"Administration and support ser-
vices","482,720,925","346,324,033","136,396,892",71.7,122,0
,709013510,Personnel Services,"91,963,836","84,475,136","7,488,700",91.9,122,0
,709023510,Support Services,-,-,-,,122,0
,709043510,Purchase of Pool Transport,"10,000,000","8,396,280","1,603,720",84.0,122,0
,709053510,Other Support Services,-,-,-,,122,0
,709073510,ICT Infrastructure Support,-,-,-,,122,0
,709083510,"Administrative Infrastructure sup-
port","380,757,089","253,452,617","127,304,472",66.6,122,0
,709093510,Peace Dividend Projects,-,-,-,,122,0
,709123510,Civic Education,-,-,-,,122,0
,709143510,Economic Planning Services,-,-,-,,122,0
,709153510,"County Pensions and Retirement
Services",-,-,-,,122,0
710003510,,Public financial management,"146,708,709","108,481,284","38,227,425",73.9,122,0
,710013510,Administrative Services,"146,708,709","108,481,284","38,227,425",73.9,122,0
,710033510,County Debt Management,-,-,-,,122,0
,710063510,Accounting Services,-,-,-,,122,0
711003510,,"Economic Planning and Coordi-
nation","56,666,333","47,356,255","9,310,078",83.6,122,0
,711013510,Monitoring and Evaluation,"27,685,515","21,422,000","6,263,515",77.4,122,0
,711023510,"Economic Policy and County Devel-
opment Plans","11,780,818","11,434,500","346,318",97.1,122,0
,711043510,"County Development Stakeholders
Forums","8,900,000","8,291,790","608,210",93.2,122,0
,711053510,"County Baseline Surveys on County
Development Indicators","7,000,000","5,083,165","1,916,835",72.6,122,0
,711073510,"Capacity building and Support to
Departments","1,300,000","1,124,800","175,200",86.5,122,0
,711093510,"County Strategic Plan and Perfor-
mance Management Plan",-,-,-,,122,0
712003510,,Cohesion and Peace Building,"41,861,199","34,731,366","7,129,833",83.0,122,0
,712013510,"Administrative and Civic Education
Services","41,861,199","34,731,366","7,129,833",83.0,122,0
,712023510,"Conflict Management and Resolu-
tion",-,-,-,,122,0
713003510,,"County Governance and Coordi-
nation Affairs","349,593,967","323,343,093","26,250,874",92.5,122,0
,713013510,County Governance,"349,593,967","323,343,093","26,250,874",92.5,122,0
,713023510,Coordination Affairs,-,-,-,,122,0
,713033510,"Intergovernmental Services (Deputy
Governor Services)",-,-,-,,122,0
714003510,,Inter-governmental relations,-,-,-,,122,0
,714013510,"Formation of Northern Frontier
Counties Forum for peace & dev",-,-,-,,122,0
,714023510,"Baseline Survey on shared resources
with neighbouring counties",-,-,-,,122,0
,714033510,"Intercounty programmes targeting
shared resources water, pasture",-,-,-,,122,0
,714043510,Disputes resolution funds,-,-,-,,123,0
715003510,,County Exchange programmes,-,-,-,,123,0
,715013510,Women Exchange programmes,-,-,-,,123,0
,715023510,Youth Exchange Programmes,-,-,-,,123,0
,715033510,Elders Exchange programmes,-,-,-,,123,0
,715043510,"Emergency and relief Support Ser-
vice",-,-,-,,123,0
,715053510,County Public Services,-,-,-,,123,0
716003510,,"County Devolved Administrative
Affairs","27,929,309","17,712,493","10,216,816",63.4,123,0
,716013510,Devolved Administrative Affairs,"27,929,309","17,712,493","10,216,816",63.4,123,0
717003510,,Annual Conferences,-,-,-,,123,0
,717013510,"The annual people conference on
county cohesion",-,-,-,,123,0
718003510,,"Peace and unity Building Initia-
tives",-,-,-,,123,0
,718013510,"Cultural Festivals, exhibitions &
public Civic Education",-,-,-,,123,0
,718073510,"Community sensitisation pro-
grammes: county structures",-,-,-,,123,0
,718083510,"Interfaith programmes: leaders sem-
inars on peace & cohesion",-,-,-,,123,0
719003510,,"Town administration, planning
and support services","148,261,624","117,280,101","30,981,524",79.1,123,0
,719013510,Personnel Services,-,-,-,,123,0
,719023510,"General Administration Support
Services","148,261,624","117,280,101","30,981,524",79.1,123,0
,719043510,"Town Infrastructure Support Ser-
vices",-,-,-,,123,0
723003510,,County Public Service,"61,013,600","50,108,759","10,904,841",82.1,123,0
,723013510,Personnel Services,-,-,-,,123,0
,723023510,Administration Support Services,"61,013,600","50,108,759","10,904,841",82.1,123,0
724003510,,"Administration and support ser-
vices",-,-,-,,123,0
,724013510,Personnel Services,-,-,-,,123,0
,724023510,Administration Support Services,-,-,-,,123,0
,724033510,"Fencing and Rehabilitation of Pay-
roll Office",-,-,-,,123,0
725003510,,Special programmes,"176,640,136","122,292,249","54,347,887",69.2,123,0
,725013510,Administration & Planning,"56,734,514","33,608,449","23,126,065",59.2,123,0
,725023510,Disaster management,"119,905,622","88,683,800","31,221,822",74.0,123,0
726003510,,"KDSP (Kenya Devolution Support
Programme) Conditional Grant","59,900,000","35,558,400","24,341,600",59.4,123,0
,726013510,Kenya Devolution Support,"59,900,000","35,558,400","24,341,600",59.4,123,0
728003510,,Fire Control Services,-,-,-,,123,0
,728013510,Fire Control Services,-,-,-,,123,0
,728023510,Fire Engines,-,-,-,,123,0
901003510,,,-,-,-,,123,0
,901013510,Planning and Support Services,-,-,-,,123,0
,901023510,Cultural Tourism Promotion,-,-,-,,123,0
