Programme,Sub- Programme,"FY 2020/21
Approved Budget
(Kshs)","Actual Pay-
ments in FY
2020/21 (Kshs)","Variance
(Kshs.)","Absorption rate in
FY 2020/21 (%)",page_number,table_index
COUNTY ASSEMBLY,,,,,,381,1
"Legislative and Representa-
tion","Legislative and Representa-
tion","592,656,199","413,353,948","179,302,251",69.7%,381,1
,Sub total,"592,656,199","413,353,948","179,302,251",69.7%,381,1
Legislative Oversight,Legislative Oversight,"76,657,200","76,396,921","260,279",99.7%,381,1
,Sub total,"76,657,200","76,396,921","260,279",99.7%,381,1
"General Administration and
Planning Support Services","General Administration and
Planning Support Services","370,000,944","290,384,361","79,616,583",78.5%,381,1
,Sub total,"370,000,944","290,384,361","79,616,583",78.5%,381,1
"GOVERNANCE AND AD-
MINSTRATION",,,,,,381,1
"Office of the Governor and
Deputy Governor","General administration and
planning support services","164,586,960","163,595,854","991,106",99.4%,381,1
,Sub total,"164,586,960","163,595,854","991,106",99.4%,381,1
"County Executive Adminis-
tration","County Executive Adminis-
tration","295,541,876","295,541,876",-,100.0%,381,1
,Sub total,"295,541,876","295,541,876",-,100.0%,381,1
County Public Service Board,County Public Service Board,"116,956,321","116,956,321",-,100.0%,381,1
,Sub total,"116,956,321","116,956,321",-,100.0%,381,1
FINANCE AND ECONOMIC PLANNING,,,,,,381,1
General Administration,General Administration,"517,699,834","515,769,896","1,929,938",99.6%,381,1
,Sub total,"517,699,834","515,769,896","1,929,938",99.6%,381,1
Financial Services,"Budget formulation, coordi-
nation and management","33,456,466","33,456,466",-,100.0%,382,0
,Accounting Services,"24,648,655","24,648,655",-,100.0%,382,0
,"Supply chain management
services","5,843,344","5,843,344",-,100.0%,382,0
,Audit and assurance services,"7,971,172","7,971,172",-,100.0%,382,0
,Sub total,"71,919,637","71,919,637",-,100.0%,382,0
Economic Planning Services,Economic Planning Services,"14,113,629","14,113,629",-,100.0%,382,0
,Sub total,"14,113,629","14,113,629",-,100.0%,382,0
"AGRICULTURE, FOOD, LIVESTOCK AND FISHERIES",,,,,,382,0
"General Administration and
Planning","General Administration and
Planning","481,006,566","375,722,695","105,283,871",78.1%,382,0
,Sub total,"481,006,566","375,722,695","105,283,871",78.1%,382,0
"Livestock Management and
Development","Livestock Management and
Development","41,541,268","41,541,268",-,100.0%,382,0
,Sub total,"41,541,268","41,541,268",-,100.0%,382,0
"Crop and Land Develop-
ment",Crop and Land Development,"81,888,277","81,888,277",-,100.0%,382,0
,Sub total,"81,888,277","81,888,277",-,100.0%,382,0
"Fisheries Management and
Development","Fisheries Management and
Development","24,082,157","24,082,157",-,100.0%,382,0
,Sub total,"24,082,157","24,082,157",-,100.0%,382,0
Veterinary Services,Veterinary Services,"25,090,163","25,090,163",-,100.0%,382,0
,Sub total,"25,090,163","25,090,163",-,100.0%,382,0
"WATER, IRRIGATION, ENVIRONMENT AND NATURAL RESOURCES",,,,,,382,0
