"County Depart-
ment","Name of the
Programme",Sub-Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Agriculture,
Livestock and
Fisheries","Agricultural
Management","Administration and
planning services","250,965,480","248,287,221","2,678,259",98.9,361,0
,"Livestock
Production
Management","Provision of Ex-
tension Services to
Livestock farmers","7,526,000","7,317,184","208,816",97.2,361,0
,"Crop Manage-
ment","County Agriculture
Extension Program","6,205,000","5,680,745","524,255",91.6,361,0
,"Fisheries devel-
opment","Administrative Sup-
port Services","5,849,000","2,565,107","3,283,893",43.9,361,0
,"Veterinary
services","Administrative Sup-
port Services","20,745,000","16,423,129","4,321,871",79.2,361,0
,Wambugu ATC,Farm Development,"8,578,450","7,190,960","1,387,490",83.8,361,0
,AMS Naromoru,"Development Of
Agricultural Land For
Crop Production","7,929,794","5,914,994","2,014,800",74.6,361,0
,KCSAP,"Administration and
planning services","333,662,812","300,618,955","33,043,857",90.1,361,0
,ASDSP,"Administration and
planning services","31,776,263","23,303,235","8,473,028",73.3,361,0
,Sub-total,,"673,237,799","617,301,530","55,936,269",91.7,361,0
"Lands, Physical
Planning, Hous-
ing and Urban-
ization","Physical plan-
ning services","Administration and
personnel services","30,575,703","30,099,914","475,789",98.4,361,0
,"Land Policy and
Planning","Land Policy Formu-
lation","2,736,875","2,255,258","481,617",82.4,361,0
,"Housing Devel-
opment and Hu-
man Settlement",Government Building,"936,125","588,741","347,384",62.9,361,0
,"Nyeri Munici-
pality","Administration and
personnel services","610,984,637","303,347,447","307,637,190",49.7,361,0
,Sub-total,,"645,233,340","336,291,360","308,941,980",52.1,361,0
"Transport, Pub-
lic Works Infra-
structure and
Energy","Roads develop-
ment, main-
tenance and
management","County access and
feeder roads improve-
ment","996,807,864","733,880,621","262,927,243",73.6,361,0
,"Energy Sector
development","Street lighting pro-
gramme","174,282,743","117,179,881","57,102,862",67.2,361,0
,Sub-total,,"1,171,090,607","851,060,502","320,030,105",72.7,361,0
"Trade, Culture,
Tourism and
Co-Operative
Development","Trade and
Cooperative
Development",Trade Promotion,"91,420,440","64,818,941","26,601,499",70.9,361,0
,"Tourism Devel-
opment",Promotion of Tourism,"2,310,000","2,129,392","180,608",92.2,361,0
,"Co-operative
development","Cooperative Develop-
ment And Manage-
ment","2,708,370","2,002,500","705,870",73.9,361,0
