Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"County Assembly
of Marsabit Oper-
ational and Over-
sight",Operations and Oversight,"859,885,589","691,278,297","168,607,292",80.4,261,0
"Physical Planning
and Development",Urban Development Services,-,-,-,0.0,261,0
,Lands and Physical Planning Services,"225,911,735","116,200,446","109,711,289",51.4,261,0
,"General administration planning and
Support Services","129,501,430","96,759,172","32,742,258",74.7,261,0
,Sub total,"355,413,165","212,959,618","142,453,547",59.9,261,0
Education,"General Administration, Planning
and Support Services","278,945,549","267,294,614","11,650,935",95.8,261,0
,Pre – Primary Education,"312,862,022","200,204,023","112,657,999",64.0,261,0
,Youth Development,-,-,-,0.0,261,0
,Vocational Education and Training,-,-,-,0.0,261,0
,Sports,-,-,-,0.0,261,0
,Sub total,"591,807,571","467,498,637","124,308,934",79.0,261,0
Executive Services,"General Administration, Planning
and Support Services","507,176,890","497,137,820","10,039,070",98.0,261,0
,Management of County Affairs,"625,043,714","555,444,823","69,598,891",88.9,261,0
,Public Sector Advisory Services,-,-,-,0.0,261,0
,Inter/Intra Governmental,-,-,-,,261,0
,County Legal Services,-,-,-,0.0,261,0
,Sub total,"1,132,220,604","1,052,582,643","79,637,961",93.0,261,0
"Administration
and ICT","General administration planning and
Support Services","282,000,000","246,372,183","35,627,817",87.4,261,0
,ICT infrastructure,"8,150,000","8,150,000",-,100.0,261,0
,"Coordination of functions of de-
volved Units",-,-,-,0.0,261,0
,"Public Participation and Civic Edu-
cation",-,-,-,,261,0
,Sub total,"290,150,000","254,522,183","35,627,817",87.7,261,0
"Agriculture and
Livestock Develop-
ment","General Administration, Planning
and Support Services","78,116,163","54,595,339","23,520,824",69.9,261,0
,"Livestock Resources Management
and Development","81,652,173","45,067,603","36,584,570",55.2,261,0
,"Fisheries Development and Manage-
ment","21,231,664","7,913,289","13,318,375",37.3,261,0
,Crop Development and Management,"635,929,834","214,371,439","421,558,395",,261,0
,Subtotal,"816,929,834","321,947,670","494,982,164",39.4,261,0
