Programme,Sub- Programme,"Approved Bud-
get (Ksh)","Actual Pay-
ments (Ksh)",Variance,"Absorp-
tion (%)",page_number,table_index
,Sub total,"32,898,000","10,942,282","21,942,282",33.3,329,0
"Youth, Gender and Social Ser-
vices",,,,,,329,0
"General Administration and
Planning","General Administration and
Planning","86,425,001","84,854,578","1,570,423",98.2,329,0
,Sub total,"86,425,001","84,854,578","1,570,423",98.2,329,0
Sports Development,"Sports Activities and Pro-
grams","73,902,912","11,294,800","62,608,112",15.3,329,0
,Sub total,"73,902,912","11,294,800","62,608,112",15.3,329,0
"Education, Research and Voca-
tional Training",,,,,,329,0
"General Administration and
Planning","General Administration and
Planning","213,674,617","209,503,624","4,170,993",98.0,329,0
,Sub total,"213,674,617","209,503,624","4,170,993",98.0,329,0
Education,"Early Child Development and
Education.","161,868,483","118,526,402","43,342,081",73.2,329,0
,Sub total,"161,868,483","118,526,402","43,342,081",73.2,329,0
"Youth Training and Develop-
ment","Revitalization of Youth Poly-
technics","34,419,894","26,597,050","7,822,844",77.3,329,0
,Sub total,"34,419,894","26,597,050","7,822,844",77.3,329,0
"Lands, Environment and Natu-
ral Resources",,,,,,329,0
"General Administration and
Planning","General Administration and
Planning","68,189,811","65,499,488","2,690,323",96.1,329,0
,Sub total,"68,189,811","65,499,488","2,690,323",96.1,329,0
Land Adjudication,"Demarcation and Survey of
Community Land","15,000,000",-,"15,000,000",0.0,329,0
,Sub total,"15,000,000",-,"15,000,000",0.0,329,0
"Environmental Conservation &
Protection","Forests Protection and Con-
servation of Swamps
and Wetlands","2,739,278",-,"2,739,278",0.0,329,0
,Sub total,"2,739,278",-,"2,739,278",0.0,329,0
Water Supply,"Development of Water Catch-
ment Areas and
Distribution of Water","405,696,934","161,041,431","244,655,503",39.7,329,0
,Sub total,"405,696,934","161,041,431","244,655,503",39.7,329,0
"Roads, Transport and Public
Works",,,,,,329,0
"General Administration and
Planning","General Administration and
Planning","95,094,019","95,361,527","(267,508)",100.3,329,0
,Sub total,"95,094,019","95,361,527","(267,508)",100.3,329,0
Road Transport,Bridges and Foot Bridges,-,-,-,0.0,329,0
,Road-Works,"443,993,552","456,185,893","(12,192,341)",102.7,329,0
,Sub total,"443,993,552","456,185,893","(12,192,341)",102.7,329,0
"Trade and Industrial Develop-
ment",,,,,,329,0
"General Administration and
Planning","General Administration and
Planning","39,948,285","37,779,383","2,168,902",94.6,329,0
,Sub total,"39,948,285","37,779,383","2,168,902",94.6,329,0
Trade Development,"Trade Development and Pro-
motion","103,397,232","37,854,682","65,542,550",36.6,329,0
,Sub total,"103,397,232","37,854,682","65,542,550",36.6,329,0
Public Service and Labour,,,,,,329,0
