Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
"Policy Planning, General Administration and Support Services",,,,,,343,1
,General administration & support services,"985, 246, 194","694, 146, 202","291, 099, 992",70.5,343,1
,Policy planning,"80, 707, 032","102, 956, 726","(22, 249, 693)",127.6,343,1
,Subtotal,"1, 065, 953, 226","797, 102, 927","268, 850, 299",74.8,343,1
"Crop, agribusiness, and land management service",,,,,,343,1
,Crop development services,"273, 229, 881","272, 862, 376","367, 505",99.9,343,1
,Subtotal,"273, 229, 811","272, 862, 376","367, 505",99.9,343,1
Fisheries development and promotion services,,,,,,343,1
,Aquaculture promotion services,"24, 908, 549","24, 901, 613","6, 936",100.0,343,1
,Subtotal,"24, 908, 549","24, 901, 613","6, 936",100.0,343,1
Livestock promotion and development,,,,,,343,1
,"Livestock products value addition and market-
ing","67, 363, 416","71, 609, 420","(4, 246, 003)",106.3,343,1
,Animal health disease and management,"34, 872, 384","34, 872, 378",6.0,100.0,343,1
,Subtotal,"102, 235, 800","106, 481, 798","(4, 245, 997)",104.2,343,1
Physical planning and survey services,,,,,,343,1
,Physical planning,"4, 610, 898","4, 610, 897",1,100.0,343,1
,Surveying services,"5, 000, 000","2, 596, 600","2, 403, 400",51.9,343,1
,Subtotal,"9, 610, 898","7, 207, 497","2, 403, 401",75.0,343,1
Housing improvement development,,,,,,343,1
,Housing improvement services,"20, 627, 378","17, 527, 020","3, 100, 358",85.0,343,1
,Subtotal,"20, 627, 378","17, 527, 020","3, 100, 358",85.0,343,1
Management and development of towns,,,,,,343,1
,Town management and coordination,"38, 558, 161","29, 312, 714","9, 245, 447",76..0,343,1
,Subtotal,"38, 558, 161","29, 312, 714","9, 245, 447",76.0,343,1
"General administration, planning and support services",,,,,,343,1
,Administration and support services,"86, 987, 002","74, 032, 974","12, 954, 028",85.1,343,1
,Policy planning,"5, 763, 653","3, 747, 890","2, 015, 763",65.0,343,1
,Sub-total,"92, 750, 655","77, 780, 864","14, 969, 791",83.9,343,1
Roads development and management,,,,,,344,0
,Construction 0f roads and bridges,"220, 994, 082","176, 268, 813","44, 725, 269",79.8,344,0
,Rehabilitation and maintenance of roads,"281, 538, 958","214, 241, 180","67, 297, 778",76.1,344,0
,Infrastructure development and fire safety,"19, 882, 634","19, 882, 229",405,100.0,344,0
,Subtotal,"522, 415, 674","410, 392, 223","112, 023, 451",78.6,344,0
"Policy planning, general administration and support services",,,,,,344,0
,General administration and support services,"20, 736, 185","16, 503, 663","4, 232, 522",79.6,344,0
,Policy and planning services,"1, 729, 652","1, 691, 100","38, 552",97.8,344,0
,Subtotal,"22, 465, 837","18, 194, 763","4, 271, 074",81.0,344,0
"Trade, cooperative and investment development and promotion",,,,,,344,0
,Cooperative promotion,"16, 899, 606","16, 097, 572","802, 034",95.3,344,0
,Trade promotion,"39, 244, 394","23, 938, 465","15, 305, 929",61.0,344,0
,Subtotal,"56, 144, 000","40, 036, 037","16, 107, 963",71.4,344,0
Tourism development and promotion,,,,,,344,0
,Tourism promotion and management,"1, 889, 000","1, 366, 400","522, 600",72.3,344,0
,Subtotal,"1, 889, 000","1, 366, 400","522, 600",72.3,344,0
Preventive and promotive health services,,,,,,344,0
,Health promotion,"533, 304, 808","530, 795, 656","2, 509, 152",99.5,344,0
,Communicable disease control,"7, 720, 514","6, 169, 402","1, 551, 112",85.6,344,0
,Subtotal,"541, 025, 322","536, 965, 058","4, 060, 264",99.2,344,0
"General administration, planning and support services",,,,,,344,0
,Administration support services,"141, 936, 735","138, 631, 706","3, 305, 029",97.7,344,0
,Subtotal,"141, 936, 735","138, 631, 706","3, 305, 029",97.7,344,0
Curative health services,,,,,,344,0
,Medical services,"1, 426, 848,145","1, 161, 123, 686","265, 724, 459",814,344,0
,Sub - total,"1, 426, 848, 145","1, 161, 123, 686","265, 724, 459",81.4,344,0
"General administration, policy planning & support services",,,,,,344,0
,General administration,"34, 226, 832","20, 900, 236","13, 326, 596",61.5,344,0
,Planning policy,"7, 412, 500","5, 295, 700","2, 116, 800",71.4,344,0
,Subtotal,"41, 639, 332","26, 195, 936","15, 443, 396",62.9,344,0
ECDE and CCC development services,,,,,,344,0
,ECDE and CCC management services,"265, 168, 721","252, 340, 648","12, 828, 073",95.1,344,0
,subtotal,"265, 168, 721","252, 340, 648","12, 828, 073",95.1,344,0
Vocational development and training services.,,,,,,344,0
,Vocational management services,"202, 220, 430","190, 722, 540","11, 497, 890",94.3,344,0
,Subtotal,"202, 220, 430","190, 722, 540","11, 497, 890",94.3,344,0
Information and communication technology services,,,,,,344,0
,ICT infrastructural services,"86, 357, 675","80, 587, 383","5, 770, 292",93.3,344,0
,Subtotal,"86, 357, 675","80, 587, 383","5, 770, 292",93.3,344,0
,,,,,,344,0
,General administration support services,"309, 678, 478","262, 775, 392","46, 903, 086",84.9,344,0
,Policy development and support services,"184, 707, 465","145, 004, 784","39, 702, 681",78.5,344,0
,Supply chain management,"18, 047, 580","16, 609, 580.85","1, 437, 999",92.0,344,0
,Communication services,"2, 037, 000","1, 786, 450","250, 550",87.7,344,0
,Subtotal,"514, 470, 523","426, 176, 207","88, 294, 316",82.8,344,0
,,,,,,344,0
,Economic planning and communication,"49, 469, 552","44, 437, 801","5, 031, 751",89.8,344,0
,Budget formulation and management,"14, 293, 755","13, 224, 100","1, 069, 645",92.5,344,0
,Subtotal,"63, 763, 307","57, 661, 911","6, 101, 396",90.4,344,0
