"Vote Code
Title",Programme,"Programme Code
And Title","Supplementary
Budget Estimates
(Kshs.)","Total Payment
(Kshs.)","s Variance
(Kshs.)",Absorption (%),page_number,table_index,"Total Payments
(Kshs.)","Variance
(Kshs.)"
,"0701000 P1 Gener-
al Administration
Planning and Support
Services","0701010 SP.1.1 Gen-
eral Administration
Planning and Support
Services","110,900,006","89,374,06","7 21,525,939",80.6,306,1,,
,,"Total 5311000000
County Public Service
Board","110,900,006","89,374,06","7 21,525,939",80.6,306,1,,
"5312000000
OFFICE OF
GOVERNOR
& DEPUTY
GOVERNOR","0718005310 Gen-
eral Administrative
Services","0718015310 Sp1 Gen-
eral Administration &
Support Services","585,021,903",,,69.4,307,0,"406,040,229","178,981,674"
,,"0718025310 Sp2 Sub
County Administra-
tion","1,774,808,335",,,92.8,307,0,"1,646,617,001","128,191,334"
,,"0718075310 Sp7 Coun-
ty Executive","391,715,929",,,68.3,307,0,"267,394,794","124,321,135"
,,0718095310 Sp9 Audit,"88,584,057",,,79.2,307,0,"70,115,797","18,468,260"
,"0724005310 P 24
Security and Safety
Management","0724055310 Inspec-
torate","873,301,617",,,97.1,307,0,"848,388,162","24,913,455"
,,"0724015310 sp 24.1
investigative Services","40,851,465",,,75.9,307,0,"30,996,316","9,855,149"
,"P; 0726005310:Di-
saster Management
Coordination","072601510: Fire &
Disaster Management","418,990,538",,,66.2,307,0,"277,349,606","141,640,932"
,"0725005310 P 25
management of legal
affairs","0725015310 sp 25.1
legal services","903,432,970",,,92.8,307,0,"838,730,362","64,702,608"
,,"Total 5312000000 OF-
FICE OF GOVERNOR
& DEPUTY GOVER-
NOR","5,076,706,814",,,86.4,307,0,"4,385,632,267","691,074,547"
"5313000000
ICT, E-GOVT
& PUBLIC
COMMUNI-
CATIONS","0207000 P1: Gen-
eral Administration
Planning and Support
Services","0207010 SP 1: Gen-
eral Administration,
Planning And Support
Services","114,119,328",,,75.6,307,0,"86,256,450","27,862,878"
,"0208000 P2: Informa-
tion And Communi-
cation Services","0208010 SP 2.1: News
And Information
Services","60,164,345",,,80.2,307,0,"48,253,742","11,910,603"
,,"0208030 SP 2.3: ICT
and Media Regulatory
Services","10,439,129",,,72.3,307,0,"7,547,599","2,891,530"
