Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorp-
tion Rate
(%)",page_number,table_index
General Administration and Planning,301013710,"25,533,250","24,431,993","1,101,257",95.7,203,0
Sports,306013710,"15,443,604","11,813,094","3,630,510",76.5,203,0
,306023710,"61,653,163","56,241,961","5,411,202",91.2,203,0
Tourism,305013710,"4,902,595","4,825,468","77,127",98.4,203,0
,305033710,"16,896,053","11,825,502","5,070,551",70.0,203,0
,1003023710,"37,799,529","37,749,913","49,616",99.9,203,0
"Sub-total Tourism, Sports and Culture",,"200,604,190","176,425,565","24,178,625",87.9,203,0
County Treasury,,,,,,203,0
Accounts,704013710,"54,340,358","54,166,496","173,862",99.7,203,0
,712053710,"11,593,445","10,541,234","1,052,211",90.9,203,0
Budgetary Supplies,712013710,"129,894,745","123,089,293","6,805,452",94.8,203,0
,712023710,"10,923,447","10,140,119","783,328",92.8,203,0
Economic Affairs,710013710,"80,086,310","78,176,441","1,909,869",97.6,203,0
,710023710,"12,864,903","12,402,369","462,534",96.4,203,0
General Administration and Planning,701013710,"264,195,656","223,334,556","40,861,100",84.5,203,0
Internal Audit,712033710,"8,442,176","7,758,988","683,188",91.9,203,0
Sub-total County Treasury,,"572,341,040","519,609,496","52,731,544",90.8,203,0
County Public Service Board,,,,,,203,0
Board,713013710,"7,240,439","6,944,427","296,012",95.9,203,0
,713023710,"6,076,121","5,976,708","99,413",98.4,203,0
,714013710,"4,019,050","3,857,200","161,850",96.0,203,0
General Administration and Planning,701013710,"11,315,036","10,714,349","600,687",94.7,203,0
Sub-total County Public Service Board,,"28,650,646","27,492,684","1,157,962",96.0,203,0
County Assembly,,,,,,203,0
General Administration and Planning,701013710,"286,203,008","236,131,643","50,071,364",82.5,203,0
Legislative Department,715013710,"594,799,151","551,680,593","45,585,322",92.8,203,0
Sub-total County Assembly,,"881,002,159","787,812,236","95,656,686",89.4,203,0
Kitui Municipality,,,,,,203,0
"Environment, Culture, Recreation and
Community Development",207013710,"19,510,653","17,776,239","1,734,414",91.1,203,0
Finance,207023710,"18,959,975","18,385,204","574,771",97.0,203,0
General Administration and Planning,201013710,"44,404,473","41,490,459","2,914,014",93.4,203,0
"Planning, Development Control, Trans-
port and Infrastructure",207013710,"14,528,835","14,534,057","(5,222)",100.0,203,0
"Planning, Development Control, Trans-
port and Infrastructure",209013710,"271,339,931","166,194,433","105,145,498",61.2,203,0
"Trade, Commerce and Industrialisation",207033710,"20,672,930","18,181,497","2,491,433",87.9,203,0
Sub-total Kitui Municipality,,"389,416,797","276,561,889","112,854,908",71.0,203,0
Mwingi Town Administration,,,,,,203,0
"Environment, Culture, Recreation and
Community Development",1001013710,"10,740,181","10,382,091","358,090",96.7,203,0
General Administration and Planning,109013710,"17,983,840","11,406,595","6,577,245",63.4,203,0
,201013710,"42,298,501","39,997,631","2,300,870",94.6,203,0
,706013710,"6,542,401","6,148,343","394,058",94.0,203,0
