Programme,Description,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Administration - County
Assembly","Default Value ( Non- De-
partmental)",-,"234,673,229","(234,673,229)",-,441,0
,,-,"234,673,229","(234,673,229)",-,441,0
"Administration - Gover-
nor's Office","Administration And Sup-
port Services","84,542,462","82,508,742","2,033,720",97.6,441,0
,,"84,542,462","82,508,742","2,033,720",97.6,441,0
"Inter-Governmental
Committee","Administration And Sup-
port Services","2,543,128","2,539,500","3,628",99.9,441,0
,,"2,543,128","2,539,500","3,628",99.9,441,0
"Administration and Sup-
port Services","Administration And Sup-
port Services","10,211,000","10,182,581","28,419",99.7,441,0
,,"10,211,000","10,182,581","28,419",99.7,441,0
"Administration - Fi-
nance and Economic
Planning",Public Finance Management,"423,234,906","332,254,070","90,980,836",78.5,441,0
,"Kenya Devolution Support
Programme","423,234,906","332,254,070","90,980,836",78.5,441,0
Revenue Section,Public Finance Management,"23,490,000","23,487,173","2,827",100.0,441,0
,,"23,490,000","23,487,173","2,827",100.0,441,0
Accounts Section,Public Finance Management,"2,884,862","2,877,725","7,137",99.8,441,0
,,"2,884,862","2,877,725","7,137",99.8,441,0
"Procurement and Sup-
plies Section",Public Finance Management,"2,550,000","2,547,240","2,760",99.9,441,0
,,"2,550,000","2,547,240","2,760",99.9,441,0
Internal Audit Section,Public Finance Management,"7,550,000","7,524,870","25,130",99.7,441,0
,,"7,550,000","7,524,870","25,130",99.7,441,0
"Administration- Public
Service Management","Administration And Sup-
port Services","826,408,561","825,042,119","1,366,442",99.8,441,0
,"County Governance Sup-
port Services","12,830,079","9,247,000","3,583,079",72.1,441,0
,,"839,238,640","834,289,119","4,949,521",99.4,441,0
Communication Section,"Administration And Sup-
port Services","1,670,000","1,429,000","241,000",85.6,441,0
,,"1,670,000","1,429,000","241,000",85.6,441,0
Legal Section,"Administration And Sup-
port Services","11,843,860","11,409,001","434,859",96.3,441,0
,,"11,843,860","11,409,001","434,859",96.3,441,0
Registry Section,"Administration And Sup-
port Services","370,000","349,300","20,700",94.4,441,0
,,"370,000","349,300","20,700",94.4,441,0
Human Resource Section,"Administration And Sup-
port Services","810,000","603,300","206,700",74.5,441,0
,,"810,000","603,300","206,700",74.5,441,0
"Administration- ICT
and E-Government","Administrative Support Ser-
vices","52,598,768","45,574,037","7,024,731",86.6,441,0
,"ICT Infrastructure Develop-
ment","33,868,723","27,093,856","6,774,867",80.0,441,0
,,"86,467,491","72,667,892","13,799,599",84.0,441,0
"Administration - Roads,
Transport and Infra-
structure","Roads Infrastructure Devel-
opment","224,553,901","224,553,697",204,100.0,442,0
,,"224,553,901","224,553,697",204,100.0,442,0
Roads Department,"Roads Infrastructure Devel-
opment","1,179,332,156","709,263,414","470,068,742",60.1,442,0
,,"1,179,332,156","709,263,414","470,068,742",60.1,442,0
"Fire and Emergency
Respond Department",Disaster Management,"3,795,011","1,645,994","2,149,017",43.4,442,0
,"Roads Infrastructure Devel-
opment","50,000","50,000",-,100.0,442,0
,,"3,845,011","1,695,994","2,149,017",44.1,442,0
"Public Works Depart-
ment","Roads Infrastructure Devel-
opment","1,050,000","622,000","428,000",59.2,442,0
,,"1,050,000","622,000","428,000",59.2,442,0
Transport Department,Disaster Management,"19,192,000","7,692,000","11,500,000",40.1,442,0
,,"19,192,000","7,692,000","11,500,000",40.1,442,0
,Street Lighting Services,"114,436,531","101,147,973","13,288,558",88.4,442,0
,,"114,436,531","101,147,973","13,288,558",88.4,442,0
"Administration- Lands,
Housing and Physical
Planning","Land Policy And Manage-
ment","164,693,395","81,982,841","82,710,554",49.8,442,0
,,"164,693,395","81,982,841","82,710,554",49.8,442,0
