Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,,"85,224,456","78,850,787","6,373,669",92.5,317,1
"Promotion of Dairy Pro-
duction, Breeding and
Disease Control","Promotion of Dairy Production,
Breeding and Disease Control","79,200,456","74,350,887","4,849,569",93.9,317,1
,"Promotion of Value Addition of
Livestock and Livestock Products","6,024,000","4,499,900","1,524,100",74.7,318,0
,"Promotion of Non-ruminants and
Emerging livestock Enterprises",-,-,-,-,318,0
,Promotion of Apiculture,-,-,-,-,318,0
,,"4,145,669","2,992,120","1,153,549",72.2,318,0
"Aquaculture develop-
ment",Aquaculture development,"4,145,669","2,992,120","1,153,549",72.2,318,0
,"Development of capture fisheries re-
sources",-,-,-,-,318,0
,"Fish quality assurance, value addi-
tion and marketing",-,-,-,-,318,0
,,"522,955,499","394,858,584","128,096,915",75.5,318,0
"Extension, Research and
Training","Extension, Research and Training",-,-,-,-,318,0
,Crop Production and Food Security,"522,955,499","394,858,584","128,096,915",75.5,318,0
,"Farm land utilisation, Conservation
and Mechanisation",-,-,-,-,318,0
,"Agribusiness Development and Mar-
keting",-,-,-,-,318,0
,,"1,597,850,112","548,555,032","1,049,295,080",34.3,318,0
Administration Services,Administration Services,"481,628,250","464,467,953","17,160,297",96.4,318,0
Infrastructure for Land,Infrastructure for Land,"1,116,221,862","84,087,079","1,032,134,783",7.5,318,0
,,"21,240,000","16,393,965","4,846,035",77.2,318,0
"Develop County Spatial
Plan",Develop County Spatial Plan,"15,850,000","13,783,812","2,066,188",87.0,318,0
,GIS Data Base creation,-,-,-,-,318,0
,Survey and Mapping,"5,390,000","2,610,153","2,779,847",48.4,318,0
,,"2,582,443,421","1,126,918,482","1,455,524,939",43.6,318,0
"Rehabilitation of Roads,
Drainage and Bridges","Rehabilitation of Roads, Drainage
and Bridges","2,534,843,421","1,084,721,858","1,450,121,563",42.8,318,0
,"Rehabilitation and construction of
Transport terminals","40,100,000","37,407,226","2,692,774",93.3,318,0
,"Design, Supervision and Rehabilita-
tion of County Buildings","2,750,000","2,032,220","717,780",73.9,318,0
,Firefighting and Emergency Services,"4,750,000","2,757,179","1,992,821",58.0,318,0
,,"123,050,000","128,561,120","(5,511,120)",104.5,318,0
"Installation, Mainte-
nance and Rehabilitation
of lighting","Installation, Maintenance and Reha-
bilitation of lighting","123,050,000","128,561,120","(5,511,120)",104.5,318,0
,,"398,570,038","297,833,969","100,736,069",74.7,318,0
"Administration & Per-
sonnel",Administration & Personnel,"398,570,038","297,833,969","100,736,069",74.7,318,0
,System Support,-,-,-,-,318,0
,,"13,989,625","4,817,956","9,171,669",34.4,318,0
"Functional & Technical
Support Centre-Help
Desk","Functional & Technical Support
Centre-Help Desk","13,989,625","4,817,956","9,171,669",34.4,318,0
,,"16,050,000","3,743,275","12,306,725",23.3,318,0
"Networking Infrastruc-
ture",Networking Infrastructure,"16,050,000","3,743,275","12,306,725",23.3,318,0
,Hardware & Software Platforms,-,-,-,-,318,0
,,-,-,-,-,318,0
"Administration and Sup-
port Services","Administration and Support Ser-
vices",-,-,-,-,319,0
,,"12,000,000",-,"12,000,000",-,319,0
"Construction & Mainte-
nance of Non Residential
County Buildings","Construction & Maintenance of Non
Residential County Buildings","10,000,000",-,"10,000,000",-,319,0
,"Installation, Rehabilitation & Main-
tenance of Lighting Facilities","2,000,000",-,"2,000,000",-,319,0
,,-,-,-,-,319,0
Fire Fighting,Fire Fighting,-,-,-,-,319,0
,,-,-,-,-,319,0
E-Government Services,E-Government Services,-,-,-,-,319,0
,,"10,000,000","4,611,924","5,388,076",46.1,319,0
Education Developments,Education Developments,"10,000,000","4,611,924","5,388,076",46.1,319,0
,,"86,152,126","81,695,175","4,456,951",94.8,319,0
"Revitalisation of Youth
Programme",Revitalisation of Youth Programme,"86,152,126","81,695,175","4,456,951",94.8,319,0
,,"105,097,407","91,174,453","13,922,954",86.8,319,0
Administration Services,Administration Services,"105,097,407","91,174,453","13,922,954",86.8,319,0
,,"13,327,500","12,081,320","1,246,180",90.6,319,0
"Enhance Marketing
Co-operatives",Enhance Marketing Co-operatives,"13,327,500","12,081,320","1,246,180",90.6,319,0
,SACCO members' empowerment,-,-,-,-,319,0
,,"8,697,500","7,324,621","1,372,879",84.2,319,0
"Business Development
Services for MSE's","Business Development Services for
MSE's","7,292,500","6,120,207","1,172,293",83.9,319,0
,Producer Business Groups,-,-,-,-,319,0
,Consumer protection,"1,405,000","1,204,414","200,586",85.7,319,0
,,"271,100,279","162,966,172","108,134,107",60.1,319,0
"Rehabilitation of existing
markets",Rehabilitation of existing markets,"271,100,279","161,472,916","109,627,363",59.6,319,0
,"Development of Retail and Whole-
sale Market in Nakuru",-,"1,493,256","(1,493,256)",-,319,0
,,"2,105,592","1,979,995","125,597",94.0,319,0
"Establish & Management
of County Tourism Infor-
mation Centre","Establish & Management of County
Tourism Information Centre","2,105,592","1,979,995","125,597",94.0,319,0
,,"481,047,580","260,623,067","220,424,514",54.2,319,0
"Community Health
Strategy",Community Health Strategy,-,-,-,-,319,0
,"Environmental Health and Sanita-
tion Program","1,000,000","960,000","40,000",96.0,319,0
,Health Promotive Services,"480,047,580","259,663,067","220,384,514",54.1,319,0
,,"2,653,415,542","532,828,373","2,120,587,169",20.1,319,0
"Provision of Essential
Health Services in all the
Levels.","Provision of Essential Health Ser-
vices in all the Levels.","2,653,415,542","532,828,373","2,120,587,169",20.1,319,0
,,"3,971,599,462","3,771,135,523","200,463,940",95.0,319,0
"Health Infrastructure
Development",Health Infrastructure Development,"2,000,000",-,"2,000,000",-,319,0
,Human Resources for health,"3,969,599,462","3,771,135,523","198,463,940",95.0,319,0
,Research and Development,-,-,-,-,319,0
,,"898,689,692","416,354,812","482,334,881",46.3,319,0
Administration,Administration,"898,689,692","416,354,812","482,334,881",46.3,320,0
,,"220,837,560","210,287,594","10,549,966",95.2,320,0
"Promotion of Early
Childhood Education","Promotion of Early Childhood Edu-
cation","144,940,235","135,008,007","9,932,228",93.1,320,0
,Bursaries,-,-,-,-,320,0
,"Promotion of Quality Youth Em-
powerment","75,897,325","75,279,587","617,738",99.2,320,0
,,"10,414,075","2,696,920","7,717,155",25.9,320,0
"Education Emergency
Kitty",Education Emergency Kitty,"10,414,075","2,696,920","7,717,155",25.9,320,0
,,"35,000,000","35,831,814","(831,814)",102.4,320,0
"Infrastructure Improve-
ment",Infrastructure Improvement,"35,000,000","35,831,814","(831,814)",102.4,320,0
,,"78,668,683","71,087,311","7,581,372",90.4,320,0
"ICT Infrastructure and
Connectivity",ICT Infrastructure and Connectivity,"78,668,683","71,087,311","7,581,372",90.4,320,0
,,"536,089,209","327,134,042","208,955,166",61.0,320,0
"Budget Formulation Co-
ordination and manage-
ment","Budget Formulation Coordination
and management","58,337,349","52,904,775","5,432,574",90.7,320,0
,Resource Mobilization,"78,479,717","65,572,716","12,907,001",83.6,320,0
,Internal Audit,"36,189,523","35,660,900","528,623",98.5,320,0
