Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
County Assembly,,,,-,,268,1
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support
Services","448,327,490","448,327,490",(0),100.0%,268,1
"Legislative and Representa-
tion","Legislative and Repre-
sentation","216,388,678","198,000,751","18,387,927",91.5%,268,1
Legislative Oversight,Legislative Oversight,"310,726,603","301,608,167","9,118,436",97.1%,268,1
Grand Total,,"975,442,771","947,936,408","27,506,363",97.2%,268,1
Office of the Governor,,,,-,,268,1
,,,,-,,268,1
"Efficiency, Monitoring and
Evaluation","Efficient, Monitoring and
Evaluation","44,891,346","44,891,346",-,100.0%,268,1
,"Performance manage-
ment and Appraisal",-,-,-,0.0%,268,1
,Sub Total,-,-,-,0.0%,268,1
Communication and Events,"Communication and
Events","19,451,136","19,451,136",-,100.0%,268,1
"Disaster Management, Rescue
and Emergency","Disaster Management,
Rescue and Emergency","16,832,403","16,832,403",-,100.0%,268,1
"Human Resource Manage-
ment","Human Resource Man-
agement",-,-,-,0.0%,268,1
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support
Services","232,588,423","228,488,423","4,100,000",98.2%,268,1
Research and Strategy,"Research and Public
Participation","7,700,000","7,700,000",-,100.0%,268,1
Office of the County Secretary,County secretary,"10,600,000","10,600,000",-,100.0%,268,1
"Partnership Development and
External Linkages","Partnership Devel-
opment and External
Linkages",-,-,-,0.0%,268,1
,,"332,063,308","327,963,308","4,100,000",98.8%,268,1
"Finance, Economic Planning
and ICT",,,-,-,,269,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support
Services","845,959,978","749,440,687","96,519,291",88.6%,269,0
,Accounts and Reporting,"51,326,127","51,326,127",,,269,0
Public Finance Management,"Budget Coordination &
Management","29,484,304","29,484,304",-,100.0%,269,0
,Internal Audit,"7,700,000","7,700,000",-,100.0%,269,0
,Procurement Service,"6,100,000","6,100,000",-,100.0%,269,0
,Sub Total,"940,570,409",,"940,570,409",0.0%,269,0
ICT Development,ICT Development,"55,675,408","55,675,408",-,100.0%,269,0
"Economic Planning & Coor-
dination Services","Economic Planning &
Coordination Services","10,300,000","10,300,000",-,100.0%,269,0
Fleet Management,Fleet Management,"148,000,177","148,000,177",-,100.0%,269,0
,Total,"1,154,545,994","1,058,026,703","1,037,089,700",91.6%,269,0
"Agriculture, Livestock and
Fisheries",,,-,-,,269,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support
Services","663,763,972","557,159,683","106,604,289",83.9%,269,0
Agriculture Development,"Agriculture Develop-
ment","12,060,939","12,060,939",-,100.0%,269,0
Aquaculture Development,"Aquaculture Develop-
ment","8,915,000","8,915,000",-,100.0%,269,0
Livestock Development,Livestock Development,"7,449,389","7,449,389",-,100.0%,269,0
Animal Disease Management,"Animal Disease Man-
agement","1,555,000","1,555,000",-,100.0%,269,0
County Owned Enterprise,"Agricultural Training
Centre","6,647,461","6,647,461",-,100.0%,269,0
,"Agricultural Mechaniza-
tion Services","1,134,625","1,134,625",-,100.0%,269,0
,,"701,526,386","594,922,097","106,604,289",84.8%,269,0
Water and Irrigation,,,,,,269,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support
Services","126,707,487","111,628,549","15,078,938",88.1%,269,0
Water Resource Management,"Water Resource Manage-
ment","348,972,094","338,964,397","10,007,697",0.0%,269,0
"Irrigation and drainage Infra-
structure","Irrigation and drainage
Infrastructure",-,-,-,0.0%,269,0
,,"475,679,581","450,592,946","25,086,635",94.7%,269,0
"Education, Technology,
Gender and Social Develop-
ment",,-,-,-,,269,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support
Services","723,413,225","709,847,621","13,565,604",98.1%,269,0
Basic Education,Basic Education,"185,674,624","84,017,922","101,656,702",45.3%,269,0
"Technical& Vocational Edu-
cation & Training","Technical& Vocational
Education & Training","72,247,828","52,247,828","20,000,000",0.0%,269,0
"Gender, Social Development
& Children Services","Gender, Social Devel-
opment & Children
Services","53,895,000","53,895,000",-,100.0%,270,0
,,"1,035,230,677","900,008,371","135,222,306",86.9%,270,0
Health Service,,,,,,270,0
Preventive and Promotive,Preventive services,"137,181,996","54,957,816","82,224,180",40.1%,270,0
Health Care Services,Promotive health care,,-,-,0.0%,270,0
,Subtotal,-,-,-,0.0%,270,0
Curative Health,"Curative health care
services","815,052,444","815,052,444",-,100.0%,270,0
,Subtotal,-,-,-,,270,0
"General Administration and
Planning","General Administration
and Planning","2,441,317,385","1,999,341,023","441,976,362",81.9%,270,0
,Subtotal,-,-,-,0.0%,270,0
COVID 19,COVID 19,"102,886,000","234,820,511","(131,934,511)",228.2%,270,0
,,"3,496,437,825","3,104,171,794","392,266,031",88.8%,270,0
"Lands, Physical Planning,
Urban Development and
Public Works",,-,-,-,,270,0
