Programme,Sub- Programme,"Approved Bud-
get(Ksh)","Actual Pay-
ments (Ksh)",Variance(Kshs),Absorption (%),page_number,table_index
,"General administration, plan-
ning & support services","247,831,361","266,172,703","- 18,341,342",107.4%,42,0
,Support service,-,-,-,-,42,0
,Internal Audit Services,-,-,-,-,42,0
,Emergency Fund,"14,000,000","13,999,330",670,100.0%,42,0
Treasury Accounts,,-,-,-,-,42,0
,"General administration, plan-
ning & support services",-,-,-,-,42,0
KDS Programme,,"90,500,000","79,522,426","10,977,574",87.9%,42,0
,"General administration, plan-
ning & support services","90,500,000","79,522,426","10,977,574",87.9%,42,0
"Economic Planning, Budget,
Monitoring and Evaluation
Services",,-,-,-,-,42,0
,Support service,-,-,-,-,42,0
,"Monitoring and Evaluation
Services",-,-,-,-,42,0
,"Budget process and public par-
ticipation services",-,-,-,-,42,0
"Revenue Services Development
Services",,"275,012,902","38,816,613","236,196,289",14.1%,42,0
,"General administration, plan-
ning & support services","14,237,331","14,666,000","- 428,669",103.0%,42,0
,Support service,-,-,-,-,42,0
,Infrastructural Development,"260,775,571","24,150,613","236,624,958",9.3%,42,0
"Civic Education Development
Services",,-,-,-,0.0%,42,0
,"Civic Education Development
Services",-,-,-,-,42,0
"Inter and Intragovernmental
Relations services",,-,-,-,-,42,0
,"General administration, plan-
ning & support services",-,-,-,-,42,0
,,"421,736,497","416,694,269","5,042,228",98.8%,42,0
,General administrative services,"78,921,675","77,034,637","1,887,038",97.6%,42,0
,County Secretary,"111,804,788","108,480,978","3,323,810",97.0%,42,0
,Deputy Governor,"24,806,329","24,060,296","746,033",97.0%,42,0
,Legal services,-,-,-,0.0%,42,0
,"Public Administration and
devolution Services","60,254,250","62,168,388","- 1,914,138",103.2%,42,0
,Communication Services,-,-,-,-,42,0
,"Mogotio Sub County Adminis-
tration Services","16,176,354","16,090,378","85,976",99.5%,42,0
,"Baringo Central Sub -County
Administration Services","14,700,716","14,350,161","350,555",97.6%,42,0
,"Baringo North Sub- County
Administration Services","17,009,891","17,028,236","- 18,345",100.1%,42,0
,"Baringo South Sub - County
Administration Services","18,863,174","18,451,115","412,059",97.8%,42,0
,"Tiaty Sub- County Administra-
tion Services","18,139,445","18,172,623","- 33,178",100.2%,42,0
,"County Public Service Board
Services","44,429,627","44,259,897","169,730",99.6%,42,0
,"Eldama Ravine Sub -County
Administration Services","16,630,248","16,597,562","32,686",99.8%,43,0
,,"360,119,856","356,409,472","3,710,384",99.0%,43,0
,"Legislative Representation and
Oversight services","360,119,856","356,409,472","3,710,384",99.0%,43,0
,,-,-,-,0.0%,43,0
,General administrative services,-,-,-,0.0%,43,0
,,"16,357,641","4,388,953","11,968,688",26.8%,43,0
,ICT Development,-,-,-,-,43,0
,Infrastructure development,"16,357,641","4,388,953","11,968,688",26.8%,43,0
,,"37,502,586","35,398,728","2,103,858",94.4%,43,0
,"General administration, plan-
ning & support services","37,502,586","35,398,728","2,103,858",94.4%,43,0
,,"81,847,711","15,493,206","66,354,505",18.9%,43,0
,"General administration, plan-
ning & support services","81,847,711","15,493,206","66,354,505",18.9%,43,0
,Support service,-,-,-,-,43,0
,Gender mainstreaming,-,-,-,-,43,0
Sports Development,,-,-,-,-,43,0
,"General administration, plan-
ning & support services",-,-,-,-,43,0
,Support service,-,-,-,-,43,0
,,-,-,-,-,43,0
,"Conservation of Cultural Her-
itage",-,-,-,-,43,0
,,"119,925,715","120,765,547","- 839,832",100.7%,43,0
,"General administration, plan-
ning & support services","119,925,715","120,765,547","- 839,832",100.7%,43,0
,,"686,397,367","148,303,811","538,093,556",21.6%,43,0
,"General administration, plan-
ning & support services",-,-,-,-,43,0
,Support service,-,-,-,-,43,0
,"Water Harvesting Storage and
Flood Control","686,397,367","148,303,811","538,093,556",21.6%,43,0
,,"27,581,046","7,722,299","19,858,747",28.0%,43,0
,"General administration, plan-
ning & support services","27,581,046","7,722,299","19,858,747",28.0%,43,0
,,-,-,-,0.0%,43,0
,"General administration, plan-
ning & support services",-,-,-,-,43,0
,Support service,-,-,-,-,43,0
,,"38,761,709","37,366,101","1,395,608",96.4%,43,0
,"General Administrative ser-
vices","38,761,709","37,366,101","1,395,608",96.4%,43,0
,,-,-,-,-,43,0
,Protection of rivers and streams,-,-,-,-,43,0
,,-,-,-,-,43,0
,"County Forest conservation
and management",-,-,-,-,43,0
,Grand Total,"7,880,851,694","5,486,210,254","2,394,641,440",69.6%,43,0
