Programme,"Sub-Pro-
gramme",Description,"Approved Estimates
FY2020/21 (Kshs.)","Actual Expenditure
(Kshs.)",Variance (Kshs.),Absorption Rate (% ),page_number,table_index
"Agricultural and Live-
stock Sector Support","101063410
103033410","Agricultural
Infrastructure,
Conservation
and Research","662,990,420","454,351,368","208,639,05",3 68.5,254,1
,,"Livestock Agri-
cultural Sector
Support","227,154,333","200,882,692","26,271,64",1 88.4,254,1
Sub Total,,,"890,144,753","655,234,060","234,910,694",73.6,255,0
"Cooperatives Develop-
ment Programmes",303023410,"Cooperatives
Agricultural
Support","11,100,000","9,000,000","2,100,000",81.1,255,0
Sub Total,,,"11,100,000","9,000,000","2,100,000",81.1,255,0
Trade Development,305013410,"Trade develop-
ment &Promo-
tion","140,227,023","116,699,347","23,527,676",83.2,255,0
Sub Total,,,"140,227,023","116,699,347","23,527,676",83.2,255,0
"Youth Rehabilitation and
Development",501023410,"Youth Devel-
opment Pro-
grammes and
Policy","124,007,348","106,887,327","17,120,021",86.2,255,0
Sub Total,,,"124,007,348","106,887,327","17,120,021",86.2,255,0
"Physical Infrastructure
Development",502013410,"Infrastructure
Development
and Expansion","111,371,471","110,287,522","1,083,950",99.0,255,0
,107013410,"Infrastructure &
Equipment","165,821,408","152,423,545","13,397,864",91.9,255,0
,701023410,"Infrastructure
Development
and Expansion","1,306,861,971","1,005,247,686","301,614,285",76.9,255,0
,401013410,"Infrastructure
Construction,
Expansion and
Maintenance","756,961,360","564,949,349","192,012,011",74.6,255,0
Sub Total,,,"2,341,016,210","1,832,908,101","508,108,109",78.3,255,0
"Administration, Plan-
ning and Support Ser-
vices",503013410,"General Ad-
ministration &
Support Ser-
vices","2,335,185,042","2,335,185,042",0,100.0,255,0
,105013410,"General Ad-
ministration &
Support Ser-
vices","839,268,373","839,268,373",0,100.0,255,0
Sub Total,,,"3,174,453,415","3,174,453,415",0,100.0,255,0
"ECDE and Sports Devel-
opment Services",504013410,"ECDE Infra-
structure","307,703,708","287,917,561","19,786,147",93.6,255,0
Sub Total,,,"307,703,708","287,917,561","19,786,147",93.6,255,0
Financial Services,701033410,"Procurement
Services","36,825,600","20,324,928","16,500,672",55.2,255,0
Sub Total,,,"36,825,600","20,324,928","16,500,672",55.2,255,0
"Administration and
Compensation",904013410,"Administration
and Support
Services","163,210,955","163,210,955",0,100.0,255,0
,702033410,"Administration
Services","2,495,390,008","2,208,370,130","287,019,878",88.5,255,0
Sub Total,,,"2,658,600,963","2,371,581,085","287,019,878",89.2,255,0
Water Provision Services,901043410,"Water Storage
Structures","1,485,476,271","1,203,016,082","282,460,189",81.0,255,0
,901053410,"Water provision
services","832,468,862","832,468,862",0,100.0,255,0
Sub Total,,,"2,317,945,133","2,035,484,944","282,460,189",87.8,255,0
"Solar Energy and Envi-
ronmental Services",902023410,Street lighting,"166,103,780","166,103,780",0,100.0,255,0
,903013410,"Environmental
Protection","66,179,350","66,179,350",0,100.0,255,0
