Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",col_5,Absorption (%),page_number,table_index,Variance (Kshs.),"Absorption
Rate (%)"
"Education, Gender, Sports, Youth, Culture & Social
services",,"350,566,246","284,543,184",,,,228,1,"66,023,062",81.2
,P.1 General Administration,"77,959,050","72,165,180",,,,228,1,"5,793,870",92.6
,"P2 Early Childhood Develop-
ment","133,457,640","125,000,000",,,,228,1,"8,457,640",93.7
,Development,"139,149,556","87,378,004",,,,228,1,"51,771,552",62.8
Medical Services,,"1,444,665,215","1,162,942,901",,,,228,1,"281,722,314",80.5
,P.1 General Administration,"797,894,501","762,633,167",,,,229,0,"35,261,334",95.6
,"P2. Curative & Rehabilitative
Health","121,583,165","78,063,068",,,,229,0,"43,520,097",64.2
,"P3. Preventive & Promotive
Health Dept","148,297,668","68,786,837",,,,229,0,"79,510,831",46.4
,Development,"376,889,881","253,459,829",,,,229,0,"123,430,052",67.3
"Trade, Tourism & Investment Development",,"37,481,720","21,093,638",,,,229,0,"16,388,082",56.3
,P.1 Headquarters,"13,527,508","11,856,338",,,,229,0,"1,671,170",87.6
,P2. Tourism Development,"4,740,800","3,446,990",,,,229,0,"1,293,810",72.7
,P4.Trade & Investment,"2,024,998","1,416,626",,,,229,0,"608,372",70.0
,Development,"17,188,414","4,373,684",,,,229,0,"12,814,730",25.4
"Livestock, Veterinary & Cooperative Development",,"81,848,784","59,886,934",,,,229,0,"21,961,850",73.2
,P.1 General Administration,"36,524,699","35,253,153",,,,229,0,"1,271,546",96.5
,P3. Livestock Production,"1,433,328","1,391,045",,,,229,0,"42,283",97.1
,P4. Veterinary Services,"2,242,637","1,972,075",,,,229,0,"270,562",87.9
,P5.Cooperative Development,"706,528","545,018",,,,229,0,"161,510",77.1
,Development,"40,941,592","20,725,643",,,,229,0,"20,215,949",
Public Service Board,,"45,155,096","42,473,308",,,,229,0,"2,681,788",94.1
,P.1 General Administration,"36,988,710","34,678,856",,,,229,0,"2,309,854",93.8
,"P2. Human Resource Manage-
ment & Development","8,166,386","7,794,452",,,,229,0,"371,934",95.4
Water,,"351,464,016","131,998,002",,,,229,0,"219,466,014",37.6
,P.1 Headquarters,"23,598,875","20,559,255",,,,229,0,"3,039,620",87.1
,"P2. Water Management, Con-
servation & Provision","30,204,000","29,953,162",,,,229,0,"250,838",99.2
,Development,"297,661,141","81,485,585",,,,229,0,"216,175,556",27.4
"Gender, Youth, Sports, Culture & Social services",,"110,112,310","42,584,821",,,,229,0,"67,527,489",38.7
,P.1 General Administration,"23,757,400","15,882,171",,,,229,0,"7,875,229",66.9
,Development,"86,354,910","26,702,650",,,,229,0,"59,652,260",30.9
Public Health Sanitation and Environment,,"95,085,600","67,820,302",,,,229,0,"27,265,298",71.3
,P.1 General Administration,"62,682,106","60,791,558",,,,229,0,"1,890,548",97.0
,P2. Public Health & Sanitation,"1,633,190","405,700",,,,229,0,"1,227,490",24.8
,Development,"30,770,304","6,623,044",,,,229,0,"24,147,260",21.5
Fisheries Development & Blue Economy,,"56,876,205","35,408,004",,,,229,0,"21,468,201",62.3
,P.1 General Administration,"30,516,205","26,588,312",,,,229,0,"3,927,893",87.1
,Development,"26,360,000","8,819,692",,,,229,0,"17,540,308",33.5
Infrastructure Development,,"278,208,005","237,983,063",,,,229,0,"40,224,942",85.5
,P.1 General Administration,"34,182,166","31,586,513",,,,229,0,"2,595,653",92.4
,Development,"244,025,839","206,396,550",,,,229,0,"37,629,289",84.6
Lamu Municipality,,"165,322,320","54,324,877",,,,229,0,"110,997,443",32.9
,P.1 General Administration,"28,188,532","25,265,953",,,,229,0,"2,922,579",89.6
,"P2. urban & metropolitan De-
velopment","48,261,250","6,318,700",,,,229,0,"41,942,550",13.1
,Development,"88,872,538","22,740,224",,,,229,0,"66,132,314",25.6
Grand Total,,"4,706,654,041","3,117,959,114",,,,229,0,"1,588,694,927",66.2
