Programme,Sub-programme,"Approved estimates
(Kshs.)","Expenditure
(Kshs.)","Implementation
Status (%)",page_number,table_index
"General Administration,
Planning and Support Ser-
vices",,"5,130,879,058","3,681,624,647",71.8,129,1
Devolution Services,Coordination of Devolution services,"21,266,000","7,036,050",33.1,129,1
,County Executive committee,"12,440,000","7,410,665",59.6,129,1
,Intergovernmental relations,"12,488,000","3,307,167",26.5,129,1
,County Government Advisory,"9,530,000","3,579,908",37.6,129,1
,Special programs,"11,113,600","5,651,990",50.9,129,1
,Sub total,"66,837,600","26,985,780",40.4,129,1
Curative and Rehabilitative,Medical Services,"316,340,196","199,925,758",63.2,129,1
,Ambulance Services,"7,940,000","7,588,477",95.6,129,1
,Sub total,"324,280,196","207,514,235",64.0,129,1
Public Health and Sanitation,Promotive and preventive,"221,577,149","220,163,601",99.4,129,1
,Mobile clinics,"3,650,000","3,209,614",87.9,129,1
,Licensing and control undertaking,"8,015,000","4,628,470",57.7,129,1
,Sanitation,"4,627,920","3,167,254",68.4,129,1
,Sub total,"237,870,069","231,168,939",97.2,129,1
Water Services and Irrigation,Water services,"341,910,000","26,367,275",7.7,129,1
,Storm water management,"7,596,709","1,647,896",21.7,129,1
,Irrigation,"29,282,360","5,856,812",20.0,129,1
,Sub total,"378,789,069","33,871,983",8.9,129,1
"Environment & Natural Re-
source Protection",Environmental protection,"117,918,231","14,751,499",12.5,130,0
,Noise pollution,"2,600,000","1,246,200",47.9,130,0
,Control of air pollution,"870,000","398,750",45.8,130,0
,Natural resources,"8,450,000","1,491,753",17.7,130,0
,Sub total,"129,838,231","17,888,202",13.8,130,0
"Public Works and Infrastruc-
ture",Roads,"686,051,966","17,357,800",2.5,130,0
,Energy,"40,000,000","7,476,200",18.7,130,0
,Fire Fighting,"8,000,000","6,985,001",87.3,130,0
,Transport,"15,000,000","13,624,153",90.8,130,0
,Public works,"7,283,928","5,549,015",76.2,130,0
,Sub total,"756,335,894","50,992,169",6.7,130,0
"County Administration and
Inspectorate",County administration,"50,450,000","11,869,650",23.5,130,0
,County inspectorate,"15,665,446","7,861,426",50.2,130,0
,Sub total,"66,115,446","19,731,076",29.8,130,0
"Human Resource Manage-
ment & Development",Human resource management,"121,030,000","82,066,639",67.8,130,0
Citizen Participation,Citizen participation,"39,900,000","8,508,500",21.3,130,0
"Information, Communica-
tion and Technology",,"25,355,334","19,444,426",76.7,130,0
Public Finance Management,Fiscal & economic planning,"12,250,000","7,311,200",59.7,130,0
,Monitoring & evaluation,"20,638,000","8,429,230",40.8,130,0
,Budget coordination and management,"15,753,000","9,528,271",60.5,130,0
,Accounting and expenditure,"13,877,000","8,517,204",61.4,130,0
,Supply chain management,"52,061,000","41,543,284",79.8,130,0
,Internal audit,"8,747,000","5,755,035",65.8,130,0
,Revenue collection,"64,647,225","19,564,276",30.3,130,0
,Sub total,"187,973,225","100,648,500",53.5,130,0
Land Policy and Planning,Physical planning,"21,623,900","9,264,429",42.8,130,0
,Land surveying and mapping,"10,000,000","9,215,068",92.2,130,0
,Land administration,"46,533,900",0,0.0,130,0
,Sub total,"78,157,800","18,479,497",23.6,130,0
"Urban Development & Man-
agement",Urban development,"12,490,000","6,125,600",49.0,130,0
,Housing,"19,116,000","2,011,628",10.5,130,0
,Sub total,"31,606,000","8,137,228",25.7,130,0
"Pre-primary and Vocational
Training",Pre-primary education,"337,886,334","116,231,520",34.4,130,0
,Vocational training,"38,076,170","5,589,565",14.7,130,0
,Home craft centres,"2,820,000","760,700",27.0,130,0
,Sub total,"378,782,504","122,581,785",32.4,130,0
Youth and Sports,Sports training and competitions,"18,854,980","10,413,985",55.2,130,0
,Youth development,"68,000,000",0,0.0,130,0
,Sub total,"86,854,980","10,413,985",12.0,130,0
,Gender mainstreaming,"4,096,908","2,580,700",63.0,130,0
,Disability mainstreaming,"12,000,000","11,557,600",96.3,130,0
,Control of drugs and pornography,"3,000,000","1,794,000",59.8,130,0
,Liquor licensing,"3,000,000","1,530,350",51.0,130,0
,Betting and Casinos,"1,500,000","757,600",50.5,130,0
