Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
208015060,ICT Services,"28,635,269","5,040,155","23,595,114",82.4,187,0
,Communication Services,"2,196,500","1,680,190","516,310",23.5,187,0
209015060,Communication Services,"2,196,500","1,680,190","516,310",23.5,187,0
,"General Administration and Policy
making Services","17,592,686","5,396,869","12,195,817",69.3,187,0
301015060,Infrastructure Development,"6,355,446","4,769,269","1,586,177",25.0,187,0
301025060,Trade Support Services,"11,237,240","627,600","10,609,640",94.4,187,0
,Regulation and Verification of Weights,"1,137,500","416,250","721,250",63.4,187,0
302015060,"Verification and Calibration of Weigh-
ing Equipment","1,137,500","416,250","721,250",63.4,187,0
,"Tourism Development and Manage-
ment","18,563,965","7,137,053","11,426,912",61.6,187,0
303015060,Tourism Development,"10,738,365","3,350,920","7,387,445",68.8,187,0
303035060,Tourism Event Management,"5,216,100","2,184,486","3,031,614",58.1,187,0
303045060,Tourism Standards Development,"2,609,500","1,601,647","1,007,853",38.6,187,0
,Administration Planning and Support,"98,345,892","91,273,236","7,072,656",7.2,187,0
304015060,Administration planning,"98,345,892","91,273,236","7,072,656",7.2,187,0
,"Co-Operative Development and Man-
agement","51,013,231","13,442,331","37,570,900",73.7,187,0
305055060,Co-operative Governance,"51,013,231","13,442,331","37,570,900",73.7,187,0
,Enterprise Development,"6,225,760","343,400","5,882,360",94.5,187,0
306015060,Business Development Services,"6,225,760","343,400","5,882,360",94.5,188,0
,"Preventive & Promotive Health Ser-
vices","1,574,697,994","972,323,174","602,374,820",38.3,188,0
401015060,Environmental health and sanitation,"1,492,336,026","932,257,357","560,078,669",37.5,188,0
401025060,Community health strategy,"1,100,000","550,000","550,000",50.0,188,0
401035060,Disease surveillance,"750,000","484,450","265,550",35.4,188,0
401045060,Health promotion service,"80,511,968","39,031,367","41,480,601",51.5,188,0
,Health Curative Services,"139,097,510","72,670,591","66,426,919",47.8,188,0
402025060,"Elimination of communicable and
non-communicable disease","1,500,000","1,257,000","243,000",16.2,188,0
402035060,Reproductive Health,"137,597,510","71,413,591","66,183,919",48.1,188,0
,"General Administration, Operational
Research and Planning","2,965,019,895","2,953,966,381","11,053,514",0.4,188,0
403035060,Governance and leadership,"65,900,000","55,294,256","10,605,744",16.1,188,0
403045060,Human resource for Health,"2,899,119,895","2,898,672,125","447,770",0.0,188,0
,"Health Sector support Program (DANI-
DA)","207,385,389","131,638,436","75,746,953",36.5,188,0
405015060,Health Promotive Services,"207,385,389","131,638,436","75,746,953",36.5,188,0
,"Jaramogi Oginga Odinga Teaching and
Referral Hospital","369,070,349","310,808,304","58,262,045",15.8,188,0
407015060,"Jaramogi Oginga Odinga Teaching and
Referal Hospital","369,070,349","310,808,304","58,262,045",15.8,188,0
,Kisumu County Referral Hospital,"26,740,133","7,800,000","18,940,133",70.8,188,0
408015060,Kisumu County Referral Hospital,"26,740,133","7,800,000","18,940,133",70.8,188,0
,Medical and Bio-Medical Services,"328,848,000","138,416,464","190,431,536",57.9,188,0
409015060,"County and Sub-County Hospital Ser-
vices","328,848,000","138,416,464","190,431,536",57.9,188,0
,Early Childhood Development.,"51,274,053","26,059,086","25,214,967",49.2,188,0
501015060,"Promotion of early childhood educa-
tion.","51,274,053","26,059,086","25,214,967",49.2,188,0
,Youth Training and Development,"18,700,000","1,031,750","17,668,250",94.5,188,0
502015060,Youth Polytechnics Services,"18,700,000","1,031,750","17,668,250",94.5,188,0
,Gender and Social Dev.,"3,060,000","620,935","2,439,065",79.7,188,0
504015060,Gender & Disability Mainstreaming,"2,755,000","620,935","2,134,065",77.5,188,0
504055060,Betting Control Services,"305,000",-,"305,000",100.0,188,0
,Early Child Education Management,"400,914,986","209,129,655","191,785,331",47.8,188,0
505015060,Early Child Education,"400,914,986","209,129,655","191,785,331",47.8,188,0
,Sports Management and Development,"113,461,852","9,254,920","104,206,932",91.8,188,0
506015060,Sports Management,"112,559,602","8,907,120","103,652,482",92.1,188,0
506025060,Talent Development,"902,250","347,800","554,450",61.5,188,0
,Sports Stadia Development,"1,541,500","530,000","1,011,500",65.6,188,0
507015060,Sports Academy,"1,541,500","530,000","1,011,500",65.6,188,0
,Alcoholic Drinks,"632,000","169,350","462,650",73.2,188,0
508015060,Alcoholic Drinks,"632,000","169,350","462,650",73.2,188,0
,Pre-Primary Policy and Legislation,"27,035,878","20,502,033","6,533,845",24.2,188,0
515015060,Primary Policy and Legislation,"27,035,878","20,502,033","6,533,845",24.2,188,0
,Youth Training and Legislation,"133,483,192","94,462,658","39,020,534",29.2,188,0
517015060,Youth Training and Legislation,"133,483,192","94,462,658","39,020,534",29.2,188,0
,"General Administration and Planning
services","62,414,885","41,882,789","20,532,096",32.9,188,0
701015060,"Administration and Formulation of
County policy",-,-,-,-,188,0
701025060,"Development and Management of
County Administrative systems","24,366,078","17,441,353","6,924,725",28.4,188,0
701065060,Human Resource development services,"3,744,427","1,434,286","2,310,141",61.7,188,0
701085060,"Social Responsibility Including Civic
and Public Engagement","34,304,380","23,007,150","11,297,231",32.9,188,0
,"Management of County affairs and Spe-
cial Programmes","4,925,417","4,254,297","671,120",13.6,189,0
702025060,"Inter-Government Coordination and
protocol","4,925,417","4,254,297","671,120",13.6,189,0
,"Inter-Governmental relations, Com-
munication and Protocol","32,017,163","21,894,682","10,122,481",31.6,189,0
703015060,"Governor’s Press Service and Commu-
nication","18,855,443","14,194,240","4,661,203",24.7,189,0
703025060,Internal Auditing Services,"13,161,720","7,700,442","5,461,278",41.5,189,0
,County Public Service Board,"817,570,768","622,481,362","195,089,406",23.9,189,0
704015060,"General Administration and Support
services","777,329,646","598,044,812","179,284,834",23.1,189,0
704025060,"Human Resource Recruitment and De-
velopment","33,908,688","19,823,564","14,085,124",41.5,189,0
704035060,"Human Resource Audit and Staff Ratio-
nalization","300,000","164,300","135,700",45.2,189,0
704045060,Promotion of Values and Principles,"6,032,434","4,448,686","1,583,748",26.3,189,0
,Public Financial Management,"223,063,505","135,640,811","87,422,694",39.2,189,0
705015060,Revenue Mobilization,"57,094,099","44,809,534","12,284,565",21.5,189,0
705025060,assets management,"31,475,290","5,747,840","25,727,450",81.7,189,0
705035060,"management of public financial re-
sources","9,750,000","4,154,515","5,595,485",57.4,189,0
705055060,"Budget Formulation & Coordination
Services","124,744,116","80,928,922","43,815,194",35.1,189,0
,"County Planning and Development
Coordination Services","61,361,674","43,717,489","17,644,185",28.8,189,0
706015060,Policy Formulation & Planning,"28,010,000","19,816,826","8,193,174",29.3,189,0
706025060,Monitoring & Evaluation,"33,351,674","23,900,663","9,451,011",28.3,189,0
,County Communication & Ict Services,"405,250","323,050","82,200",20.3,189,0
707015060,Management Information System,"405,250","323,050","82,200",20.3,189,0
,"Representation services & public par-
ticipation","18,270,000","11,191,400","7,078,600",38.7,189,0
709025060,Public participation services,"18,270,000","11,191,400","7,078,600",38.7,189,0
,"County Planning and Development Co
ordination Services","16,667,969","11,911,699","4,756,270",28.5,189,0
711005060,"County Planning and Development Co
ordination Services","16,667,969","11,911,699","4,756,270",28.5,189,0
,"Conservation and management of nat-
ural ecosystem","318,095,830","88,411,407","229,684,423",72.2,189,0
902015060,Sustainable Access to safe Water,"750,000","- 44,400","794,400",105.9,189,0
902025060,Water resources & Sewerage services,"317,345,830","88,455,807","228,890,023",72.1,189,0
,"Environmental Planning And Manage-
ment","3,391,504","3,050,769","340,735",10.1,189,0
904025060,"Environment Conservation Of Natural
Resources","990,000","781,529","208,471",21.1,189,0
904035060,Solid Waste Management,"2,401,504","2,269,240","132,264",5.5,189,0
,,"854,000","394,536","459,464",53.8,189,0
906015060,Pollution Control,"854,000","394,536","459,464",53.8,189,0
,,"8,081,072","3,642,300","4,438,772",54.9,189,0
907015060,Culture and Heritage Development,"4,136,872","2,105,500","2,031,372",49.1,189,0
907025060,Artistic Talent Development,"3,944,200","1,536,800","2,407,400",61.0,189,0
,Grand Total,"11,968,434,257","8,509,921,542","3,458,512,715",28.9,189,0
