Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
"Administration, Planning
and Support Service",,"504,769,596","321,733,128","183,036,468",63.7,450,1
,Administrative Service,"504,769,596","321,733,128","183,036,468",63.7,450,1
"Rural Planning and Com-
munity Development",,"3,400,000","2,249,500","1,150,500",66.2,450,1
,"Ward Development Proj-
ects","3,400,000","2,249,500","1,150,500",66.2,450,1
"Livestock Development
and Management",,"19,814,958","18,202,868","1,612,090",91.9,450,1
,"Veterinary Services and
Extension","15,614,958","14,121,370","1,493,588",90.4,450,1
,Livestock Extension,"4,200,000","4,081,498","118,502",97.2,450,1
"Fisheries Development and
Management",,"8,950,000","7,090,361","1,859,639",79.2,450,1
,"Promotion of Fish Farm-
ing","8,950,000","7,090,361","1,859,639",79.2,450,1
"Crop Development and
Management",,"13,480,101","12,342,180","1,137,921",91.6,450,1
,Crop Extension,"2,180,100","1,806,302","373,798",82.9,450,1
,Farm Input Subsidy,"8,500,001","8,043,878","456,123",94.6,450,1
,"Cash Crop Production
and Development","2,800,000","2,492,000","308,000",89,451,0
Cooperatives Development,,"3,350,000","3,231,205","118,795",96.5,451,0
,"Cooperative Development
Services","3,350,000","3,231,205","118,795",96.5,451,0
"Urban and Physical Plan-
ning and Housing Services",,"334,513,111","309,374,001","25,139,110",92.5,451,0
,"Urban and Physical Plan-
ning","122,893,846","122,893,846",-,100,451,0
,Housing Development,"20,000,000","19,999,994",6,100,451,0
,"Vihiga Municipality
{KUSP}","191,619,265","166,480,162","25,139,103",86.9,451,0
"Administration, Planning
and Support Service",,"491,845,326","345,064,239","146,781,087",70.2,451,0
,Administrative Service,"491,845,326","345,064,239","146,781,087",70.2,451,0
"Public Finance Manage-
ment",,"1,500,000","996,817","503,183",66.5,451,0
,Purchase of a trailer,"1,500,000","996,817","503,183",66.5,451,0
Transport Management,,"18,502,400","13,059,318","5,443,082",70.6,451,0
,"Transport System Man-
agement","5,400,000","4,914,082","485,918",91,451,0
,Mechanical Services,"13,102,400","8,145,236","4,957,164",62.2,451,0
"Infrastructure Develop-
ment",,"800,000",-,"800,000",0,451,0
,Roads Maintenance,"800,000",-,"800,000",0,451,0
"Administration, Planning
and Support Service",,"107,347,083","96,617,214","10,729,869",90,451,0
,Administrative Service,"107,347,083","96,617,214","10,729,869",90,451,0
"Administration, Planning
and Support Service",,"1,465,165,126","1,302,296,351","162,868,775",88.9,451,0
,Administrative Service,"307,392,572","251,657,051","55,735,521",81.9,451,0
,"Human Resource Man-
agement and Develop-
ment","1,009,244,076","1,013,829,008","- 4,584,932",100.5,451,0
,Healthcare Financing,"148,528,478","36,810,292","111,718,186",24.8,451,0
"Promotive and Preventive
Healthcare Services",,"9,405,284","823,200","8,582,084",8.8,451,0
,Public Health Services,"3,020,000","350,000","2,670,000",11.6,451,0
,"Community Health Strat-
egy","3,320,000","100,000","3,220,000",3,451,0
,Health Promotion,"2,175,284","100,000","2,075,284",4.6,451,0
,Reproductive Healthcare,"320,000","93,400","226,600",29.2,451,0
,"Disease Surveillance and
Emergency","570,000","179,800","390,200",31.5,451,0
"Curative And Rehabilita-
tive Health Services",,"331,489,449","285,213,680","46,275,769",86,451,0
,Medical services,"328,309,449","283,931,220","44,378,229",86.5,451,0
,County referral services,"140,000","82,460","57,540",58.9,451,0
,"Drugs and Other Medical
Supplies","3,040,000","1,200,000","1,840,000",39.5,451,0
"Child and Maternal Health
Care",,"61,042,028","31,788,046","29,253,982",52.1,451,0
,"Antenatal and Post Natal
healthcare","1,600,000",-,"1,600,000",0,451,0
,"Antenatal and Post Natal
Healthcare","15,195,047","12,147,192","3,047,855",79.9,451,0
,Maternity Services,"23,109,396","8,813,103","14,296,293",38.1,451,0
,"Newborn, Child and Ado-
lescent Health","40,000",-,"40,000",0,451,0
,Nutrition Services,"21,097,585","10,827,751","10,269,834",51.3,451,0
"Administration, Planning
and Support Service",,"318,693,001","305,743,558","12,949,443",95.9,451,0
