Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Pay-
ments (Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index
"Vocational Education and
Training",Assessment of curriculum,"1,000,000",-,"1,000,000",0.0%,60,0
,Tuition support grant,"94,814,043","62,773,046","32,040,997",66.2%,60,0
,Promotion of governance,"1,000,000",-,"1,000,000",0.0%,60,0
,"Quality assurance and stan-
dards","1,000,000",-,"1,000,000",0.0%,60,0
,Special needs assessment,"1,000,000",-,"1,000,000",0.0%,60,0
,"Capacity building for VTC
managers","1,000,000",-,"1,000,000",0.0%,60,0
,Centre of excellence,"12,437,403",-,"12,437,403",0.0%,60,0
"Education Support Pro-
gramme","Education support and bur-
sary scheme","110,000,000","110,000,000",-,100.0%,60,0
,TOTAL,"1,564,309,453","1,312,681,603","251,627,850",83.9%,60,0
WATER AND TOURISM,,,,,,60,0
Water,,,,-,,60,0
,Administration services,"121,973,837","106,783,661","15,190,176",87.5%,60,0
"Agriculture, Livestock and Cooperative Development",,,,,,61,0
"General Administration Plan-
ning and support Services","Human Resources Manage-
ment","23,491,552","23,491,552",0,100.0%,61,0
,"Policy and Legal Framework
formulation","5,000,000",-,"5,000,000",0.0%,61,0
"Water and Sewerage Services
Management",Water Services Provision,"185,109,559","137,779,179","47,330,380",74.4%,61,0
Total Water,,"335,574,948","268,054,392","67,520,556",79.9%,61,0
Tourism,,,,-,,61,0
"General Administration Plan-
ning and support Services","Administration & Human
Resources Management","51,002,427","49,992,899","1,009,528",98.0%,61,0
"Integrated Solid Waste Man-
agement",Dumpsite Management,"16,882,637","8,330,640","8,551,997",49.3%,61,0
,"Garbage collection and
transportation","193,125,649","193,120,482","5,167",100.0%,61,0
Total Tourism,,"261,010,713","251,444,021","9,566,692",96.3%,61,0
,TOTAL,"596,585,661","519,498,413","77,087,248",87.1%,61,0
TRADE & INDUSTRILISATION,,,,-,,61,0
"Trade and Enterprise Develop-
ment","Trade and Enterprise Devel-
opment","7,900,000",-,"7,900,000",0.0%,61,0
"Market Infrastructure Devel-
opment","Market Infrastructure De-
velopment","18,410,859","16,301,007","2,109,852",88.5%,61,0
"Energy Development and
Management","Energy Development and
Management","25,157,122","20,959,483","4,197,639",83.3%,61,0
"General Administration, Plan-
ning and Support Services","General Administration,
Planning and Support Ser-
vices","89,592,228","82,885,591","6,706,637",92.5%,61,0
,TOTAL,"141,060,209","120,146,081","20,914,128",85.2%,61,0
LANDS & URBAN PLANNING,,,,-,,61,0
"General Administration, Plan-
ning and Support services","Human resource develop-
ment and management","52,291,925","48,335,475","3,956,450",92.4%,61,0
,Administrative services,"56,674,095","55,975,667","698,428",98.8%,61,0
,"Institutional accountability,
efficiency and effectiveness
in service delivery","1,595,694",-,"1,595,694",0.0%,61,0
"Land Resource Survey/Map-
ping and Management",Land acquisition,"9,000,000","2,235,000","6,765,000",24.8%,61,0
,"Survey of government land
quality control of survey ac-
tivities","10,005,000",-,"10,005,000",0.0%,61,0
Total,,"129,566,714","106,546,142","23,020,572",82.2%,61,0
HOUSING,,,,,,61,0
"General Administration, Plan-
ning and Support services","Human Resource Manage-
ment","9,203,158","8,499,168","703,990",92.4%,61,0
,Administrative Services,"9,177,200","8,747,633","429,567",95.3%,61,0
,Research and Development,"4,900,000",-,"4,900,000",0.0%,61,0
"Housing development and Hu-
man Settlement",Estate Management,"1,047,733","906,521","141,212",86.5%,61,0
,Housing Development,"5,226,655","3,801,293","1,425,362",72.7%,61,0
Total,,"29,554,746","21,954,615","7,600,131",74.3%,61,0
BUNGOMA MUNICIPALITY,,,,,,61,0
"Agriculture, Livestock and Cooperative Development",,,,,,62,0
"Urban Economy, General Ad-
ministration, Planning and
Support services","Human Resource Develop-
ment and Management","2,833,230",-,"2,833,230",0.0%,62,0
,"General Administration and
Support Services","18,866,702","12,980,469","5,886,234",68.8%,62,0
,"Institutional Accountability,
Efficiency and Effectiveness","1,564,574",-,"1,564,574",0.0%,62,0
,"Leadership and Coordina-
tion of Municipal Board Op-
erations","40,000",-,"40,000",0.0%,62,0
,Capacity Development,"1,500,000","570,500","929,500",38.0%,62,0
,"Public Participation and
Outreach Services","1,360,000","498,000","862,000",36.6%,62,0
"Land Use, Urban Infrastruc-
ture Development and Man-
agement","Urban Transport and Infra-
structure","228,086,474","139,097,816","88,988,658",61.0%,62,0
Total,,"254,250,980","153,146,784","101,104,196",60.2%,62,0
KIMILILI MUNICIPALITY,,,-,-,,62,0
"General Administration, Plan-
ning and Support services","General Adm planning and
support services","23,853,544","10,455,637","13,397,907",43.8%,62,0
"Urban Infrastructure Develop-
ment and management","Infrastructure. Housing and
public works","414,475,403","240,612,749","173,862,655",58.1%,62,0
Total,,"438,328,947","251,068,386","187,260,562",57.3%,62,0
,TOTAL,"851,701,387","532,715,927","318,985,460",62.5%,62,0
FINANCE & ECONOMIC PLANNING,,,,-,,62,0
