Program,Sub Program,"Approved Budget
(Kshs.)","Actual Pay-
ments (Kshs.)","Variance
(Kshs.)","Absorp-
tion %",page_number,table_index
,Pre-Primary Education,"29,532,300","25,419,643","4,112,657",86.1,82,0
,,"188,769,611","119,372,686","69,396,925",63.2,82,0
,,"188,769,611","119,372,686","69,396,925",63.2,82,0
Sub-Total,,"487,933,682","378,652,384","109,281,298",77.6,82,0
Health and Sanitation,,,,,,82,0
Health Promotion,,0,"-168,000","168,000",0,82,0
,,0,"-168,000","168,000",0,82,0
General administration and support services,,"1,634,515,534","1,586,257,197","22,258,337",97.0,82,0
,Default - Non-Programmatic,"1,634,515,534","1,586,257,197","22,258,337",97.0,83,0
Preventive and Promotive health,,"14,922,412","8,139,217","6,783,195",54.5,83,0
,Community and Environmental Health,"14,922,412","8,139,217","6,783,195",54.5,83,0
,"Communicable & Non-Communicable
Disease Prevention & Control",-,0,0,0.0,83,0
Curative and Rehabilitative Health,,"242,044,440","114,436,944","127,607,496",47.3,83,0
,Commodity management,"1,800,000","539,402","1,260,598",30.0,83,0
,County Hospitals,"40,663,332","23,026,680","17,636,652",56.6,83,0
,Primary Care Units,"176,901,988","76,451,183","100,450,805",43.2,83,0
,Emergency Medical Services,"22,679,120","14,419,680","8,259,440",63.6,83,0
Sub-Total,,"1,865,482,386","1,708,665,358","156,817,028",91.6,83,0
"Water, Lands, Environment and Climate Change",,,,,,83,0
General administration and support services,,"81,341,724","79,024,111","2,317,613",97.2,83,0
,"General administration and support ser-
vices","81,341,724","79,024,111","2,317,613",97.2,83,0
Water and Sanitation Management,,"213,691,985","133,132,501","80,559,484",62.3,83,0
,Water Services,"213,691,985","133,132,501","80,559,484",62.3,83,0
Environmental Management and Protection,,"2,400,000",172480,"2,227,520",7.2,83,0
,Environmental conservation,"2,400,000",172480,"2,227,520",7.2,83,0
Solid Waste Management,,"200,000",0,"200,000",0.0,83,0
,Solid waste management,"200,000",0,"200,000",0.0,83,0
"Lands, Physical planning and Urban Development",,"233,724,252","62,388,005","171,336,247",26.7,83,0
,"Lands, Physical planning and Urban De-
velopment","233,724,252","62,388,005","171,336,247",26.7,83,0
Sub-Total,,"531,357,961","274,717,097","256,640,864",51.7,83,0
"Roads, Public Works and Transport",,,,,,83,0
General administration and support services,,"74,668,229","69,945,057","4,723,172",93.7,83,0
,General administration and support,"74,668,229","69,945,057","4,723,172",93.7,83,0
Public Works,,"492,102,257","398,445,656","93,656,601",81.0,83,0
,Public Works,"492,102,257","398,445,656","93,656,601",81.0,83,0
Energy,,"8,075,600","7,244,677","830,923",89.7,83,0
,Energy,"8,075,600","7,244,677","830,923",89.7,83,0
Road Improvement,,"9,248,000","9,178,340","69,660",99.2,83,0
,Rural road Works,"9,248,000","9,178,340","69,660",99.2,83,0
Sub-Total,,"584,094,086","484,813,730","99,280,356",83.0,83,0
"Tourism, Culture, Wildlife, Trade and Industry",,,,,,83,0
General administration and support services,,"36,168,213","35,617,687","550,525",98.5,83,0
,"General administration and support ser-
vices","36,168,213","35,617,687","550,525",98.5,83,0
Tourism Development,,"8,524,861","6,508,200","2,016,661",76.3,83,0
,Tourism Development,"8,524,861","6,508,200","2,016,661",76.3,83,0
Trade and Enterprise Development,,"3,794,640","1,498,020","2,296,620",39.5,83,0
,Trade and enterprise development,"3,794,640","1,498,020","2,296,620",39.5,83,0
Culture and Heritage Preservation,,"5,659,550","3,893,975","1,765,574",68.8,83,0
,Culture and Heritage Preservation,"5,659,550","3,893,975","1,765,574",68.8,83,0
Sub-Total,,"54,147,264","47,517,882","6,629,380",87.8,83,0
"Youth Affairs, Sports, ICT and Social Services",,,,,,83,0
General administration and support services,,"52,522,775","48,467,416","4,055,359",92.3,83,0
,"General administration and support ser-
vices","52,522,775","48,467,416","4,055,359",92.3,83,0
Sports Development,,"31,954,650","15,688,128","16,266,522",49.1,83,0
,Sports Infrastructure Development,"13,027,800","8,895,986","4,131,814",68.3,83,0
