Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index,col_6
"Town Administration and
decentralized","Town Administration
and decentralized","211,300,007","221,414,665","-10,114,658",104.8,462,0,
HRM,HRM,"311,413,605","301,874,327","9,539,278",96.9,462,0,
Peace,Peace,"75,040,567","75,028,540","12,027",100.0,462,0,
Public Participation,Public Participation,"79,104,892","81,556,759","-2,451,867",103.1,462,0,
Disaster,Disaster,"94,349,889","87,300,248","7,049,641",92.5,462,0,
Intergovernmental,Intergovernmental,"10,821,568","10,342,078","479,490",95.6,462,0,
EMU,EMU,"33,316,544","33,420,745","-104,201",100.3,462,0,
,Total,"837,733,454","825,427,573","12,305,881",98.5,462,0,
"Energy, Environment and
Natural Resources",,,,,-,462,0,
Energy Services,Energy Services,"2,169,200","1,650,650","518,550",76.1,462,0,
Environment,Environment,"159,300,000","129,795,628","29,504,372",81.5,462,0,
Natural Resources,Natural Resources,"2,850,000","2,800,000","50,000",98.2,462,0,
"General Administration and
Support Service","General Administration
and Support Service","66,871,654","52,801,927","14,069,727",79.0,462,0,
,Total,"231,190,854","187,048,205","44,142,649",80.9,462,0,
"County Public Service
Board",,,,,,462,0,
"General Administration and
Support Service","General Administration
and Support Service","84,969,616","59,997,143","24,972,473",70.6,462,0,
,Total,"84,969,616","59,997,143","24,972,473",70.6,462,0,
WAJWASCO,,,,,,462,0,
"General Administration and
Support Service","General Administration
and Support Service","579,199,768","534,936,743","44,263,025",92.4,462,0,
,,,,,,462,0,441
