Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Energy Programme,090301 Energy Services,"405,000","334,940.00","70,060",82.7%,174,0
Cleaning and Waste Management,"090502 Environment Manage-
ment and Protection","675,800","660,800.00","15,000",97.8%,174,0
Nema,"090401 Waste Management
Services","101,508,439","100,883,531.00","624,908",99.4%,174,0
Sub Total,,"208,389,239","185,782,227","22,607,012",89.2%,174,0
Land and Physical Planning,"010601 General Administration
and Planning","35,333,028","26,376,774.00","8,956,254",74.7%,174,0
,010604 County Spatial Planning,"1,510,000","1,442,792.00","67,208",95.5%,174,0
,"010605 Town Zoning and Map-
ping","164,999,831","42,716,526.00","122,283,305",25.9%,174,0
,010607 Survey and Mapping,"505,000","470,162.00","34,838",93.1%,174,0
Housing Development,"010701 Improvement and Devel-
opment of Human Settlements","420,000","409,000.00","11,000",97.4%,174,0
Sub Total,,"202,767,859","71,415,254","131,352,605",35.2%,174,0
Transport Management,"020301 General Administration
and Planning","64,071,285","63,845,341.20","225,944",99.6%,174,0
Disaster Management,"020401 Fire Fighting and Emer-
gency Services","4,507,000","3,153,810.00","1,353,190",70.0%,174,0
"Roads Development Maintenance
and Management","020601 Construction and Main-
tenance of Roads and Bridges","392,980,630","344,517,135.00","48,463,495",87.7%,174,0
"Infrastructure Development,
Maintenance and Management","020801 Infrastructure Develop-
ment Services","9,700,000","9,192,922.00","507,078",94.8%,174,0
Sub Total,,"471,258,915","420,709,208","50,549,707",89.3%,174,0
Grand Total,,"6,795,605,669","5,597,315,743","1,198,289,926",82.4%,174,0
