county,year,quarter,ordinary_osr_target,fif_aia_target,total_revenue_target,osr_actual_realised,fif_aia_actual,actual_revenue,performance_percent
nyamira,2021_22,02,,,400000000.0,,,70166098.0,17.5
nyandarua,2021_22,02,,,590000000.0,,,188298489.0,31.9
nyeri,2021_22,02,,,1000000000.0,,,398309446.0,39.8
samburu,2021_22,02,,,150000000.0,,,56838761.0,37.9
siaya,2021_22,02,,,445445551.0,,,188010251.0,42.2
taita taveta,2021_22,02,,,406282421.0,,,140336150.0,34.5
tana river,2021_22,02,,,79860000.0,,,29516473.0,37.0
tharaka nithi,2021_22,02,,,350000000.0,,,103683338.0,29.6
trans nzoia,2021_22,02,,,529500000.0,,,128661714.0,24.3
turkana,2021_22,02,,,180000000.0,,,85533725.0,47.5
uasin gishu,2021_22,02,,,1000000000.0,,,303893936.0,30.4
vihiga,2021_22,02,,,232658877.0,,,52273078.0,22.5
wajir,2021_22,02,,,100000000.0,,,15500000.0,15.5
west pokot,2021_22,02,,,170000000.0,,,58491200.0,34.4
baringo,2021_22,03,,,258546935.0,,,187723960.0,72.6
bomet,2021_22,03,,,300000000.0,,,158641367.0,52.9
bungoma,2021_22,03,,,746811602.0,,,282172088.0,37.8
busia,2021_22,03,,,976108322.0,,,227317183.0,23.3
elgeyo marakwet,2021_22,03,,,266100000.0,,,116571048.0,43.8
embu,2021_22,03,,,900000000.0,,,297829189.0,33.1
garissa,2021_22,03,,,150000000.0,,,48953500.0,32.6
homa bay,2021_22,03,,,143811399.0,,,132915691.0,92.4
isiolo,2021_22,03,,,113686337.0,,,78211743.0,68.8
kajiado,2021_22,03,,,1605355500.0,,,456827116.0,28.5
kakamega,2021_22,03,,,1600000000.0,,,954426642.0,59.7
kericho,2021_22,03,,,852636240.0,,,461292140.0,54.1
kiambu,2021_22,03,,,4288015282.0,,,2378221287.0,55.5
kilifi,2021_22,03,,,925000000.0,,,433394023.0,46.9
kirinyaga,2021_22,03,,,485000000.0,,,273954260.0,56.5
kisii,2021_22,03,,,700000000.0,,,322836620.0,46.1
kisumu,2021_22,03,,,1984000003.0,,,784219821.0,39.5
kitui,2021_22,03,,,800000000.0,,,280374666.0,35.0
kwale,2021_22,03,,,315000000.0,,,213529786.0,67.8
laikipia,2021_22,03,,,1006000000.0,,,638522836.0,63.5
lamu,2021_22,03,,,120000000.0,,,91479787.0,76.2
machakos,2021_22,03,,,1682894197.0,,,800761867.0,47.6
makueni,2021_22,03,,,1091306710.0,,,476588345.0,43.7
mandera,2021_22,03,,,200037792.0,,,107553765.0,53.8
marsabit,2021_22,03,,,170000000.0,,,78335820.0,46.1
meru,2021_22,03,,,689061600.0,,,288029707.0,41.8
migori,2021_22,03,,,300000000.0,,,272154364.0,90.7
mombasa,2021_22,03,,,4957305414.0,,,2880660826.0,58.1
muranga,2021_22,03,,,1600000000.0,,,394490229.0,24.7
nairobi city,2021_22,03,,,19360744671.0,,,7386983090.0,38.2
nakuru,2021_22,03,,,1980000000.0,,,1139889345.0,57.6
nandi,2021_22,03,,,387106430.0,,,166381995.0,43.0
narok,2021_22,03,,,1869402102.0,,,975125170.0,52.2
nyamira,2021_22,03,,,295000000.0,,,132440468.0,44.9
nyandarua,2021_22,03,,,590000000.0,,,339242718.0,57.5
nyeri,2021_22,03,,,1000000000.0,,,702070203.0,70.2
samburu,2021_22,03,,,150000000.0,,,85381694.0,56.9
siaya,2021_22,03,,,445445551.0,,,316296999.0,71.0
taita taveta,2021_22,03,,,406282421.0,,,221684450.0,54.6
tana river,2021_22,03,,,87846000.0,,,55036013.0,62.7
tharaka nithi,2021_22,03,,,350000000.0,,,174005771.0,49.7
trans nzoia,2021_22,03,,,529500000.0,,,128661714.0,24.3
turkana,2021_22,03,,,180000000.0,,,151014622.0,83.9
uasin gishu,2021_22,03,,,1414917111.0,,,681306574.0,48.2
vihiga,2021_22,03,,,232658877.0,,,181303134.0,77.9
wajir,2021_22,03,,,100000000.0,,,42789215.0,42.8
west pokot,2021_22,03,,,170000000.0,,,96362200.0,56.7
baringo,2021_22,04,,,288546935.0,,,264898800.0,91.8
bomet,2021_22,04,,,260000000.0,,,202430010.0,77.9
bungoma,2021_22,04,,,746811602.0,,,368035218.0,49.3
busia,2021_22,04,,,976108322.0,,,292736456.0,30.0
elgeyo marakwet,2021_22,04,,,266100000.0,,,162252071.0,61.0
embu,2021_22,04,,,900000000.0,,,394540728.0,43.8
garissa,2021_22,04,,,150000000.0,,,65624500.0,43.7
homa bay,2021_22,04,,,164982028.0,,,146642418.0,88.9
isiolo,2021_22,04,,,113686337.0,,,107832875.0,94.9
kajiado,2021_22,04,,,1595132700.0,,,527943689.0,33.1
kakamega,2021_22,04,,,1600000000.0,,,1226076737.0,76.6
kericho,2021_22,04,,,842636240.0,,,566821704.0,67.3
kiambu,2021_22,04,,,4288015282.0,,,3149182552.0,73.4
kilifi,2021_22,04,,,1118754087.0,,,827496951.0,74.0
kirinyaga,2021_22,04,,,485000000.0,,,364653724.0,75.2
kisii,2021_22,04,,,700000000.0,,,404554620.0,57.8
kisumu,2021_22,04,,,1984000003.0,,,982789204.0,49.5
kitui,2021_22,04,,,800000000.0,,,361271342.0,45.2
kwale,2021_22,04,,,438000000.0,,,302688593.0,69.1
laikipia,2021_22,04,,,1313813276.0,,,894884655.0,68.1
lamu,2021_22,04,,,120000000.0,,,126995226.0,105.8
machakos,2021_22,04,,,1682894197.0,,,1118461753.0,66.5
makueni,2021_22,04,,,906306710.0,,,749406507.0,82.7
mandera,2021_22,04,,,200037792.0,,,132899851.0,66.4
marsabit,2021_22,04,,,170000000.0,,,99563452.0,58.6
meru,2021_22,04,,,689061600.0,,,385391541.0,55.9
migori,2021_22,04,,,350000000.0,,,386872946.0,110.5
mombasa,2021_22,04,,,4957305414.0,,,3608672111.0,72.8
muranga,2021_22,04,,,1580000000.0,,,520317425.0,32.9
nairobi city,2021_22,04,,,19610744671.0,,,9238804878.0,47.1
nakuru,2021_22,04,,,1980000000.0,,,1707447685.0,86.2
nandi,2021_22,04,,,387106430.0,,,275658466.0,71.2
narok,2021_22,04,,,2354426171.0,,,1334563666.0,56.7
nyamira,2021_22,04,,,295000000.0,,,166487465.0,56.4
nyandarua,2021_22,04,,,990000000.0,,,473061809.0,47.8
nyeri,2021_22,04,,,1000000000.0,,,948313629.0,94.8
samburu,2021_22,04,,,157264422.0,,,120049011.0,76.3
siaya,2021_22,04,,,445445551.0,,,434376276.0,97.5
taita taveta,2021_22,04,,,450282421.0,,,315575986.0,70.1
tana river,2021_22,04,,,87846000.0,,,72260813.0,82.3
tharaka nithi,2021_22,04,,,350000000.0,,,234293360.0,66.9
trans nzoia,2021_22,04,,,529500000.0,,,379991105.0,71.8
turkana,2021_22,04,,,180000000.0,,,204349844.0,113.5
uasin gishu,2021_22,04,,,1414917111.0,,,858341720.0,60.7
vihiga,2021_22,04,,,232658878.0,,,236265160.0,101.6
wajir,2021_22,04,,,100000000.0,,,52415625.0,52.4
west pokot,2021_22,04,,,170000000.0,,,113444832.0,66.7
baringo,2022_23,01,,,312474282.0,,,43809234.0,14.0
bomet,2022_23,01,,,300000000.0,,,17443378.0,5.8
bungoma,2022_23,01,,,700000000.0,,,55026436.0,7.9
busia,2022_23,01,,,469163025.0,,,45373968.0,9.7
elgeyo marakwet,2022_23,01,,,246239212.0,,,30795949.0,12.5
embu,2022_23,01,,,950000000.0,,,70112285.0,7.4
garissa,2022_23,01,,,116400000.0,,,10095110.0,8.7
