department,program,sub_program,budget,expenditure,county,year,quarter
County Health Services,"Curative and Rehabilitative
Services","Preventive and Promotive
Health Services",387288839.0,491852.0,baringo,2022_23,01
County Health Services,"Curative and Rehabilitative
Services",Health/preventive services,21000000.0,0.0,baringo,2022_23,01
County Health Services,"Curative and Rehabilitative
Services",General administration,405245824.0,53209923.0,baringo,2022_23,01
"CP 55: Preventive and
Promotive Health Ser-
vices","CSP 55.2: Lower-level hospital
equipment",CSP 55.3: Preventive Services,8000000.0,0.0,busia,2022_23,01
"CP 55: Preventive and
Promotive Health Ser-
vices","CSP 55.2: Lower-level hospital
equipment","CSP 55.4: Health promotion
unit",69500000.0,0.0,busia,2022_23,01
"Preventive and
Promotive Health
Services",Disease control services,"Facility Infrastructure Improvement
Services",140000000.0,7468313.0,homa,2022_23,01
Health,General Administration,"Reproductive Maternal Neonatal
Child Adolescent Health",637599129.0,0.0,kilifi,2022_23,01
"Preventive, promo-
tive Health services
and Disease
Control",Malaria,HIV/AIDS and TB,1585000.0,0.0,migori,2022_23,01
"Preventive, promo-
tive Health services
and Disease
Control",Malaria,"Disease surveillance /Emergency pre-
paredness& response",10145000.0,445500.0,migori,2022_23,01
"Preventive, promo-
tive Health services
and Disease
Control",Malaria,Health promotion & education,775000.0,144883.0,migori,2022_23,01
"Preventive, promo-
tive Health services
and Disease
Control",Malaria,"Non-Communicable Diseases, Violence
and Injuries",6760000.0,1987690.0,migori,2022_23,01
"Preventive and
promotive health
services","Sanitation and environmental health
services",Human nutrition and dietetics,2688000.0,0.0,migori,2022_23,01
"Preventive and
promotive health
services","Sanitation and environmental health
services",HIV and AIDS management,3300000.0,0.0,migori,2022_23,01
"Preventive and
promotive health
services","Sanitation and environmental health
services",Disease surveillance,3208000.0,0.0,migori,2022_23,01
"Preventive and
promotive health
services","Sanitation and environmental health
services",Emergency preparedness and response,4500000.0,0.0,migori,2022_23,01
"Preventive and
promotive health
services","Sanitation and environmental health
services",Health promotion,2350000.0,0.0,migori,2022_23,01
"Preventive and
promotive health
services","Sanitation and environmental health
services",Family& reproductive health,3143000.0,0.0,migori,2022_23,01
"Preventive and
promotive health
services","Sanitation and environmental health
services",Non-communicable diseases (NCDs),4478000.0,0.0,migori,2022_23,01
"Preventive and
promotive health
services","Sanitation and environmental health
services","Maternal child and adolescence health
services",11388000.0,0.0,migori,2022_23,01
"3018 Water, Sanitation
& Natural Resources","Sanitation/Sewerage Services Head-
quarters",Water Supply Headquarters,20.5,0.0,mombasa,2022_23,01
"3018 Water, Sanitation
& Natural Resources","Sanitation/Sewerage Services Head-
quarters",Natural Resources,17.2,0.0,mombasa,2022_23,01
Curative health services,None,None,0.0,0.0,nyamira,2022_23,01
"Health
Services","Curative healthcare
services","Preventive, Promo-
tive and Rehabili-
tative",43077948.0,17678974.0,siaya,2022_23,01
"Health
Services","Curative healthcare
services","Facility Improve-
ment Fund",51250350.0,1250000.0,siaya,2022_23,01
"Health
Services","Curative healthcare
services",HIV Services,11744270.0,30268.0,siaya,2022_23,01
"Health
Services","Curative healthcare
services",TB Services,38223375.5,0.0,siaya,2022_23,01
"Health
Services","Curative healthcare
services",Nutrition Services,30289268.0,607267.0,siaya,2022_23,01
"Health
Services","Curative healthcare
services","Environmental
Health Services",25079058.0,850000.0,siaya,2022_23,01
"Preventive and Promotive Health
Services",Environmental Health Services,"Health Promotion and Disease
Control",414321272.0,85199359.0,tharaka,2022_23,01
"Preventive and Promotive Health
Services",Environmental Health Services,"HIV and AIDS Support Ser-
vices",3900000.0,0.0,tharaka,2022_23,01
"Preventive and Promotive Health
Services",Environmental Health Services,"Reproductive Maternal and
Child Health Services",2500000.0,0.0,tharaka,2022_23,01
"Promotive and Preventive
Healthcare Services",Public Health Services,"Community Health
Strategy",1000000.0,0.0,vihiga,2022_23,01
"Promotive and Preventive
Healthcare Services",Public Health Services,Health Promotion,250000.0,0.0,vihiga,2022_23,01
"Promotive and Preventive
Healthcare Services",Public Health Services,"Reproductive Health-
care",1350000.0,0.0,vihiga,2022_23,01
"Promotive and Preventive
Healthcare Services",Public Health Services,"Disease Surveillance
and Emergency",10000.0,0.0,vihiga,2022_23,01
Child and Maternal Health Care,"Antenatal and Post Na-
tal healthcare","Antenatal and Post Na-
tal Healthcare",5260000.0,995000.0,vihiga,2022_23,01
Child and Maternal Health Care,"Antenatal and Post Na-
tal healthcare","Newborn, Child and
Adolescent Health",250000.0,0.0,vihiga,2022_23,01
Child and Maternal Health Care,"Antenatal and Post Na-
tal healthcare",Nutrition Services,1250000.0,0.0,vihiga,2022_23,01
