county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs,is_total,department_new,program_new,sub_program_new
homa,2019_20,1,Livestock Development Programme,"Livestock Health and Disease
Management",5613000.0,,False,,Livestock Development Programme,"Livestock Health and Disease
Management"
homa,2019_20,1,Department of Health Services,,,,False,,Department of Health Services,
homa,2019_20,1,Preventive and promotive health services,Community health services,77400000.0,,False,,Preventive and promotive health services,Community health services
homa,2019_20,1,Preventive and promotive health services,Disease control services,47500000.0,,False,,Preventive and promotive health services,Disease control services
homa,2019_20,1,"Curative and rehabilitative health
services",Routine medical health services,268017729.0,,False,,"Curative and rehabilitative health
services",Routine medical health services
homa,2019_20,1,"Curative and rehabilitative health
services","Medical emergency response
services",12000000.0,,False,,"Curative and rehabilitative health
services","Medical emergency response
services"
homa,2019_20,1,"Curative and rehabilitative health
services","Facility infrastructure
improvement services",323247690.0,,False,,"Curative and rehabilitative health
services","Facility infrastructure
improvement services"
kajiado,2019_20,1,Curative Health Services,,312834835.0,,False,,Curative Health Services,
kajiado,2019_20,1,Medical Services,,312834835.0,,False,,Medical Services,
kajiado,2019_20,1,Curative and Rehabilitative,,10059700.0,306115.0,False,,Curative and Rehabilitative,
kajiado,2019_20,1,Public Health and Sanitation,,229558695.0,9402788.0,False,,Public Health and Sanitation,
kajiado,2019_20,1,Preventive and Promotive,,209568093.0,8894193.0,False,,Preventive and Promotive,
kiambu,2019_20,1,"Curative and
preventive health
care services","General Administration and Support
Services",20000000.0,,False,,"Curative and
preventive health
care services","General Administration and Support
Services"
kiambu,2019_20,1,"Curative and
preventive health
care services",Health Curative Services,818716765.0,,False,,"Curative and
preventive health
care services",Health Curative Services
kiambu,2019_20,1,"Preventive Health
Services",Community Health Services,64400000.0,,False,,"Preventive Health
Services",Community Health Services
kiambu,2019_20,1,"Curative and
Rehabilitative Health
Services",County Hospital Infrastructure,533000000.0,86416694.0,False,,"Curative and
Rehabilitative Health
Services",County Hospital Infrastructure
kilifi,2019_20,1,Health,,,,False,,Health,
kilifi,2019_20,1,Health,,,,False,,Health,
kilifi,2019_20,1,Health,,,,False,,Health,
kilifi,2019_20,1,Health,,,,False,,Health,
kirinyaga,2019_20,1,"Curative and Rehabilitative
Services","Curative and Rehabilitative
Services",2533092065.0,270333350.0,False,,"Curative and Rehabilitative
Services","Curative and Rehabilitative
Services"
kisii,2019_20,1,"Education, labour
and manpower
development",Medical services,4057930441.0,467977296.0,False,,"Education, labour
and manpower
development",Medical services
kisii,2019_20,1,"Education, labour
and manpower
development",Public health,35950000.0,363000.0,False,,"Education, labour
and manpower
development",Public health
kisii,2019_20,1,Health Services,"Administration, planning and
support services",75985904.0,5543800.0,False,,Health Services,"Administration, planning and
support services"
kisii,2019_20,1,Health Services,Land use services,108300000.0,16500000.0,False,,Health Services,Land use services
kitui,2019_20,1,County Ministry Of Health And Sanitation,,,,False,,County Ministry Of Health And Sanitation,
kitui,2019_20,1,Maternal and child health,Maternal and child health,569536122.0,400000000.0,False,,Maternal and child health,Maternal and child health
kitui,2019_20,1,"Preventive and promotive
health services","Preventive and promotive
health services",46111946.0,46070937.0,False,,"Preventive and promotive
health services","Preventive and promotive
health services"
kitui,2019_20,1,Curative health services,Curative health services,2546443704.0,600169900.0,False,,Curative health services,Curative health services
kwale,2019_20,1,Health Services,,,,False,,Health Services,
kwale,2019_20,1,Medical Drugs,,216533928.0,25783043.0,False,,Medical Drugs,
kwale,2019_20,1,Msambweni Hospital,,15108000.0,259000.0,False,,Msambweni Hospital,
kwale,2019_20,1,Kinango Hospital,,23295000.0,118315.0,False,,Kinango Hospital,
kwale,2019_20,1,Kwale Hospital,,27974800.0,272345.0,False,,Kwale Hospital,
kwale,2019_20,1,Tiwi Rural Health Facility,,15620000.0,,False,,Tiwi Rural Health Facility,
kwale,2019_20,1,Samburu Hospital,,1240000.0,,False,,Samburu Hospital,
kwale,2019_20,1,Lungalunga Hospital,,29900000.0,,False,,Lungalunga Hospital,
kwale,2019_20,1,Public Health,,43750000.0,,False,,Public Health,
kwale,2019_20,1,Rural Health Facilities,,274484595.0,15180865.0,False,,Rural Health Facilities,
kwale,2019_20,1,Diani Health Center,,600000.0,,False,,Diani Health Center,
laikipia,2019_20,1,"Livestock Resources
Management and
Development","SP4 Animal Health and Disease
Management and Control",514500.0,,False,,"Livestock Resources
Management and
Development","SP4 Animal Health and Disease
Management and Control"
laikipia,2019_20,1,"Preventive & Promotive
Health Services",Strategic Health Interventions,6872274.0,,False,,"Preventive & Promotive
Health Services",Strategic Health Interventions
laikipia,2019_20,1,"Preventive & Promotive
Health Services","Emergency Referral and Rehabilitative
Services",60234104.0,7785236.0,False,,"Preventive & Promotive
Health Services","Emergency Referral and Rehabilitative
Services"
laikipia,2019_20,1,"Preventive & Promotive
Health Services","Essential Health Institutions and
Services",17500000.0,,False,,"Preventive & Promotive
Health Services","Essential Health Institutions and
Services"
laikipia,2019_20,1,"General Administrative &
Planning Services","Health policy, governance, planning and
financing",25000.0,,False,,"General Administrative &
Planning Services","Health policy, governance, planning and
financing"
laikipia,2019_20,1,"Preventive Health
Services","Community health Strategy, Advocacy
and surveillance",6140625.0,,False,,"Preventive Health
Services","Community health Strategy, Advocacy
and surveillance"
lamu,2019_20,1,"P2: Curative & Rehabilitative Health
Dept",,48510000.0,,False,,"P2: Curative & Rehabilitative Health
Dept",
lamu,2019_20,1,P3: Preventive & Promotive Health,,48044784.0,,False,,P3: Preventive & Promotive Health,
lamu,2019_20,1,P 2: Public Health and Sanitation,,4765000.0,,False,,P 2: Public Health and Sanitation,
machakos,2019_20,1,Health and Emergency Services,,,,False,,Health and Emergency Services,
machakos,2019_20,1,"Preventive and Promotive
Services","Preventive and Promotive
Services",,,False,,"Preventive and Promotive
Services","Preventive and Promotive
Services"
machakos,2019_20,1,"public health and community
outreach","public health and community
outreach",,,False,,"public health and community
outreach","public health and community
outreach"
makueni,2019_20,1,"0403 Preventive and Promotive
Health Care Services",,261066619.0,16737019.0,False,,"0403 Preventive and Promotive
Health Care Services",
makueni,2019_20,1,"0403 Preventive and Promotive
Health Care Services","040304 Preventive & promotive
health care services",261066619.0,16737019.0,False,,"0403 Preventive and Promotive
Health Care Services","040304 Preventive & promotive
health care services"
marsabit,2019_20,1,Curative Health Services,,229000000.0,,False,,Curative Health Services,
marsabit,2019_20,1,Maternal and Child Health,,10000000.0,,False,,Maternal and Child Health,
meru,2019_20,1,HEALTH SERVICE,,,,False,,HEALTH SERVICE,
meru,2019_20,1,"Preventive and Promotive
Health Care Services",Preventive Services,25652122.0,,False,,"Preventive and Promotive
Health Care Services",Preventive Services
meru,2019_20,1,"Preventive and Promotive
Health Care Services",Promotive health care,,,False,,"Preventive and Promotive
Health Care Services",Promotive health care
meru,2019_20,1,Curative Health,Curative Health Care Services,725546996.0,124408893.0,False,,Curative Health,Curative Health Care Services
meru,2019_20,1,Curative Health,Tertiary care,,,False,,Curative Health,Tertiary care
meru,2019_20,1,Universal Health Coverage,Universal Health Coverage,400000000.0,,False,,Universal Health Coverage,Universal Health Coverage
migori,2019_20,1,HEALTH,,,,False,,HEALTH,
migori,2019_20,1,"Planning and
administrative
support services","Health Management Informative
System",2500000.0,,False,,"Planning and
administrative
support services","Health Management Informative
System"
migori,2019_20,1,"Preventive And
Promotive Health
Services",Community Health Services,52860000.0,,False,,"Preventive And
Promotive Health
Services",Community Health Services
migori,2019_20,1,"Preventive And
Promotive Health
Services","Sanitation And Environmental
Health Services",1000000.0,,False,,"Preventive And
Promotive Health
Services","Sanitation And Environmental
Health Services"
migori,2019_20,1,"Preventive And
Promotive Health
Services",Human Nutrition And Dietetics,3000000.0,,False,,"Preventive And
Promotive Health
Services",Human Nutrition And Dietetics
migori,2019_20,1,"Preventive And
Promotive Health
Services",Communicable Disease Control,1000000.0,,False,,"Preventive And
Promotive Health
Services",Communicable Disease Control
migori,2019_20,1,"Preventive And
Promotive Health
Services",Hiv And Aids Management,2800000.0,,False,,"Preventive And
Promotive Health
Services",Hiv And Aids Management
migori,2019_20,1,"Preventive And
Promotive Health
Services",Disease Surveillance/,1500000.0,,False,,"Preventive And
Promotive Health
Services",Disease Surveillance/
migori,2019_20,1,"Preventive And
Promotive Health
Services","Emergency Preparedness And
Response",1000000.0,,False,,"Preventive And
Promotive Health
Services","Emergency Preparedness And
Response"
migori,2019_20,1,"Preventive And
Promotive Health
Services",Health Promotion,1500000.0,,False,,"Preventive And
Promotive Health
Services",Health Promotion
migori,2019_20,1,"Preventive And
Promotive Health
Services",Family& Reproductive Health,12600000.0,,False,,"Preventive And
Promotive Health
Services",Family& Reproductive Health
migori,2019_20,1,"Curative ,
Rehabilitative and
Referral services","Pharmaceutical And Non –
Pharmaceutical Commodities",242880395.0,7064573.0,False,,"Curative ,
Rehabilitative and
Referral services","Pharmaceutical And Non –
Pharmaceutical Commodities"
migori,2019_20,1,"Curative ,
Rehabilitative and
Referral services",Diagnostic Services,2500000.0,,False,,"Curative ,
Rehabilitative and
Referral services",Diagnostic Services
migori,2019_20,1,Veterinary services,"Veterinary public health
management",16136000.0,,False,,Veterinary services,"Veterinary public health
management"
mombasa,2019_20,1,Health Services,Administration Unit,2551268459.0,390459098.0,False,,Health Services,Administration Unit
mombasa,2019_20,1,Health Services,"Curative/Clinical Health
Services",266500326.0,,False,,Health Services,"Curative/Clinical Health
Services"
mombasa,2019_20,1,Health Services,"Preventive and Promotive
Services Unit",205120131.0,,False,,Health Services,"Preventive and Promotive
Services Unit"
mombasa,2019_20,1,Health Services,Special Programs,22588394.0,,False,,Health Services,Special Programs
muranga,2019_20,1,Curative Health Services,,291924209.0,83572660.0,False,,Curative Health Services,
muranga,2019_20,1,Free Primary Healthcare,,288924209.0,83489500.0,False,,Free Primary Healthcare,
muranga,2019_20,1,Free Primary Healthcare,,3000000.0,136500.0,False,,Free Primary Healthcare,
nairobi,2019_20,1,Preventive & Promotive Health Services,"HIV/AIDS Prevention
& Control Unit",4440402.0,,False,,Preventive & Promotive Health Services,"HIV/AIDS Prevention
& Control Unit"
nairobi,2019_20,1,Preventive & Promotive Health Services,TB Control,2200000.0,,False,,Preventive & Promotive Health Services,TB Control
nairobi,2019_20,1,Preventive & Promotive Health Services,"Malaria Control &
Other Communicable
Diseases",1400000.0,,False,,Preventive & Promotive Health Services,"Malaria Control &
Other Communicable
Diseases"
nairobi,2019_20,1,Preventive & Promotive Health Services,"Reproductive Health
& Maternal Health
(RMNCAH)",148661321.0,1505702.0,False,,Preventive & Promotive Health Services,"Reproductive Health
& Maternal Health
(RMNCAH)"
nairobi,2019_20,1,Preventive & Promotive Health Services,"Environmental / Public
Health",96300000.0,,False,,Preventive & Promotive Health Services,"Environmental / Public
Health"
nairobi,2019_20,1,Curative care,"County Referral Hos-
pitals",732450000.0,14976835.0,False,,Curative care,"County Referral Hos-
pitals"
nairobi,2019_20,1,Curative care,"Health Centres &
dispensaries",305338679.0,1343018.0,False,,Curative care,"Health Centres &
dispensaries"
nairobi,2019_20,1,"General administration, planning and
support services","Administration/Human
Resource for Health",5324566646.0,760779424.0,False,,"General administration, planning and
support services","Administration/Human
Resource for Health"
nairobi,2019_20,1,"General administration, planning and
support services","Health Policy, Planning
& Financing",49900000.0,1834709.0,False,,"General administration, planning and
support services","Health Policy, Planning
& Financing"
nairobi,2019_20,1,"General administration, planning and
support services",Health Commodities,651957500.0,,False,,"General administration, planning and
support services",Health Commodities
nairobi,2019_20,1,HEALTH,,7377215048.0,780439687.0,False,,HEALTH,
nairobi,2019_20,1,":Animal Health, Safety and Quality
Assurance","Animal Research,
Diseases, Pest Control
& Quality Assurance",55152413.0,,False,,":Animal Health, Safety and Quality
Assurance","Animal Research,
Diseases, Pest Control
& Quality Assurance"
nakuru,2019_20,1,"Health Preventive and
Promotive Services?",,644491438.0,6228000.0,False,,"Health Preventive and
Promotive Services?",
nakuru,2019_20,1,"Health Preventive and
Promotive Services?",Health Promotive Services,644491438.0,6228000.0,False,,"Health Preventive and
Promotive Services?",Health Promotive Services
nakuru,2019_20,1,Health Curative Services,,2171962276.0,,False,,Health Curative Services,
nakuru,2019_20,1,Health Curative Services,"Provision of Essential Health
Services in all the Levels.",2171962276.0,,False,,Health Curative Services,"Provision of Essential Health
Services in all the Levels."
nakuru,2019_20,1,Administration and Planning,Health Infrastructure Development,56308823.0,,False,,Administration and Planning,Health Infrastructure Development
nakuru,2019_20,1,Administration and Planning,Human Resources for health,3817131604.0,828598569.0,False,,Administration and Planning,Human Resources for health
nandi,2019_20,1,Health and Sanitation,\,,,False,,Health and Sanitation,\
nandi,2019_20,1,"Health Service and Delivery
Administration Services","Health Service and Delivery
Administration Services",1216884321.0,304749902.0,False,,"Health Service and Delivery
Administration Services","Health Service and Delivery
Administration Services"
nandi,2019_20,1,"Health Service and Delivery
Administration Services",Physical Planning,415563515.0,,False,,"Health Service and Delivery
Administration Services",Physical Planning
nandi,2019_20,1,"Preventive and Promotive Health
Services",Community Health Services,553721800.0,106167938.0,False,,"Preventive and Promotive Health
Services",Community Health Services
nandi,2019_20,1,Curative Health Services,"Curative Health Management
Services",411942186.0,23992625.0,False,,Curative Health Services,"Curative Health Management
Services"
nandi,2019_20,1,"Health Sector Programme
Support (DANIDA FUNDS)","County Health Facility Support
(DANIDA)",16031250.0,,False,,"Health Sector Programme
Support (DANIDA FUNDS)","County Health Facility Support
(DANIDA)"
narok,2019_20,1,Preventive &Promotive Health Services,,501512500.0,10217560.0,False,,Preventive &Promotive Health Services,
narok,2019_20,1,Health Promotion,,501512500.0,10217560.0,False,,Health Promotion,
narok,2019_20,1,Curative Health Services,,187053885.0,,False,,Curative Health Services,
narok,2019_20,1,"Health Policy, Planning and Financing",,1873610455.0,424209978.0,False,,"Health Policy, Planning and Financing",
nyamira,2019_20,1,Department of Health,,,,False,,Department of Health,
nyandarua,2019_20,1,Human Resource Management,"Human Resource Management
(Including employee gratuity,
pension and medical insurance)",108650100.0,332400.0,False,,Human Resource Management,"Human Resource Management
(Including employee gratuity,
pension and medical insurance)"
nyandarua,2019_20,1,Preventive and Promotive Services,"Preventive and Promotive
Services",7650000.0,1744630.0,False,,Preventive and Promotive Services,"Preventive and Promotive
Services"
nyandarua,2019_20,1,Curative Services,"Curative Services (including uni-
versal health care and grants)",475755836.0,49127934.0,False,,Curative Services,"Curative Services (including uni-
versal health care and grants)"
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",Financial Accounting,12350000.0,2124044.0,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",Financial Accounting
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services","Procurement Compliance and
Reporting",9000000.0,135670.0,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services","Procurement Compliance and
Reporting"
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",Internal Audit services,9980000.0,958900.0,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",Internal Audit services
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services","Economic Planning and Policy
Formulation",13320000.0,1713174.0,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services","Economic Planning and Policy
Formulation"
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",,577250163.0,57809698.0,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services","Administration and personnel
services",35864671.0,10312257.0,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services","Administration and personnel
services"
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services","Formulation of county spatial
planning laws",2000000.0,,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services","Formulation of county spatial
planning laws"
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",Land Policy Formulation,404776651.0,,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",Land Policy Formulation
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",Government Building,4920290.0,,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",Government Building
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",,447561612.0,10312257.0,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services","Adminstration, Planning and
General Support Services",2695241891.0,571473233.0,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services","Adminstration, Planning and
General Support Services"
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",Health Services,174110480.0,36074990.0,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",Health Services
nyeri,2019_20,1,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",,2869352371.0,607548223.0,False,,"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",
samburu,2019_20,1,"MEDICAL SERVICES, PUBLIC HEALTH & SANITATION",,,,False,,"MEDICAL SERVICES, PUBLIC HEALTH & SANITATION",
samburu,2019_20,1,"Preventive and
Promotive Health
Services",Environmental & Health promotion,74608471.5,31502258.0,False,,"Preventive and
Promotive Health
Services",Environmental & Health promotion
samburu,2019_20,1,"Preventive and
Promotive Health
Services",Nutrition,14144518.0,123231.0,False,,"Preventive and
Promotive Health
Services",Nutrition
samburu,2019_20,1,"Preventive and
Promotive Health
Services",Communicable Disease Control,83111734.0,40254375.0,False,,"Preventive and
Promotive Health
Services",Communicable Disease Control
samburu,2019_20,1,"Preventive and
Promotive Health
Services","Non-communicable Disease Preven-
tion & Control",35870935.63,12351646.0,False,,"Preventive and
Promotive Health
Services","Non-communicable Disease Preven-
tion & Control"
samburu,2019_20,1,"Preventive and
Promotive Health
Services","Reproductive, Maternal, Neonatal,
child and Adolescent Health",61112750.25,17515106.0,False,,"Preventive and
Promotive Health
Services","Reproductive, Maternal, Neonatal,
child and Adolescent Health"
samburu,2019_20,1,Curative Health,Hospital and Referral Services,344950857.98,121023476.0,False,,Curative Health,Hospital and Referral Services
samburu,2019_20,1,Curative Health,Free Primary Health Services,136200280.25,8103200.0,False,,Curative Health,Free Primary Health Services
samburu,2019_20,1,"General Administra-
tion Planning and
Support Services",Health Infrastructure development,9049174.0,17800.0,False,,"General Administra-
tion Planning and
Support Services",Health Infrastructure development
