county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
laikipia,2019_20,01,"Preventive & Promotive
Health Services",Strategic Health Interventions,6872274.0,
laikipia,2019_20,01,"Preventive & Promotive
Health Services","Emergency Referral and Rehabilitative
Services",60234104.0,7785236.0
laikipia,2019_20,01,"Preventive & Promotive
Health Services","Essential Health Institutions and
Services",17500000.0,
laikipia,2019_20,01,"General Administrative &
Planning Services","Health policy, governance, planning and
financing",25000.0,
laikipia,2019_20,01,"Preventive Health
Services","Community health Strategy, Advocacy
and surveillance",6140625.0,
laikipia,2019_20,01,"Public Safety, Enforce
and Disaster Management",Fire Services,1250000.0,
lamu,2019_20,01,"Health Services,
Sanitation and
Environmnet",Totals,746125484.0,167566371.0
lamu,2019_20,01,"Health Services,
Sanitation and
Environmnet","P2: Curative & Rehabilitative Health
Dept",48510000.0,
lamu,2019_20,01,"Health Services,
Sanitation and
Environmnet",P3: Preventive & Promotive Health,48044784.0,
lamu,2019_20,01,Public Service Board,Totals,43472772.0,4068262.0
lamu,2019_20,01,"Public Health
Environment and
Sanitation",Totals,89321750.0,11659088.0
machakos,2019_20,01,Health and Emergency Services,,,
machakos,2019_20,01,Emergency Services,Emergency Services,,
machakos,2019_20,01,"public health and community
outreach","public health and community
outreach",,
machakos,2019_20,01,"public health and community
outreach",Sub total,,
makueni,2019_20,01,"0403 Preventive and Promotive
Health Care Services",,261066619.0,16737019.0
makueni,2019_20,01,"0403 Preventive and Promotive
Health Care Services","040304 Preventive & promotive
health care services",261066619.0,16737019.0
marsabit,2019_20,01,HEALTH SERVICES,Curative Health Services,229000000.0,
marsabit,2019_20,01,HEALTH SERVICES,"General Administration, Planning
and Support Services",1783535526.0,303655335.0
marsabit,2019_20,01,HEALTH SERVICES,Maternal and Child Health,10000000.0,
marsabit,2019_20,01,HEALTH SERVICES,Sub total,2022535526.0,303655335.0
meru,2019_20,01,HEALTH SERVICE,,,
meru,2019_20,01,"Preventive and Promotive
Health Care Services",Preventive Services,25652122.0,
meru,2019_20,01,"Preventive and Promotive
Health Care Services",Promotive health care,,
meru,2019_20,01,"Preventive and Promotive
Health Care Services",Sub total,25652122.0,
meru,2019_20,01,Curative Health,Curative Health Care Services,725546996.0,124408893.0
meru,2019_20,01,Curative Health,Tertiary care,,
meru,2019_20,01,Curative Health,Sub total,,
meru,2019_20,01,Universal Health Coverage,Universal Health Coverage,400000000.0,
meru,2019_20,01,"Disaster Management, Res-
cue and Emergency","Disaster Management, Rescue
and Emergency",16950000.0,
migori,2019_20,01,"Preventive And
Promotive Health
Services",Community Health Services,52860000.0,
migori,2019_20,01,"Preventive And
Promotive Health
Services","Sanitation And Environmental
Health Services",1000000.0,
migori,2019_20,01,"Preventive And
Promotive Health
Services",Human Nutrition And Dietetics,3000000.0,
migori,2019_20,01,"Preventive And
Promotive Health
Services",Communicable Disease Control,1000000.0,
migori,2019_20,01,"Preventive And
Promotive Health
Services",Hiv And Aids Management,2800000.0,
migori,2019_20,01,"Preventive And
Promotive Health
Services",Disease Surveillance/,1500000.0,
migori,2019_20,01,"Preventive And
Promotive Health
Services","Emergency Preparedness And
Response",1000000.0,
migori,2019_20,01,"Preventive And
Promotive Health
Services",Health Promotion,1500000.0,
migori,2019_20,01,"Preventive And
Promotive Health
Services",Family& Reproductive Health,12600000.0,
migori,2019_20,01,"Preventive And
Promotive Health
Services",Sub total,77260000.0,
migori,2019_20,01,"Curative ,
Rehabilitative and
Referral services","Pharmaceutical And Non –
Pharmaceutical Commodities",242880395.0,7064573.0
migori,2019_20,01,"Curative ,
Rehabilitative and
Referral services",Diagnostic Services,2500000.0,
migori,2019_20,01,"Curative ,
Rehabilitative and
Referral services",Sub total,245380395.0,7064573.0
migori,2019_20,01,"Child Care Support
Services","Infrastructure development and
sanitation improvement",91428177.0,
migori,2019_20,01,"Child Care Support
Services",ECDE Staffing,9990000.0,451800.0
migori,2019_20,01,"Child Care Support
Services",Sub total,101418177.0,451800.0
mombasa,2019_20,01,Health Services,Administration Unit,2551268459.0,390459098.0
mombasa,2019_20,01,Health Services,"Curative/Clinical Health
Services",266500326.0,
mombasa,2019_20,01,Health Services,"Preventive and Promotive
Services Unit",205120131.0,
mombasa,2019_20,01,Health Services,Special Programs,22588394.0,
mombasa,2019_20,01,"Transport, Infrastructure
& Public Works","Safety, Risk Management and
Rescue Services",42250000.0,
muranga,2019_20,01,Curative Health Services,,291924209.0,83572660.0
muranga,2019_20,01,Prevention Curriculum Development,,3000000.0,136500.0
muranga,2019_20,01,Prevention Curriculum Development,,254500000.0,10506415.0
nairobi,2019_20,01,Preventive & Promotive Health Services,"HIV/AIDS Prevention
& Control Unit",4440402.0,
nairobi,2019_20,01,Preventive & Promotive Health Services,"Malaria Control &
Other Communicable
Diseases",1400000.0,
nairobi,2019_20,01,Preventive & Promotive Health Services,"Reproductive Health
& Maternal Health
(RMNCAH)",148661321.0,1505702.0
nairobi,2019_20,01,Preventive & Promotive Health Services,"Environmental / Public
Health",96300000.0,
nairobi,2019_20,01,Curative care,"Health Centres &
dispensaries",305338679.0,1343018.0
nairobi,2019_20,01,"General administration, planning and
support services","Health Policy, Planning
& Financing",49900000.0,1834709.0
nairobi,2019_20,01,"General administration, planning and
support services",Health Commodities,651957500.0,
nairobi,2019_20,01,Social Services,"Rescue and Rehabil-
itation of Children
Services",41200000.0,335000.0
nakuru,2019_20,01,"Infrastructure, Roads
&Transport Services","Firefighting and Emergency
Services",9540200.0,495635.0
nakuru,2019_20,01,"Health Preventive and
Promotive Services?",,644491438.0,6228000.0
nakuru,2019_20,01,"Health Preventive and
Promotive Services?",Health Promotive Services,644491438.0,6228000.0
nakuru,2019_20,01,Health Curative Services,,2171962276.0,
nakuru,2019_20,01,Health Curative Services,"Provision of Essential Health
Services in all the Levels.",2171962276.0,
nakuru,2019_20,01,Administration and Planning,Health Infrastructure Development,56308823.0,
nandi,2019_20,01,"Health Service and Delivery
Administration Services","Health Service and Delivery
Administration Services",1216884321.0,304749902.0
nandi,2019_20,01,"Health Service and Delivery
Administration Services",Sub total,1632447836.0,304749902.0
nandi,2019_20,01,"Preventive and Promotive Health
Services",Community Health Services,553721800.0,106167938.0
