county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
kakamega,2019_20,03,Preventive and promotive services,Diseases surveillance & Emergency response,5000000.0,1383635.0
kakamega,2019_20,03,Preventive and promotive services,Nutrition service Promotion,2000000.0,126000.0
kakamega,2019_20,03,Preventive and promotive services,HIV /AIDS Control,2000000.0,366000.0
kakamega,2019_20,03,Preventive and promotive services,Maternal and child healthcare promotion,107321625.0,1955500.0
kakamega,2019_20,03,Preventive and promotive services,Promotion of family planning,4000000.0,3473300.0
kakamega,2019_20,03,Curative services,,1874042224.0,1158534114.0
kakamega,2019_20,03,Curative services,Curative services,973967631.0,667072881.0
kakamega,2019_20,03,Curative services,Community Health Strategy,885074593.0,476461233.0
kakamega,2019_20,03,Curative services,Disease Surveillance and Response,15000000.0,15000000.0
kericho,2019_20,03,DEPARTMENT: HEALTH SERVICES,,,
kericho,2019_20,03,Curative Health,Hospital(curative)Services,140537188.0,
kericho,2019_20,03,Preventive and Promotive Health,"Preventive Medicine and
Promotive Health",1518269245.0,
kericho,2019_20,03,Preventive and Promotive Health,,2626450263.0,
kiambu,2019_20,03,Health Services,,,
kiambu,2019_20,03,"0401004060 Curative and pre-
ventive health care services","Health curative ser-
vices",1826018923.0,935999633.0
kiambu,2019_20,03,"0403004060 Preventive Health
Services","Community Health
Services",153335906.0,43863218.0
kilifi,2019_20,03,Medical Services,Sub total,438207033.0,110550622.05
kilifi,2019_20,03,Medical Services,Gen Medical Services,2000000000.0,1693894768.95
kilifi,2019_20,03,Medical Services,Gen Public Service,489123063.0,160863274.0
kilifi,2019_20,03,Medical Services,Development,994666654.0,192051720.3
kilifi,2019_20,03,Public Health,"Health Promotion & Non com-
bative prevention",665624896.0,137898056.0
kilifi,2019_20,03,Public Health,Sub total,665624896.0,137898056.0
kirinyaga,2019_20,03,"Curative and Rehabilitative
Services",040301 Curative and Rehabilitative Services,2423221282.0,1378633600.0
kisii,2019_20,03,County Health Services,Medical services,4080255441.0,2364312879.0
kisii,2019_20,03,County Health Services,Public health,14950000.0,5551978.0
kisii,2019_20,03,County Health Services,Sub total,4095205441.0,2369864857.0
kisumu,2019_20,03,"County planning & development coordination ser-
vices",Kisumu County Referal hospital,,
kisumu,2019_20,03,"County planning & development coordination ser-
vices",Health curative services,,
kisumu,2019_20,03,"County planning & development coordination ser-
vices",Preventive & promotive health services,,
kisumu,2019_20,03,"County planning & development coordination ser-
vices",Medical and Bio – Medical services,,
kisumu,2019_20,03,"County planning & development coordination ser-
vices",Preventive and Promotive health services,,
kitui,2019_20,03,Health Promotion & Disease Control,404013710,1678948.0,902072.0
kitui,2019_20,03,Medical Services,Sub total,3467443631.0,2767984381.0
kwale,2019_20,03,Medical and Public Health Services,,,
kwale,2019_20,03,Public Health(0401053060),,43750000.0,1176059.0
lamu,2019_20,03,Medical Services,Curative & Rehabilitative Health Dept,141980020.0,48889924.0
lamu,2019_20,03,Medical Services,Preventive & Promotive Health Dept,57724264.0,5796875.0
lamu,2019_20,03,Medical Services,Sub total,914332589.0,568631288.0
lamu,2019_20,03,"Public Health Sanitation
and Environment",Sub total,86274460.0,47844900.0
lamu,2019_20,03,DEVELOPMENT EXPENDITURE,,,
lamu,2019_20,03,Medical Services,Curative & Rehabilitative Health Dept,350000.0,
lamu,2019_20,03,Medical Services,Preventive & Promotive Health Dept,335891284.0,13065500.0
lamu,2019_20,03,Medical Services,Sub total,336241284.0,13065500.0
machakos,2019_20,03,Health and Emergency Services,,,
machakos,2019_20,03,Emergency Services,Emergency Services,21595884.0,
machakos,2019_20,03,"public health and community out-
reach","public health and community out-
reach",168619502.0,9833240.0
machakos,2019_20,03,"public health and community out-
reach",Sub total,4039231678.0,1648513886.0
marsabit,2019_20,03,Health Services,Curative Health Services,207000000.0,127494155.0
marsabit,2019_20,03,Health Services,"General Administration, Planning
and Support Services",1809065412.0,1079914945.0
marsabit,2019_20,03,Health Services,Maternal and child health,10000000.0,9979491.0
marsabit,2019_20,03,Health Services,Sub total,2026065412.0,1217388591.0
meru,2019_20,03,Health Care Services,Preventive health care,25652122.0,
meru,2019_20,03,Curative Health,Curative health care services,722700419.0,243093446.0
meru,2019_20,03,"Disaster Management, Rescue and Emer-
gency","Disaster Management, Res-
cue and Emergency",14200000.0,5750000.0
migori,2019_20,03,"Preventive And Promotive
Health Services",Community Health Services,44860680.0,25730232.0
migori,2019_20,03,"Preventive And Promotive
Health Services","Sanitation And Environmental
Health Services",1000000.0,
migori,2019_20,03,"Preventive And Promotive
Health Services",Human Nutrition And Dietetics,2000000.0,1115500.0
migori,2019_20,03,"Preventive And Promotive
Health Services",Communicable Disease Control,1000000.0,
migori,2019_20,03,"Preventive And Promotive
Health Services",Hiv And Aids Management,2000000.0,
migori,2019_20,03,"Preventive And Promotive
Health Services",Disease Surveillance/,1500000.0,1141500.0
migori,2019_20,03,"Preventive And Promotive
Health Services","Emergency Preparedness And Re-
sponse",1000000.0,57600.0
migori,2019_20,03,"Preventive And Promotive
Health Services",Health Promotion,1500000.0,1014200.0
migori,2019_20,03,"Preventive And Promotive
Health Services",Family& Reproductive Health,17000000.0,2313500.0
migori,2019_20,03,"Preventive And Promotive
Health Services",Sub total,71860680.0,31372532.0
migori,2019_20,03,"Curative , Rehabilitative
and Referral services","Pharmaceutical And Non –Phar-
maceutical Commodities",316638857.0,103561306.0
migori,2019_20,03,"Curative , Rehabilitative
and Referral services",Diagnostic Services,2500000.0,1404450.0
migori,2019_20,03,"Curative , Rehabilitative
and Referral services",Sub total,319138857.0,104965756.0
migori,2019_20,03,"Child Care Support
Services","Infrastructure development and
sanitation improvement",82482176.0,4583182.0
migori,2019_20,03,"Child Care Support
Services",ECDE Staffing,15810000.0,935190.0
migori,2019_20,03,"Child Care Support
Services",Sub total,98292176.0,5518372.0
mombasa,2019_20,03,3017 Health Services,Special Programs,,
muranga,2019_20,03,Curative Health Services,Free Primary Healthcare,288924209.0,144538654.0
muranga,2019_20,03,Curative Health Services,Sub Total,291924209.0,145239859.0
muranga,2019_20,03,Treatment and rehabilitation,Sub Total,3000000.0,727710.0
nairobi,2019_20,03,"0401000 P.1 Preventive & Pro-
motive Health Services","0401115310 HIV/AIDS
Prevention & Control Unit",4440402.0,75000.0
nairobi,2019_20,03,"0401000 P.1 Preventive & Pro-
motive Health Services","0401145310 Reproductive
Health & Maternal Health
(RMNCAH)",148661321.0,26874517.0
nairobi,2019_20,03,"0401000 P.1 Preventive & Pro-
motive Health Services","0401155310 Environmen-
tal / Public Health",96300000.0,16672800.0
nairobi,2019_20,03,0402005310 Curative care,,218544000.0,29042325.0
nairobi,2019_20,03,0402005310 Curative care,,191266000.0,14443324.0
nairobi,2019_20,03,0402005310 Curative care,,91224000.0,921000.0
nairobi,2019_20,03,"Total 5320000000 PUBLIC
SERVICE MANAGEMENT",,1117447638.0,794465895.0
nakuru,2019_20,03,"Firefighting and Emergency
Services","Firefighting and Emergency
Services",9590200.0,6246794.0
nakuru,2019_20,03,Health Promotive Services,Health Promotive Services,658704271.0,214270777.0
nandi,2019_20,03,Health Service Delivery Administration Services,"Construction of
building",397901930.0,27494524.0
nandi,2019_20,03,Health Service Delivery Administration Services,Sub total,1799830937.0,1173968581.0
nandi,2019_20,03,Preventive & Promotive Health Services,"Community Health
Services",554221800.0,451571316.0
nandi,2019_20,03,Preventive & Promotive Health Services,Sub total,554221800.0,451571316.0
nandi,2019_20,03,Curative Health Services,"Curative Health
Management Ser-
vices",423642186.0,313664854.0
nandi,2019_20,03,Curative Health Services,Sub total,423642186.0,313664854.0
nyamira,2019_20,03,Health Services,Health Promotion,427522327.0,247134806.0
nyamira,2019_20,03,Health Services,Communicable Disease Control,162021613.0,41020497.0
nyamira,2019_20,03,Health Services,Administration support services,177301155.0,110837429.0
nyamira,2019_20,03,Health Services,Medical services,1090125247.0,822979874.0
nyamira,2019_20,03,Health Services,Facility infrastructural services,41055000.0,12084186.0
nyamira,2019_20,03,Health Services,Sub Total,1898025342.0,1234056793.0
samburu,2019_20,03,"MEDICAL SERVICES, PUBLIC HEALTH & SANITATION",,,
samburu,2019_20,03,"0401004210 P1 Pre-
ventive and Promotive
Health Services","0401064210 SP4 Non-communicable Disease Prevention
& Control",38870936.0,
samburu,2019_20,03,"0401004210 P1 Pre-
ventive and Promotive
Health Services","0401074210 SP5 Reproductive, Maternal, Neonatal, child
and Adolescent Health",61112750.0,
siaya,2019_20,03,COUNTY HEALTH SERVICES,,,
siaya,2019_20,03,"Curative and Rehabilitative Health Care
Services","Curative and Reha-
bilitative Health Care
Services",,91825653.0
siaya,2019_20,03,"Curative and Rehabilitative Health Care
Services",Sub total,,91825653.0
siaya,2019_20,03,Preventive and Promotive Health Services,"Preventive and Promo-
tive Health Services",,122481234.0
siaya,2019_20,03,Preventive and Promotive Health Services,Sub total,,122481234.0
tana,2019_20,03,Curative and Rehabilitative,,197316864.0,35896272.0
tana,2019_20,03,Medical Supplies,,162120000.0,23017372.0
tana,2019_20,03,Medical Services,,20480864.0,12233900.0
tana,2019_20,03,Ambulance Services,,14716000.0,645000.0
tana,2019_20,03,"Emergency Relief (food, medicine,
blankets, cash grant)",,75000000.0,22469197.0
trans,2019_20,03,Administrative and support services,"Preventive & Promotive Health Ser-
vices",53768230.0,105800.0
trans,2019_20,03,"Preventive & Promotive Health Ser-
vices","Preventive & Promotive Health Ser-
vices",1566650453.0,1360998138.0
turkana,2019_20,03,410034110.0,Rehabilitative Services,2500000.0,399000.0
turkana,2019_20,03,412014110.0,Medical Supplies,406782467.0,30814055.0
vihiga,2019_20,03,"Administration, Planning
and Support Service",Healthcare Financing,,
vihiga,2019_20,03,"Promotive and Preventive
Healthcare Services","Promotive and Preventive Healthcare Ser-
vices",,
vihiga,2019_20,03,"Promotive and Preventive
Healthcare Services",Public Health Services,,
vihiga,2019_20,03,"Promotive and Preventive
Healthcare Services",Community Health Strategy,,
vihiga,2019_20,03,"Promotive and Preventive
Healthcare Services",Health Promotion,,
vihiga,2019_20,03,"Promotive and Preventive
Healthcare Services",Reproductive Healthcare,,
vihiga,2019_20,03,"Promotive and Preventive
Healthcare Services",Disease Surveillance and Emergency,,
vihiga,2019_20,03,"Curative And Rehabilita-
tive Health Services",Curative And Rehabilitative Health Services,,
vihiga,2019_20,03,"Curative And Rehabilita-
tive Health Services",Medical services,,
vihiga,2019_20,03,"Curative And Rehabilita-
tive Health Services",County referral services,,
vihiga,2019_20,03,"Curative And Rehabilita-
tive Health Services",Drugs and Other Medical Supplies,,
vihiga,2019_20,03,"Child and Maternal
Health Care",Child and Maternal Health Care,,
vihiga,2019_20,03,"Child and Maternal
Health Care",Antenatal and Post Natal healthcare,,
vihiga,2019_20,03,"Child and Maternal
Health Care",Antenatal and Post Natal Healthcare,,
vihiga,2019_20,03,"Child and Maternal
Health Care",Maternity Services,,
vihiga,2019_20,03,"Child and Maternal
Health Care","Newborne, Child and Adolescent Health",,
vihiga,2019_20,03,"Child and Maternal
Health Care",Nutrition Services,,
vihiga,2019_20,03,"Administration, Planning
and Support Service",Elderly Fund,,
wajir,2019_20,03,"PUBLIC HEALTH , MEDICAL
SERVICE AND SANITATION",,,
wajir,2019_20,03,"0401003360 P1 Curative, Reha-
bilitative and Referral Services","0401003360 P1 Curative, Rehabilita-
tive and Referral Services",392142699.0,57104896.0
west,2019_20,03,"Health, Sanitation and Emergencies",,,
west,2019_20,03,"Health, Sanitation
and Emergencies","SP 1(General Administration ,planning and Support Services",1271360134.0,942858990.0
west,2019_20,03,"Health, Sanitation
and Emergencies",SP 2-(Preventive Health Services),103194287.0,67211674.0
baringo,2019_20,04,Health/preventive services,,,38890490.0
baringo,2019_20,04,Health/preventive services,"General administration, plan-
ning & support services",,38890490.0
baringo,2019_20,04,Health/preventive services,Support service,,
baringo,2019_20,04,"Curative and Rehabilitative
Services",,300152975.0,81740447.0
baringo,2019_20,04,"Curative and Rehabilitative
Services","General administration, plan-
ning & support services",88164034.0,3055602.0
baringo,2019_20,04,"Curative and Rehabilitative
Services",Support service,131914894.0,
baringo,2019_20,04,"Curative and Rehabilitative
Services","Support to County Hospitals
(FIF)",80074047.0,78684845.0
baringo,2019_20,04,"Preventive and Promotive
Health Services",,366806717.0,210782503.0
baringo,2019_20,04,"Preventive and Promotive
Health Services",Infrastructure Development,38900000.0,16109187.0
baringo,2019_20,04,"Preventive and Promotive
Health Services",Primary Health Care,22400000.0,9770914.0
bomet,2019_20,04,"PROGRAMME 2
Gender, Children
Services and Social
Protection",Other Operating expenses,5519200.0,5300000.0
bomet,2019_20,04,"PROGRAMME 2
Gender, Children
Services and Social
Protection","SP 2.2 Social protection
and children services",6108848.0,5539300.0
bomet,2019_20,04,Programmes 4,"Transformative Health
Care systems",88329983.0,55370813.0
bomet,2019_20,04,Programmes 4,"Cash Transfers to Health
Facilities.",11660690.0,10996000.0
bomet,2019_20,04,Programmes 4,"Specialised Materials
and Supplies -(Renal,
CT-SCAN, Ophthalmic,
Oncology, HDU, theatre
consumables)",187688937.0,185747554.0
bomet,2019_20,04,Programmes 4,"Dressings and Other
Non- Pharmaceutical
Medical Items -(gloves,
linen, etc)",40791637.0,39985354.0
bomet,2019_20,04,Programmes 4,"Laboratory Materi-
als, Supplies and Small
Equipment",525000.0,
bomet,2019_20,04,Programmes 4,"Communicable disease
prevention and Control",2720000.0,
bomet,2019_20,04,Programmes 4,"Non-Residential Build-
ings (Hospitals, Health
centres, dispensaries)",33452703.0,11860645.0
bomet,2019_20,04,Programmes 4,"Purchase of Medical and
Dental Equipment -",22171489.0,20221489.0
bomet,2019_20,04,Programmes 4,"Leasing of medical
equipment",60972095.0,26833614.0
bomet,2019_20,04,"Operation and main-
tenance","Veterinarian Supplies and
Materials(AI)",6000000.0,5957960.0
bomet,2019_20,04,Programme 4,"Veterinarian Supplies
and Materials",4000000.0,3182700.0
bungoma,2019_20,04,"Preventive and Promotive Health
Services","Preventive and Promotive Health
Services",379654848.0,155238923.0
bungoma,2019_20,04,"Curative and Rehabilitative
Health Services","Curative and Rehabilitative
Health Services",361766693.0,100000000.0
bungoma,2019_20,04,"Reproductive, Maternal, New
Born and Child Health","Reproductive, Maternal, New
Born and Child Health",190613112.0,24008466.0
bungoma,2019_20,04,Public health Department,Public health Department,8008550.0,
busia,2019_20,04,"Cp 55: Curative Health
Services",Csp 55.2: Hospital Equipment,25957238.0,8815517.0
embu,2019_20,04,Curative Health Services,Primary Health Care,1303684649.0,1147976656.0
embu,2019_20,04,"Preventive and Promotive
Health Services","Health Promotion & Disease
Control",481432902.0,423932071.0
embu,2019_20,04,Curative Health Services,Primary Health Care,,313181286.0
embu,2019_20,04,"Preventive and Promotive
Health Services","Health Promotion & Disease
Control",,64323859.0
garissa,2019_20,04,Health,"Curative and Emergency Services Depart-
ment",,
garissa,2019_20,04,Health,Curative Services,,
garissa,2019_20,04,Sp1,Preventive and Promotive Health,667013649.0,246154290.0
homa,2019_20,04,Department of Health Services,,,
homa,2019_20,04,"Preventive and promotive
health services",Community health services,77400000.0,68000000.0
homa,2019_20,04,"Preventive and promotive
health services",Disease control services,47500000.0,40500000.0
homa,2019_20,04,"Preventive and promotive
health services",Sub total,124900000.0,108500000.0
homa,2019_20,04,"Curative and rehabilitative
health services","Routine medical health ser-
vices",268017729.0,240395531.0
homa,2019_20,04,"Curative and rehabilitative
health services","Medical emergency re-
sponse services",12000000.0,12000000.0
homa,2019_20,04,"Curative and rehabilitative
health services","Facility infrastructure im-
provement services",167046785.0,119913500.0
homa,2019_20,04,"Curative and rehabilitative
health services",Sub total,447064514.0,372309031.0
homa,2019_20,04,"Financial Management
Services","Emergency Management
Services",70000000.0,69000000.0
isiolo,2019_20,04,401003000,"Community Health
Strategy",,
isiolo,2019_20,04,401003000,"Preventive and Promo-
tive Health Services",129522002.0,109847499.0
isiolo,2019_20,04,403003000,"Curative and Rehabil-
itative Health Services",86411350.0,66124073.0
kajiado,2019_20,04,"Preventive & Promo-
tive Health Services",,,
kajiado,2019_20,04,"Preventive & Promo-
tive Health Services","Promotion of Primary Health
Care",,
kajiado,2019_20,04,"Preventive & Promo-
tive Health Services","Licencing and Control Undertak-
ing",,
kajiado,2019_20,04,"Curative Health Ser-
vices",Medical Services,380262635.0,288666524.0
kajiado,2019_20,04,"Curative Health Ser-
vices",Ambulance Services,,
kajiado,2019_20,04,"Curative and Rehabili-
tative",Sub Total,10059700.0,7526785.0
kajiado,2019_20,04,"Curative and Rehabili-
tative",Medical Supplies,,
kajiado,2019_20,04,"Curative and Rehabili-
tative",Ambulance services,10059700.0,7526785.0
kajiado,2019_20,04,"Public Health and San-
itation",Preventive and Promotive,221331317.0,173537456.0
kajiado,2019_20,04,"Public Services Coordi-
nation and Management",Sub Total,122250000.0,101530649.0
kakamega,2019_20,04,Preventive And Promotive Services,,158106525.0,145700688.0
kakamega,2019_20,04,Preventive And Promotive Services,"Community Health
Strategy",73858900.0,71627600.0
kakamega,2019_20,04,Preventive And Promotive Services,"Diseases surveillance &
Emergency response",5000000.0,3383635.0
kakamega,2019_20,04,Preventive And Promotive Services,HIV /AIDS Control,2000000.0,1111500.0
kakamega,2019_20,04,Preventive And Promotive Services,"Maternal and child
healthcare promotion",67321625.0,62700193.0
kakamega,2019_20,04,Preventive And Promotive Services,"Promotion of family
planning",4000000.0,3473300.0
kakamega,2019_20,04,Curative Services,,2174322218.0,1841853368.0
kakamega,2019_20,04,Curative Services,Curative services,936967631.0,767951248.0
kakamega,2019_20,04,Curative Services,"Community Health
Strategy",1222354587.0,1058902120.0
kakamega,2019_20,04,Curative Services,"Disease Surveillance
and Response",15000000.0,15000000.0
kakamega,2019_20,04,Curative Services,"Primary Medical Health
Services",,
kericho,2019_20,04,Health Services,,,
kericho,2019_20,04,Curative Health,Administration and Planning,1019777428.0,984493780.0
kericho,2019_20,04,Curative Health,Hospital(curative)Services,125537188.0,129770517.0
kericho,2019_20,04,"Preventive And Pro-
motive Health","Preventive Medicine and Promo-
tive Health",1541590204.0,1369226783.0
kericho,2019_20,04,"Preventive And Pro-
motive Health",,2686904820.0,2483491079.0
kericho,2019_20,04,"Preventive And Pro-
motive Health",,,
kilifi,2019_20,04,Medical Services,Sub total,378207033.0,308311701.0
kilifi,2019_20,04,Medical Services,Gen Medical Services,2000000000.0,1993894769.0
kilifi,2019_20,04,Medical Services,Gen Public Service,1070544550.0,447158076.0
kilifi,2019_20,04,Medical Services,Development,560768227.0,286075912.0
kirinyaga,2019_20,04,"Curative and Re-
habilitative Ser-
vices","040301 Curative and Rehabilitative
Services",2423221282.0,2070053217.0
kirinyaga,2019_20,04,Children Services,"091101 Child Community Support
Services",5797000.0,5797000.0
kisumu,2019_20,04,"Preventive And
Promotive Health
Services","Environmental Health And San-
itation",140100399.0,117091414.0
kisumu,2019_20,04,"Preventive And
Promotive Health
Services",Community Health Strategy,560000.0,276600.0
kisumu,2019_20,04,"Preventive And
Promotive Health
Services",Disease Surveillance,161814000.0,161205935.0
kisumu,2019_20,04,"Preventive And
Promotive Health
Services",Health Promotion Services,92822884.0,88766327.0
kisumu,2019_20,04,"Preventive And
Promotive Health
Services",Sub Total,395297283.0,367340276.0
kisumu,2019_20,04,"Health Curative
Services","Elimination Of Communicable
And Non – Communicable Dis-
eases",40227900.0,11745347.0
kisumu,2019_20,04,"Health Curative
Services",Reproductive Health,2206583.0,698800.0
kisumu,2019_20,04,"Health Curative
Services",Sub Total,42484483.0,12444147.0
kisumu,2019_20,04,"Health Sector Support
Program",Health Promotion Services,500000.0,232940.0
kisumu,2019_20,04,"Health Sector Support
Program",Sub Total,500000.0,232940.0
kisumu,2019_20,04,"Kisumu County Refer-
ral Hospital",Sub Total,26574850.0,26574850.0
kisumu,2019_20,04,"County And Sub
– County Hospital
Services","County And Sub – County Hos-
pital Services",179302887.0,51156859.0
kisumu,2019_20,04,"County And Sub
– County Hospital
Services",Sub Total,179302887.0,51156859.0
kitui,2019_20,04,Medical Services,,2118882429.0,1945233606.0
kitui,2019_20,04,Medical Services,,11204218.0,10157895.0
kitui,2019_20,04,Medical Services,,446896946.0,446793974.0
kitui,2019_20,04,Medical Services,,26062500.0,25588472.0
kitui,2019_20,04,Public Health,,32224927.0,38108674.0
kitui,2019_20,04,Public Health,,1799113.0,1724756.0
kitui,2019_20,04,Public Health,,4716833.0,4696304.0
kitui,2019_20,04,Rural Health Services,,295960939.0,294535452.0
kitui,2019_20,04,Rural Health Services,,146059341.0,136079388.0
kitui,2019_20,04,Rural Health Services,,22499906.0,17750137.0
kitui,2019_20,04,Budgetary Supplies,,127575457.0,120962341.0
kitui,2019_20,04,Budgetary Supplies,,7219709.0,7001191.0
kwale,2019_20,04,"Medical And Public Health
Services",,,
kwale,2019_20,04,"Medical And Public Health
Services",Public Health(0401053060),16950000.0,5503059.0
kwale,2019_20,04,"Medical And Public Health
Services",Total,3495447712.0,2471935213.0
laikipia,2019_20,04,County Health Services,,,
laikipia,2019_20,04,"General Administration & Plan-
ning","Emergency Referral & Reha-
bilitative Services",49272664.0,26025825.0
laikipia,2019_20,04,Curative & Rehabilitative Services,Strategic Health Interventions,2701874.0,1630014.0
laikipia,2019_20,04,Curative & Rehabilitative Services,"Emergency Referral & Reha-
bilitative Services",56037483.0,51185544.0
laikipia,2019_20,04,Curative & Rehabilitative Services,Use of Goods & Services,3403748.0,3395950.0
laikipia,2019_20,04,Curative & Rehabilitative Services,"Community Health Strategy,
Advocacy, and Surveillance",12608746.0,11887061.0
laikipia,2019_20,04,Preventive Health Services,Strategic Health Interventions,3800000.0,3792890.0
laikipia,2019_20,04,Preventive Health Services,"Emergency Referral & Reha-
bilitative Services",940154.0,626820.0
laikipia,2019_20,04,Preventive Health Services,"Administrative project plan-
ning and implementation ser-
vices",30083881.0,29164414.0
laikipia,2019_20,04,Preventive Health Services,"Community Health Strategy,
Advocacy, and Surveillance",54654000.0,53409410.0
laikipia,2019_20,04,Preventive Health Services,"Participatory Budgeting Sup-
port Services",750000.0,761300.0
lamu,2019_20,04,Medical Services,,,
lamu,2019_20,04,Medical Services,"Curative and Rehabilitative
Health Dept",137180020.0,122096645.0
lamu,2019_20,04,Medical Services,"Preventive and Promotive Health
Dept",393615548.0,201931654.0
lamu,2019_20,04,Medical Services,Sub total,1250573873.0,1026903094.0
lamu,2019_20,04,Public Health Sanitation and Environment,Sub total,117855850.0,80708882.0
machakos,2019_20,04,Health and Emergency Services,,,
machakos,2019_20,04,Emergency Services,Emergency Services,21595884.0,
machakos,2019_20,04,"public health and communi-
ty outreach","public health and commu-
nity outreach",168619502.0,10678640.0
machakos,2019_20,04,"public health and communi-
ty outreach",Sub total,4275098145.0,1779006744.0
makueni,2019_20,04,"The Department of
Health Services","Programme 1: General adminis-
tration & planning",,
makueni,2019_20,04,"The Department of
Health Services","Programme 2: Curative health
care services",,
makueni,2019_20,04,"The Department of
Health Services","SP2. 1:Curative health care ser-
vices",310833333.0,259651194.0
makueni,2019_20,04,"The Department of
Health Services","Programme 3; Preventive and
promotive health care services",,
makueni,2019_20,04,"The Department of
Health Services",Total Expenditure of Vote,3443854405.0,3049346327.0
makueni,2019_20,04,"County Public Service
Board",Total Budget,56348175.0,46439200.0
mandera,2019_20,04,Infrastructure & Equipment,,307742294.0,126258560.0
marsabit,2019_20,04,Health Services,Curative Health Services,207000000.0,193349316.0
marsabit,2019_20,04,Health Services,Maternal and child health,10000000.0,9979491.0
marsabit,2019_20,04,Health Services,Sub total,1915045412.0,1753164803.0
meru,2019_20,04,Health Services,,,
meru,2019_20,04,Preventive and Promotive,Preventive services,25652122.0,25652122.0
meru,2019_20,04,Health Care Services,Promotive health care,,
meru,2019_20,04,Health Care Services,Sub total,,
meru,2019_20,04,Curative Health,Curative health care services,722700419.0,494788513.0
meru,2019_20,04,Curative Health,,,
meru,2019_20,04,Curative Health,Sub total,,
meru,2019_20,04,"Disaster Management,
Rescue and Emergency","Disaster Management, Rescue
and Emergency",14200000.0,14199999.0
meru,2019_20,04,"Gender, Social Develop-
ment & Children Services",,,
migori,2019_20,04,"Child Care Support Ser-
vices",,7030000.0,397490.0
migori,2019_20,04,"Child Care Support Ser-
vices",,8780000.0,537700.0
migori,2019_20,04,"Child Care Support Ser-
vices",,15810000.0,935190.0
migori,2019_20,04,"Child Care Support Ser-
vices",,82482176.0,38266429.0
migori,2019_20,04,"Child Care Support Ser-
vices",,82482176.0,38266429.0
migori,2019_20,04,"Preventive and Promo-
tive Health Services",,43860680.0,36318390.0
migori,2019_20,04,"Preventive and Promo-
tive Health Services",,1000000.0,427320.0
migori,2019_20,04,"Preventive and Promo-
tive Health Services",,2000000.0,1115500.0
migori,2019_20,04,"Preventive and Promo-
tive Health Services",,1000000.0,
migori,2019_20,04,"Preventive and Promo-
tive Health Services",,2000000.0,
migori,2019_20,04,"Preventive and Promo-
tive Health Services",,257101000.0,122304802.0
migori,2019_20,04,"Preventive and Promo-
tive Health Services",,31000000.0,16213894.0
migori,2019_20,04,"Preventive and Promo-
tive Health Services",,1500000.0,1014200.0
migori,2019_20,04,"Preventive and Promo-
tive Health Services",,17000000.0,3965032.0
migori,2019_20,04,"Preventive and Promo-
tive Health Services",,242731680.0,181359138.0
migori,2019_20,04,"Curative, Rehabilitative
and Referral services",,395368857.0,119778715.0
migori,2019_20,04,"Curative, Rehabilitative
and Referral services",,2500000.0,1404450.0
migori,2019_20,04,"Curative, Rehabilitative
and Referral services",,397868857.0,121183165.0
mombasa,2019_20,04,3017 Health Services,"Curative/Clinical Health
Services",89460505.0,158614802.0
mombasa,2019_20,04,3017 Health Services,Special Programs,940000.0,70393611.0
nairobi,2019_20,04,"0401000 P.1 Preventive &
Promotive Health Services",,240501723.0,185332552.0
nairobi,2019_20,04,0402005310 Curative Care,,567788679.0,131394898.0
nairobi,2019_20,04,"0402065310 Sp.2.6 County
Referral Hospitals",,360202000.0,102086656.0
nakuru,2019_20,04,"Community Health
Strategy",Community Health Strategy,,
nandi,2019_20,04,"Preventive & Promotive Health
Services","Community Health Ser-
vices",558221800.0,513705545.0
nandi,2019_20,04,"Preventive & Promotive Health
Services",Sub total,558221800.0,513705545.0
nandi,2019_20,04,Curative Health Services,"Curative Health Manage-
ment Services",541968186.0,352648259.0
nandi,2019_20,04,Curative Health Services,Sub total,541968186.0,352648259.0
narok,2019_20,04,401004610.0,"Preventive &Promotive
Health Services",657512500.0,657338124.0
nyamira,2019_20,04,Department: Health Services,,,
nyamira,2019_20,04,"Preventive and Promotive
Health Services",Health Promotion,425022327.0,422241760.0
nyamira,2019_20,04,"Preventive and Promotive
Health Services","Communicable Disease
Control",162021613.0,111304813.0
nyamira,2019_20,04,Curative Health Services,Medical services,1088525247.0,1068758068.0
nyamira,2019_20,04,Curative Health Services,"Facility infrastructural
services",38655000.0,30503578.0
nyamira,2019_20,04,Curative Health Services,Sub-Total,1891525342.0,1800953904.0
nyandarua,2019_20,04,Curative Services,"Curative Services (includ-
ing universal health care and
grants)",627247365.0,395144792.0
samburu,2019_20,04,"Medical Services, Public Health & Sanitation",,,
samburu,2019_20,04,"0401004210 P1 Preventive
And Promotive Health Ser-
vices","0401064210 SP4
Non-communicable Dis-
ease Prevention & Control",38795768.0,37420343.0
siaya,2019_20,04,COUNTY HEALTH SERVICES,,,
siaya,2019_20,04,"Curative and Rehabilitative
Health Care Services","Curative and Rehabilitative
Health Care Services",,
siaya,2019_20,04,"Curative and Rehabilitative
Health Care Services",Sub total,,
siaya,2019_20,04,"Preventive and Promotive
Health Services","Preventive and Promotive
Health Services",,
siaya,2019_20,04,"Preventive and Promotive
Health Services",Sub total,,
tana,2019_20,04,Medical Services,Health Services Programme,,
tana,2019_20,04,Medical Services,Curative and Rehabilitative,207657159.0,170113659.0
