"Pro-
gramme",Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
County Assembly,,,,,,71,1
"General administration, planning and support services",,"354,591,122","92,958,457","261,632,665",26.2,71,1
County Assembly,,,,,,71,1
"General administration, planning and support services",,"354,591,122","92,958,457","261,632,457",26.2,71,1
,"General administration, planning and support
services","354,591,122","92,958,457","261,632,665",26.2,71,1
Legislation and representation,,"129,484,400","32,396,916","97,087,484",25.0,71,1
,Legislation and representation,"129,484,400","32,396,916","97,087,484",25.0,71,1
Legislative oversight,,"109,179,450","26,401,403","82,778,047",24.2,72,0
,Legislative oversight,"109,179,450","26,401,403","82,778,047",24.2,72,0
Sub Total For County Assembly,,"593,254,972","151,756,776","441,498,196",25.6,72,0
Office of the Governor,,,,,,72,0
General administration and support services,,"119,625,732","28,378,927","91,246,805",23.7,72,0
,General administration and support services,"119,625,732","28,378,927","91,246,805",23.7,72,0
Governance,,"74,717,982","4,267,753","70,450,229",5.7,72,0
,Governance,"74,717,982","4,267,753","70,450,229",5.7,72,0
Sub Total For Office of the Governor,,"194,343,714","32,646,680","161,697,034",16.8,72,0
Finance & Economic Planning,,,,,,72,0
General administration and support services,,"94,336,718","20,397,105","73,939,614",21.6,72,0
,General administration and support services,"94,336,718","20,397,105","73,939,614",21.6,72,0
Financial Management,,"119,246,575","21,352,049","97,894,526",17.9,72,0
,"Monitoring, Evaluation and reporting","1,290,000","136,800","1,153,200",10.6,72,0
,Economic Planning & Budgeting,"105,463,340","19,680,336","85,783,004",18.7,72,0
,Accounting services,"5,464,411","1,384,534","4,079,877",25.3,72,0
,Supply Chain Management,"1,724,412","75,380","1,649,032",4.4,72,0
,Revenue Management Services,"5,304,412","75,000","5,229,412",1.4,72,0
Sub Total For Finance and Economic Planning,,"213,583,293","41,749,154","171,834,139",19.5,72,0
Agriculture and Irrigation,,,,,,72,0
General administration and support services,,"95,797,320","20,670,810","75,126,510",21.6,72,0
,General administration and support services,"95,797,320","20,670,810","75,126,510",21.6,72,0
Crop Development,,"646,359,803","16,573,369","629,786,434",2.6,72,0
,Cash Crops Development,"65,512,604",-,"65,512,604",-,72,0
,Agricultural Extension and Training Services,"580,847,199","16,573,369","564,273,830",2.9,72,0
Soil Conservation,,"9,479,345",-,"9,479,345",-,72,0
,Soil Conservation,"9,479,345",-,"9,479,345",-,72,0
Irrigation Development,,"139,399,798","10,763,600","128,636,198",7.7,72,0
,Irrigation Development,"139,399,798","10,763,600","128,636,198",7.7,72,0
Sub Total For Agriculture and Irrigation,,"891,036,266","48,007,779","843,028,487",5.4,72,0
Education and Technical Training,,,,,,72,0
General administration and support services,,"256,268,616","46,453,849","209,814,767",18.1,72,0
,General administration and support services,"256,268,616","46,453,849","209,814,767",18.1,72,0
Technical Vocational Education & Training,,"67,519,311",-,"67,519,311",-,72,0
,Technical Vocational Education & Training,"67,519,311",-,"67,519,311",-,72,0
Pre-Primary Education,,"199,043,495",-,"199,043,495",-,72,0
,Pre-Primary Education,"199,043,495",-,"199,043,495",-,72,0
Sub Total For Education & Technical Training,,"522,831,422","46,453,849","476,377,573",8.9,72,0
Health and Sanitation,,,,,,72,0
General administration and support services,,"1,553,784,098","364,036,790","1,189,747,309",23.4,72,0
,Default - Non Programmatic,"1,553,784,098","364,036,790","1,189,747,309",23.4,72,0
Preventive and Promotive Health,,"72,793,446",-,"72,793,446",-,72,0
,Community and Environmental Health,"72,734,046",-,"72,734,046",-,72,0
,"Communicable & Non-Communicable Dis-
ease Prevention & Control","59,400",-,"59,400",-,72,0
Curative and Rehabilitative Health,,"359,475,971","6,770,174","352,705,797",1.9,72,0
,Commodity management,"500,000",-,"500,000",-,72,0
,County Hospitals,"78,097,163",-,"78,097,163",-,72,0
,Primary Care Units,"244,498,808","6,770,174","237,728,634",2.8,72,0
,Emergency Medical Services,"36,380,000",-,"36,380,000",-,72,0
Sub-Total For Health and Sanitation,,"1,986,053,515","370,806,964","1,615,246,552",18.7,72,0
"Water, Lands and Physical Planning",,,,,,72,0
General administration and support services,,"96,178,512","17,213,224","78,965,288",17.9,72,0
,General administration and support services,"96,178,512","17,213,224","78,965,288",17.9,72,0
Water & Sanitation Management,,"387,341,912",-,"387,341,912",-,72,0
,Water Services,"387,341,912",-,"387,341,912",-,72,0
Environmental Management & Protection,,"1,299,950",-,"1,299,950",-,72,0
,Environmental conservation,"1,299,950",-,"1,299,950",-,72,0
